seed, mutant, status
388670110, 5658, SURVIVED
388670110, 5655, SURVIVED
388670110, 5682, SURVIVED
388670110, 5685, SURVIVED
388670110, 5681, SURVIVED
388670110, 5649, SURVIVED
388670110, 5646, SURVIVED
388670110, 5650, SURVIVED
388670110, 5653, SURVIVED
388670110, 5652, SURVIVED
388670110, 5684, SURVIVED
388670110, 5687, SURVIVED
388670110, 5678, SURVIVED
388670101, 2938, SURVIVED
388670101, 5681, SURVIVED
388670101, 2926, SURVIVED
388670101, 5649, SURVIVED
388670101, 2935, SURVIVED
388670101, 5658, SURVIVED
388670101, 5653, SURVIVED
388670101, 2937, SURVIVED
388670101, 2930, SURVIVED
388670101, 2931, SURVIVED
388670101, 5646, SURVIVED
388670101, 2932, SURVIVED
388670101, 2936, SURVIVED
388670101, 2934, SURVIVED
388670101, 5678, SURVIVED
388670101, 2927, SURVIVED
388670101, 5655, SURVIVED
388670101, 5650, SURVIVED
388670101, 5652, SURVIVED
388670101, 5685, SURVIVED
388670101, 5684, SURVIVED
388670101, 5682, SURVIVED
388670101, 5687, SURVIVED
388670128, 1299, SURVIVED
388670121, 1318, SURVIVED
388670121, 1314, SURVIVED
388670121, 1299, SURVIVED
388670121, 1282, SURVIVED
388670121, 1300, SURVIVED
388670121, 1311, SURVIVED
388670128, 1282, SURVIVED
388670128, 1308, SURVIVED
388670121, 1316, SURVIVED
388670121, 1308, SURVIVED
388670128, 1300, SURVIVED
388670121, 1319, SURVIVED
388670121, 1320, SURVIVED
388670121, 1310, SURVIVED
388670121, 1322, SURVIVED
388670121, 3631, SURVIVED
388670121, 3623, SURVIVED
388670121, 1328, SURVIVED
388670121, 1332, SURVIVED
388670121, 1323, SURVIVED
388670121, 1331, SURVIVED
388670121, 3522, SURVIVED
388670121, 3531, SURVIVED
388670121, 3620, SURVIVED
388670121, 3627, SURVIVED
388670121, 3628, SURVIVED
388670121, 3673, SURVIVED
388670121, 3622, SURVIVED
388670121, 3644, SURVIVED
388670121, 3619, SURVIVED
388670121, 3705, SURVIVED
388670128, 1318, SURVIVED
388670128, 1310, SURVIVED
388670128, 1314, SURVIVED
388670128, 1316, SURVIVED
388670128, 1311, SURVIVED
388670128, 1332, SURVIVED
388670128, 3620, SURVIVED
388670128, 1319, SURVIVED
388670128, 1328, SURVIVED
388670128, 1320, SURVIVED
388670128, 3623, SURVIVED
388670128, 1322, SURVIVED
388670128, 3522, SURVIVED
388670128, 1331, SURVIVED
388670128, 1323, SURVIVED
388670128, 3627, SURVIVED
388670128, 3628, SURVIVED
