seed, mutant, status
4039971310, 408, SURVIVED
4039971310, 532, SURVIVED
4039971310, 527, SURVIVED
4039971310, 962, SURVIVED
4039971310, 529, SURVIVED
4039971308, 962, SURVIVED
4039971308, 529, SURVIVED
4039971327, 408, SURVIVED
4039971327, 532, SURVIVED
4039971327, 527, SURVIVED
4039971327, 962, SURVIVED
4039971328, 529, SURVIVED
4039971308, 527, SURVIVED
4039971308, 532, SURVIVED
4039971308, 408, SURVIVED
4039971328, 527, SURVIVED
4039971328, 532, SURVIVED
4039971328, 962, SURVIVED
4039971328, 408, SURVIVED
4039971327, 529, SURVIVED
4039971329, 529, SURVIVED
4039971329, 962, SURVIVED
4039971329, 408, SURVIVED
4039971329, 527, SURVIVED
4039971329, 532, SURVIVED
4039971320, 529, SURVIVED
4039971320, 532, SURVIVED
4039971320, 962, SURVIVED
4039971320, 408, SURVIVED
4039971320, 527, SURVIVED
4039971313, 408, SURVIVED
4039971313, 527, SURVIVED
4039971313, 529, SURVIVED
4039971313, 962, SURVIVED
4039971313, 532, SURVIVED
4039971315, 527, SURVIVED
4039971315, 408, SURVIVED
4039971315, 532, SURVIVED
4039971315, 529, SURVIVED
4039971315, 962, SURVIVED
4039971300, 962, SURVIVED
4039971322, 962, SURVIVED
4039971322, 408, SURVIVED
4039971322, 527, SURVIVED
4039971322, 532, SURVIVED
4039971322, 529, SURVIVED
4039971300, 532, SURVIVED
4039971300, 408, SURVIVED
4039971300, 527, SURVIVED
4039971300, 529, SURVIVED
4039971302, 962, SURVIVED
4039971342, 408, SURVIVED
4039971342, 527, SURVIVED
4039971302, 408, SURVIVED
4039971302, 527, SURVIVED
4039971374, 408, SURVIVED
4039971302, 532, SURVIVED
4039971312, 408, SURVIVED
4039971312, 527, SURVIVED
4039971374, 527, SURVIVED
4039971312, 529, SURVIVED
4039971302, 529, SURVIVED
4039971312, 532, SURVIVED
4039971312, 962, SURVIVED
4039971374, 529, SURVIVED
4039971374, 532, SURVIVED
4039971374, 962, SURVIVED
4039971354, 408, SURVIVED
4039971354, 527, SURVIVED
4039971354, 529, SURVIVED
4039971354, 962, SURVIVED
4039971354, 532, SURVIVED
4039971341, 408, SURVIVED
4039971341, 529, SURVIVED
4039971341, 527, SURVIVED
4039971341, 532, SURVIVED
4039971341, 962, SURVIVED
4039971342, 529, SURVIVED
4039971342, 532, SURVIVED
4039971342, 962, SURVIVED
4039971319, 527, SURVIVED
4039971319, 408, SURVIVED
4039971319, 529, SURVIVED
4039971325, 962, SURVIVED
4039971319, 532, SURVIVED
4039971319, 962, SURVIVED
4039971325, 527, SURVIVED
4039971325, 408, SURVIVED
4039971307, 527, SURVIVED
4039971325, 529, SURVIVED
4039971325, 532, SURVIVED
4039971307, 408, SURVIVED
4039971307, 529, SURVIVED
4039971307, 962, SURVIVED
4039971307, 532, SURVIVED
4039971338, 529, SURVIVED
4039971338, 527, SURVIVED
4039971338, 408, SURVIVED
4039971360, 408, SURVIVED
4039971360, 962, SURVIVED
4039971360, 529, SURVIVED
4039971359, 527, SURVIVED
4039971338, 532, SURVIVED
4039971338, 962, SURVIVED
4039971359, 532, SURVIVED
4039971359, 529, SURVIVED
4039971360, 527, SURVIVED
4039971360, 532, SURVIVED
4039971359, 408, SURVIVED
4039971359, 962, SURVIVED
4039971358, 529, SURVIVED
4039971358, 532, SURVIVED
4039971358, 527, SURVIVED
4039971358, 408, SURVIVED
4039971303, 527, SURVIVED
4039971303, 408, SURVIVED
4039971358, 962, SURVIVED
4039971303, 529, SURVIVED
4039971303, 962, SURVIVED
4039971316, 408, SURVIVED
4039971303, 532, SURVIVED
4039971316, 527, SURVIVED
4039971316, 529, SURVIVED
4039971352, 529, SURVIVED
4039971352, 408, SURVIVED
4039971352, 532, SURVIVED
4039971352, 527, SURVIVED
4039971316, 962, SURVIVED
4039971352, 962, SURVIVED
4039971316, 532, SURVIVED
4039971311, 527, SURVIVED
4039971311, 408, SURVIVED
4039971311, 529, SURVIVED
4039971361, 408, SURVIVED
4039971311, 532, SURVIVED
4039971334, 408, SURVIVED
4039971304, 962, SURVIVED
4039971311, 962, SURVIVED
4039971334, 527, SURVIVED
4039971334, 529, SURVIVED
4039971304, 527, SURVIVED
4039971304, 529, SURVIVED
4039971334, 532, SURVIVED
4039971304, 532, SURVIVED
4039971304, 408, SURVIVED
4039971334, 962, SURVIVED
4039971361, 527, SURVIVED
4039971361, 962, SURVIVED
4039971361, 529, SURVIVED
4039971361, 532, SURVIVED
4039971350, 527, SURVIVED
4039971350, 408, SURVIVED
4039971350, 529, SURVIVED
4039971350, 532, SURVIVED
4039971350, 962, SURVIVED
4039971344, 527, SURVIVED
4039971344, 408, SURVIVED
4039971344, 529, SURVIVED
4039971344, 532, SURVIVED
4039971344, 962, SURVIVED
4039971357, 408, SURVIVED
4039971357, 527, SURVIVED
4039971353, 408, SURVIVED
4039971357, 529, SURVIVED
4039971357, 532, SURVIVED
4039971353, 529, SURVIVED
4039971353, 527, SURVIVED
4039971353, 532, SURVIVED
4039971353, 962, SURVIVED
4039971382, 408, SURVIVED
4039971382, 527, SURVIVED
4039971330, 962, SURVIVED
4039971330, 408, SURVIVED
4039971330, 529, SURVIVED
4039971330, 527, SURVIVED
4039971330, 532, SURVIVED
4039971382, 529, SURVIVED
4039971357, 962, SURVIVED
4039971317, 408, SURVIVED
4039971382, 532, SURVIVED
4039971382, 962, SURVIVED
4039971317, 527, SURVIVED
4039971317, 529, SURVIVED
4039971317, 962, SURVIVED
4039971317, 532, SURVIVED
4039971364, 527, SURVIVED
4039971364, 408, SURVIVED
4039971364, 532, SURVIVED
4039971364, 529, SURVIVED
4039971364, 962, SURVIVED
4039971348, 408, SURVIVED
4039971348, 532, SURVIVED
4039971348, 529, SURVIVED
4039971348, 527, SURVIVED
4039971365, 529, SURVIVED
4039971392, 408, SURVIVED
4039971383, 408, SURVIVED
4039971348, 962, SURVIVED
4039971365, 527, SURVIVED
4039971365, 408, SURVIVED
4039971365, 532, SURVIVED
4039971365, 962, SURVIVED
4039971392, 527, SURVIVED
4039971383, 529, SURVIVED
4039971383, 527, SURVIVED
4039971383, 532, SURVIVED
4039971343, 408, SURVIVED
4039971383, 962, SURVIVED
4039971343, 527, SURVIVED
4039971392, 529, SURVIVED
4039971392, 962, SURVIVED
4039971343, 529, SURVIVED
4039971392, 532, SURVIVED
4039971343, 532, SURVIVED
4039971343, 962, SURVIVED
4039971397, 408, SURVIVED
4039971397, 527, SURVIVED
4039971397, 529, SURVIVED
4039971397, 532, SURVIVED
4039971397, 962, SURVIVED
4039971369, 408, SURVIVED
4039971369, 527, SURVIVED
4039971369, 529, SURVIVED
4039971369, 532, SURVIVED
4039971369, 962, SURVIVED
4039971355, 532, SURVIVED
4039971355, 527, SURVIVED
4039971355, 408, SURVIVED
4039971355, 529, SURVIVED
4039971355, 962, SURVIVED
4039971337, 408, SURVIVED
4039971337, 527, SURVIVED
4039971337, 529, SURVIVED
4039971337, 532, SURVIVED
4039971337, 962, SURVIVED
4039971390, 408, SURVIVED
4039971335, 529, SURVIVED
4039971390, 527, SURVIVED
4039971390, 532, SURVIVED
4039971390, 962, SURVIVED
4039971335, 408, SURVIVED
4039971335, 527, SURVIVED
4039971335, 532, SURVIVED
4039971390, 529, SURVIVED
4039971335, 962, SURVIVED
4039971333, 529, SURVIVED
4039971347, 408, SURVIVED
