seed, mutant, status
1274125422, 4388, SURVIVED
1274125422, 2338, SURVIVED
1274125403, 1550, SURVIVED
1274125403, 1551, SURVIVED
1274125403, 1582, SURVIVED
1274125403, 2861, SURVIVED
1274125403, 3364, SURVIVED
1274125403, 2940, SURVIVED
1274125403, 3313, SURVIVED
1274125403, 3269, SURVIVED
1274125403, 3369, SURVIVED
1274125403, 3281, SURVIVED
1274125403, 3366, SURVIVED
1274125403, 3376, SURVIVED
1274125403, 273, SURVIVED
1274125403, 4388, SURVIVED
1274125403, 3344, SURVIVED
1274125403, 51, SURVIVED
1274125403, 3370, SURVIVED
1274125403, 2138, SURVIVED
1274125407, 51, SURVIVED
1274125403, 3371, SURVIVED
1274125403, 3375, SURVIVED
1274125403, 3365, SURVIVED
1274125403, 3301, SURVIVED
1274125403, 3367, SURVIVED
1274125403, 3373, SURVIVED
1274125403, 2124, SURVIVED
1274125403, 3374, SURVIVED
1274125403, 3368, SURVIVED
1274125403, 2908, SURVIVED
1274125403, 3372, SURVIVED
1274125407, 1428, SURVIVED
1274125407, 1429, SURVIVED
1274125407, 1430, SURVIVED
1274125407, 2306, SURVIVED
1274125407, 2429, SURVIVED
1274125407, 2397, SURVIVED
1274125407, 2338, SURVIVED
1274125407, 2619, SURVIVED
1274125407, 2587, SURVIVED
1274125407, 2821, SURVIVED
1274125407, 2823, SURVIVED
1274125407, 2829, SURVIVED
1274125407, 2824, SURVIVED
1274125407, 2855, SURVIVED
1274125407, 5082, SURVIVED
1274125407, 2853, SURVIVED
1274125407, 2861, SURVIVED
1274125407, 2856, SURVIVED
1274125407, 3543, SURVIVED
1274125407, 5393, SURVIVED
1274125407, 5120, SURVIVED
1274125407, 4388, SURVIVED
1274125407, 5083, SURVIVED
1274125407, 5392, SURVIVED
1274125407, 5367, SURVIVED
1274125407, 5380, SURVIVED
1274125407, 5368, SURVIVED
1274125407, 5377, SURVIVED
1274125407, 5131, SURVIVED
1274125407, 5389, SURVIVED
1274125407, 5373, SURVIVED
1274125407, 5384, SURVIVED
1274125407, 5395, SURVIVED
1274125407, 5398, SURVIVED
1274125407, 5399, SURVIVED
1274125407, 5405, SURVIVED
1274125407, 5421, SURVIVED
1274125407, 5416, SURVIVED
1274125407, 5409, SURVIVED
1274125407, 5431, SURVIVED
1274125430, 273, SURVIVED
1274125430, 1428, SURVIVED
1274125407, 5430, SURVIVED
1274125430, 1430, SURVIVED
1274125430, 1429, SURVIVED
1274125430, 2138, SURVIVED
1274125430, 5082, SURVIVED
1274125430, 1550, SURVIVED
1274125430, 2124, SURVIVED
1274125430, 5083, SURVIVED
1274125430, 4388, SURVIVED
1274125430, 1582, SURVIVED
1274125430, 5120, SURVIVED
1274125430, 5131, SURVIVED
1274125430, 1551, SURVIVED
1274125413, 1550, SURVIVED
1274125413, 273, SURVIVED
1274125413, 1106, SURVIVED
1274125413, 3954, SURVIVED
1274125413, 2124, SURVIVED
1274125413, 1582, SURVIVED
1274125413, 2429, SURVIVED
1274125413, 3543, SURVIVED
1274125413, 1551, SURVIVED
1274125413, 2138, SURVIVED
1274125413, 3972, SURVIVED
1274125413, 3962, SURVIVED
1274125413, 3966, SURVIVED
1274125413, 3970, SURVIVED
1274125413, 3977, SURVIVED
1274125413, 3967, SURVIVED
1274125413, 4388, SURVIVED
1274125426, 273, SURVIVED
1274125426, 606, SURVIVED
1274125426, 607, SURVIVED
1274125426, 608, SURVIVED
1274125426, 609, SURVIVED
1274125426, 614, SURVIVED
1274125426, 642, SURVIVED
1274125426, 611, SURVIVED
1274125426, 612, SURVIVED
1274125426, 610, SURVIVED
1274125426, 632, SURVIVED
1274125426, 621, SURVIVED
1274125426, 639, SURVIVED
1274125426, 641, SURVIVED
1274125426, 644, SURVIVED
1274125426, 643, SURVIVED
1274125426, 615, SURVIVED
1274125426, 646, SURVIVED
1274125426, 645, SURVIVED
1274125426, 647, SURVIVED
1274125426, 650, SURVIVED
1274125426, 654, SURVIVED
1274125426, 651, SURVIVED
1274125426, 652, SURVIVED
1274125426, 653, SURVIVED
1274125426, 657, SURVIVED
1274125426, 655, SURVIVED
1274125426, 656, SURVIVED
1274125426, 661, SURVIVED
1274125426, 662, SURVIVED
1274125426, 659, SURVIVED
1274125426, 663, SURVIVED
1274125426, 669, SURVIVED
1274125426, 664, SURVIVED
1274125426, 665, SURVIVED
1274125426, 668, SURVIVED
1274125426, 670, SURVIVED
1274125426, 672, SURVIVED
1274125426, 671, SURVIVED
1274125426, 675, SURVIVED
1274125426, 676, SURVIVED
1274125426, 680, SURVIVED
1274125426, 1550, SURVIVED
1274125426, 1582, SURVIVED
1274125426, 677, SURVIVED
1274125426, 1551, SURVIVED
1274125426, 1106, SURVIVED
1274125426, 2429, SURVIVED
1274125426, 3301, SURVIVED
1274125426, 3281, SURVIVED
1274125426, 3344, SURVIVED
1274125426, 3367, SURVIVED
1274125426, 3313, SURVIVED
1274125426, 3368, SURVIVED
1274125426, 3269, SURVIVED
1274125426, 3365, SURVIVED
1274125426, 3364, SURVIVED
1274125426, 3370, SURVIVED
1274125426, 3372, SURVIVED
1274125426, 3366, SURVIVED
1274125426, 3371, SURVIVED
1274125426, 3369, SURVIVED
1274125426, 3373, SURVIVED
1274125426, 3374, SURVIVED
1274125426, 3376, SURVIVED
1274125426, 3962, SURVIVED
1274125426, 3375, SURVIVED
1274125426, 3954, SURVIVED
1274125426, 3972, SURVIVED
1274125426, 3966, SURVIVED
1274125411, 273, SURVIVED
1274125426, 3970, SURVIVED
1274125426, 3967, SURVIVED
1274125426, 5131, SURVIVED
1274125411, 1429, SURVIVED
1274125426, 4388, SURVIVED
1274125411, 1428, SURVIVED
1274125426, 3977, SURVIVED
1274125411, 1551, SURVIVED
1274125411, 1550, SURVIVED
1274125426, 5120, SURVIVED
1274125411, 1430, SURVIVED
1274125411, 2138, SURVIVED
1274125411, 2306, SURVIVED
1274125411, 2338, SURVIVED
1274125411, 2124, SURVIVED
1274125411, 1582, SURVIVED
1274125411, 2397, SURVIVED
1274125411, 2940, SURVIVED
1274125411, 3269, SURVIVED
1274125411, 2429, SURVIVED
1274125411, 3281, SURVIVED
1274125411, 2861, SURVIVED
1274125411, 2908, SURVIVED
1274125411, 3301, SURVIVED
1274125411, 3313, SURVIVED
1274125411, 3364, SURVIVED
1274125411, 3365, SURVIVED
1274125411, 3366, SURVIVED
1274125411, 3344, SURVIVED
1274125411, 3367, SURVIVED
1274125411, 3369, SURVIVED
1274125411, 3370, SURVIVED
1274125411, 3368, SURVIVED
1274125411, 3371, SURVIVED
1274125411, 3372, SURVIVED
1274125411, 3373, SURVIVED
