seed, mutant, status
675504031, 3707, SURVIVED
675504031, 3723, SURVIVED
675504031, 3747, SURVIVED
675504031, 3703, SURVIVED
675504031, 3702, SURVIVED
675504031, 3744, SURVIVED
675504031, 3730, SURVIVED
675504031, 3735, SURVIVED
675504031, 3739, SURVIVED
675504031, 3670, SURVIVED
675504031, 3755, SURVIVED
675504031, 3690, SURVIVED
675504031, 3732, SURVIVED
675504031, 3675, SURVIVED
675504031, 3724, SURVIVED
675504031, 3689, SURVIVED
675504031, 3731, SURVIVED
675504031, 3684, SURVIVED
675504031, 3753, SURVIVED
675504031, 3727, SURVIVED
675504031, 3662, SURVIVED
675504031, 3756, SURVIVED
675504031, 3734, SURVIVED
675504031, 3712, SURVIVED
675504031, 3688, SURVIVED
675504031, 3759, SURVIVED
675504031, 3740, SURVIVED
675504031, 3721, SURVIVED
675504031, 3726, SURVIVED
675504031, 3671, SURVIVED
675504031, 3729, SURVIVED
675504031, 3685, SURVIVED
675504031, 3762, SURVIVED
675504031, 3771, SURVIVED
675504031, 3768, SURVIVED
675504031, 3763, SURVIVED
675504031, 3766, SURVIVED
675504031, 7026, SURVIVED
675504031, 7025, SURVIVED
675504031, 7019, SURVIVED
675504031, 3772, SURVIVED
675504025, 3690, SURVIVED
675504025, 3712, SURVIVED
675504025, 3670, SURVIVED
675504025, 3688, SURVIVED
675504025, 3721, SURVIVED
675504025, 3675, SURVIVED
675504025, 3684, SURVIVED
675504025, 3703, SURVIVED
675504025, 3724, SURVIVED
675504025, 3702, SURVIVED
675504025, 3734, SURVIVED
675504025, 3662, SURVIVED
675504025, 3726, SURVIVED
675504025, 3707, SURVIVED
675504025, 3685, SURVIVED
675504025, 3689, SURVIVED
675504025, 3671, SURVIVED
675504025, 3729, SURVIVED
675504025, 3723, SURVIVED
675504025, 3727, SURVIVED
675504025, 3730, SURVIVED
675504025, 3732, SURVIVED
675504025, 3731, SURVIVED
675504025, 3744, SURVIVED
675504025, 3740, SURVIVED
675504025, 3739, SURVIVED
675504025, 3735, SURVIVED
675504025, 3747, SURVIVED
675504025, 3762, SURVIVED
675504025, 3753, SURVIVED
675504025, 3763, SURVIVED
675504025, 3755, SURVIVED
675504025, 3766, SURVIVED
675504025, 3759, SURVIVED
675504025, 3768, SURVIVED
675504025, 3756, SURVIVED
675504025, 3772, SURVIVED
675504025, 7025, SURVIVED
675504025, 3771, SURVIVED
675504025, 7019, SURVIVED
675504025, 7026, SURVIVED
675504013, 3662, SURVIVED
675504013, 3675, SURVIVED
675504013, 3703, SURVIVED
675504013, 3723, SURVIVED
675504013, 3702, SURVIVED
675504013, 3690, SURVIVED
675504013, 3726, SURVIVED
675504013, 3688, SURVIVED
675504013, 3685, SURVIVED
675504013, 3684, SURVIVED
675504013, 3707, SURVIVED
675504013, 3689, SURVIVED
675504013, 3670, SURVIVED
675504013, 3671, SURVIVED
675504013, 3729, SURVIVED
675504013, 3724, SURVIVED
675504013, 3721, SURVIVED
675504013, 3712, SURVIVED
675504013, 3730, SURVIVED
675504013, 3727, SURVIVED
675504013, 3731, SURVIVED
675504013, 3732, SURVIVED
