seed, mutant, status
3197233624, 1209, SURVIVED
3197233625, 1209, SURVIVED
3197233625, 1204, SURVIVED
3197233624, 1204, SURVIVED
3197233631, 1209, SURVIVED
3197233631, 1204, SURVIVED
3197233621, 1204, SURVIVED
3197233621, 1209, SURVIVED
3197233601, 1204, SURVIVED
3197233648, 1209, SURVIVED
3197233648, 1204, SURVIVED
3197233601, 1209, SURVIVED
3197233646, 1209, SURVIVED
3197233646, 1204, SURVIVED
3197233635, 1204, SURVIVED
3197233635, 1209, SURVIVED
3197233604, 1204, SURVIVED
3197233661, 1204, SURVIVED
3197233661, 1209, SURVIVED
3197233604, 1209, SURVIVED
3197233616, 1209, SURVIVED
3197233616, 1204, SURVIVED
3197233614, 1209, SURVIVED
3197233626, 1204, SURVIVED
3197233614, 1204, SURVIVED
3197233613, 1204, SURVIVED
3197233613, 1209, SURVIVED
3197233603, 1209, SURVIVED
3197233626, 1209, SURVIVED
3197233603, 1204, SURVIVED
3197233630, 1204, SURVIVED
3197233630, 1209, SURVIVED
3197233627, 1209, SURVIVED
3197233627, 1204, SURVIVED
3197233657, 1209, SURVIVED
3197233629, 1204, SURVIVED
3197233629, 1209, SURVIVED
3197233657, 1204, SURVIVED
3197233632, 1204, SURVIVED
3197233619, 1204, SURVIVED
3197233619, 1209, SURVIVED
3197233632, 1209, SURVIVED
3197233656, 1209, SURVIVED
3197233602, 1204, SURVIVED
3197233656, 1204, SURVIVED
3197233602, 1209, SURVIVED
3197233609, 1204, SURVIVED
3197233609, 1209, SURVIVED
3197233685, 1209, SURVIVED
3197233685, 1204, SURVIVED
3197233610, 1204, SURVIVED
3197233611, 1209, SURVIVED
3197233610, 1209, SURVIVED
3197233617, 1204, SURVIVED
3197233611, 1204, SURVIVED
3197233617, 1209, SURVIVED
3197233653, 1204, SURVIVED
3197233636, 1204, SURVIVED
3197233618, 1204, SURVIVED
3197233636, 1209, SURVIVED
3197233618, 1209, SURVIVED
3197233653, 1209, SURVIVED
3197233633, 1209, SURVIVED
3197233633, 1204, SURVIVED
3197233600, 1204, SURVIVED
3197233649, 1204, SURVIVED
3197233600, 1209, SURVIVED
3197233649, 1209, SURVIVED
