seed, mutant, status
2935607709, 3600, SURVIVED
2935607709, 3420, SURVIVED
2935607709, 3615, SURVIVED
2935607709, 3595, SURVIVED
2935607709, 3345, SURVIVED
2935607709, 3344, SURVIVED
2935607709, 3377, SURVIVED
2935607709, 3411, SURVIVED
2935607709, 3346, SURVIVED
2935607709, 3335, SURVIVED
2935607709, 3318, SURVIVED
2935607709, 3367, SURVIVED
2935607709, 3455, SURVIVED
2935607709, 3376, SURVIVED
2935607709, 3452, SURVIVED
2935607709, 3324, SURVIVED
2935607709, 3347, SURVIVED
2935607709, 3443, SURVIVED
2935607709, 3378, SURVIVED
2935607709, 3379, SURVIVED
2935607709, 3423, SURVIVED
2935607717, 3347, SURVIVED
2935607717, 1983, SURVIVED
2935607717, 3344, SURVIVED
2935607717, 3367, SURVIVED
2935607717, 1989, SURVIVED
2935607717, 3345, SURVIVED
2935607717, 3318, SURVIVED
2935607717, 3324, SURVIVED
2935607717, 3346, SURVIVED
2935607717, 3335, SURVIVED
2935607717, 2021, SURVIVED
2935607717, 3379, SURVIVED
2935607717, 3423, SURVIVED
2935607717, 3455, SURVIVED
2935607717, 3615, SURVIVED
2935607717, 3600, SURVIVED
2935607717, 3376, SURVIVED
2935607717, 3378, SURVIVED
2935607717, 3443, SURVIVED
2935607717, 3420, SURVIVED
2935607717, 3411, SURVIVED
2935607717, 3377, SURVIVED
2935607717, 3452, SURVIVED
2935607717, 3595, SURVIVED
2935607711, 2833, SURVIVED
2935607711, 2763, SURVIVED
2935607711, 3318, SURVIVED
2935607711, 2742, SURVIVED
2935607743, 2763, SURVIVED
2935607711, 2795, SURVIVED
2935607743, 2742, SURVIVED
2935607711, 2766, SURVIVED
2935607711, 2798, SURVIVED
2935607711, 3324, SURVIVED
2935607711, 3335, SURVIVED
2935607711, 3376, SURVIVED
2935607711, 3378, SURVIVED
2935607711, 3345, SURVIVED
2935607711, 3347, SURVIVED
2935607711, 3367, SURVIVED
2935607711, 3344, SURVIVED
