seed, mutant, status
3763856042, 15986, SURVIVED
3763856042, 12742, SURVIVED
3763856042, 15991, SURVIVED
3763856042, 16208, SURVIVED
3763856042, 16198, SURVIVED
3763856042, 12670, SURVIVED
3763856042, 16240, SURVIVED
3763856042, 16199, SURVIVED
3763856042, 16441, SURVIVED
3763856042, 16192, SURVIVED
3763856042, 10725, SURVIVED
3763856042, 16213, SURVIVED
3763856042, 15987, SURVIVED
3763856042, 12738, SURVIVED
3763856042, 16230, SURVIVED
3763856042, 16526, SURVIVED
3763856042, 16233, SURVIVED
3763856042, 8854, SURVIVED
3763856042, 15992, SURVIVED
3763856042, 12739, SURVIVED
3763856042, 16231, SURVIVED
3763856042, 16276, SURVIVED
3763856042, 16449, SURVIVED
3763856042, 16227, SURVIVED
3763856042, 16232, SURVIVED
3763856042, 12666, SURVIVED
3763856042, 15998, SURVIVED
3763856042, 16308, SURVIVED
3763856042, 16450, SURVIVED
3763856042, 15988, SURVIVED
3763856042, 16440, SURVIVED
3763856042, 16224, SURVIVED
3763856023, 12666, SURVIVED
3763856023, 12742, SURVIVED
3763856023, 8854, SURVIVED
3763856023, 10725, SURVIVED
3763856023, 12739, SURVIVED
3763856023, 13814, SURVIVED
3763856023, 13915, SURVIVED
3763856023, 13533, SURVIVED
3763856023, 12738, SURVIVED
3763856023, 13532, SURVIVED
3763856023, 13782, SURVIVED
3763856023, 13857, SURVIVED
3763856023, 13967, SURVIVED
3763856023, 13911, SURVIVED
3763856023, 13816, SURVIVED
3763856023, 13908, SURVIVED
3763856023, 13825, SURVIVED
3763856023, 13976, SURVIVED
3763856023, 13909, SURVIVED
3763856023, 13971, SURVIVED
3763856023, 12670, SURVIVED
3763856023, 14630, SURVIVED
3763856023, 13832, SURVIVED
3763856023, 13914, SURVIVED
3763856023, 13904, SURVIVED
3763856023, 13864, SURVIVED
3763856023, 13813, SURVIVED
3763856023, 13781, SURVIVED
3763856023, 14666, SURVIVED
3763856023, 14663, SURVIVED
3763856023, 13912, SURVIVED
3763856023, 14598, SURVIVED
3763856023, 14672, SURVIVED
3763856023, 14894, SURVIVED
3763856023, 14681, SURVIVED
3763856023, 14698, SURVIVED
3763856023, 14695, SURVIVED
3763856023, 14704, SURVIVED
3763856023, 14713, SURVIVED
3763856023, 15986, SURVIVED
3763856023, 15987, SURVIVED
3763856023, 15988, SURVIVED
3763856060, 8854, SURVIVED
3763856023, 15991, SURVIVED
3763856023, 16192, SURVIVED
3763856023, 15998, SURVIVED
3763856060, 12666, SURVIVED
3763856023, 14909, SURVIVED
3763856060, 10725, SURVIVED
3763856060, 12739, SURVIVED
3763856060, 12670, SURVIVED
3763856023, 15992, SURVIVED
3763856060, 12738, SURVIVED
3763856023, 16198, SURVIVED
3763856060, 12742, SURVIVED
3763856023, 16208, SURVIVED
3763856023, 16224, SURVIVED
3763856023, 16230, SURVIVED
3763856060, 15988, SURVIVED
3763856060, 15987, SURVIVED
3763856023, 16227, SURVIVED
3763856023, 16213, SURVIVED
3763856023, 16233, SURVIVED
3763856060, 15986, SURVIVED
3763856060, 15991, SURVIVED
3763856060, 15998, SURVIVED
3763856023, 16199, SURVIVED
3763856060, 15992, SURVIVED
3763856023, 16276, SURVIVED
3763856060, 16213, SURVIVED
3763856060, 16198, SURVIVED
3763856060, 16192, SURVIVED
3763856023, 16231, SURVIVED
3763856060, 16208, SURVIVED
3763856060, 16224, SURVIVED
3763856060, 16199, SURVIVED
3763856060, 16227, SURVIVED
3763856023, 16308, SURVIVED
3763856060, 16231, SURVIVED
3763856060, 16230, SURVIVED
3763856023, 16441, SURVIVED
3763856060, 16232, SURVIVED
3763856060, 16440, SURVIVED
3763856023, 16240, SURVIVED
3763856060, 16233, SURVIVED
3763856023, 16232, SURVIVED
3763856060, 16450, SURVIVED
3763856060, 16240, SURVIVED
3763856060, 16449, SURVIVED
3763856023, 16449, SURVIVED
3763856060, 16276, SURVIVED
3763856060, 16308, SURVIVED
3763856060, 16441, SURVIVED
3763856060, 16526, SURVIVED
3763856023, 16450, SURVIVED
3763856023, 16440, SURVIVED
3763856023, 16526, SURVIVED
2096907828, 16183, SURVIVED
2096907828, 8854, SURVIVED
2096907828, 15992, SURVIVED
2096907828, 16160, SURVIVED
2096907828, 12666, SURVIVED
2096907828, 15998, SURVIVED
2096907828, 15991, SURVIVED
2096907828, 16231, SURVIVED
2096907828, 16213, SURVIVED
2096907828, 16224, SURVIVED
2096907828, 16164, SURVIVED
2096907828, 12739, SURVIVED
2096907828, 12742, SURVIVED
2096907828, 16192, SURVIVED
2096907828, 16198, SURVIVED
2096907828, 15986, SURVIVED
2096907828, 16161, SURVIVED
2096907828, 12670, SURVIVED
2096907828, 15988, SURVIVED
2096907828, 12738, SURVIVED
2096907828, 16276, SURVIVED
2096907828, 16233, SURVIVED
2096907828, 16240, SURVIVED
2096907828, 16199, SURVIVED
2096907828, 16163, SURVIVED
2096907828, 16230, SURVIVED
2096907828, 15987, SURVIVED
2096907828, 16208, SURVIVED
2096907828, 16151, SURVIVED
2096907828, 16227, SURVIVED
2096907828, 16232, SURVIVED
2096907828, 10725, SURVIVED
2096907828, 16308, SURVIVED
2096907828, 16441, SURVIVED
2096907828, 16449, SURVIVED
2096907828, 16440, SURVIVED
2096907828, 16450, SURVIVED
2096907828, 16526, SURVIVED
2096907806, 15988, SURVIVED
2096907806, 16213, SURVIVED
2096907806, 16208, SURVIVED
2096907806, 16308, SURVIVED
2096907806, 16231, SURVIVED
2096907806, 16199, SURVIVED
2096907806, 16240, SURVIVED
2096907806, 16224, SURVIVED
2096907806, 16230, SURVIVED
2096907806, 15992, SURVIVED
2096907806, 16276, SURVIVED
2096907806, 16227, SURVIVED
2096907806, 16233, SURVIVED
2096907806, 15991, SURVIVED
2096907806, 8854, SURVIVED
2096907806, 15987, SURVIVED
2096907806, 10725, SURVIVED
2096907806, 15986, SURVIVED
2096907806, 16198, SURVIVED
2096907806, 16232, SURVIVED
2096907806, 15998, SURVIVED
2096907806, 16192, SURVIVED
3948023758, 15992, SURVIVED
3948023758, 15998, SURVIVED
3948023758, 15991, SURVIVED
3948023758, 16440, SURVIVED
3948023758, 16227, SURVIVED
3948023758, 16213, SURVIVED
3948023758, 16308, SURVIVED
3948023758, 16199, SURVIVED
3948023758, 16224, SURVIVED
3948023758, 16208, SURVIVED
3948023758, 16198, SURVIVED
3948023758, 15987, SURVIVED
3948023758, 15988, SURVIVED
3948023758, 16240, SURVIVED
3948023758, 16526, SURVIVED
3948023758, 16232, SURVIVED
3948023758, 16450, SURVIVED
3948023758, 16192, SURVIVED
3948023758, 16233, SURVIVED
3948023758, 10725, SURVIVED
3948023758, 8854, SURVIVED
3948023758, 16230, SURVIVED
3948023758, 16276, SURVIVED
3948023758, 16441, SURVIVED
3948023758, 16449, SURVIVED
3948023758, 16231, SURVIVED
3948023758, 15986, SURVIVED
3948023700, 10725, SURVIVED
3948023700, 15987, SURVIVED
3948023700, 15986, SURVIVED
3948023700, 8854, SURVIVED
3948023700, 15988, SURVIVED
