seed, mutant, status
3762391710, 441, SURVIVED
3762391710, 267, SURVIVED
3762391710, 405, SURVIVED
3762391710, 418, SURVIVED
3762391760, 267, SURVIVED
3762391760, 418, SURVIVED
3762391728, 405, SURVIVED
3762391728, 441, SURVIVED
3762391760, 441, SURVIVED
3762391760, 405, SURVIVED
3762391731, 405, SURVIVED
3762391731, 267, SURVIVED
3762391728, 418, SURVIVED
3762391731, 441, SURVIVED
3762391731, 418, SURVIVED
3762391728, 267, SURVIVED
3762391727, 405, SURVIVED
3762391727, 418, SURVIVED
3762391727, 441, SURVIVED
3762391763, 2, SURVIVED
3762391709, 267, SURVIVED
3762391763, 64, SURVIVED
3762391763, 21, SURVIVED
3762391763, 71, SURVIVED
3762391763, 9, SURVIVED
3762391763, 34, SURVIVED
3762391709, 405, SURVIVED
3762391709, 418, SURVIVED
3762391763, 53, SURVIVED
3762391763, 61, SURVIVED
3762391763, 68, SURVIVED
3762391709, 441, SURVIVED
3762391763, 74, SURVIVED
3762391763, 75, SURVIVED
3762391763, 83, SURVIVED
3762391763, 76, SURVIVED
3762391792, 267, SURVIVED
3762391792, 405, SURVIVED
3762391792, 441, SURVIVED
3762391792, 418, SURVIVED
3762391763, 95, SURVIVED
3762391763, 103, SURVIVED
3762391763, 106, SURVIVED
3762391763, 138, SURVIVED
3762391763, 123, SURVIVED
3762391763, 136, SURVIVED
3762391763, 96, SURVIVED
3762391763, 108, SURVIVED
3762391763, 107, SURVIVED
3762391763, 115, SURVIVED
3762391763, 127, SURVIVED
3762391763, 131, SURVIVED
3762391763, 267, SURVIVED
3762391763, 163, SURVIVED
3762391763, 276, SURVIVED
3762391763, 418, SURVIVED
3762391763, 275, SURVIVED
3762391763, 441, SURVIVED
3762391763, 405, SURVIVED
3762391762, 267, SURVIVED
3762391762, 405, SURVIVED
3762391762, 418, SURVIVED
3762391762, 441, SURVIVED
3762391716, 562, SURVIVED
3762391716, 267, SURVIVED
3762391716, 418, SURVIVED
3762391716, 405, SURVIVED
3762391716, 441, SURVIVED
3762391701, 418, SURVIVED
3762391701, 405, SURVIVED
3762391701, 267, SURVIVED
3762391721, 441, SURVIVED
3762391701, 562, SURVIVED
3762391721, 267, SURVIVED
3762391721, 405, SURVIVED
3762391701, 441, SURVIVED
3762391721, 418, SURVIVED
3762391721, 562, SURVIVED
3762391730, 418, SURVIVED
3762391730, 562, SURVIVED
3762391730, 267, SURVIVED
3762391730, 405, SURVIVED
3762391730, 441, SURVIVED
3762391723, 267, SURVIVED
3762391723, 405, SURVIVED
3762391750, 2, SURVIVED
3762391750, 9, SURVIVED
3762391723, 441, SURVIVED
3762391723, 562, SURVIVED
3762391711, 267, SURVIVED
3762391750, 21, SURVIVED
3762391723, 418, SURVIVED
3762391711, 405, SURVIVED
3762391711, 418, SURVIVED
3762391750, 34, SURVIVED
3762391750, 53, SURVIVED
3762391750, 61, SURVIVED
3762391711, 562, SURVIVED
3762391750, 64, SURVIVED
3762391750, 68, SURVIVED
3762391711, 441, SURVIVED
3762391750, 71, SURVIVED
3762391750, 75, SURVIVED
3762391750, 74, SURVIVED
3762391750, 76, SURVIVED
3762391750, 83, SURVIVED
3762391750, 95, SURVIVED
3762391750, 96, SURVIVED
3762391750, 106, SURVIVED
3762391750, 108, SURVIVED
3762391750, 103, SURVIVED
3762391750, 107, SURVIVED
3762391750, 115, SURVIVED
