seed, mutant, status
1072241407, 7051, SURVIVED
1072241407, 2701, SURVIVED
1072241407, 2721, SURVIVED
1072241407, 7054, SURVIVED
1072241407, 7058, SURVIVED
1072241407, 3574, SURVIVED
1072241423, 482, SURVIVED
1072241407, 3584, SURVIVED
1072241407, 7050, SURVIVED
1072241423, 8318, SURVIVED
1072241407, 7055, SURVIVED
1072241407, 3614, SURVIVED
1072241407, 3465, SURVIVED
1072241407, 2752, SURVIVED
1072241407, 3542, SURVIVED
1072241407, 7057, SURVIVED
1072241407, 2641, SURVIVED
1072241407, 3573, SURVIVED
1072241407, 657, SURVIVED
1072241407, 3457, SURVIVED
1072241407, 3570, SURVIVED
1072241407, 3453, SURVIVED
1072241407, 2775, SURVIVED
1072241407, 8318, SURVIVED
1072241407, 3571, SURVIVED
1072241407, 7053, SURVIVED
1072241407, 666, SURVIVED
1072241407, 7056, SURVIVED
1072241407, 3543, SURVIVED
1072241407, 2700, SURVIVED
1072241407, 7052, SURVIVED
1072241407, 3646, SURVIVED
1072241423, 576, SURVIVED
1072241423, 2415, SURVIVED
1072241423, 608, SURVIVED
1072241423, 2406, SURVIVED
1072241423, 6578, SURVIVED
1072241423, 6699, SURVIVED
1072241423, 7083, SURVIVED
1072241423, 6569, SURVIVED
1072241423, 7087, SURVIVED
1072241423, 7084, SURVIVED
1072241423, 6667, SURVIVED
1072241423, 7082, SURVIVED
1072241423, 7089, SURVIVED
1072241423, 7088, SURVIVED
1072241423, 7085, SURVIVED
1072241423, 7094, SURVIVED
1072241423, 7093, SURVIVED
1072241423, 7086, SURVIVED
1072241423, 7090, SURVIVED
1072241426, 8318, SURVIVED
1072241423, 7113, SURVIVED
1072241423, 7111, SURVIVED
1072241426, 3453, SURVIVED
1072241423, 7112, SURVIVED
1072241426, 3457, SURVIVED
1072241423, 7114, SURVIVED
1072241423, 7115, SURVIVED
1072241426, 3465, SURVIVED
1072241423, 7133, SURVIVED
1072241423, 7116, SURVIVED
1072241423, 7117, SURVIVED
1072241426, 3542, SURVIVED
1072241423, 7338, SURVIVED
1072241426, 3570, SURVIVED
1072241426, 3543, SURVIVED
1072241426, 3574, SURVIVED
1072241426, 3571, SURVIVED
1072241426, 3573, SURVIVED
1072241426, 7050, SURVIVED
1072241426, 3646, SURVIVED
1072241426, 7056, SURVIVED
1072241424, 666, SURVIVED
1072241426, 3614, SURVIVED
1072241426, 7055, SURVIVED
1072241426, 7051, SURVIVED
1072241426, 7054, SURVIVED
1072241426, 7052, SURVIVED
1072241426, 3584, SURVIVED
1072241424, 3543, SURVIVED
1072241424, 657, SURVIVED
1072241426, 7053, SURVIVED
1072241424, 3457, SURVIVED
1072241426, 7057, SURVIVED
1072241424, 3453, SURVIVED
1072241424, 8318, SURVIVED
1072241424, 3465, SURVIVED
1072241424, 3571, SURVIVED
1072241424, 3542, SURVIVED
1072241424, 3570, SURVIVED
1072241426, 7058, SURVIVED
1072241424, 3574, SURVIVED
1072241424, 3573, SURVIVED
1072241424, 3584, SURVIVED
1072241424, 3614, SURVIVED
1072241424, 4140, SURVIVED
1072241424, 4139, SURVIVED
1072241424, 3646, SURVIVED
1072241424, 4351, SURVIVED
1072241424, 4319, SURVIVED
1072241424, 4553, SURVIVED
1072241424, 4585, SURVIVED
1072241424, 5214, SURVIVED
1072241424, 4662, SURVIVED
1072241424, 4740, SURVIVED
1072241424, 4697, SURVIVED
1072241424, 4729, SURVIVED
1072241424, 4738, SURVIVED
1072241424, 4725, SURVIVED
1072241424, 5202, SURVIVED
1072241424, 5211, SURVIVED
1072241424, 5177, SURVIVED
1072241424, 5213, SURVIVED
1072241424, 5212, SURVIVED
1072241424, 4693, SURVIVED
1072241424, 5245, SURVIVED
1072241424, 5246, SURVIVED
1072241424, 5266, SURVIVED
1072241424, 5243, SURVIVED
1072241424, 5247, SURVIVED
1072241424, 5234, SURVIVED
1072241424, 5215, SURVIVED
1072241424, 5244, SURVIVED
1072241424, 5267, SURVIVED
1072241424, 5298, SURVIVED
1072241424, 5299, SURVIVED
1072241424, 5383, SURVIVED
1072241424, 5384, SURVIVED
1072241424, 5386, SURVIVED
1072241424, 5385, SURVIVED
1072241424, 5387, SURVIVED
1072241424, 5388, SURVIVED
1072241424, 5390, SURVIVED
1072241424, 5396, SURVIVED
1072241424, 7050, SURVIVED
1072241424, 7056, SURVIVED
1072241424, 7051, SURVIVED
1072241424, 7053, SURVIVED
1072241424, 7057, SURVIVED
1072241424, 7055, SURVIVED
1072241424, 7052, SURVIVED
1072241424, 7058, SURVIVED
1072241424, 7054, SURVIVED
1072241428, 657, SURVIVED
1072241428, 8913, SURVIVED
1072241428, 8318, SURVIVED
1072241428, 2415, SURVIVED
1072241428, 2701, SURVIVED
1072241428, 2721, SURVIVED
1072241428, 2641, SURVIVED
1072241428, 2700, SURVIVED
1072241428, 3453, SURVIVED
1072241428, 3542, SURVIVED
1072241428, 3584, SURVIVED
1072241428, 8914, SURVIVED
1072241428, 3571, SURVIVED
1072241428, 3465, SURVIVED
1072241428, 2406, SURVIVED
1072241428, 3570, SURVIVED
1072241428, 3543, SURVIVED
1072241428, 8852, SURVIVED
1072241428, 3574, SURVIVED
1072241428, 666, SURVIVED
1072241428, 3457, SURVIVED
1072241428, 3646, SURVIVED
1072241428, 2775, SURVIVED
1072241428, 3614, SURVIVED
1072241428, 8884, SURVIVED
1072241428, 7053, SURVIVED
1072241428, 2752, SURVIVED
1072241428, 3573, SURVIVED
1072241428, 7051, SURVIVED
1072241428, 7050, SURVIVED
1072241428, 7054, SURVIVED
1072241428, 7056, SURVIVED
1072241428, 7058, SURVIVED
1072241428, 7052, SURVIVED
1072241428, 7085, SURVIVED
1072241428, 7055, SURVIVED
1072241428, 7057, SURVIVED
1072241428, 7082, SURVIVED
1072241428, 7087, SURVIVED
1072241428, 7093, SURVIVED
1072241428, 7083, SURVIVED
1072241428, 7098, SURVIVED
1072241428, 7096, SURVIVED
1072241428, 7084, SURVIVED
1072241428, 7100, SURVIVED
1072241428, 7090, SURVIVED
1072241428, 7086, SURVIVED
1072241428, 7094, SURVIVED
1072241428, 7089, SURVIVED
1072241428, 7095, SURVIVED
1072241428, 7099, SURVIVED
1072241428, 7097, SURVIVED
1072241428, 7106, SURVIVED
1072241428, 7102, SURVIVED
1072241428, 7111, SURVIVED
1072241428, 7088, SURVIVED
1072241428, 7112, SURVIVED
1072241428, 7101, SURVIVED
1072241428, 7104, SURVIVED
1072241428, 7105, SURVIVED
1072241428, 7115, SURVIVED
1072241428, 7103, SURVIVED
1072241428, 7108, SURVIVED
1072241428, 7137, SURVIVED
1072241428, 7107, SURVIVED
1072241428, 7114, SURVIVED
1072241428, 7116, SURVIVED
1072241428, 7138, SURVIVED
1072241428, 7124, SURVIVED
1072241428, 7117, SURVIVED
1072241428, 7113, SURVIVED
1072241428, 7144, SURVIVED
1072241428, 7143, SURVIVED
1072241428, 7133, SURVIVED
1072241428, 7140, SURVIVED
1072241428, 7136, SURVIVED
1072241428, 7148, SURVIVED
1072241428, 7139, SURVIVED
1072241428, 7149, SURVIVED
1072241428, 7146, SURVIVED
1072241428, 7147, SURVIVED
1072241428, 7156, SURVIVED
1072241428, 7160, SURVIVED
1072241428, 7165, SURVIVED
1072241428, 7145, SURVIVED
1072241428, 7198, SURVIVED
1072241428, 7230, SURVIVED
1072241428, 7182, SURVIVED
1072241428, 7186, SURVIVED
1072241428, 7235, SURVIVED
1072241428, 7238, SURVIVED
1072241428, 7211, SURVIVED
1072241428, 7231, SURVIVED
1072241428, 7237, SURVIVED
1072241428, 7240, SURVIVED
1072241428, 7179, SURVIVED
1072241428, 7199, SURVIVED
1072241428, 7241, SURVIVED
1072241428, 7214, SURVIVED
1072241428, 7247, SURVIVED
1072241428, 7248, SURVIVED
1072241428, 7233, SURVIVED
1072241428, 7242, SURVIVED
1072241428, 7259, SURVIVED
1072241428, 7256, SURVIVED
1072241428, 7251, SURVIVED
1072241428, 7254, SURVIVED
1072241428, 7244, SURVIVED
1072241428, 7265, SURVIVED
1072241428, 7260, SURVIVED
1072241428, 7274, SURVIVED
1072241428, 7269, SURVIVED
1072241428, 7262, SURVIVED
1072241428, 7263, SURVIVED
1072241428, 7272, SURVIVED
1072241428, 7270, SURVIVED
1072241428, 7283, SURVIVED
1072241428, 7279, SURVIVED
1072241428, 7280, SURVIVED
1072241428, 7286, SURVIVED
1072241428, 7273, SURVIVED
1072241428, 7276, SURVIVED
1072241428, 7291, SURVIVED
1072241428, 7288, SURVIVED
1072241428, 7297, SURVIVED
1072241428, 7267, SURVIVED
1072241428, 7294, SURVIVED
1072241428, 7292, SURVIVED
1072241458, 8318, SURVIVED
1072241428, 7300, SURVIVED
1072241428, 7332, SURVIVED
1072241428, 7338, SURVIVED
1072241428, 7303, SURVIVED
1072241428, 7295, SURVIVED
1072241428, 7305, SURVIVED
1072241458, 2721, SURVIVED
1072241428, 7306, SURVIVED
1072241428, 7335, SURVIVED
1072241428, 7333, SURVIVED
1072241458, 666, SURVIVED
1072241428, 7337, SURVIVED
1072241428, 7301, SURVIVED
1072241428, 7329, SURVIVED
1072241458, 2641, SURVIVED
1072241458, 3453, SURVIVED
1072241458, 2775, SURVIVED
1072241458, 2752, SURVIVED
1072241458, 2700, SURVIVED
1072241458, 3465, SURVIVED
1072241458, 2701, SURVIVED
1072241458, 657, SURVIVED
1072241458, 3457, SURVIVED
1072241458, 3542, SURVIVED
1072241458, 3543, SURVIVED
1072241458, 3571, SURVIVED
1072241458, 3573, SURVIVED
1072241458, 3570, SURVIVED
1072241458, 3574, SURVIVED
1072241458, 3614, SURVIVED
1072241458, 3584, SURVIVED
1072241458, 3646, SURVIVED
1072241458, 7050, SURVIVED
1072241458, 7055, SURVIVED
1072241458, 7051, SURVIVED
1072241458, 7053, SURVIVED
1072241458, 7056, SURVIVED
1072241458, 7052, SURVIVED
1072241458, 7058, SURVIVED
1072241458, 7054, SURVIVED
1072241458, 7057, SURVIVED
1072241414, 576, SURVIVED
1072241414, 608, SURVIVED
1072241414, 238, SURVIVED
1072241414, 482, SURVIVED
1072241414, 666, SURVIVED
1072241414, 721, SURVIVED
1072241414, 689, SURVIVED
1072241414, 1199, SURVIVED
1072241414, 693, SURVIVED
1072241414, 657, SURVIVED
1072241414, 698, SURVIVED
1072241414, 1261, SURVIVED
1072241414, 1216, SURVIVED
1072241414, 1248, SURVIVED
1072241414, 2383, SURVIVED
1072241414, 2374, SURVIVED
1072241414, 3453, SURVIVED
1072241414, 2406, SURVIVED
1072241414, 3465, SURVIVED
1072241414, 3542, SURVIVED
1072241414, 3614, SURVIVED
1072241414, 3543, SURVIVED
1072241414, 3570, SURVIVED
1072241414, 2415, SURVIVED
1072241414, 3457, SURVIVED
1072241414, 3574, SURVIVED
1072241414, 3573, SURVIVED
1072241414, 3584, SURVIVED
1072241414, 3571, SURVIVED
1072241414, 4749, SURVIVED
1072241414, 3750, SURVIVED
1072241414, 3646, SURVIVED
1072241414, 4750, SURVIVED
1072241414, 4770, SURVIVED
1072241414, 4763, SURVIVED
1072241414, 4776, SURVIVED
1072241414, 4755, SURVIVED
1072241414, 4782, SURVIVED
1072241414, 4781, SURVIVED
1072241414, 4785, SURVIVED
1072241414, 4786, SURVIVED
1072241414, 4787, SURVIVED
1072241414, 4795, SURVIVED
1072241414, 4798, SURVIVED
1072241414, 4853, SURVIVED
1072241414, 4821, SURVIVED
1072241414, 4877, SURVIVED
1072241414, 4830, SURVIVED
1072241414, 4862, SURVIVED
1072241414, 4882, SURVIVED
1072241414, 5211, SURVIVED
1072241414, 5202, SURVIVED
1072241414, 4914, SURVIVED
1072241414, 5214, SURVIVED
1072241414, 4892, SURVIVED
1072241414, 5177, SURVIVED
1072241414, 5215, SURVIVED
1072241414, 5213, SURVIVED
1072241414, 5212, SURVIVED
1072241414, 5243, SURVIVED
1072241414, 5244, SURVIVED
1072241414, 5234, SURVIVED
1072241414, 5245, SURVIVED
1072241414, 5246, SURVIVED
1072241414, 5383, SURVIVED
1072241414, 5267, SURVIVED
1072241414, 5298, SURVIVED
1072241414, 5396, SURVIVED
1072241414, 5299, SURVIVED
1072241414, 5247, SURVIVED
1072241414, 5384, SURVIVED
1072241414, 5266, SURVIVED
1072241414, 5386, SURVIVED
1072241414, 5385, SURVIVED
1072241414, 5390, SURVIVED
1072241414, 6465, SURVIVED
1072241414, 5387, SURVIVED
1072241414, 5388, SURVIVED
1072241414, 6389, SURVIVED
1072241414, 6464, SURVIVED
1072241414, 6496, SURVIVED
1072241414, 6498, SURVIVED
1072241414, 6484, SURVIVED
1072241414, 6497, SURVIVED
1072241414, 6492, SURVIVED
1072241414, 6483, SURVIVED
1072241414, 6486, SURVIVED
1072241414, 6569, SURVIVED
1072241414, 6493, SURVIVED
1072241414, 6524, SURVIVED
1072241414, 6500, SURVIVED
1072241414, 6515, SURVIVED
1072241414, 6578, SURVIVED
1072241414, 6499, SURVIVED
1072241414, 6667, SURVIVED
1072241414, 6699, SURVIVED
1072241414, 7051, SURVIVED
1072241414, 7050, SURVIVED
1072241414, 7053, SURVIVED
1072241414, 7058, SURVIVED
1072241414, 7055, SURVIVED
1072241414, 7052, SURVIVED
1072241414, 7054, SURVIVED
1072241414, 7056, SURVIVED
1072241414, 7082, SURVIVED
1072241414, 7057, SURVIVED
1072241414, 7086, SURVIVED
1072241414, 7083, SURVIVED
1072241414, 7084, SURVIVED
1072241414, 7085, SURVIVED
1072241414, 7087, SURVIVED
1072241414, 7089, SURVIVED
1072241414, 7088, SURVIVED
1072241414, 7090, SURVIVED
1072241414, 7094, SURVIVED
1072241414, 7095, SURVIVED
1072241414, 7093, SURVIVED
1072241414, 7096, SURVIVED
1072241414, 7098, SURVIVED
1072241414, 7097, SURVIVED
1072241414, 7099, SURVIVED
1072241414, 7100, SURVIVED
1072241414, 7104, SURVIVED
1072241414, 7102, SURVIVED
1072241414, 7101, SURVIVED
1072241414, 7105, SURVIVED
1072241414, 7103, SURVIVED
1072241414, 7106, SURVIVED
1072241414, 7111, SURVIVED
1072241414, 7113, SURVIVED
1072241414, 7107, SURVIVED
1072241414, 7112, SURVIVED
1072241414, 7115, SURVIVED
1072241414, 7108, SURVIVED
1072241414, 7117, SURVIVED
1072241414, 7116, SURVIVED
1072241414, 7133, SURVIVED
1072241414, 7114, SURVIVED
1072241414, 7124, SURVIVED
1072241414, 7136, SURVIVED
1072241414, 7138, SURVIVED
1072241414, 7139, SURVIVED
1072241414, 7140, SURVIVED
1072241414, 7137, SURVIVED
1072241414, 7143, SURVIVED
1072241414, 7144, SURVIVED
1072241414, 7147, SURVIVED
1072241414, 7165, SURVIVED
