seed, mutant, status
324396701, 1802, SURVIVED
324396701, 11420, SURVIVED
324396701, 8202, SURVIVED
324396701, 1848, SURVIVED
324396701, 11489, SURVIVED
324396701, 11457, SURVIVED
324396701, 1798, SURVIVED
324396701, 1800, SURVIVED
324396701, 11452, SURVIVED
324396701, 9704, SURVIVED
324396701, 1799, SURVIVED
324396701, 11441, SURVIVED
324396701, 10436, SURVIVED
324396701, 1803, SURVIVED
324396701, 1801, SURVIVED
324396701, 1289, SURVIVED
324396701, 1814, SURVIVED
324396701, 1815, SURVIVED
324396701, 1816, SURVIVED
324396701, 1817, SURVIVED
324396701, 1804, SURVIVED
324396701, 1851, SURVIVED
324396701, 1852, SURVIVED
324396701, 9707, SURVIVED
324396701, 1820, SURVIVED
324396701, 1819, SURVIVED
324396701, 1836, SURVIVED
324396701, 1822, SURVIVED
324396701, 1849, SURVIVED
324396701, 1846, SURVIVED
324396701, 11488, SURVIVED
324396701, 1847, SURVIVED
324396701, 1854, SURVIVED
324396701, 1866, SURVIVED
324396701, 1898, SURVIVED
324396701, 2052, SURVIVED
324396701, 2084, SURVIVED
324396701, 2071, SURVIVED
324396701, 2103, SURVIVED
324396701, 2066, SURVIVED
324396701, 2178, SURVIVED
324396701, 2195, SURVIVED
324396701, 2151, SURVIVED
324396701, 2177, SURVIVED
324396701, 2176, SURVIVED
324396701, 10445, SURVIVED
324396701, 2209, SURVIVED
324396701, 10422, SURVIVED
324396701, 10434, SURVIVED
324396701, 10421, SURVIVED
324396701, 10437, SURVIVED
324396701, 10423, SURVIVED
324396701, 10431, SURVIVED
324396701, 2375, SURVIVED
324396701, 10441, SURVIVED
324396701, 2374, SURVIVED
324396701, 2376, SURVIVED
324396701, 2210, SURVIVED
324396701, 2377, SURVIVED
324396701, 2208, SURVIVED
324396701, 2378, SURVIVED
324396701, 2379, SURVIVED
324396701, 2380, SURVIVED
324396701, 2381, SURVIVED
324396701, 2385, SURVIVED
324396701, 2384, SURVIVED
324396701, 2388, SURVIVED
324396701, 2412, SURVIVED
324396701, 2411, SURVIVED
324396701, 2413, SURVIVED
324396701, 2429, SURVIVED
324396701, 2417, SURVIVED
324396701, 2389, SURVIVED
324396701, 2416, SURVIVED
324396701, 2427, SURVIVED
324396701, 10874, SURVIVED
324396701, 10820, SURVIVED
324396701, 2542, SURVIVED
324396701, 10875, SURVIVED
324396701, 2426, SURVIVED
324396701, 10307, SURVIVED
324396701, 10795, SURVIVED
324396701, 2905, SURVIVED
324396701, 10796, SURVIVED
324396701, 2550, SURVIVED
324396701, 2901, SURVIVED
324396701, 2629, SURVIVED
324396701, 10329, SURVIVED
324396701, 2769, SURVIVED
324396701, 10334, SURVIVED
324396701, 10324, SURVIVED
324396701, 2858, SURVIVED
324396701, 10352, SURVIVED
324396701, 10333, SURVIVED
324396701, 2954, SURVIVED
324396701, 2986, SURVIVED
324396701, 11203, SURVIVED
324396701, 10368, SURVIVED
324396701, 3063, SURVIVED
324396701, 11270, SURVIVED
324396701, 3062, SURVIVED
324396701, 10370, SURVIVED
324396701, 11207, SURVIVED
324396701, 3058, SURVIVED
324396701, 3049, SURVIVED
324396701, 10371, SURVIVED
324396701, 10381, SURVIVED
324396701, 3109, SURVIVED
324396701, 10384, SURVIVED
324396701, 10389, SURVIVED
324396701, 10543, SURVIVED
324396701, 10390, SURVIVED
324396701, 10388, SURVIVED
324396701, 10391, SURVIVED
324396701, 3111, SURVIVED
324396701, 3162, SURVIVED
324396701, 3194, SURVIVED
324396701, 3177, SURVIVED
324396701, 10419, SURVIVED
324396701, 3173, SURVIVED
324396701, 11409, SURVIVED
324396701, 10416, SURVIVED
324396701, 11413, SURVIVED
324396701, 11445, SURVIVED
324396701, 10417, SURVIVED
324396701, 11456, SURVIVED
324396701, 10420, SURVIVED
324396701, 3352, SURVIVED
324396701, 3590, SURVIVED
324396701, 3356, SURVIVED
324396701, 3388, SURVIVED
324396701, 3384, SURVIVED
324396701, 3393, SURVIVED
324396701, 3397, SURVIVED
324396701, 3429, SURVIVED
324396701, 3418, SURVIVED
324396701, 3446, SURVIVED
324396701, 3442, SURVIVED
324396701, 3425, SURVIVED
324396701, 10535, SURVIVED
324396701, 3450, SURVIVED
324396701, 4141, SURVIVED
324396701, 3584, SURVIVED
324396701, 4142, SURVIVED
324396701, 4135, SURVIVED
324396701, 10692, SURVIVED
324396701, 12015, SURVIVED
324396701, 4133, SURVIVED
324396701, 4147, SURVIVED
324396701, 4151, SURVIVED
324396701, 4138, SURVIVED
324396701, 10536, SURVIVED
324396701, 4145, SURVIVED
324396701, 4150, SURVIVED
324396701, 4146, SURVIVED
324396701, 4144, SURVIVED
324396701, 4148, SURVIVED
324396701, 4143, SURVIVED
324396701, 10724, SURVIVED
324396701, 13025, SURVIVED
324396701, 13043, SURVIVED
