seed, mutant, status
3249485821, 175, SURVIVED
3249485821, 142, SURVIVED
3249485821, 70, SURVIVED
3249485821, 1751, SURVIVED
3249485821, 1791, SURVIVED
3249485821, 212, SURVIVED
3249485821, 1759, SURVIVED
3249485821, 1845, SURVIVED
3249485821, 2851, SURVIVED
3249485821, 1631, SURVIVED
3249485821, 1818, SURVIVED
3249485821, 1630, SURVIVED
3249485821, 285, SURVIVED
3249485821, 311, SURVIVED
3249485821, 1848, SURVIVED
3249485821, 1578, SURVIVED
3249485821, 174, SURVIVED
3249485821, 118, SURVIVED
3249485821, 1783, SURVIVED
3249485821, 1813, SURVIVED
3249485821, 86, SURVIVED
3249485821, 2868, SURVIVED
3249485821, 2873, SURVIVED
3249485821, 317, SURVIVED
3249485821, 1850, SURVIVED
3249485821, 511, SURVIVED
3249485821, 2833, SURVIVED
3249485821, 244, SURVIVED
3249485821, 279, SURVIVED
3249485821, 510, SURVIVED
3249485821, 1816, SURVIVED
3249485821, 143, SURVIVED
3249485821, 2890, SURVIVED
3249485821, 2894, SURVIVED
3249485821, 2922, SURVIVED
3249485821, 2901, SURVIVED
3249485821, 2926, SURVIVED
3249485821, 2951, SURVIVED
3249485821, 4662, SURVIVED
3249485821, 3624, SURVIVED
3249485821, 2983, SURVIVED
3249485821, 2995, SURVIVED
3249485821, 4674, SURVIVED
3249485821, 2988, SURVIVED
3249485821, 3623, SURVIVED
3249485821, 4706, SURVIVED
3249485821, 4680, SURVIVED
3249485821, 3022, SURVIVED
3249485821, 3592, SURVIVED
3249485821, 2933, SURVIVED
3249485821, 2974, SURVIVED
3249485821, 2987, SURVIVED
3249485821, 2985, SURVIVED
3249485821, 2996, SURVIVED
3249485821, 4630, SURVIVED
3249485821, 3627, SURVIVED
3249485821, 3591, SURVIVED
3249485821, 2986, SURVIVED
3249485821, 3595, SURVIVED
3249485821, 4678, SURVIVED
3249485821, 3054, SURVIVED
3249485821, 2992, SURVIVED
3249485821, 2989, SURVIVED
3249485821, 4677, SURVIVED
3249485821, 4709, SURVIVED
3249485821, 4849, SURVIVED
3249485821, 4712, SURVIVED
3249485821, 4850, SURVIVED
3249485821, 4710, SURVIVED
3249485821, 4943, SURVIVED
3249485821, 4942, SURVIVED
3249485821, 4928, SURVIVED
3249485821, 5204, SURVIVED
3249485821, 5205, SURVIVED
3249485821, 4883, SURVIVED
3249485821, 4915, SURVIVED
3249485821, 4930, SURVIVED
3249485821, 4916, SURVIVED
3249485821, 5202, SURVIVED
3249485821, 5537, SURVIVED
3249485821, 6121, SURVIVED
3249485821, 4884, SURVIVED
3249485821, 5218, SURVIVED
3249485821, 5196, SURVIVED
3249485821, 5992, SURVIVED
3249485821, 5212, SURVIVED
3249485821, 5211, SURVIVED
3249485821, 4944, SURVIVED
3249485821, 5186, SURVIVED
3249485821, 5976, SURVIVED
3249485821, 4932, SURVIVED
3249485821, 5960, SURVIVED
3249485821, 6120, SURVIVED
3249485821, 5979, SURVIVED
3249485821, 5505, SURVIVED
3249485821, 5977, SURVIVED
3249485821, 6126, SURVIVED
3249485821, 6146, SURVIVED
3249485821, 6152, SURVIVED
3249485821, 6276, SURVIVED
3249485821, 6269, SURVIVED
3249485821, 6263, SURVIVED
3249485821, 6279, SURVIVED
3249485821, 6266, SURVIVED
3249485821, 6280, SURVIVED
3249485821, 6275, SURVIVED
3249485821, 6277, SURVIVED
3249485821, 6278, SURVIVED
3249485821, 6297, SURVIVED
3249485821, 6308, SURVIVED
3249485821, 6307, SURVIVED
3249485821, 6312, SURVIVED
3249485821, 6310, SURVIVED
3249485821, 6372, SURVIVED
3249485821, 6371, SURVIVED
3249485821, 6379, SURVIVED
3249485821, 6309, SURVIVED
3249485821, 6380, SURVIVED
3249485821, 6311, SURVIVED
3249485821, 6385, SURVIVED
3249485821, 6388, SURVIVED
3249485821, 6405, SURVIVED
3249485821, 6400, SURVIVED
3249485821, 6402, SURVIVED
3249485821, 6404, SURVIVED
3249485821, 6408, SURVIVED
3249485821, 6401, SURVIVED
3249485821, 6403, SURVIVED
3249485821, 6409, SURVIVED
3249485821, 6410, SURVIVED
3249485821, 6458, SURVIVED
3249485821, 6543, SURVIVED
3249485821, 6584, SURVIVED
3249485821, 6607, SURVIVED
3249485821, 6575, SURVIVED
3249485821, 6612, SURVIVED
3249485821, 6620, SURVIVED
3249485821, 6552, SURVIVED
3249485821, 6597, SURVIVED
3249485821, 6623, SURVIVED
3249485821, 6619, SURVIVED
3249485821, 6462, SURVIVED
3249485821, 6655, SURVIVED
3249485821, 6629, SURVIVED
3249485821, 6644, SURVIVED
3249485821, 6651, SURVIVED
3249485821, 6652, SURVIVED
3249485821, 6676, SURVIVED
3249485821, 6639, SURVIVED
3249485808, 212, SURVIVED
3249485808, 1578, KILLED_FAILED
3249485808, 118, SURVIVED
3249485808, 1630, SURVIVED
3249485808, 1631, SURVIVED
3249485808, 175, SURVIVED
3249485808, 86, SURVIVED
3249485808, 1759, SURVIVED
3249485808, 143, SURVIVED
3249485808, 1751, SURVIVED
3249485808, 70, SURVIVED
3249485808, 142, SURVIVED
3249485808, 1783, SURVIVED
3249485808, 174, SURVIVED
3249485808, 1791, SURVIVED
3249485808, 1813, SURVIVED
3249485808, 1816, SURVIVED
3249485808, 1818, SURVIVED
3249485808, 2608, SURVIVED
3249485808, 2574, SURVIVED
3249485808, 1848, SURVIVED
3249485808, 2584, SURVIVED
3249485808, 2868, SURVIVED
3249485808, 2616, SURVIVED
3249485808, 2576, SURVIVED
3249485808, 2833, SURVIVED
3249485808, 2851, SURVIVED
3249485808, 1845, SURVIVED
