seed, mutant, status
4105995110, 7854, SURVIVED
4105995110, 703, SURVIVED
4105995110, 7839, SURVIVED
4105995110, 7836, SURVIVED
4105995110, 2442, SURVIVED
4105995110, 2452, SURVIVED
4105995110, 2438, SURVIVED
4105995110, 7859, SURVIVED
4105995110, 7848, SURVIVED
4105995110, 2314, SURVIVED
4105995110, 2395, SURVIVED
4105995110, 11085, SURVIVED
4105995110, 8002, SURVIVED
4105995110, 2427, SURVIVED
4105995110, 2437, SURVIVED
4105995110, 2346, SURVIVED
4105995110, 7852, SURVIVED
4105995110, 697, SURVIVED
4105995110, 8043, SURVIVED
4105995110, 7840, SURVIVED
4105995110, 2208, SURVIVED
4105995110, 7867, SURVIVED
4105995110, 2484, SURVIVED
4105995110, 7837, SURVIVED
4105995110, 8049, SURVIVED
4105995110, 7838, SURVIVED
4105995110, 2433, SURVIVED
4105995110, 2436, SURVIVED
4105995110, 2482, SURVIVED
4105995110, 2441, SURVIVED
4105995110, 7858, SURVIVED
4105995110, 7835, SURVIVED
4105995110, 7941, SURVIVED
4105995110, 7869, SURVIVED
4105995110, 7870, SURVIVED
4105995110, 7871, SURVIVED
4105995110, 7868, SURVIVED
4105995110, 7943, SURVIVED
4105995110, 7942, SURVIVED
4105995110, 7946, SURVIVED
4105995110, 7944, SURVIVED
4105995110, 1923, SURVIVED
4105995110, 8183, SURVIVED
4105995110, 7945, SURVIVED
4105995130, 7835, SURVIVED
4105995130, 7836, SURVIVED
4105995130, 7837, SURVIVED
4105995130, 7848, SURVIVED
4105995130, 7840, SURVIVED
4105995110, 8011, SURVIVED
4105995129, 7835, SURVIVED
4105995130, 7868, SURVIVED
4105995130, 7871, SURVIVED
4105995130, 7870, SURVIVED
4105995130, 7869, SURVIVED
4105995130, 7852, SURVIVED
4105995130, 7867, SURVIVED
4105995130, 7838, SURVIVED
4105995130, 7839, SURVIVED
4105995129, 2208, SURVIVED
4105995130, 7858, SURVIVED
4105995129, 7836, SURVIVED
4105995130, 7859, SURVIVED
4105995130, 7854, SURVIVED
4105995129, 7838, SURVIVED
4105995129, 7840, SURVIVED
4105995129, 7848, SURVIVED
4105995129, 7839, SURVIVED
4105995129, 7859, SURVIVED
4105995129, 7869, SURVIVED
4105995129, 7867, SURVIVED
4105995129, 7837, SURVIVED
4105995129, 7852, SURVIVED
4105995129, 7868, SURVIVED
4105995129, 7858, SURVIVED
4105995129, 7854, SURVIVED
4105995129, 7941, SURVIVED
4105995129, 7870, SURVIVED
4105995129, 7871, SURVIVED
4105995129, 7942, SURVIVED
4105995129, 7943, SURVIVED
4105995129, 7945, SURVIVED
4105995129, 8002, SURVIVED
4105995129, 7944, SURVIVED
4105995129, 7946, SURVIVED
4105995129, 8049, SURVIVED
4105995129, 8043, SURVIVED
4105995129, 8011, SURVIVED
4105995127, 2346, SURVIVED
4105995127, 2436, SURVIVED
4105995127, 2427, SURVIVED
4105995127, 2438, SURVIVED
4105995127, 2395, SURVIVED
4105995127, 2314, SURVIVED
4105995127, 2437, SURVIVED
4105995127, 2433, SURVIVED
4105995127, 2442, SURVIVED
4105995127, 2452, SURVIVED
4105995127, 2441, SURVIVED
4105995127, 2484, SURVIVED
4105995127, 703, SURVIVED
4105995127, 697, SURVIVED
4105995127, 7852, SURVIVED
4105995127, 7848, SURVIVED
4105995127, 2482, SURVIVED
4105995127, 7835, SURVIVED
4105995127, 7837, SURVIVED
4105995127, 7840, SURVIVED
4105995127, 7836, SURVIVED
4105995127, 7868, SURVIVED
4105995127, 7859, SURVIVED
4105995127, 7838, SURVIVED
4105995127, 7871, SURVIVED
4105995127, 7858, SURVIVED
4105995127, 7867, SURVIVED
4105995127, 7870, SURVIVED
4105995127, 1923, SURVIVED
4105995127, 7839, SURVIVED
4105995127, 7869, SURVIVED
4105995127, 7854, SURVIVED
4105995127, 8183, SURVIVED
4105995100, 2314, SURVIVED
4105995100, 2346, SURVIVED
4105995100, 2395, SURVIVED
4105995100, 4542, SURVIVED
4105995100, 697, SURVIVED
4105995100, 2208, SURVIVED
4105995100, 703, SURVIVED
4105995100, 7069, SURVIVED
4105995100, 7106, SURVIVED
4105995100, 7099, SURVIVED
4105995100, 7101, SURVIVED
4105995100, 7109, SURVIVED
4105995100, 7141, SURVIVED
4105995100, 7138, SURVIVED
4105995100, 8002, SURVIVED
4105995100, 8034, SURVIVED
4105995100, 8049, SURVIVED
4105995100, 11812, SURVIVED
4105995100, 8043, SURVIVED
4105995100, 11819, SURVIVED
4105995100, 7836, SURVIVED
4105995100, 7838, SURVIVED
4105995100, 7835, SURVIVED
4105995100, 7859, SURVIVED
4105995100, 7840, SURVIVED
4105995100, 7852, SURVIVED
4105995100, 7848, SURVIVED
4105995100, 7837, SURVIVED
4105995100, 7867, SURVIVED
4105995100, 7858, SURVIVED
4105995100, 7839, SURVIVED
4105995100, 7854, SURVIVED
4105995100, 7869, SURVIVED
4105995100, 7868, SURVIVED
4105995100, 7870, SURVIVED
4105995100, 7871, SURVIVED
4105995100, 7945, SURVIVED
4105995100, 7941, SURVIVED
4105995100, 7943, SURVIVED
4105995100, 7942, SURVIVED
4105995100, 8011, SURVIVED
4105995100, 7946, SURVIVED
4105995100, 7944, SURVIVED
4105995116, 7835, SURVIVED
4105995100, 6023, SURVIVED
4105995100, 8017, SURVIVED
4105995100, 6046, SURVIVED
4105995100, 1923, SURVIVED
4105995100, 6055, SURVIVED
4105995100, 6078, SURVIVED
4105995116, 7837, SURVIVED
4105995116, 7838, SURVIVED
4105995116, 7836, SURVIVED
4105995116, 7840, SURVIVED
4105995116, 7839, SURVIVED
4105995116, 7854, SURVIVED
4105995116, 7848, SURVIVED
4105995116, 7852, SURVIVED
4105995116, 7858, SURVIVED
4105995116, 7867, SURVIVED
4105995116, 7859, SURVIVED
4105995116, 7870, SURVIVED
4105995116, 7868, SURVIVED
4105995116, 7869, SURVIVED
4105995116, 7871, SURVIVED
4105995116, 8183, SURVIVED
4105995113, 2208, SURVIVED
4105995113, 2346, SURVIVED
4105995113, 2395, SURVIVED
4105995113, 2314, SURVIVED
4105995113, 2427, SURVIVED
4105995113, 2436, SURVIVED
4105995113, 2433, SURVIVED
4105995113, 2438, SURVIVED
4105995113, 2437, SURVIVED
4105995113, 2452, SURVIVED
4105995113, 2441, SURVIVED
4105995113, 2482, SURVIVED
4105995113, 2484, SURVIVED
4105995113, 697, SURVIVED
4105995113, 703, SURVIVED
4105995113, 4542, SURVIVED
4105995113, 11085, SURVIVED
4105995113, 7069, SURVIVED
4105995113, 2442, SURVIVED
4105995113, 7138, SURVIVED
4105995113, 7099, SURVIVED
4105995113, 7109, SURVIVED
4105995113, 7106, SURVIVED
4105995113, 7101, SURVIVED
4105995113, 8034, SURVIVED
4105995113, 7141, SURVIVED
4105995113, 8002, SURVIVED
4105995113, 8043, SURVIVED
4105995113, 8049, SURVIVED
4105995113, 7835, SURVIVED
4105995113, 7836, SURVIVED
4105995113, 7838, SURVIVED
4105995113, 7837, SURVIVED
4105995113, 7839, SURVIVED
4105995113, 7848, SURVIVED
4105995113, 7840, SURVIVED
4105995113, 7854, SURVIVED
4105995113, 7858, SURVIVED
4105995113, 7852, SURVIVED
4105995113, 7859, SURVIVED
4105995113, 7867, SURVIVED
4105995113, 7868, SURVIVED
4105995113, 7869, SURVIVED
4105995113, 7945, SURVIVED
4105995113, 7871, SURVIVED
4105995113, 7941, SURVIVED
4105995113, 7870, SURVIVED
4105995113, 7942, SURVIVED
4105995113, 7943, SURVIVED
4105995113, 8017, SURVIVED
4105995113, 7946, SURVIVED
4105995113, 7944, SURVIVED
4105995106, 2314, SURVIVED
4105995113, 8011, SURVIVED
4105995113, 1923, SURVIVED
4105995113, 6023, SURVIVED
4105995113, 6046, SURVIVED
4105995106, 2346, SURVIVED
4105995106, 2395, SURVIVED
4105995106, 2433, SURVIVED
4105995106, 2208, SURVIVED
4105995106, 2427, SURVIVED
4105995113, 8183, SURVIVED
4105995106, 2436, SURVIVED
4105995106, 2437, SURVIVED
4105995106, 2438, SURVIVED
4105995106, 2441, SURVIVED
4105995106, 2442, SURVIVED
4105995106, 2484, SURVIVED
4105995106, 2452, SURVIVED
4105995106, 2482, SURVIVED
4105995106, 697, SURVIVED
4105995106, 703, SURVIVED
4105995106, 8043, SURVIVED
4105995106, 11085, SURVIVED
