seed, mutant, status
566809625, 1655, SURVIVED
566809613, 1655, SURVIVED
566809629, 1655, SURVIVED
566809622, 1655, SURVIVED
566809619, 1655, SURVIVED
566809642, 1655, SURVIVED
566809606, 1655, SURVIVED
566809604, 1655, SURVIVED
566809661, 1655, SURVIVED
566809615, 1655, SURVIVED
566809620, 1655, SURVIVED
566809609, 1655, SURVIVED
566809636, 1655, SURVIVED
566809626, 1655, SURVIVED
566809693, 1655, SURVIVED
566809657, 1655, SURVIVED
566809618, 1655, SURVIVED
566809644, 1655, SURVIVED
566809612, 1655, SURVIVED
566809627, 1655, SURVIVED
566809603, 1655, SURVIVED
566809617, 1655, SURVIVED
566809649, 1655, SURVIVED
566809608, 1655, SURVIVED
566809607, 1655, SURVIVED
566809632, 1655, SURVIVED
566809600, 1655, SURVIVED
566809610, 1655, SURVIVED
566809652, 1655, SURVIVED
566809602, 1655, SURVIVED
566809624, 1655, SURVIVED
566809630, 1655, SURVIVED
566809645, 1655, SURVIVED
566809650, 1655, SURVIVED
566809614, 1655, SURVIVED
566809641, 1655, SURVIVED
566809668, 1655, SURVIVED
566809640, 1655, SURVIVED
566809670, 1655, SURVIVED
566809647, 1655, SURVIVED
566809669, 1655, SURVIVED
566809655, 1655, SURVIVED
566809662, 1655, SURVIVED
566809689, 1655, SURVIVED
566809674, 1655, SURVIVED
566809635, 1655, SURVIVED
566809651, 1655, SURVIVED
566809659, 1655, SURVIVED
566809639, 1655, SURVIVED
566809637, 1655, SURVIVED
566809623, 1655, SURVIVED
566809643, 1655, SURVIVED
566809658, 1655, SURVIVED
566809601, 1655, SURVIVED
566809694, 1655, SURVIVED
566809686, 1655, SURVIVED
566809679, 1655, SURVIVED
566809654, 1655, SURVIVED
566809677, 1655, SURVIVED
566809681, 1655, SURVIVED
566809667, 1655, SURVIVED
566809666, 1655, SURVIVED
566809605, 1655, SURVIVED
566809671, 1655, SURVIVED
566809696, 1655, SURVIVED
566809656, 1655, SURVIVED
566809690, 1655, SURVIVED
566809664, 1655, SURVIVED
566809633, 1655, SURVIVED
566809611, 1655, SURVIVED
566809634, 1655, SURVIVED
566809691, 1655, SURVIVED
566809687, 1655, SURVIVED
566809638, 1655, SURVIVED
566809699, 1655, SURVIVED
566809684, 1655, SURVIVED
566809675, 1655, SURVIVED
566809665, 1655, SURVIVED
566809688, 1655, SURVIVED
566809646, 1655, SURVIVED
566809685, 1655, SURVIVED
566809653, 1655, SURVIVED
566809697, 1655, SURVIVED
566809663, 1655, SURVIVED
566809660, 1655, SURVIVED
566809692, 1655, SURVIVED
566809682, 1655, SURVIVED
566809698, 1655, SURVIVED
566809676, 1655, SURVIVED
566809695, 1655, SURVIVED
566809673, 1655, SURVIVED
566809680, 1655, SURVIVED
566809683, 1655, SURVIVED
566809621, 1655, SURVIVED
566809648, 1655, SURVIVED
566809631, 1655, SURVIVED
566809616, 1655, SURVIVED
566809628, 1655, SURVIVED
566809672, 1655, SURVIVED
566809678, 1655, SURVIVED
1955346531, 1655, SURVIVED
1955346522, 1655, SURVIVED
1955346555, 1655, SURVIVED
1955346502, 1655, SURVIVED
1955346554, 1655, SURVIVED
1955346534, 1655, SURVIVED
1955346513, 1655, SURVIVED
1955346559, 1655, SURVIVED
1955346530, 1655, SURVIVED
1955346552, 1655, SURVIVED
1955346517, 1655, SURVIVED
1955346526, 1655, SURVIVED
1955346524, 1655, SURVIVED
1955346508, 1655, SURVIVED
1955346520, 1655, SURVIVED
1955346518, 1655, SURVIVED
1955346505, 1655, SURVIVED
1955346528, 1655, SURVIVED
1955346516, 1655, SURVIVED
1955346521, 1655, SURVIVED
1955346523, 1655, SURVIVED
1955346587, 1655, SURVIVED
1955346515, 1655, SURVIVED
1955346507, 1655, SURVIVED
1955346529, 1655, SURVIVED
1955346501, 1655, SURVIVED
1955346562, 1655, SURVIVED
1955346519, 1655, SURVIVED
1955346540, 1655, SURVIVED
1955346514, 1655, SURVIVED
1955346527, 1655, SURVIVED
1955346566, 1655, SURVIVED
1955346510, 1655, SURVIVED
1955346511, 1655, SURVIVED
1955346504, 1655, SURVIVED
1955346592, 1655, SURVIVED
1955346503, 1655, SURVIVED
1955346506, 1655, SURVIVED
1955346580, 1655, SURVIVED
1955346541, 1655, SURVIVED
1955346594, 1655, SURVIVED
1955346561, 1655, SURVIVED
1955346537, 1655, SURVIVED
1955346551, 1655, SURVIVED
1955346575, 1655, SURVIVED
1955346525, 1655, SURVIVED
1955346558, 1655, SURVIVED
1955346586, 1655, SURVIVED
1955346542, 1655, SURVIVED
1955346549, 1655, SURVIVED
1955346546, 1655, SURVIVED
1955346553, 1655, SURVIVED
1955346560, 1655, SURVIVED
1955346563, 1655, SURVIVED
1955346572, 1655, SURVIVED
1955346548, 1655, SURVIVED
1955346538, 1655, SURVIVED
1955346543, 1655, SURVIVED
1955346574, 1655, SURVIVED
1955346593, 1655, SURVIVED
1955346535, 1655, SURVIVED
1955346584, 1655, SURVIVED
1955346545, 1655, SURVIVED
1955346539, 1655, SURVIVED
1955346536, 1655, SURVIVED
1955346590, 1655, SURVIVED
1955346568, 1655, SURVIVED
1955346567, 1655, SURVIVED
1955346571, 1655, SURVIVED
1955346585, 1655, SURVIVED
1955346533, 1655, SURVIVED
1955346576, 1655, SURVIVED
1955346579, 1655, SURVIVED
1955346583, 1655, SURVIVED
1955346569, 1655, SURVIVED
1955346598, 1655, SURVIVED
1955346509, 1655, SURVIVED
1955346597, 1655, SURVIVED
1955346565, 1655, SURVIVED
1955346588, 1655, SURVIVED
1955346577, 1655, SURVIVED
1955346595, 1655, SURVIVED
1955346544, 1655, SURVIVED
1955346564, 1655, SURVIVED
1955346582, 1655, SURVIVED
1955346556, 1655, SURVIVED
1955346591, 1655, SURVIVED
1955346547, 1655, SURVIVED
1955346596, 1655, SURVIVED
1955346589, 1655, SURVIVED
1955346532, 1655, SURVIVED
1955346500, 1655, SURVIVED
1955346581, 1655, SURVIVED
1955346550, 1655, SURVIVED
1955346573, 1655, SURVIVED
1955346557, 1655, SURVIVED
1955346512, 1655, SURVIVED
1955346578, 1655, SURVIVED
1955346570, 1655, SURVIVED
1955346599, 1655, SURVIVED
3753878720, 1655, SURVIVED
3753878735, 1655, SURVIVED
3753878752, 1655, SURVIVED
3753878716, 1655, SURVIVED
3753878726, 1655, SURVIVED
3753878757, 1655, SURVIVED
3753878759, 1655, SURVIVED
3753878721, 1655, SURVIVED
3753878728, 1655, SURVIVED
3753878709, 1655, SURVIVED
3753878734, 1655, SURVIVED
3753878708, 1655, SURVIVED
3753878725, 1655, SURVIVED
3753878703, 1655, SURVIVED
3753878784, 1655, SURVIVED
3753878727, 1655, SURVIVED
3753878710, 1655, SURVIVED
3753878700, 1655, SURVIVED
3753878705, 1655, SURVIVED
3753878718, 1655, SURVIVED
3753878719, 1655, SURVIVED
3753878729, 1655, SURVIVED
3753878748, 1655, SURVIVED
3753878762, 1655, SURVIVED
3753878730, 1655, SURVIVED
3753878701, 1655, SURVIVED
3753878717, 1655, SURVIVED
3753878707, 1655, SURVIVED
3753878702, 1655, SURVIVED
3753878731, 1655, SURVIVED
3753878723, 1655, SURVIVED
3753878714, 1655, SURVIVED
3753878722, 1655, SURVIVED
3753878750, 1655, SURVIVED
3753878713, 1655, SURVIVED
3753878741, 1655, SURVIVED
3753878789, 1655, SURVIVED
3753878763, 1655, SURVIVED
3753878743, 1655, SURVIVED
3753878739, 1655, SURVIVED
3753878760, 1655, SURVIVED
3753878780, 1655, SURVIVED
3753878706, 1655, SURVIVED
3753878761, 1655, SURVIVED
3753878711, 1655, SURVIVED
3753878785, 1655, SURVIVED
3753878753, 1655, SURVIVED
3753878766, 1655, SURVIVED
3753878746, 1655, SURVIVED
3753878767, 1655, SURVIVED
3753878779, 1655, SURVIVED
3753878758, 1655, SURVIVED
3753878790, 1655, SURVIVED
3753878712, 1655, SURVIVED
3753878751, 1655, SURVIVED
3753878755, 1655, SURVIVED
3753878754, 1655, SURVIVED
3753878772, 1655, SURVIVED
3753878737, 1655, SURVIVED
3753878799, 1655, SURVIVED
3753878794, 1655, SURVIVED
3753878740, 1655, SURVIVED
3753878793, 1655, SURVIVED
3753878782, 1655, SURVIVED
3753878742, 1655, SURVIVED
3753878795, 1655, SURVIVED
3753878792, 1655, SURVIVED
3753878749, 1655, SURVIVED
3753878732, 1655, SURVIVED
3753878791, 1655, SURVIVED
3753878747, 1655, SURVIVED
3753878769, 1655, SURVIVED
3753878776, 1655, SURVIVED
3753878773, 1655, SURVIVED
3753878774, 1655, SURVIVED
3753878798, 1655, SURVIVED
3753878724, 1655, SURVIVED
3753878797, 1655, SURVIVED
3753878788, 1655, SURVIVED
3753878704, 1655, SURVIVED
3753878736, 1655, SURVIVED
3753878715, 1655, SURVIVED
3753878778, 1655, SURVIVED
3753878733, 1655, SURVIVED
3753878744, 1655, SURVIVED
3753878783, 1655, SURVIVED
3753878777, 1655, SURVIVED
3753878775, 1655, SURVIVED
3753878768, 1655, SURVIVED
3753878796, 1655, SURVIVED
3753878756, 1655, SURVIVED
3753878771, 1655, SURVIVED
3753878781, 1655, SURVIVED
3753878770, 1655, SURVIVED
3753878765, 1655, SURVIVED
3753878738, 1655, SURVIVED
3753878786, 1655, SURVIVED
3753878764, 1655, SURVIVED
3753878745, 1655, SURVIVED
3753878787, 1655, SURVIVED
3755177125, 1655, SURVIVED
3755177115, 1655, SURVIVED
3755177134, 1655, SURVIVED
3755177110, 1655, SURVIVED
3755177120, 1655, SURVIVED
3755177102, 1655, SURVIVED
3755177126, 1655, SURVIVED
3755177106, 1655, SURVIVED
3755177151, 1655, SURVIVED
3755177130, 1655, SURVIVED
3755177111, 1655, SURVIVED
3755177117, 1655, SURVIVED
3755177119, 1655, SURVIVED
3755177100, 1655, SURVIVED
3755177124, 1655, SURVIVED
3755177132, 1655, SURVIVED
3755177152, 1655, SURVIVED
3755177113, 1655, SURVIVED
3755177162, 1655, SURVIVED
3755177141, 1655, SURVIVED
3755177142, 1655, SURVIVED
3755177143, 1655, SURVIVED
3755177109, 1655, SURVIVED
3755177112, 1655, SURVIVED
3755177122, 1655, SURVIVED
3755177107, 1655, SURVIVED
3755177105, 1655, SURVIVED
3755177129, 1655, SURVIVED
3755177183, 1655, SURVIVED
3755177103, 1655, SURVIVED
3755177146, 1655, SURVIVED
3755177189, 1655, SURVIVED
3755177179, 1655, SURVIVED
3755177123, 1655, SURVIVED
3755177150, 1655, SURVIVED
3755177131, 1655, SURVIVED
3755177154, 1655, SURVIVED
3755177137, 1655, SURVIVED
3755177168, 1655, SURVIVED
3755177158, 1655, SURVIVED
3755177170, 1655, SURVIVED
3755177155, 1655, SURVIVED
3755177164, 1655, SURVIVED
3755177157, 1655, SURVIVED
3755177118, 1655, SURVIVED
3755177114, 1655, SURVIVED
3755177194, 1655, SURVIVED
3755177145, 1655, SURVIVED
3755177147, 1655, SURVIVED
3755177104, 1655, SURVIVED
3755177139, 1655, SURVIVED
3755177136, 1655, SURVIVED
3755177135, 1655, SURVIVED
3755177161, 1655, SURVIVED
3755177169, 1655, SURVIVED
3755177138, 1655, SURVIVED
3755177153, 1655, SURVIVED
3755177163, 1655, SURVIVED
3755177148, 1655, SURVIVED
3755177173, 1655, SURVIVED
3755177193, 1655, SURVIVED
3755177174, 1655, SURVIVED
3755177178, 1655, SURVIVED
3755177167, 1655, SURVIVED
3755177185, 1655, SURVIVED
3755177195, 1655, SURVIVED
3755177177, 1655, SURVIVED
3755177156, 1655, SURVIVED
3755177196, 1655, SURVIVED
3755177140, 1655, SURVIVED
3755177180, 1655, SURVIVED
3755177116, 1655, SURVIVED
3755177165, 1655, SURVIVED
3755177187, 1655, SURVIVED
3755177197, 1655, SURVIVED
3755177108, 1655, SURVIVED
3755177160, 1655, SURVIVED
3755177172, 1655, SURVIVED
3755177171, 1655, SURVIVED
3755177198, 1655, SURVIVED
3755177159, 1655, SURVIVED
3755177181, 1655, SURVIVED
3755177166, 1655, SURVIVED
3755177199, 1655, SURVIVED
3755177184, 1655, SURVIVED
3755177186, 1655, SURVIVED
3755177182, 1655, SURVIVED
3755177192, 1655, SURVIVED
3755177190, 1655, SURVIVED
3755177188, 1655, SURVIVED
3755177101, 1655, SURVIVED
3755177121, 1655, SURVIVED
3755177191, 1655, SURVIVED
3755177175, 1655, SURVIVED
3755177133, 1655, SURVIVED
3755177176, 1655, SURVIVED
3755177144, 1655, SURVIVED
3755177127, 1655, SURVIVED
3755177128, 1655, SURVIVED
3755177149, 1655, SURVIVED
2355658645, 1655, SURVIVED
2355658624, 1655, SURVIVED
2355658620, 1655, SURVIVED
2355658625, 1655, SURVIVED
2355658661, 1655, SURVIVED
2355658630, 1655, SURVIVED
2355658621, 1655, SURVIVED
2355658615, 1655, SURVIVED
2355658632, 1655, SURVIVED
2355658606, 1655, SURVIVED
2355658622, 1655, SURVIVED
2355658616, 1655, SURVIVED
2355658604, 1655, SURVIVED
