seed, mutant, status
364708906, 1226, SURVIVED
364708938, 4341, SURVIVED
364708938, 4309, SURVIVED
364708938, 4340, SURVIVED
364708902, 1258, SURVIVED
364708938, 4311, SURVIVED
364708938, 4308, SURVIVED
364708901, 1226, SURVIVED
364708901, 1258, SURVIVED
364708945, 1486, SURVIVED
364708902, 1226, SURVIVED
364708945, 1226, SURVIVED
364708908, 1226, SURVIVED
364708931, 1226, SURVIVED
364708938, 4343, SURVIVED
364708931, 1258, SURVIVED
364708945, 1258, SURVIVED
364708947, 1226, SURVIVED
364708917, 1258, SURVIVED
364708926, 1226, SURVIVED
364708947, 1258, SURVIVED
364708917, 1226, SURVIVED
364708917, 1486, SURVIVED
364708917, 1548, SURVIVED
364708920, 1486, SURVIVED
364708929, 1226, SURVIVED
364708920, 1548, SURVIVED
364708923, 1226, SURVIVED
364708923, 1258, SURVIVED
364708927, 1226, SURVIVED
364708912, 1226, SURVIVED
364708945, 1548, SURVIVED
364708960, 1226, SURVIVED
364708943, 1226, SURVIVED
364708924, 1226, SURVIVED
364708944, 1226, SURVIVED
364708944, 1258, SURVIVED
364708956, 1226, SURVIVED
364708932, 1226, SURVIVED
364708991, 1226, SURVIVED
364708940, 1258, SURVIVED
364708940, 1226, SURVIVED
364708995, 1226, SURVIVED
364708970, 1226, SURVIVED
364708970, 1258, SURVIVED
364708991, 1258, SURVIVED
364708953, 1226, SURVIVED
364708942, 1258, SURVIVED
364708942, 1226, SURVIVED
364708967, 1226, SURVIVED
364708962, 1226, SURVIVED
364708967, 1258, SURVIVED
364708914, 1226, SURVIVED
364708935, 1226, SURVIVED
364708935, 1258, SURVIVED
364708985, 1226, SURVIVED
364708951, 1226, SURVIVED
364708951, 1258, SURVIVED
364708925, 1226, SURVIVED
364708955, 1226, SURVIVED
364708981, 1226, SURVIVED
364708907, 4309, SURVIVED
364708919, 1258, SURVIVED
364708907, 1486, SURVIVED
364708907, 4308, SURVIVED
364708907, 4341, SURVIVED
364708980, 1226, SURVIVED
364708907, 1226, SURVIVED
364708907, 1258, SURVIVED
364708907, 4343, SURVIVED
364708907, 4311, SURVIVED
364708907, 4340, SURVIVED
364708919, 1226, SURVIVED
364708907, 1548, SURVIVED
364708993, 1226, SURVIVED
364708993, 1548, SURVIVED
364708993, 1486, SURVIVED
364708993, 1258, SURVIVED
364708976, 89, SURVIVED
364708976, 84, SURVIVED
364708976, 93, SURVIVED
364708976, 96, SURVIVED
364708976, 101, SURVIVED
364708976, 99, SURVIVED
364708976, 102, SURVIVED
364708976, 107, SURVIVED
364708976, 100, SURVIVED
364708976, 106, SURVIVED
364708976, 108, SURVIVED
364708976, 109, SURVIVED
364708997, 84, SURVIVED
364708976, 111, SURVIVED
364708997, 89, SURVIVED
364708997, 93, SURVIVED
364708997, 96, SURVIVED
364708997, 99, SURVIVED
364708997, 101, SURVIVED
364708997, 100, SURVIVED
364708997, 106, SURVIVED
364708976, 116, SURVIVED
364708976, 112, SURVIVED
364708997, 102, SURVIVED
364708997, 107, SURVIVED
364708997, 111, SURVIVED
364708997, 109, SURVIVED
364708997, 108, SURVIVED
364708905, 84, SURVIVED
364708998, 1226, SURVIVED
364708905, 106, SURVIVED
364708905, 96, SURVIVED
364708905, 93, SURVIVED
364708997, 116, SURVIVED
364708997, 112, SURVIVED
364708905, 101, SURVIVED
364708905, 107, SURVIVED
364708905, 109, SURVIVED
364708905, 89, SURVIVED
364708989, 1226, SURVIVED
364708971, 1226, SURVIVED
364708996, 1226, SURVIVED
364708996, 1258, SURVIVED
364708905, 99, SURVIVED
364708971, 1486, SURVIVED
364708905, 100, SURVIVED
364708905, 112, SURVIVED
364708905, 108, SURVIVED
364708969, 1226, SURVIVED
364708905, 102, SURVIVED
364708971, 1258, SURVIVED
364708971, 1548, SURVIVED
364708988, 1226, SURVIVED
364708905, 111, SURVIVED
364708905, 1226, SURVIVED
364708964, 1226, SURVIVED
364708905, 116, SURVIVED
364708937, 1226, SURVIVED
364708968, 1258, SURVIVED
364708968, 1226, SURVIVED
364708950, 106, SURVIVED
364708950, 116, SURVIVED
364708950, 96, SURVIVED
364708950, 84, SURVIVED
364708950, 102, SURVIVED
364708950, 99, SURVIVED
364708950, 93, SURVIVED
364708950, 111, SURVIVED
364708950, 109, SURVIVED
364708950, 107, SURVIVED
364708950, 101, SURVIVED
364708950, 112, SURVIVED
364708950, 1226, SURVIVED
364708950, 100, SURVIVED
364708950, 89, SURVIVED
364708950, 108, SURVIVED
3434361014, 1226, SURVIVED
3434361005, 1226, SURVIVED
3434361026, 1226, SURVIVED
3434361003, 1226, SURVIVED
3434361024, 1226, SURVIVED
3434361024, 1258, SURVIVED
3434361030, 1226, SURVIVED
3434361030, 1258, SURVIVED
3434361028, 1258, SURVIVED
3434361028, 1226, SURVIVED
3434361009, 1258, SURVIVED
3434361009, 1226, SURVIVED
3434361010, 96, SURVIVED
3434361010, 89, SURVIVED
3434361010, 108, SURVIVED
3434361010, 107, SURVIVED
3434361010, 106, SURVIVED
3434361010, 101, SURVIVED
3434361010, 84, SURVIVED
3434361010, 102, SURVIVED
3434361010, 111, SURVIVED
3434361010, 112, SURVIVED
3434361010, 100, SURVIVED
3434361010, 99, SURVIVED
3434361010, 1226, SURVIVED
3434361029, 1258, SURVIVED
3434361010, 109, SURVIVED
3434361010, 93, SURVIVED
3434361010, 116, SURVIVED
3434361029, 1226, SURVIVED
3434361022, 1258, SURVIVED
3434361022, 1226, SURVIVED
3434361016, 1226, SURVIVED
3434361016, 1258, SURVIVED
3434361031, 1226, SURVIVED
3434361016, 1548, SURVIVED
3434361020, 3219, SURVIVED
3434361016, 1486, SURVIVED
3434361020, 3220, SURVIVED
3434361020, 1226, SURVIVED
3434361001, 1548, SURVIVED
3434361020, 3222, SURVIVED
3434361001, 1486, SURVIVED
3434361020, 3223, SURVIVED
3434361020, 3231, SURVIVED
3434361020, 3226, SURVIVED
3434361020, 3229, SURVIVED
3434361020, 3238, SURVIVED
3434361020, 3230, SURVIVED
3434361020, 3241, SURVIVED
3434361020, 3251, SURVIVED
3434361020, 3392, SURVIVED
3434361020, 3240, SURVIVED
3434361020, 3424, SURVIVED
3434361008, 1258, SURVIVED
3434361008, 4309, SURVIVED
3434361008, 4341, SURVIVED
3434361008, 1226, SURVIVED
3434361012, 1486, SURVIVED
3434361008, 4340, SURVIVED
3434361012, 1226, SURVIVED
3434361012, 1548, SURVIVED
3434361008, 4308, SURVIVED
3434361012, 1258, SURVIVED
3434361008, 4311, SURVIVED
3434361062, 4309, SURVIVED
3434361062, 4308, SURVIVED
3434361046, 1226, SURVIVED
3434361062, 4311, SURVIVED
3434361062, 4340, SURVIVED
3434361008, 4343, SURVIVED
3434361062, 4341, SURVIVED
3434361062, 4343, SURVIVED
3434361057, 1226, SURVIVED
3434361057, 1258, SURVIVED
3434361078, 1258, SURVIVED
3434361078, 1226, SURVIVED
3434361049, 1258, SURVIVED
3434361049, 1226, SURVIVED
3434361025, 1226, SURVIVED
3434361079, 1226, SURVIVED
3434361023, 1258, SURVIVED
3434361025, 1548, SURVIVED
3434361023, 1226, SURVIVED
3434361033, 1226, SURVIVED
3434361025, 1486, SURVIVED
3434361079, 1486, SURVIVED
3434361025, 1258, SURVIVED
3434361079, 1258, SURVIVED
3434361079, 1548, SURVIVED
3434361033, 1258, SURVIVED
3434361047, 1226, SURVIVED
3434361034, 4308, SURVIVED
3434361013, 1258, SURVIVED
3434361013, 1226, SURVIVED
3434361034, 4309, SURVIVED
3434361032, 1486, SURVIVED
3434361034, 4311, SURVIVED
3434361032, 1548, SURVIVED
3434361060, 1226, SURVIVED
3434361050, 4308, SURVIVED
3434361034, 4341, SURVIVED
3434361034, 4343, SURVIVED
3434361050, 4309, SURVIVED
3434361034, 4340, SURVIVED
3434361050, 4340, SURVIVED
3434361050, 4311, SURVIVED
3434361050, 4343, SURVIVED
3434361050, 4341, SURVIVED
3434361071, 1258, SURVIVED
3434361071, 1226, SURVIVED
3434361063, 1226, SURVIVED
3434361063, 1258, SURVIVED
3434361091, 84, SURVIVED
3434361091, 96, SURVIVED
3434361091, 100, SURVIVED
3434361091, 89, SURVIVED
3434361091, 101, SURVIVED
3434361082, 1486, SURVIVED
3434361091, 102, SURVIVED
3434361091, 93, SURVIVED
3434361091, 99, SURVIVED
3434361082, 1548, SURVIVED
3434361091, 106, SURVIVED
3434361091, 107, SURVIVED
3434361036, 1226, SURVIVED
3434361091, 108, SURVIVED
3434361091, 109, SURVIVED
3434361048, 1548, SURVIVED
3434361048, 1486, SURVIVED
3434361048, 1226, SURVIVED
3434361091, 116, SURVIVED
3434361091, 1258, SURVIVED
3434361091, 112, SURVIVED
3434361091, 1226, SURVIVED
3434361080, 1226, SURVIVED
3434361091, 111, SURVIVED
3434361038, 1226, SURVIVED
3434361054, 1486, SURVIVED
3434361054, 1548, SURVIVED
3434361081, 1226, SURVIVED
3434361064, 1226, SURVIVED
3434361098, 1258, SURVIVED
3434361098, 1226, SURVIVED
3434361084, 1226, SURVIVED
3434361095, 1226, SURVIVED
3434361070, 1226, SURVIVED
3434361044, 1226, SURVIVED
3434361066, 1226, SURVIVED
3434361066, 1486, SURVIVED
3434361066, 1548, SURVIVED
3434361042, 1486, SURVIVED
3434361074, 1548, SURVIVED
3434361042, 1226, SURVIVED
3434361042, 1548, SURVIVED
3434361042, 1258, SURVIVED
3434361074, 1258, SURVIVED
3434361074, 1486, SURVIVED
3434361074, 1226, SURVIVED
3434361087, 4340, SURVIVED
3434361087, 4343, SURVIVED
3434361087, 4311, SURVIVED
3434361087, 4308, SURVIVED
3434361087, 4341, SURVIVED
3434361087, 4309, SURVIVED
3434361073, 1226, SURVIVED
3434361021, 1226, SURVIVED
3434361089, 1548, SURVIVED
3434361089, 1486, SURVIVED
1401516020, 1226, SURVIVED
1401516019, 108, SURVIVED
1401516027, 1226, SURVIVED
1401516005, 1226, SURVIVED
1401516003, 1226, SURVIVED
1401516019, 99, SURVIVED
1401516019, 106, SURVIVED
1401516019, 89, SURVIVED
1401516019, 84, SURVIVED
1401516016, 1226, SURVIVED
1401516019, 93, SURVIVED
1401516025, 1226, SURVIVED
1401516006, 1226, SURVIVED
1401516006, 1258, SURVIVED
1401516002, 1226, SURVIVED
1401516019, 111, SURVIVED
1401516019, 1258, SURVIVED
1401516019, 1226, SURVIVED
1401516019, 107, SURVIVED
1401516014, 1486, SURVIVED
1401516019, 116, SURVIVED
1401516019, 96, SURVIVED
1401516019, 101, SURVIVED
1401516029, 1226, SURVIVED
1401516019, 109, SURVIVED
1401516019, 100, SURVIVED
1401516019, 102, SURVIVED
1401516002, 1258, SURVIVED
1401516019, 112, SURVIVED
1401516007, 1226, SURVIVED
1401516014, 1548, SURVIVED
1401516029, 1258, SURVIVED
1401516045, 1226, SURVIVED
1401516045, 1258, SURVIVED
1401516047, 1226, SURVIVED
1401516012, 1226, SURVIVED
1401516012, 1486, SURVIVED
1401516012, 1548, SURVIVED
1401516012, 1258, SURVIVED
1401516057, 1258, SURVIVED
1401516039, 1226, SURVIVED
1401516057, 1226, SURVIVED
1401516049, 1226, SURVIVED
1401516049, 1258, SURVIVED
1401516009, 1258, SURVIVED
1401516028, 1226, SURVIVED
1401516009, 1226, SURVIVED
1401516051, 1258, SURVIVED
1401516028, 1548, SURVIVED
1401516051, 1226, SURVIVED
1401516028, 1258, SURVIVED
1401516009, 1548, SURVIVED
1401516009, 1486, SURVIVED
1401516048, 1226, SURVIVED
1401516028, 1486, SURVIVED
1401516043, 1226, SURVIVED
1401516053, 4311, SURVIVED
1401516053, 4308, SURVIVED
1401516053, 4309, SURVIVED
1401516001, 1226, SURVIVED
1401516071, 1226, SURVIVED
1401516053, 4341, SURVIVED
1401516087, 4308, SURVIVED
1401516053, 4340, SURVIVED
1401516087, 4309, SURVIVED
1401516087, 4340, SURVIVED
1401516053, 4343, SURVIVED
1401516087, 4343, SURVIVED
1401516087, 4311, SURVIVED
1401516092, 1226, SURVIVED
1401516087, 4341, SURVIVED
1401516079, 1226, SURVIVED
1401516072, 1226, SURVIVED
1401516079, 1258, SURVIVED
1401516015, 1226, SURVIVED
1401516079, 1548, SURVIVED
1401516079, 1486, SURVIVED
1401516018, 1226, SURVIVED
1401516026, 1226, SURVIVED
1401516031, 1226, SURVIVED
