seed, mutant, status
1928978774, 4567, SURVIVED
1928978774, 4571, SURVIVED
1928978774, 4574, SURVIVED
1928978774, 4578, SURVIVED
1928978738, 4570, SURVIVED
1928978738, 4567, SURVIVED
1928978738, 4571, SURVIVED
1928978774, 4570, SURVIVED
1928978738, 4578, SURVIVED
1928978738, 4574, SURVIVED
1928978701, 4570, SURVIVED
1928978701, 4578, SURVIVED
1928978701, 4573, SURVIVED
1928978701, 4574, SURVIVED
1928978701, 4567, SURVIVED
1928978725, 4570, SURVIVED
1928978701, 4571, SURVIVED
1928978725, 4574, SURVIVED
1928978725, 4571, SURVIVED
1928978725, 4567, SURVIVED
1928978725, 4578, SURVIVED
1928978792, 5672, SURVIVED
1928978792, 5671, SURVIVED
1928978720, 4570, SURVIVED
1928978720, 4573, SURVIVED
1928978720, 4571, SURVIVED
1928978720, 4574, SURVIVED
1928978720, 4567, SURVIVED
1928978720, 4578, SURVIVED
1928978789, 2623, SURVIVED
1928978747, 4571, SURVIVED
1928978789, 4571, SURVIVED
1928978789, 2662, SURVIVED
1928978789, 2620, SURVIVED
1928978789, 2582, SURVIVED
1928978789, 4573, KILLED_FAILED
1928978789, 4570, SURVIVED
1928978747, 4567, SURVIVED
1928978747, 4574, SURVIVED
1928978789, 4567, SURVIVED
1928978789, 4574, SURVIVED
1928978747, 4570, SURVIVED
1928978747, 4578, SURVIVED
1928978789, 4578, SURVIVED
1928978774, 4573, KILLED_TIMEOUT
1928978738, 4573, KILLED_TIMEOUT
1928978725, 4573, KILLED_TIMEOUT
1928978747, 4573, KILLED_TIMEOUT
825064448, 4567, SURVIVED
825064448, 4574, SURVIVED
825064448, 4578, SURVIVED
825064448, 4571, SURVIVED
825064448, 4570, SURVIVED
825064443, 2662, SURVIVED
825064401, 4574, SURVIVED
825064401, 4567, SURVIVED
825064460, 5671, SURVIVED
825064460, 5672, SURVIVED
825064401, 4571, SURVIVED
825064401, 4578, SURVIVED
825064443, 2623, SURVIVED
825064443, 4570, SURVIVED
825064443, 4571, SURVIVED
825064401, 4570, SURVIVED
825064442, 4571, SURVIVED
825064442, 4567, SURVIVED
825064442, 4570, SURVIVED
825064443, 4578, SURVIVED
825064443, 4567, SURVIVED
825064442, 4578, SURVIVED
825064443, 4574, SURVIVED
825064443, 2582, SURVIVED
825064443, 2620, SURVIVED
825064442, 4574, SURVIVED
825064489, 2582, SURVIVED
825064489, 2662, SURVIVED
825064489, 4571, SURVIVED
825064489, 2623, SURVIVED
825064489, 4570, SURVIVED
825064489, 2620, SURVIVED
825064441, 4571, SURVIVED
825064441, 4574, SURVIVED
825064441, 4578, SURVIVED
825064489, 4567, SURVIVED
825064441, 4567, SURVIVED
825064441, 4570, SURVIVED
825064489, 4574, SURVIVED
