seed, mutant, status
1408341528, 17134, SURVIVED
1408341528, 16966, SURVIVED
1408341500, 16966, SURVIVED
1408341509, 17134, SURVIVED
1408341530, 17134, SURVIVED
1408341530, 16966, SURVIVED
1408341509, 16966, SURVIVED
1408341500, 17134, SURVIVED
1408341507, 16966, SURVIVED
1408341507, 17134, SURVIVED
1408341526, 16966, SURVIVED
1408341520, 16966, SURVIVED
1408341503, 16966, SURVIVED
1408341520, 17134, SURVIVED
1408341503, 17134, SURVIVED
1408341515, 16966, SURVIVED
1408341552, 16966, SURVIVED
1408341508, 16966, SURVIVED
1408341552, 17134, SURVIVED
1408341526, 17134, SURVIVED
1408341506, 16966, SURVIVED
1408341501, 16966, SURVIVED
1408341531, 17134, SURVIVED
1408341515, 17134, SURVIVED
1408341531, 16966, SURVIVED
1408341506, 17134, SURVIVED
1408341508, 17134, SURVIVED
1408341514, 17134, SURVIVED
1408341501, 17134, SURVIVED
1408341514, 16966, SURVIVED
1408341541, 16717, SURVIVED
1408341541, 16685, SURVIVED
1408341541, 15319, SURVIVED
1408341541, 16966, SURVIVED
1408341505, 16966, SURVIVED
1408341505, 17134, SURVIVED
1408341541, 15341, SURVIVED
1408341541, 14902, SURVIVED
1408341541, 15338, SURVIVED
1408341541, 1145, SURVIVED
1408341541, 15343, SURVIVED
1408341541, 15342, SURVIVED
1408341541, 14903, SURVIVED
1408341541, 14904, SURVIVED
1408341541, 1365, SURVIVED
1408341541, 1781, SURVIVED
1408341541, 1434, SURVIVED
1408341541, 2326, SURVIVED
1408341541, 2328, SURVIVED
1408341541, 2313, SURVIVED
1408341541, 2181, SURVIVED
1408341541, 2357, SURVIVED
1408341541, 2345, SURVIVED
1408341541, 2358, SURVIVED
1408341541, 15349, SURVIVED
1408341541, 15318, SURVIVED
1408341541, 3633, SURVIVED
1408341541, 3541, SURVIVED
1408341541, 12293, SURVIVED
1408341541, 17134, SURVIVED
1408341541, 3650, SURVIVED
1408341541, 3682, SURVIVED
1408341541, 4693, SURVIVED
1408341541, 12334, SURVIVED
1408341541, 4751, SURVIVED
1408341541, 4600, SURVIVED
1408341541, 4696, SURVIVED
1408341541, 5213, SURVIVED
1408341541, 5380, SURVIVED
1408341541, 5414, SURVIVED
1408341541, 5383, SURVIVED
1408341541, 5381, SURVIVED
1408341541, 5415, SURVIVED
1408341541, 5724, SURVIVED
1408341541, 14112, SURVIVED
1408341541, 5854, SURVIVED
1408341541, 5731, SURVIVED
1408341541, 14832, SURVIVED
1408341541, 14294, SURVIVED
1408341541, 5953, SURVIVED
1408341541, 14817, SURVIVED
1408341541, 14829, SURVIVED
1408341541, 14831, SURVIVED
1408341541, 14833, SURVIVED
1408341541, 14870, SURVIVED
1408341541, 14871, SURVIVED
1408341541, 14830, SURVIVED
1408341541, 14872, SURVIVED
1408341541, 7001, SURVIVED
1408341541, 6802, SURVIVED
1408341541, 7002, SURVIVED
1408341541, 6995, SURVIVED
1408341541, 6982, SURVIVED
1408341541, 7004, SURVIVED
1408341541, 7007, SURVIVED
1408341541, 7009, SURVIVED
1408341541, 7006, SURVIVED
