seed, mutant, status
2992612544, 1146, SURVIVED
2992612544, 1143, SURVIVED
2992612544, 950, SURVIVED
2992612544, 20, SURVIVED
2992612544, 19, SURVIVED
2992612544, 951, SURVIVED
2992612544, 981, SURVIVED
2992612544, 1111, SURVIVED
2992612544, 35, SURVIVED
2992612544, 938, SURVIVED
2992612544, 71, SURVIVED
2992612544, 68, SURVIVED
2992612544, 947, SURVIVED
2992612544, 1109, SURVIVED
2992612544, 948, SURVIVED
2992612544, 3, SURVIVED
2992612544, 18, SURVIVED
2992612544, 1114, SURVIVED
2992612544, 1141, SURVIVED
2992612544, 1362, SURVIVED
2992612544, 74, SURVIVED
2992612544, 952, SURVIVED
2992612544, 1377, SURVIVED
2992612544, 1013, SURVIVED
2992612544, 1345, SURVIVED
2992612544, 16, SURVIVED
2992612544, 28, SURVIVED
2992612544, 1376, SURVIVED
2992612544, 6, SURVIVED
2992612544, 75, SURVIVED
2992612544, 949, SURVIVED
2992612544, 1344, SURVIVED
2992612544, 1619, SURVIVED
2992612544, 1548, SURVIVED
2992612544, 1618, SURVIVED
2992612544, 1580, SURVIVED
2992612544, 1615, SURVIVED
2992612544, 1394, SURVIVED
2992612544, 1614, SURVIVED
2992612544, 1616, SURVIVED
2992612544, 1861, SURVIVED
2992612544, 1647, SURVIVED
2992612544, 1617, SURVIVED
2992612544, 1646, SURVIVED
2992612544, 1650, SURVIVED
2992612544, 1697, SURVIVED
2992612544, 1665, SURVIVED
2992612544, 3970, SURVIVED
2992612544, 1649, SURVIVED
2992612544, 1648, SURVIVED
2992612544, 1651, SURVIVED
1433174175, 18, SURVIVED
1433174175, 19, SURVIVED
1433174175, 28, SURVIVED
1433174175, 20, SURVIVED
1433174175, 16, SURVIVED
1433174175, 3, SURVIVED
1433174175, 6, SURVIVED
3311516109, 6, SURVIVED
3311516109, 938, SURVIVED
3311516109, 3, SURVIVED
3311516109, 71, SURVIVED
3311516109, 1111, SURVIVED
3311516109, 1114, SURVIVED
3311516109, 948, SURVIVED
