seed, mutant, status
4112086913, 230, SURVIVED
4112086913, 38, SURVIVED
4112086920, 224, SURVIVED
4112086920, 197, SURVIVED
4112086920, 6, SURVIVED
4112086913, 224, SURVIVED
4112086913, 201, SURVIVED
4112086913, 51, SURVIVED
4112086913, 204, SURVIVED
4112086913, 165, SURVIVED
4112086913, 19, SURVIVED
4112086920, 201, SURVIVED
4112086913, 197, SURVIVED
4112086920, 133, SURVIVED
4112086913, 133, SURVIVED
4112086913, 6, SURVIVED
4112086920, 230, SURVIVED
4112086920, 51, SURVIVED
4112086920, 204, SURVIVED
4112086920, 19, SURVIVED
4112086920, 165, SURVIVED
4112086920, 38, SURVIVED
4112086931, 51, SURVIVED
4112086931, 204, SURVIVED
4112086931, 19, SURVIVED
4112086931, 224, SURVIVED
4112086931, 6, SURVIVED
4112086931, 38, SURVIVED
4112086931, 165, SURVIVED
4112086931, 201, SURVIVED
4112086931, 197, SURVIVED
4112086931, 133, SURVIVED
4112086931, 230, SURVIVED
4112086912, 38, SURVIVED
4112086912, 51, SURVIVED
4112086912, 6, SURVIVED
4112086912, 133, SURVIVED
4112086912, 19, SURVIVED
4112086912, 165, SURVIVED
4112086912, 197, SURVIVED
4112086912, 201, SURVIVED
4112086912, 224, SURVIVED
4112086912, 204, SURVIVED
4112086912, 230, SURVIVED
4112086916, 6, SURVIVED
4112086916, 38, SURVIVED
4112086916, 19, SURVIVED
4112086916, 204, SURVIVED
4112086916, 51, SURVIVED
4112086916, 201, SURVIVED
4112086916, 197, SURVIVED
4112086916, 133, SURVIVED
4112086916, 165, SURVIVED
4112086916, 224, SURVIVED
4112086916, 230, SURVIVED
4112086914, 6, SURVIVED
4112086914, 133, SURVIVED
4112086914, 51, SURVIVED
4112086914, 204, SURVIVED
4112086914, 19, SURVIVED
4112086914, 38, SURVIVED
4112086914, 165, SURVIVED
4112086914, 201, SURVIVED
4112086914, 197, SURVIVED
4112086914, 224, SURVIVED
4112086914, 230, SURVIVED
4112086919, 38, SURVIVED
4112086919, 6, SURVIVED
4112086919, 19, SURVIVED
4112086919, 230, SURVIVED
4112086919, 197, SURVIVED
4112086919, 201, SURVIVED
4112086919, 51, SURVIVED
4112086919, 224, SURVIVED
4112086919, 133, SURVIVED
4112086919, 165, SURVIVED
4112086919, 204, SURVIVED
4112086917, 19, SURVIVED
4112086917, 38, SURVIVED
4112086917, 6, SURVIVED
4112086917, 204, SURVIVED
4112086917, 51, SURVIVED
4112086917, 197, SURVIVED
4112086917, 133, SURVIVED
4112086917, 201, SURVIVED
4112086917, 165, SURVIVED
4112086917, 224, SURVIVED
4112086917, 230, SURVIVED
4112086904, 19, SURVIVED
4112086904, 6, SURVIVED
4112086904, 51, SURVIVED
4112086904, 38, SURVIVED
4112086904, 133, SURVIVED
4112086904, 165, SURVIVED
4112086904, 201, SURVIVED
4112086904, 197, SURVIVED
4112086904, 204, SURVIVED
4112086903, 165, SURVIVED
4112086904, 224, SURVIVED
4112086903, 51, SURVIVED
4112086903, 19, SURVIVED
4112086903, 6, SURVIVED
4112086904, 230, SURVIVED
4112086903, 133, SURVIVED
4112086903, 201, SURVIVED
4112086903, 38, SURVIVED
4112086903, 204, SURVIVED
4112086903, 197, SURVIVED
4112086903, 224, SURVIVED
4112086903, 230, SURVIVED
4112086907, 19, SURVIVED
4112086907, 133, SURVIVED
4112086907, 197, SURVIVED
4112086907, 201, SURVIVED
4112086907, 51, SURVIVED
4112086907, 6, SURVIVED
4112086907, 165, SURVIVED
4112086907, 38, SURVIVED
4112086907, 224, SURVIVED
4112086907, 204, SURVIVED
4112086922, 6, SURVIVED
4112086907, 230, SURVIVED
4112086922, 19, SURVIVED
4112086922, 133, SURVIVED
4112086922, 51, SURVIVED
4112086922, 38, SURVIVED
4112086922, 165, SURVIVED
4112086922, 197, SURVIVED
4112086922, 201, SURVIVED
4112086922, 204, SURVIVED
4112086922, 224, SURVIVED
4112086922, 230, SURVIVED
4112086909, 165, SURVIVED
4112086909, 6, SURVIVED
4112086909, 51, SURVIVED
4112086909, 197, SURVIVED
4112086909, 19, SURVIVED
4112086909, 133, SURVIVED
4112086909, 38, SURVIVED
4112086909, 201, SURVIVED
4112086909, 204, SURVIVED
4112086909, 224, SURVIVED
4112086909, 230, SURVIVED
4112086910, 38, SURVIVED
4112086910, 19, SURVIVED
4112086910, 197, SURVIVED
4112086910, 6, SURVIVED
4112086910, 165, SURVIVED
4112086910, 201, SURVIVED
4112086910, 51, SURVIVED
4112086910, 133, SURVIVED
4112086910, 224, SURVIVED
4112086910, 204, SURVIVED
4112086910, 230, SURVIVED
4112086921, 6, SURVIVED
4112086921, 38, SURVIVED
4112086921, 19, SURVIVED
4112086921, 51, SURVIVED
4112086921, 133, SURVIVED
4112086921, 197, SURVIVED
4112086921, 165, SURVIVED
4112086921, 201, SURVIVED
4112086921, 224, SURVIVED
4112086921, 204, SURVIVED
4112086928, 51, SURVIVED
4112086928, 19, SURVIVED
4112086928, 165, SURVIVED
4112086928, 197, SURVIVED
4112086928, 6, SURVIVED
4112086928, 38, SURVIVED
4112086928, 201, SURVIVED
4112086928, 133, SURVIVED
4112086921, 230, SURVIVED
4112086928, 204, SURVIVED
4112086928, 224, SURVIVED
4112086928, 230, SURVIVED
4112086902, 19, SURVIVED
4112086902, 6, SURVIVED
4112086902, 38, SURVIVED
4112086902, 201, SURVIVED
4112086902, 133, SURVIVED
4112086902, 204, SURVIVED
4112086902, 165, SURVIVED
4112086902, 51, SURVIVED
4112086902, 197, SURVIVED
4112086902, 224, SURVIVED
4112086902, 230, SURVIVED
4112086900, 6, SURVIVED
4112086900, 19, SURVIVED
4112086900, 38, SURVIVED
4112086900, 51, SURVIVED
4112086900, 165, SURVIVED
4112086900, 197, SURVIVED
4112086900, 133, SURVIVED
4112086911, 51, SURVIVED
