seed, mutant, status
1406243120, 37791, SURVIVED
1406243120, 37784, SURVIVED
1406243120, 37788, SURVIVED
1406243130, 37788, SURVIVED
1406243130, 37785, SURVIVED
1406243130, 37791, SURVIVED
1406243120, 37785, SURVIVED
1406243130, 37784, SURVIVED
1406243106, 37785, SURVIVED
1406243106, 37788, SURVIVED
1406243106, 37791, SURVIVED
1406243106, 37784, SURVIVED
1406243105, 37788, SURVIVED
1406243105, 37784, SURVIVED
1406243105, 37791, SURVIVED
1406243105, 37785, SURVIVED
1406243100, 37784, SURVIVED
1406243100, 37788, SURVIVED
1406243100, 37791, SURVIVED
1406243100, 37785, SURVIVED
1406243114, 32313, SURVIVED
1406243114, 37788, SURVIVED
1406243114, 37785, SURVIVED
1406243114, 37791, SURVIVED
1406243114, 32216, SURVIVED
1406243114, 37784, SURVIVED
1406243109, 28096, SURVIVED
1406243109, 28095, SURVIVED
1406243109, 28099, SURVIVED
1406243109, 37784, SURVIVED
1406243109, 28094, SURVIVED
1406243109, 28097, SURVIVED
1406243109, 37785, SURVIVED
1406243109, 37791, SURVIVED
1406243109, 37788, SURVIVED
1406243109, 28063, SURVIVED
1406243109, 1380, SURVIVED
1406243109, 28062, SURVIVED
1406243101, 31586, SURVIVED
1406243118, 28128, SURVIVED
1406243118, 28131, SURVIVED
1406243118, 28129, SURVIVED
1406243118, 28268, SURVIVED
1406243101, 37791, SURVIVED
1406243101, 37784, SURVIVED
1406243101, 28128, SURVIVED
1406243101, 37785, SURVIVED
1406243101, 37788, SURVIVED
1406243118, 28270, SURVIVED
1406243118, 37784, SURVIVED
1406243101, 28129, SURVIVED
1406243125, 27170, SURVIVED
1406243125, 27175, KILLED_FAILED
1406243118, 37785, SURVIVED
1406243125, 27158, SURVIVED
1406243125, 27143, KILLED_FAILED
1406243125, 27142, KILLED_FAILED
1406243125, 27149, SURVIVED
1406243125, 27173, SURVIVED
1406243125, 27163, SURVIVED
1406243125, 27169, SURVIVED
1406243125, 27174, KILLED_FAILED
1406243118, 37791, SURVIVED
1406243118, 37788, SURVIVED
1406243125, 27176, SURVIVED
1406243125, 27867, KILLED_FAILED
1406243125, 27858, KILLED_FAILED
1406243125, 27874, KILLED_FAILED
1406243125, 27890, KILLED_FAILED
1406243125, 27872, KILLED_FAILED
1406243125, 27892, KILLED_FAILED
1406243125, 27889, KILLED_FAILED
1406243125, 27891, KILLED_FAILED
1406243125, 27894, KILLED_FAILED
1406243125, 27895, KILLED_FAILED
1406243125, 27893, KILLED_FAILED
1406243122, 28062, SURVIVED
1406243125, 28128, SURVIVED
1406243122, 28063, SURVIVED
1406243122, 28095, SURVIVED
1406243122, 28096, SURVIVED
1406243122, 1380, SURVIVED
1406243122, 28094, SURVIVED
1406243122, 28099, SURVIVED
1406243122, 28128, SURVIVED
1406243125, 28270, SURVIVED
1406243125, 28268, SURVIVED
1406243125, 28131, SURVIVED
1406243125, 37791, SURVIVED
1406243125, 28129, SURVIVED
1406243125, 37784, SURVIVED
1406243125, 37788, SURVIVED
1406243122, 28097, SURVIVED
1406243125, 37785, SURVIVED
1406243122, 28129, SURVIVED
