seed, mutant, status
2103870903, 12788, SURVIVED
2103870903, 6471, SURVIVED
2103870903, 8449, SURVIVED
2103870903, 6473, SURVIVED
2103870903, 12821, SURVIVED
2103870903, 12827, SURVIVED
2103870903, 3010, SURVIVED
2103870903, 6475, SURVIVED
2103870903, 2961, SURVIVED
2103870903, 12784, SURVIVED
2103870903, 3012, SURVIVED
2103870903, 6474, SURVIVED
2103870903, 4527, SURVIVED
2103870903, 3026, SURVIVED
2103870903, 6470, SURVIVED
2103870903, 6466, SURVIVED
2103870903, 12823, SURVIVED
2103870903, 1422, SURVIVED
2103870903, 12785, SURVIVED
2103870903, 6472, SURVIVED
2103870903, 6464, SURVIVED
2103870903, 3011, SURVIVED
2103870903, 3023, SURVIVED
2103870903, 918, SURVIVED
2103870903, 6468, SURVIVED
2103870903, 6469, SURVIVED
2103870903, 6122, SURVIVED
2103870903, 1160, SURVIVED
2103870903, 919, SURVIVED
2103870903, 4522, SURVIVED
2103870903, 6467, SURVIVED
2103870903, 12410, SURVIVED
2103870903, 13313, SURVIVED
2103870903, 12831, SURVIVED
2103870903, 13314, SURVIVED
2103870903, 13151, SURVIVED
2103870903, 13320, SURVIVED
2103870903, 13513, SURVIVED
2103870903, 13321, SURVIVED
2103870903, 13515, SURVIVED
2103870903, 13543, SURVIVED
2103870903, 13540, SURVIVED
2103870903, 15690, SURVIVED
2103870903, 15694, SURVIVED
2103870916, 919, SURVIVED
2103870916, 1422, SURVIVED
2103870916, 1160, SURVIVED
2103870916, 6464, SURVIVED
2103870916, 2961, SURVIVED
2103870916, 3026, SURVIVED
2103870916, 6122, SURVIVED
2103870916, 3352, SURVIVED
2103870916, 3011, SURVIVED
2103870916, 918, SURVIVED
2103870916, 4527, SURVIVED
2103870916, 4522, SURVIVED
2103870916, 3384, SURVIVED
2103870916, 6467, SURVIVED
2103870916, 6466, SURVIVED
2103870916, 3010, SURVIVED
2103870916, 3385, SURVIVED
2103870916, 3383, SURVIVED
2103870916, 3012, SURVIVED
2103870916, 3353, SURVIVED
2103870916, 3023, SURVIVED
2103870916, 6468, SURVIVED
2103870916, 6469, SURVIVED
2103870916, 6471, SURVIVED
2103870916, 6474, SURVIVED
2103870916, 6473, SURVIVED
2103870916, 7475, SURVIVED
2103870916, 6470, SURVIVED
2103870916, 6472, SURVIVED
2103870916, 6475, SURVIVED
2103870916, 7476, SURVIVED
2103870916, 7477, SURVIVED
2103870916, 7487, SURVIVED
2103870916, 7478, SURVIVED
2103870916, 7480, SURVIVED
2103870916, 7484, SURVIVED
2103870916, 7507, SURVIVED
2103870916, 12821, SURVIVED
2103870916, 7508, SURVIVED
2103870916, 12785, SURVIVED
2103870916, 8449, SURVIVED
2103870916, 7518, SURVIVED
2103870916, 12410, SURVIVED
2103870916, 12784, SURVIVED
2103870916, 13314, SURVIVED
2103870916, 12788, SURVIVED
2103870916, 13313, SURVIVED
2103870916, 12823, SURVIVED
2103870916, 12831, SURVIVED
2103870916, 13320, SURVIVED
2103870916, 12827, SURVIVED
2103870916, 13540, SURVIVED
2103870916, 13513, SURVIVED
2103870916, 13321, SURVIVED
2103870916, 13543, SURVIVED
2103870916, 13515, SURVIVED
2103870916, 15690, SURVIVED
2103870916, 15694, SURVIVED
2103870926, 918, SURVIVED
2103870926, 919, SURVIVED
2103870926, 1160, SURVIVED
2103870926, 2961, SURVIVED
2103870926, 1422, SURVIVED
2103870926, 3010, SURVIVED
2103870926, 3012, SURVIVED
2103870926, 3026, SURVIVED
2103870926, 3011, SURVIVED
2103870926, 3023, SURVIVED
2103870926, 3352, SURVIVED
2103870926, 3353, SURVIVED
2103870926, 3384, SURVIVED
2103870926, 3383, SURVIVED
2103870926, 3385, SURVIVED
2103870926, 4522, SURVIVED
2103870926, 4527, SURVIVED
2103870926, 6466, SURVIVED
2103870926, 6464, SURVIVED
2103870926, 6467, SURVIVED
2103870926, 6475, SURVIVED
2103870926, 6473, SURVIVED
2103870926, 6469, SURVIVED
2103870926, 6474, SURVIVED
