seed, mutant, status
1680402808, 1, SURVIVED
1680402808, 49, SURVIVED
1680402807, 1, SURVIVED
1680402816, 1, SURVIVED
1680402807, 49, SURVIVED
1680402810, 1, SURVIVED
1680402810, 49, SURVIVED
1680402816, 49, SURVIVED
1680402813, 49, SURVIVED
1680402800, 49, SURVIVED
1680402800, 1, SURVIVED
1680402813, 1, SURVIVED
1680402812, 49, SURVIVED
1680402812, 1, SURVIVED
1680402825, 1, SURVIVED
1680402825, 49, SURVIVED
1680402830, 49, SURVIVED
1680402806, 49, SURVIVED
1680402845, 1, SURVIVED
1680402814, 49, SURVIVED
1680402814, 1, SURVIVED
1680402845, 49, SURVIVED
1680402804, 49, SURVIVED
1680402806, 1, SURVIVED
1680402804, 1, SURVIVED
1680402848, 49, SURVIVED
1680402830, 1, SURVIVED
1680402820, 1, SURVIVED
1680402848, 1, SURVIVED
1680402817, 49, SURVIVED
1680402817, 1, SURVIVED
1680402828, 49, SURVIVED
1680402820, 49, SURVIVED
1680402828, 1, SURVIVED
1680402844, 49, SURVIVED
1680402827, 49, SURVIVED
1680402827, 1, SURVIVED
1680402844, 1, SURVIVED
1680402852, 1, SURVIVED
1680402811, 1, SURVIVED
1680402811, 49, SURVIVED
1680402815, 49, SURVIVED
1680402852, 49, SURVIVED
1680402822, 49, SURVIVED
1680402822, 1, SURVIVED
1680402809, 1, SURVIVED
1680402815, 1, SURVIVED
1680402809, 49, SURVIVED
1680402849, 49, SURVIVED
1680402849, 1, SURVIVED
1680402838, 1, SURVIVED
1680402826, 49, SURVIVED
1680402826, 1, SURVIVED
1680402823, 1, SURVIVED
1680402838, 49, SURVIVED
1680402823, 49, SURVIVED
1680402857, 1, SURVIVED
1680402801, 49, SURVIVED
1680402857, 49, SURVIVED
1680402824, 1, SURVIVED
1680402824, 49, SURVIVED
1680402801, 1, SURVIVED
1680402839, 49, SURVIVED
1680402839, 1, SURVIVED
1680402841, 1, SURVIVED
1680402841, 49, SURVIVED
1680402837, 1, SURVIVED
1680402837, 49, SURVIVED
1680402877, 1, SURVIVED
1680402877, 49, SURVIVED
1680402831, 49, SURVIVED
1680402831, 1, SURVIVED
1680402858, 49, SURVIVED
1680402846, 1, SURVIVED
1680402858, 1, SURVIVED
1680402880, 1, SURVIVED
1680402842, 1, SURVIVED
1680402842, 49, SURVIVED
1680402805, 49, SURVIVED
1680402881, 49, SURVIVED
1680402805, 1, SURVIVED
1680402880, 49, SURVIVED
1680402881, 1, SURVIVED
1680402832, 1, SURVIVED
1680402846, 49, SURVIVED
1680402832, 49, SURVIVED
1680402847, 49, SURVIVED
1680402847, 1, SURVIVED
1680402864, 1, SURVIVED
1680402864, 49, SURVIVED
1680402859, 49, SURVIVED
1680402859, 1, SURVIVED
1680402873, 1, SURVIVED
1680402873, 49, SURVIVED
