seed, mutant, status
3631672712, 3205, SURVIVED
3631672712, 3147, SURVIVED
3631672712, 3139, SURVIVED
3631672712, 3140, SURVIVED
3631672712, 3137, SURVIVED
3631672712, 3149, SURVIVED
3631672712, 3141, SURVIVED
3631672712, 3138, SURVIVED
3631672712, 3182, SURVIVED
3631672712, 3181, SURVIVED
3631672711, 3205, SURVIVED
3631672711, 3137, SURVIVED
3631672711, 3139, SURVIVED
3631672711, 3182, SURVIVED
3631672711, 3140, SURVIVED
3631672711, 3149, SURVIVED
3631672711, 3138, SURVIVED
3631672711, 3147, SURVIVED
3631672711, 3181, SURVIVED
3631672709, 3182, SURVIVED
3631672709, 3141, SURVIVED
3631672709, 3137, SURVIVED
3631672709, 3147, SURVIVED
3631672711, 3141, SURVIVED
3631672709, 3139, SURVIVED
3631672709, 3140, SURVIVED
3631672709, 3138, SURVIVED
3631672722, 3205, SURVIVED
3631672709, 3181, SURVIVED
3631672709, 3149, SURVIVED
3631672722, 3137, SURVIVED
3631672709, 3205, SURVIVED
3631672722, 3181, SURVIVED
3631672722, 3138, SURVIVED
3631672722, 3139, SURVIVED
3631672722, 3149, SURVIVED
3631672722, 3140, SURVIVED
3631672722, 3141, SURVIVED
3631672744, 3141, SURVIVED
3631672744, 3137, SURVIVED
3631672744, 3181, SURVIVED
3631672744, 3138, SURVIVED
3631672744, 3205, SURVIVED
3631672744, 3182, SURVIVED
3631672744, 3149, SURVIVED
3631672722, 3182, SURVIVED
3631672744, 3139, SURVIVED
3631672744, 3147, SURVIVED
3631672744, 3140, SURVIVED
3631672722, 3147, SURVIVED
3631672704, 3138, SURVIVED
3631672704, 3205, SURVIVED
3631672704, 3137, SURVIVED
3631672704, 3139, SURVIVED
3631672704, 3147, SURVIVED
3631672704, 3140, SURVIVED
3631672704, 3182, SURVIVED
3631672704, 3141, SURVIVED
3631672704, 3149, SURVIVED
3631672704, 3181, SURVIVED
3631672705, 3139, SURVIVED
3631672705, 3137, SURVIVED
3631672705, 3205, SURVIVED
3631672705, 3138, SURVIVED
3631672700, 3138, SURVIVED
3631672700, 3141, SURVIVED
3631672700, 3205, SURVIVED
3631672705, 3147, SURVIVED
3631672705, 3141, SURVIVED
3631672705, 3181, SURVIVED
3631672700, 3137, SURVIVED
3631672705, 3149, SURVIVED
3631672705, 3140, SURVIVED
3631672705, 3182, SURVIVED
3631672700, 3182, SURVIVED
3631672700, 3139, SURVIVED
3631672700, 3149, SURVIVED
3631672700, 3140, SURVIVED
3631672700, 3147, SURVIVED
3631672700, 3181, SURVIVED
3631672701, 3138, SURVIVED
3631672701, 3139, SURVIVED
3631672701, 3137, SURVIVED
3631672701, 3205, SURVIVED
3631672701, 3140, SURVIVED
3631672701, 3141, SURVIVED
3631672701, 3147, SURVIVED
3631672701, 3149, SURVIVED
3631672708, 3205, SURVIVED
3631672701, 3182, SURVIVED
3631672701, 3181, SURVIVED
3631672708, 3137, SURVIVED
3631672708, 3140, SURVIVED
3631672708, 3141, SURVIVED
3631672708, 3139, SURVIVED
3631672708, 3138, SURVIVED
3631672715, 3139, SURVIVED
3631672715, 3137, SURVIVED
3631672708, 3147, SURVIVED
3631672715, 3205, SURVIVED
3631672715, 3138, SURVIVED
3631672715, 3140, SURVIVED
3631672715, 3141, SURVIVED
3631672708, 3149, SURVIVED
3631672715, 3182, SURVIVED
3631672715, 3149, SURVIVED
3631672715, 3147, SURVIVED
3631672708, 3182, SURVIVED
3631672715, 3181, SURVIVED
3631672716, 3205, SURVIVED
3631672708, 3181, SURVIVED
3631672716, 3137, SURVIVED
3631672716, 3140, SURVIVED
3631672716, 3141, SURVIVED
3631672716, 3181, SURVIVED
3631672716, 3139, SURVIVED
3631672716, 3147, SURVIVED
3631672716, 3138, SURVIVED
3631672716, 3182, SURVIVED
3631672716, 3149, SURVIVED
3631672713, 3137, SURVIVED
3631672713, 3205, SURVIVED
3631672713, 3139, SURVIVED
3631672713, 3138, SURVIVED
3631672713, 3141, SURVIVED
3631672713, 3140, SURVIVED
3631672713, 3149, SURVIVED
3631672713, 3147, SURVIVED
3631672720, 3137, SURVIVED
3631672730, 3137, SURVIVED
3631672720, 3205, SURVIVED
3631672730, 3141, SURVIVED
3631672720, 3139, SURVIVED
3631672730, 3139, SURVIVED
3631672730, 3138, SURVIVED
3631672730, 3205, SURVIVED
3631672720, 3147, SURVIVED
