seed, mutant, status
1599463118, 102, SURVIVED
1599463118, 24, SURVIVED
1599463118, 118, SURVIVED
1599463108, 24, SURVIVED
1599463101, 24, SURVIVED
1599463108, 118, SURVIVED
1599463101, 102, SURVIVED
1599463126, 24, SURVIVED
1599463126, 102, SURVIVED
1599463108, 102, SURVIVED
1599463126, 118, SURVIVED
1599463101, 118, SURVIVED
1599463100, 24, SURVIVED
1599463100, 118, SURVIVED
1599463100, 102, SURVIVED
1599463123, 118, SURVIVED
1599463114, 118, SURVIVED
1599463114, 102, SURVIVED
1599463114, 24, SURVIVED
1599463123, 24, SURVIVED
1599463128, 24, SURVIVED
1599463146, 24, SURVIVED
1599463146, 102, SURVIVED
1599463123, 102, SURVIVED
1599463146, 118, SURVIVED
1599463102, 102, SURVIVED
1599463129, 24, SURVIVED
1599463129, 102, SURVIVED
1599463103, 24, SURVIVED
1599463129, 118, SURVIVED
1599463102, 118, SURVIVED
1599463103, 102, SURVIVED
1599463128, 102, SURVIVED
1599463102, 24, SURVIVED
1599463128, 118, SURVIVED
1599463103, 118, SURVIVED
1599463120, 24, SURVIVED
1599463120, 102, SURVIVED
1599463120, 118, SURVIVED
1599463111, 102, SURVIVED
1599463109, 118, SURVIVED
1599463111, 24, SURVIVED
1599463109, 24, SURVIVED
1599463113, 24, SURVIVED
1599463109, 102, SURVIVED
1599463111, 118, SURVIVED
1599463117, 24, SURVIVED
1599463117, 102, SURVIVED
1599463113, 102, SURVIVED
1599463117, 118, SURVIVED
1599463113, 118, SURVIVED
1599463127, 24, SURVIVED
1599463150, 118, SURVIVED
1599463150, 102, SURVIVED
1599463116, 118, SURVIVED
1599463127, 102, SURVIVED
1599463116, 102, SURVIVED
1599463116, 24, SURVIVED
1599463150, 24, SURVIVED
1599463130, 24, SURVIVED
1599463130, 102, SURVIVED
1599463130, 118, SURVIVED
1599463127, 118, SURVIVED
1599463107, 102, SURVIVED
1599463107, 24, SURVIVED
1599463107, 118, SURVIVED
1599463121, 24, SURVIVED
1599463121, 118, SURVIVED
1599463121, 102, SURVIVED
1599463110, 24, SURVIVED
1599463133, 24, SURVIVED
1599463133, 102, SURVIVED
1599463133, 118, SURVIVED
1599463110, 102, SURVIVED
1599463110, 118, SURVIVED
1599463140, 24, SURVIVED
1599463140, 118, SURVIVED
1599463140, 102, SURVIVED
1599463106, 118, SURVIVED
1599463106, 102, SURVIVED
1599463106, 24, SURVIVED
1599463165, 24, SURVIVED
1599463131, 24, SURVIVED
1599463131, 102, SURVIVED
1599463158, 102, SURVIVED
1599463131, 118, SURVIVED
1599463158, 24, SURVIVED
1599463165, 118, SURVIVED
1599463158, 118, SURVIVED
1599463165, 102, SURVIVED
1599463125, 102, SURVIVED
1599463112, 118, SURVIVED
1599463125, 24, SURVIVED
1599463112, 24, SURVIVED
1599463112, 102, SURVIVED
1599463125, 118, SURVIVED
1599463119, 24, SURVIVED
1599463119, 102, SURVIVED
1599463119, 118, SURVIVED
1599463105, 24, SURVIVED
1599463105, 118, SURVIVED
1599463105, 102, SURVIVED
1599463182, 102, SURVIVED
1599463182, 24, SURVIVED
1599463142, 24, SURVIVED
1599463142, 102, SURVIVED
1599463182, 118, SURVIVED
1599463142, 118, SURVIVED
1599463148, 24, SURVIVED
