seed, mutant, status
3335721617, 549, KILLED_FAILED
3335721631, 890, SURVIVED
3335721617, 552, KILLED_FAILED
3335721626, 549, KILLED_FAILED
3335721620, 890, SURVIVED
3335721609, 549, KILLED_FAILED
3335721617, 558, KILLED_FAILED
3335721617, 553, KILLED_FAILED
3335721617, 555, KILLED_FAILED
3335721617, 550, SURVIVED
3335721617, 386, SURVIVED
3335721617, 556, KILLED_FAILED
3335721616, 890, SURVIVED
3335721617, 554, KILLED_FAILED
3335721617, 551, SURVIVED
3335721609, 555, KILLED_FAILED
3335721609, 553, KILLED_FAILED
3335721617, 406, SURVIVED
3335721609, 551, SURVIVED
3335721609, 552, KILLED_FAILED
3335721609, 558, KILLED_FAILED
3335721609, 556, KILLED_FAILED
3335721609, 554, KILLED_FAILED
3335721609, 550, SURVIVED
3335721626, 550, SURVIVED
3335721626, 553, KILLED_FAILED
3335721626, 555, KILLED_FAILED
3335721626, 551, SURVIVED
3335721626, 558, KILLED_FAILED
3335721626, 552, KILLED_FAILED
3335721626, 554, KILLED_FAILED
3335721626, 556, KILLED_FAILED
3335721626, 890, SURVIVED
3335721607, 550, SURVIVED
3335721657, 890, SURVIVED
3335721607, 553, KILLED_FAILED
3335721607, 551, SURVIVED
3335721646, 551, SURVIVED
3335721607, 554, KILLED_FAILED
3335721607, 890, SURVIVED
3335721607, 555, KILLED_FAILED
3335721607, 556, KILLED_FAILED
3335721603, 551, SURVIVED
3335721603, 554, KILLED_FAILED
3335721603, 550, SURVIVED
3335721646, 550, SURVIVED
3335721608, 550, SURVIVED
3335721608, 890, SURVIVED
3335721608, 551, SURVIVED
3335721603, 890, SURVIVED
3335721641, 551, SURVIVED
3335721641, 550, SURVIVED
3335721601, 551, SURVIVED
3335721601, 550, SURVIVED
3335721613, 890, SURVIVED
3335721658, 890, SURVIVED
3335721623, 386, SURVIVED
3335721613, 550, SURVIVED
3335721636, 386, SURVIVED
3335721613, 551, SURVIVED
3335721636, 406, SURVIVED
3335721676, 890, SURVIVED
3335721636, 890, SURVIVED
3335721650, 890, SURVIVED
3335721623, 406, SURVIVED
3335721643, 550, SURVIVED
3335721627, 550, SURVIVED
3335721628, 386, SURVIVED
3335721643, 551, SURVIVED
3335721627, 551, SURVIVED
3335721627, 890, SURVIVED
3335721648, 890, SURVIVED
3335721623, 890, SURVIVED
3335721682, 550, SURVIVED
3335721682, 551, SURVIVED
3335721669, 890, SURVIVED
3335721643, 890, SURVIVED
3335721689, 551, SURVIVED
3335721689, 550, SURVIVED
3335721639, 550, SURVIVED
