seed, mutant, status
1960914606, 16581, SURVIVED
1960914606, 14850, SURVIVED
1960914606, 16572, SURVIVED
1960914606, 11474, SURVIVED
1960914606, 11471, SURVIVED
1960914606, 14037, SURVIVED
1960914614, 11471, SURVIVED
1960914606, 14029, SURVIVED
1960914602, 22369, SURVIVED
1960914602, 22371, SURVIVED
1960914602, 22374, SURVIVED
1960914602, 14037, SURVIVED
1960914614, 11474, SURVIVED
1960914606, 16576, SURVIVED
1960914602, 11471, SURVIVED
1960914602, 16572, SURVIVED
1960914602, 22380, SURVIVED
1960914602, 22368, SURVIVED
1960914602, 14850, SURVIVED
1960914602, 16576, SURVIVED
1960914602, 22377, SURVIVED
1960914614, 14029, SURVIVED
1960914602, 22372, SURVIVED
1960914602, 16581, SURVIVED
1960914602, 22378, SURVIVED
1960914602, 22376, SURVIVED
1960914602, 11474, SURVIVED
1960914602, 22379, SURVIVED
1960914602, 22375, SURVIVED
1960914602, 14029, SURVIVED
1960914602, 22370, SURVIVED
1960914602, 22373, SURVIVED
1960914614, 22369, SURVIVED
1960914614, 16572, SURVIVED
1960914614, 14850, SURVIVED
1960914614, 22370, SURVIVED
1960914614, 16576, SURVIVED
1960914614, 16581, SURVIVED
1960914614, 14037, SURVIVED
1960914614, 22368, SURVIVED
1960914614, 22372, SURVIVED
1960914614, 22374, SURVIVED
1960914614, 22371, SURVIVED
1960914614, 22375, SURVIVED
1960914614, 22373, SURVIVED
1960914614, 22376, SURVIVED
1960914614, 22377, SURVIVED
1960914614, 25379, SURVIVED
1960914614, 22379, SURVIVED
1960914614, 25380, SURVIVED
1960914614, 25376, SURVIVED
1960914614, 22378, SURVIVED
1960914614, 25383, SURVIVED
1960914614, 22380, SURVIVED
1960914614, 25381, SURVIVED
1960914614, 25392, SURVIVED
1960914614, 25391, SURVIVED
1960914625, 11474, SURVIVED
1960914625, 14037, SURVIVED
1960914625, 16576, SURVIVED
1960914625, 14029, SURVIVED
1960914625, 16572, SURVIVED
1960914625, 14850, SURVIVED
1960914625, 11471, SURVIVED
1960914617, 3722, SURVIVED
1960914625, 16581, SURVIVED
1960914617, 14029, SURVIVED
1960914617, 3723, SURVIVED
1960914617, 11471, SURVIVED
1960914617, 11474, SURVIVED
1960914617, 3724, SURVIVED
1960914617, 16581, SURVIVED
1960914617, 14037, SURVIVED
1960914617, 14850, SURVIVED
1960914617, 22368, SURVIVED
1960914617, 16576, SURVIVED
1960914617, 22369, SURVIVED
1960914617, 16572, SURVIVED
1960914617, 22370, SURVIVED
1960914617, 22372, SURVIVED
1960914617, 22371, SURVIVED
1960914617, 22377, SURVIVED
1960914618, 11333, SURVIVED
1960914617, 22373, SURVIVED
1960914617, 22378, SURVIVED
1960914617, 22375, SURVIVED
1960914617, 22379, SURVIVED
