seed, mutant, status
479547203, 8170, SURVIVED
479547219, 8167, SURVIVED
479547219, 8156, SURVIVED
479547219, 3093, SURVIVED
479547219, 8188, SURVIVED
479547219, 8135, SURVIVED
479547219, 8170, SURVIVED
479547219, 10747, SURVIVED
479547219, 8138, SURVIVED
479547219, 11606, SURVIVED
479547219, 3094, SURVIVED
479547203, 8156, SURVIVED
479547203, 8167, SURVIVED
479547203, 8138, SURVIVED
479547219, 10715, SURVIVED
479547203, 9639, SURVIVED
479547203, 8135, SURVIVED
479547219, 3097, SURVIVED
479547203, 3093, SURVIVED
479547203, 9637, SURVIVED
479547203, 3097, SURVIVED
479547203, 8223, SURVIVED
479547203, 8188, SURVIVED
479547203, 3094, SURVIVED
479547210, 8170, SURVIVED
479547210, 8135, SURVIVED
479547210, 8138, SURVIVED
479547210, 3094, SURVIVED
479547210, 8167, SURVIVED
479547210, 8156, SURVIVED
479547210, 3097, SURVIVED
479547210, 3093, SURVIVED
479547210, 8188, SURVIVED
479547231, 3093, SURVIVED
479547231, 3097, SURVIVED
479547205, 3093, SURVIVED
479547231, 3094, SURVIVED
479547205, 3094, SURVIVED
479547205, 3097, SURVIVED
479547207, 3097, SURVIVED
479547207, 3093, SURVIVED
479547207, 10715, SURVIVED
479547207, 8156, SURVIVED
479547207, 3094, SURVIVED
479547207, 8135, SURVIVED
479547207, 8170, SURVIVED
479547207, 8167, SURVIVED
479547207, 8188, SURVIVED
479547207, 8138, SURVIVED
479547207, 10747, SURVIVED
479547229, 3093, SURVIVED
479547229, 8135, SURVIVED
479547229, 3097, SURVIVED
479547229, 3094, SURVIVED
479547229, 8138, SURVIVED
479547229, 8170, SURVIVED
479547229, 10442, SURVIVED
479547229, 10715, SURVIVED
479547229, 10747, SURVIVED
479547229, 8156, SURVIVED
479547229, 8167, SURVIVED
479547229, 8188, SURVIVED
479547228, 3093, SURVIVED
479547228, 3094, SURVIVED
479547228, 3097, SURVIVED
479547228, 8138, SURVIVED
479547228, 8167, SURVIVED
479547228, 8170, SURVIVED
479547228, 8188, SURVIVED
479547228, 8223, SURVIVED
479547228, 8156, SURVIVED
479547228, 8135, SURVIVED
479547228, 10747, SURVIVED
479547228, 10715, SURVIVED
479547216, 3097, SURVIVED
479547216, 8243, SURVIVED
479547216, 8170, SURVIVED
479547216, 8249, SURVIVED
479547216, 8138, SURVIVED
479547216, 8135, SURVIVED
479547216, 8156, SURVIVED
479547216, 3093, SURVIVED
479547216, 3094, SURVIVED
479547216, 8167, SURVIVED
479547216, 8238, SURVIVED
479547216, 8223, SURVIVED
479547216, 8240, SURVIVED
479547216, 8255, SURVIVED
479547216, 8239, SURVIVED
479547216, 8241, SURVIVED
479547216, 8245, SURVIVED
479547216, 8188, SURVIVED
479547216, 8244, SURVIVED
479547216, 8246, SURVIVED
479547216, 10747, SURVIVED
479547227, 8188, SURVIVED
479547216, 8298, SURVIVED
479547216, 10715, SURVIVED
479547227, 3097, SURVIVED
479547227, 8167, SURVIVED
479547227, 3093, SURVIVED
479547227, 8138, SURVIVED
479547227, 3094, SURVIVED
479547227, 8170, SURVIVED
479547227, 8135, SURVIVED
479547227, 8156, SURVIVED
479547227, 8223, SURVIVED
479547227, 8239, SURVIVED
479547227, 8244, SURVIVED
479547227, 8238, SURVIVED
479547227, 8245, SURVIVED
479547227, 8243, SURVIVED
479547227, 8246, SURVIVED
479547227, 8240, SURVIVED
479547227, 8241, SURVIVED
479547215, 8135, SURVIVED
479547215, 8138, SURVIVED
479547215, 57, SURVIVED
479547227, 8249, SURVIVED
479547215, 8188, SURVIVED
479547227, 8255, SURVIVED
