seed, mutant, status
4140944120, 139, SURVIVED
4140944120, 60, SURVIVED
4140944120, 138, SURVIVED
4140944120, 28, SURVIVED
4140944120, 144, SURVIVED
4140944120, 145, SURVIVED
4140944120, 148, SURVIVED
4140944120, 147, SURVIVED
4140944114, 28, SURVIVED
4140944120, 162, SURVIVED
4140944114, 147, SURVIVED
4140944120, 170, SURVIVED
4140944114, 138, SURVIVED
4140944114, 4671, SURVIVED
4140944114, 176, SURVIVED
4140944114, 4665, SURVIVED
4140944114, 589, SURVIVED
4140944114, 4672, SURVIVED
4140944114, 4664, SURVIVED
4140944114, 4675, SURVIVED
4140944114, 60, SURVIVED
4140944114, 179, SURVIVED
4140944114, 4667, SURVIVED
4140944114, 595, SURVIVED
4140944114, 621, SURVIVED
4140944114, 4674, SURVIVED
4140944114, 448, SURVIVED
4140944114, 148, SURVIVED
4140944114, 4614, SURVIVED
4140944114, 4670, SURVIVED
4140944114, 145, SURVIVED
4140944114, 4669, SURVIVED
4140944114, 480, SURVIVED
4140944114, 139, SURVIVED
4140944114, 177, SURVIVED
4140944114, 144, SURVIVED
4140944114, 180, SURVIVED
4140944114, 12307, SURVIVED
4140944120, 171, SURVIVED
4140944120, 176, SURVIVED
4140944120, 177, SURVIVED
4140944120, 179, SURVIVED
4140944120, 212, SURVIVED
4140944120, 180, SURVIVED
4140944120, 589, SURVIVED
4140944120, 595, SURVIVED
4140944120, 480, SURVIVED
4140944120, 448, SURVIVED
4140944120, 621, SURVIVED
4140944120, 12307, SURVIVED
4140944120, 4664, SURVIVED
4140944120, 4614, SURVIVED
4140944120, 4665, SURVIVED
4140944120, 4669, SURVIVED
4140944120, 4667, SURVIVED
4140944120, 4671, SURVIVED
4140944120, 4670, SURVIVED
4140944120, 4672, SURVIVED
4140944120, 4674, SURVIVED
4140944120, 4675, SURVIVED
4140944120, 7660, SURVIVED
4140944128, 28, SURVIVED
4140944128, 139, SURVIVED
4140944128, 60, SURVIVED
4140944128, 162, SURVIVED
4140944128, 138, SURVIVED
4140944128, 145, SURVIVED
4140944128, 144, SURVIVED
4140944128, 147, SURVIVED
4140944128, 148, SURVIVED
4140944128, 170, SURVIVED
4140944128, 171, SURVIVED
4140944128, 176, SURVIVED
4140944128, 177, SURVIVED
4140944128, 179, SURVIVED
4140944128, 180, SURVIVED
4140944128, 8682, SURVIVED
4140944128, 480, SURVIVED
4140944128, 589, SURVIVED
4140944128, 4664, SURVIVED
4140944128, 595, SURVIVED
4140944128, 4665, SURVIVED
4140944128, 12307, SURVIVED
4140944128, 4614, SURVIVED
4140944128, 212, SURVIVED
4140944128, 448, SURVIVED
4140944128, 621, SURVIVED
4140944128, 4669, SURVIVED
4140944128, 4667, SURVIVED
4140944128, 9147, SURVIVED
4140944128, 4671, SURVIVED
4140944128, 4674, SURVIVED
4140944128, 4672, SURVIVED
4140944128, 4675, SURVIVED
4140944128, 9056, SURVIVED
4140944128, 4670, SURVIVED
4140944128, 7660, SURVIVED
4140944101, 28, SURVIVED
4140944101, 139, SURVIVED
4140944101, 138, SURVIVED
4140944101, 144, SURVIVED
4140944101, 60, SURVIVED
4140944101, 145, SURVIVED
4140944101, 147, SURVIVED
4140944101, 148, SURVIVED
4140944101, 162, SURVIVED
4140944101, 170, SURVIVED
4140944101, 171, SURVIVED
4140944101, 177, SURVIVED
4140944101, 480, SURVIVED
4140944101, 589, SURVIVED
4140944101, 212, SURVIVED
4140944101, 179, SURVIVED
4140944101, 176, SURVIVED
4140944101, 180, SURVIVED
4140944101, 621, SURVIVED
4140944101, 595, SURVIVED
4140944101, 448, SURVIVED
4140944101, 710, SURVIVED
4140944101, 712, SURVIVED
4140944101, 796, SURVIVED
4140944101, 719, SURVIVED
4140944101, 1943, SURVIVED
4140944101, 751, SURVIVED
4140944101, 769, SURVIVED
4140944101, 742, SURVIVED
4140944101, 752, SURVIVED
4140944101, 1961, SURVIVED
4140944101, 797, SURVIVED
4140944101, 1975, SURVIVED
4140944101, 10476, SURVIVED
4140944101, 1952, SURVIVED
4140944101, 801, SURVIVED
4140944101, 720, SURVIVED
4140944101, 10640, SURVIVED
4140944101, 10641, SURVIVED
4140944101, 10656, SURVIVED
4140944101, 3681, SURVIVED
4140944101, 10672, SURVIVED
4140944101, 12307, SURVIVED
4140944101, 3637, SURVIVED
4140944101, 4669, SURVIVED
4140944101, 4233, SURVIVED
4140944101, 4230, SURVIVED
4140944101, 4670, SURVIVED
4140944101, 4667, SURVIVED
4140944101, 4232, SURVIVED
4140944101, 4224, SURVIVED
4140944101, 4229, SURVIVED
4140944101, 4665, SURVIVED
4140944101, 4614, SURVIVED
4140944101, 4664, SURVIVED
4140944101, 4672, KILLED_FAILED
4140944101, 4864, SURVIVED
4140944101, 4705, SURVIVED
4140944101, 4866, SURVIVED
4140944101, 4674, SURVIVED
4140944101, 4671, SURVIVED
4140944101, 4868, SURVIVED
4140944101, 4895, SURVIVED
4140944101, 4870, SURVIVED
4140944101, 4867, SURVIVED
4140944101, 4675, KILLED_FAILED
4140944101, 4896, SURVIVED
4140944101, 4899, SURVIVED
4140944101, 4898, SURVIVED
4140944101, 4902, SURVIVED
4140944101, 4900, SURVIVED
4140944101, 4904, SURVIVED
4140944101, 4911, SURVIVED
4140944106, 60, SURVIVED
4140944106, 139, SURVIVED
4140944106, 28, SURVIVED
4140944106, 138, SURVIVED
4140944106, 144, SURVIVED
4140944101, 4907, SURVIVED
4140944106, 145, SURVIVED
4140944106, 176, SURVIVED
4140944106, 147, SURVIVED
4140944106, 148, SURVIVED
4140944106, 177, SURVIVED
4140944101, 10673, SURVIVED
4140944106, 180, SURVIVED
4140944106, 480, SURVIVED
4140944106, 448, SURVIVED
4140944106, 179, SURVIVED
4140944106, 589, SURVIVED
4140944101, 4927, SURVIVED
4140944101, 4930, SURVIVED
4140944101, 12839, SURVIVED
4140944106, 9147, SURVIVED
4140944106, 595, SURVIVED
4140944106, 621, SURVIVED
4140944106, 3621, SURVIVED
4140944106, 8682, SURVIVED
4140944106, 3637, SURVIVED
4140944106, 3649, SURVIVED
4140944106, 3681, SURVIVED
4140944106, 12307, SURVIVED
4140944106, 4614, SURVIVED
4140944106, 4664, SURVIVED
4140944106, 4670, SURVIVED
4140944106, 4665, SURVIVED
4140944106, 4667, SURVIVED
4140944106, 4669, SURVIVED
4140944106, 4671, SURVIVED
4140944106, 4674, SURVIVED
4140944106, 9056, SURVIVED
4140944102, 28, SURVIVED
4140944102, 138, SURVIVED
4140944102, 144, SURVIVED
4140944102, 147, SURVIVED
4140944102, 176, SURVIVED
4140944102, 148, SURVIVED
4140944102, 621, SURVIVED
4140944102, 162, SURVIVED
4140944102, 177, SURVIVED
4140944102, 139, SURVIVED
4140944102, 60, SURVIVED
4140944102, 170, SURVIVED
4140944102, 589, SURVIVED
4140944102, 448, SURVIVED
4140944102, 171, SURVIVED
4140944102, 595, SURVIVED
4140944102, 212, SURVIVED
4140944102, 180, SURVIVED
4140944102, 480, SURVIVED
4140944102, 179, SURVIVED
4140944102, 145, SURVIVED
4140944102, 9147, SURVIVED
4140944102, 1943, SURVIVED
4140944102, 860, SURVIVED
4140944102, 1952, SURVIVED
4140944102, 2117, SURVIVED
4140944102, 2053, SURVIVED
4140944102, 2085, SURVIVED
4140944102, 8682, SURVIVED
4140944102, 4614, SURVIVED
4140944102, 2823, SURVIVED
4140944102, 4664, SURVIVED
4140944102, 4665, SURVIVED
4140944102, 4667, SURVIVED
4140944118, 28, SURVIVED
4140944102, 4669, SURVIVED
4140944118, 138, SURVIVED
4140944118, 60, SURVIVED
4140944102, 4670, SURVIVED
4140944118, 139, SURVIVED
4140944102, 4674, SURVIVED
4140944102, 4705, SURVIVED
4140944102, 4671, SURVIVED
4140944102, 4866, SURVIVED
4140944118, 144, SURVIVED
4140944102, 4870, SURVIVED
4140944118, 147, SURVIVED
4140944118, 148, SURVIVED
4140944102, 4864, SURVIVED
4140944118, 145, SURVIVED
4140944102, 4911, SURVIVED
4140944102, 4867, SURVIVED
4140944118, 162, SURVIVED
4140944102, 4868, SURVIVED
4140944102, 9056, SURVIVED
4140944102, 4904, SURVIVED
4140944102, 4902, SURVIVED
4140944102, 4898, SURVIVED
4140944102, 4895, SURVIVED
4140944102, 4900, SURVIVED
4140944102, 4927, SURVIVED
4140944102, 4899, SURVIVED
4140944102, 4907, SURVIVED
4140944102, 4896, SURVIVED
4140944102, 4930, SURVIVED
4140944118, 176, SURVIVED
4140944118, 170, SURVIVED
4140944118, 179, SURVIVED
4140944118, 180, SURVIVED
4140944118, 177, SURVIVED
4140944118, 171, SURVIVED
4140944118, 212, SURVIVED
4140944118, 8502, SURVIVED
4140944118, 8503, SURVIVED
4140944118, 8514, SURVIVED
4140944118, 8504, SURVIVED
4140944118, 8528, SURVIVED
4140944118, 8541, SURVIVED
4140944118, 8546, SURVIVED
4140944118, 8529, SURVIVED
4140944118, 8539, SURVIVED
4140944118, 8543, SURVIVED
4140944118, 480, SURVIVED
4140944118, 8572, SURVIVED
4140944118, 8573, SURVIVED
4140944118, 448, SURVIVED
4140944118, 8537, SURVIVED
4140944118, 8561, SURVIVED
4140944118, 8538, SURVIVED
4140944118, 589, SURVIVED
4140944118, 8569, SURVIVED
4140944118, 710, SURVIVED
4140944118, 595, SURVIVED
4140944118, 751, SURVIVED
4140944118, 719, SURVIVED
4140944118, 621, SURVIVED
4140944118, 720, SURVIVED
4140944118, 712, SURVIVED
4140944118, 752, SURVIVED
4140944118, 742, SURVIVED
4140944118, 769, SURVIVED
4140944118, 796, SURVIVED
4140944118, 801, SURVIVED
4140944118, 8560, SURVIVED
4140944118, 8571, SURVIVED
4140944118, 797, SURVIVED
4140944118, 8570, SURVIVED
4140944118, 8575, SURVIVED
4140944118, 8540, SURVIVED
4140944118, 2864, SURVIVED
4140944118, 2855, SURVIVED
4140944118, 3002, SURVIVED
4140944118, 2977, SURVIVED
4140944118, 2832, SURVIVED
4140944118, 3912, KILLED_FAILED
4140944118, 3025, SURVIVED
4140944118, 2945, SURVIVED
4140944118, 3222, SURVIVED
4140944118, 3026, SURVIVED
4140944118, 3914, KILLED_FAILED
4140944118, 3947, KILLED_FAILED
4140944118, 3058, SURVIVED
4140944118, 12813, SURVIVED
4140944118, 4664, SURVIVED
4140944118, 3254, SURVIVED
4140944118, 12307, SURVIVED
4140944118, 3946, KILLED_FAILED
4140944118, 3944, KILLED_FAILED
4140944118, 4614, SURVIVED
4140944118, 4669, SURVIVED
4140944118, 12826, SURVIVED
4140944118, 4667, SURVIVED
4140944118, 3915, KILLED_FAILED
4140944118, 12814, SURVIVED
4140944118, 4665, SURVIVED
4140944118, 4670, SURVIVED
4140944118, 4671, SURVIVED
4140944118, 4674, SURVIVED
4140944118, 4705, SURVIVED
4140944118, 13516, SURVIVED
4140944118, 13578, SURVIVED
4140944118, 13518, SURVIVED
4140944118, 13539, SURVIVED
4140944118, 13534, SURVIVED
4140944118, 13537, KILLED_FAILED
4140944118, 13540, SURVIVED
4140944118, 13515, SURVIVED
4140944118, 13542, KILLED_FAILED
4140944118, 13345, SURVIVED
4140944118, 13579, KILLED_FAILED
4140944118, 13580, KILLED_FAILED
4140944118, 13581, KILLED_FAILED
4140944118, 13582, KILLED_FAILED
4140944118, 13583, KILLED_FAILED
4140944118, 13588, SURVIVED
4140944118, 13589, KILLED_FAILED
4140944118, 13587, SURVIVED
4140944118, 13586, SURVIVED
4140944118, 13585, SURVIVED
4140944118, 13590, KILLED_FAILED
4140944118, 13591, SURVIVED
4140944118, 13592, SURVIVED
4140944118, 13593, KILLED_FAILED
4140944118, 13595, KILLED_FAILED
4140944118, 13594, KILLED_FAILED
4140944118, 13596, KILLED_FAILED
4140944118, 8510, SURVIVED
4140944118, 12810, SURVIVED
4140944118, 12812, SURVIVED
4140944118, 12827, SURVIVED
4140944118, 12839, KILLED_FAILED
4140944112, 28, SURVIVED
4140944112, 139, SURVIVED
4140944112, 144, SURVIVED
4140944112, 60, SURVIVED
4140944112, 145, SURVIVED
4140944112, 138, SURVIVED
4140944112, 147, SURVIVED
4140944112, 148, SURVIVED
4140944112, 171, SURVIVED
4140944112, 170, SURVIVED
4140944112, 212, SURVIVED
4140944112, 177, SURVIVED
4140944112, 162, SURVIVED
4140944112, 448, SURVIVED
4140944112, 180, SURVIVED
4140944112, 179, SURVIVED
4140944112, 176, SURVIVED
4140944112, 595, SURVIVED
