seed, mutant, status
334603930, 10178, SURVIVED
334603930, 9741, SURVIVED
334603930, 9744, SURVIVED
334603930, 9747, SURVIVED
334603930, 9737, SURVIVED
334603930, 9735, SURVIVED
334603930, 9746, SURVIVED
334603930, 9986, SURVIVED
334603930, 10181, SURVIVED
334603922, 9739, SURVIVED
334603930, 9739, SURVIVED
334603922, 9741, SURVIVED
334603911, 9744, SURVIVED
334603930, 9743, SURVIVED
334603930, 10177, SURVIVED
334603930, 9983, SURVIVED
334603911, 9986, SURVIVED
334603911, 10177, SURVIVED
334603911, 10178, SURVIVED
334603911, 9735, SURVIVED
334603911, 9739, SURVIVED
334603911, 9972, SURVIVED
334603922, 9735, SURVIVED
334603911, 9746, SURVIVED
334603922, 9737, SURVIVED
334603911, 9747, SURVIVED
334603911, 9983, SURVIVED
334603911, 10181, SURVIVED
334603922, 9743, SURVIVED
334603911, 9741, SURVIVED
334603911, 9743, SURVIVED
334603911, 9737, SURVIVED
334603922, 9744, SURVIVED
334603922, 9983, SURVIVED
334603922, 9986, SURVIVED
334603922, 9746, SURVIVED
334603922, 9972, SURVIVED
334603922, 9747, SURVIVED
334603909, 8570, SURVIVED
334603909, 2625, SURVIVED
334603909, 8569, SURVIVED
334603909, 8918, KILLED_FAILED
334603909, 8919, KILLED_FAILED
334603909, 8567, SURVIVED
334603909, 8921, KILLED_FAILED
334603909, 8916, KILLED_FAILED
334603909, 8920, KILLED_FAILED
334603909, 8923, KILLED_FAILED
334603909, 8948, KILLED_FAILED
334603909, 8924, KILLED_FAILED
334603909, 8951, KILLED_FAILED
334603909, 8927, KILLED_FAILED
334603909, 8950, KILLED_FAILED
334603909, 8956, KILLED_FAILED
334603909, 8925, KILLED_FAILED
334603909, 8955, KILLED_FAILED
334603909, 8953, KILLED_FAILED
334603909, 8959, KILLED_FAILED
334603909, 8952, KILLED_FAILED
334603909, 8957, KILLED_FAILED
334603909, 8954, KILLED_FAILED
334603909, 8960, KILLED_FAILED
334603909, 8961, KILLED_FAILED
334603909, 8965, KILLED_FAILED
334603909, 8963, KILLED_FAILED
334603909, 8964, KILLED_FAILED
334603909, 8962, KILLED_FAILED
334603909, 9983, SURVIVED
334603909, 9746, SURVIVED
334603909, 9744, SURVIVED
334603909, 9737, SURVIVED
334603909, 9735, SURVIVED
334603909, 8966, KILLED_FAILED
334603909, 9743, SURVIVED
334603909, 9739, SURVIVED
334603909, 9741, SURVIVED
334603909, 9986, SURVIVED
334603909, 9972, SURVIVED
334603909, 9747, SURVIVED
334603922, 10178, KILLED_TIMEOUT
334603922, 10177, KILLED_TIMEOUT
334603910, 8567, SURVIVED
334603910, 8569, SURVIVED
334603910, 8960, KILLED_FAILED
334603910, 8954, KILLED_FAILED
334603910, 8952, KILLED_FAILED
334603910, 8570, SURVIVED
334603922, 10181, KILLED_TIMEOUT
334603910, 8957, KILLED_FAILED
334603910, 8961, KILLED_FAILED
334603910, 8962, KILLED_FAILED
334603910, 8966, KILLED_FAILED
334603910, 8963, KILLED_FAILED
334603910, 8964, KILLED_FAILED
334603910, 9741, SURVIVED
334603910, 9735, SURVIVED
334603910, 9800, SURVIVED
334603910, 9788, SURVIVED
334603910, 9796, SURVIVED
334603910, 9747, SURVIVED
334603910, 9737, SURVIVED
334603910, 9739, SURVIVED
334603910, 9743, SURVIVED
334603910, 9746, SURVIVED
334603910, 9744, SURVIVED
334603910, 9805, SURVIVED
334603910, 9797, SURVIVED
334603910, 9806, SURVIVED
334603910, 9809, SURVIVED
334603910, 9794, SURVIVED
334603910, 9804, SURVIVED
334603910, 9821, SURVIVED
334603910, 9823, SURVIVED
334603910, 9810, SURVIVED
334603910, 9813, SURVIVED
334603910, 9822, SURVIVED
334603910, 9820, SURVIVED
334603910, 9829, SURVIVED
334603910, 9826, SURVIVED
334603910, 9832, SURVIVED
334603910, 9828, SURVIVED
334603910, 9972, SURVIVED
334603910, 9983, SURVIVED
334603929, 10181, KILLED_FAILED
334603929, 10177, KILLED_FAILED
334603910, 9986, SURVIVED
334603929, 9747, SURVIVED
334603929, 9743, SURVIVED
334603929, 8569, SURVIVED
334603929, 8567, SURVIVED
334603929, 9746, SURVIVED
334603929, 9735, SURVIVED
334603929, 8570, SURVIVED
334603929, 9739, SURVIVED
334603929, 9737, SURVIVED
334603929, 9741, SURVIVED
334603929, 9983, SURVIVED
334603929, 9986, SURVIVED
334603929, 9744, SURVIVED
334603929, 9972, SURVIVED
334603912, 8567, SURVIVED
334603912, 8569, SURVIVED
334603912, 9741, SURVIVED
334603912, 8570, SURVIVED
334603912, 9735, SURVIVED
334603912, 9737, SURVIVED
334603912, 9743, SURVIVED
334603912, 9739, SURVIVED
334603912, 9744, SURVIVED
334603912, 9747, SURVIVED
334603912, 9746, SURVIVED
334603912, 9809, SURVIVED
334603912, 9797, SURVIVED
334603912, 9788, SURVIVED
334603912, 9804, SURVIVED
334603912, 9794, SURVIVED
334603912, 9796, SURVIVED
334603912, 9823, SURVIVED
334603912, 9800, SURVIVED
334603912, 9828, SURVIVED
334603912, 9813, SURVIVED
334603912, 9820, SURVIVED
334603912, 9805, SURVIVED
334603912, 9822, SURVIVED
334603912, 9806, SURVIVED
334603912, 9832, SURVIVED
334603912, 9821, SURVIVED
334603912, 9810, SURVIVED
334603912, 9829, SURVIVED
334603912, 9826, SURVIVED
334603912, 9986, SURVIVED
334603912, 10178, KILLED_FAILED
334603912, 9972, SURVIVED
334603912, 9983, SURVIVED
334603903, 2625, SURVIVED
334603903, 8569, SURVIVED
334603903, 10178, KILLED_FAILED
334603903, 9741, SURVIVED
334603903, 8570, SURVIVED
334603903, 9737, SURVIVED
334603903, 8567, SURVIVED
334603903, 9739, SURVIVED
334603903, 9744, SURVIVED
334603903, 9986, SURVIVED
334603903, 9735, SURVIVED
334603903, 9746, SURVIVED
334603903, 9743, SURVIVED
334603903, 9747, SURVIVED
334603903, 9972, SURVIVED
334603903, 9983, SURVIVED
334603920, 9739, SURVIVED
334603920, 2625, SURVIVED
334603920, 9741, SURVIVED
334603920, 9743, SURVIVED
334603920, 9735, SURVIVED
334603920, 9747, SURVIVED
334603920, 9737, SURVIVED
334603920, 9744, SURVIVED
334603920, 9746, SURVIVED
334603927, 9986, SURVIVED
334603927, 155, SURVIVED
334603927, 7178, SURVIVED
334603927, 9735, SURVIVED
334603920, 9972, SURVIVED
334603927, 9972, SURVIVED
334603920, 9983, SURVIVED
334603927, 9983, SURVIVED
334603927, 9739, SURVIVED
334603927, 9743, SURVIVED
334603943, 9735, SURVIVED
334603927, 7180, SURVIVED
334603927, 7176, SURVIVED
334603927, 7179, SURVIVED
334603920, 9986, SURVIVED
334603927, 9741, SURVIVED
334603927, 9737, SURVIVED
334603927, 9744, SURVIVED
334603943, 9737, SURVIVED
334603943, 9739, SURVIVED
334603943, 9743, SURVIVED
334603943, 9744, SURVIVED
334603943, 9741, SURVIVED
334603927, 9746, SURVIVED
334603927, 9747, SURVIVED
334603943, 9747, SURVIVED
334603943, 9746, SURVIVED
