seed, mutant, status
4155753408, 4851, SURVIVED
4155753408, 10435, SURVIVED
4155753408, 4849, SURVIVED
4155753408, 4898, SURVIVED
4155753408, 10417, SURVIVED
4155753408, 4825, SURVIVED
4155753408, 4848, SURVIVED
4155753408, 4998, SURVIVED
4155753408, 4992, SURVIVED
4155753408, 4817, SURVIVED
4155753408, 4832, SURVIVED
4155753408, 4819, SURVIVED
4155753408, 4816, SURVIVED
4155753408, 4831, SURVIVED
4155753408, 4822, SURVIVED
4155753408, 4994, SURVIVED
4155753408, 4847, SURVIVED
4155753408, 10434, SURVIVED
4155753408, 4833, SURVIVED
4155753408, 4993, SURVIVED
4155753408, 10426, SURVIVED
4155753408, 4829, SURVIVED
4155753408, 4821, SURVIVED
4155753408, 10427, SURVIVED
4155753408, 4845, SURVIVED
4155753408, 4828, SURVIVED
4155753408, 4866, SURVIVED
4155753408, 10415, SURVIVED
4155753408, 10432, SURVIVED
4155753408, 5001, SURVIVED
4155753408, 4860, SURVIVED
4155753408, 4997, SURVIVED
4155753408, 5004, SURVIVED
4155753422, 4816, SURVIVED
4155753408, 5025, SURVIVED
4155753422, 4832, SURVIVED
4155753408, 5016, SURVIVED
4155753422, 10432, SURVIVED
4155753422, 10434, SURVIVED
4155753422, 10435, SURVIVED
4155753422, 10415, SURVIVED
4155753422, 4822, SURVIVED
4155753422, 4819, SURVIVED
4155753408, 5030, SURVIVED
4155753422, 10417, SURVIVED
4155753408, 10433, SURVIVED
4155753408, 5024, SURVIVED
4155753408, 5026, SURVIVED
4155753408, 5050, SURVIVED
4155753408, 5036, SURVIVED
4155753408, 5029, SURVIVED
4155753422, 4828, SURVIVED
4155753408, 5018, SURVIVED
4155753408, 5048, SURVIVED
4155753422, 4825, SURVIVED
4155753422, 4821, SURVIVED
4155753422, 10427, SURVIVED
4155753422, 10426, SURVIVED
4155753422, 4829, SURVIVED
4155753422, 4845, SURVIVED
4155753422, 4831, SURVIVED
4155753422, 4833, SURVIVED
4155753422, 4817, SURVIVED
4155753408, 5033, SURVIVED
4155753422, 4847, SURVIVED
4155753422, 4848, SURVIVED
4155753422, 4849, SURVIVED
4155753422, 5618, SURVIVED
4155753422, 6512, SURVIVED
4155753422, 4851, SURVIVED
4155753422, 4866, SURVIVED
4155753422, 4898, SURVIVED
4155753422, 6528, SURVIVED
4155753422, 6530, SURVIVED
4155753422, 4860, SURVIVED
4155753405, 10434, SURVIVED
4155753405, 10417, SURVIVED
4155753405, 10426, SURVIVED
4155753405, 10432, SURVIVED
4155753405, 10415, SURVIVED
4155753422, 6542, SURVIVED
4155753422, 10433, SURVIVED
4155753422, 6543, SURVIVED
4155753405, 10427, SURVIVED
4155753405, 10435, SURVIVED
4155753422, 6539, SURVIVED
4155753422, 6536, SURVIVED
4155753422, 6540, SURVIVED
4155753428, 10417, SURVIVED
4155753428, 10415, SURVIVED
4155753428, 10433, SURVIVED
4155753428, 10434, SURVIVED
4155753428, 10435, SURVIVED
4155753428, 10427, SURVIVED
4155753428, 10432, SURVIVED
4155753428, 10426, SURVIVED
4155753405, 10433, SURVIVED
4155753421, 10432, SURVIVED
4155753421, 10435, SURVIVED
4155753421, 2593, SURVIVED
4155753421, 2646, SURVIVED
4155753421, 2632, SURVIVED
4155753421, 2673, SURVIVED
4155753421, 2641, SURVIVED
4155753421, 2644, SURVIVED
4155753421, 2664, SURVIVED
4155753421, 2645, SURVIVED
4155753421, 2642, SURVIVED
4155753421, 2643, SURVIVED
4155753421, 2675, SURVIVED
4155753421, 2909, SURVIVED
4155753421, 2606, SURVIVED
4155753421, 10434, SURVIVED
4155753421, 2941, SURVIVED
4155753421, 10415, SURVIVED
4155753421, 2678, SURVIVED
4155753421, 2674, SURVIVED
4155753421, 2676, SURVIVED
4155753421, 10417, SURVIVED
4155753421, 2677, SURVIVED
4155753421, 10426, SURVIVED
4155753421, 10427, SURVIVED
4155753421, 4816, SURVIVED
4155753421, 4817, SURVIVED
4155753421, 4825, SURVIVED
4155753421, 4819, SURVIVED
4155753421, 4821, SURVIVED
4155753421, 4822, SURVIVED
4155753421, 4828, SURVIVED
4155753421, 4829, SURVIVED
4155753421, 4833, SURVIVED
4155753421, 4831, SURVIVED
4155753421, 4845, SURVIVED
4155753421, 4832, SURVIVED
4155753421, 4847, SURVIVED
4155753421, 4848, SURVIVED
4155753421, 4851, SURVIVED
4155753421, 4849, SURVIVED
4155753421, 4860, SURVIVED
4155753421, 4992, SURVIVED
4155753421, 4866, SURVIVED
4155753421, 4898, SURVIVED
4155753421, 4998, SURVIVED
4155753421, 5016, SURVIVED
4155753421, 4993, SURVIVED
4155753421, 5001, SURVIVED
4155753421, 4994, SURVIVED
4155753421, 5024, SURVIVED
4155753421, 5004, SURVIVED
4155753421, 5025, SURVIVED
4155753421, 4997, SURVIVED
4155753421, 5018, SURVIVED
4155753421, 5033, SURVIVED
4155753421, 5029, SURVIVED
4155753421, 5030, SURVIVED
4155753421, 5048, SURVIVED
4155753421, 5036, SURVIVED
4155753421, 5026, SURVIVED
4155753421, 5050, SURVIVED
4155753421, 10433, SURVIVED
4155753418, 3593, SURVIVED
4155753418, 3594, SURVIVED
4155753418, 3627, SURVIVED
4155753418, 3595, SURVIVED
4155753418, 3630, SURVIVED
4155753418, 3596, SURVIVED
4155753418, 3597, SURVIVED
4155753418, 3598, SURVIVED
4155753418, 3628, SURVIVED
4155753418, 3629, SURVIVED
4155753418, 3625, SURVIVED
4155753418, 3626, SURVIVED
4155753418, 4059, SURVIVED
4155753418, 3946, SURVIVED
4155753418, 4456, SURVIVED
4155753418, 4091, SURVIVED
4155753418, 4078, SURVIVED
4155753418, 4086, SURVIVED
4155753418, 4066, SURVIVED
4155753418, 4082, SURVIVED
4155753418, 4076, SURVIVED
4155753418, 4075, KILLED_FAILED
4155753418, 4330, KILLED_FAILED
4155753418, 4404, SURVIVED
4155753418, 4516, SURVIVED
4155753418, 4459, SURVIVED
4155753418, 4460, SURVIVED
4155753418, 4463, SURVIVED
4155753418, 4462, SURVIVED
4155753418, 4416, SURVIVED
4155753418, 4455, SURVIVED
4155753418, 4657, SURVIVED
4155753418, 4658, SURVIVED
4155753418, 4659, SURVIVED
4155753418, 4816, SURVIVED
4155753418, 4817, SURVIVED
4155753418, 4660, SURVIVED
4155753418, 4819, SURVIVED
4155753418, 4822, SURVIVED
4155753418, 4828, SURVIVED
4155753418, 4821, SURVIVED
4155753418, 4829, SURVIVED
4155753418, 4825, SURVIVED
4155753418, 4845, SURVIVED
4155753418, 4848, SURVIVED
4155753418, 4833, SURVIVED
4155753418, 4831, SURVIVED
4155753418, 4849, SURVIVED
4155753418, 4851, SURVIVED
4155753418, 4847, SURVIVED
4155753418, 4832, SURVIVED
4155753418, 4866, SURVIVED
4155753418, 4992, SURVIVED
4155753418, 4898, SURVIVED
4155753418, 4860, SURVIVED
4155753418, 4994, SURVIVED
4155753418, 5004, SURVIVED
4155753418, 5016, SURVIVED
4155753418, 4998, SURVIVED
4155753418, 4993, SURVIVED
4155753418, 5018, SURVIVED
4155753418, 4997, SURVIVED
4155753418, 5001, SURVIVED
4155753418, 5024, SURVIVED
4155753418, 5025, SURVIVED
4155753418, 5026, SURVIVED
4155753418, 5389, SURVIVED
4155753418, 5029, SURVIVED
4155753418, 5030, SURVIVED
4155753418, 5033, SURVIVED
4155753418, 5050, SURVIVED
4155753418, 5036, SURVIVED
4155753418, 5977, SURVIVED
4155753418, 5048, SURVIVED
4155753418, 5618, SURVIVED
4155753418, 5317, SURVIVED
4155753418, 5394, SURVIVED
4155753418, 5974, SURVIVED
4155753418, 6512, SURVIVED
4155753418, 5858, SURVIVED
4155753418, 6558, SURVIVED
4155753418, 6536, SURVIVED
4155753418, 5969, SURVIVED
4155753418, 5975, SURVIVED
4155753418, 6530, SURVIVED
4155753418, 6528, SURVIVED
4155753418, 6543, SURVIVED
4155753418, 5980, SURVIVED
