seed, mutant, status
3312626307, 8237, SURVIVED
3312626307, 8239, SURVIVED
3312626307, 8713, SURVIVED
3312626307, 8745, SURVIVED
3312626310, 149, SURVIVED
3312626310, 154, SURVIVED
3312626310, 159, SURVIVED
3312626310, 155, SURVIVED
3312626310, 151, SURVIVED
3312626310, 8713, SURVIVED
3312626310, 153, SURVIVED
3312626310, 8237, SURVIVED
3312626310, 152, SURVIVED
3312626310, 156, SURVIVED
3312626310, 8745, SURVIVED
3312626310, 8239, SURVIVED
3312626310, 150, SURVIVED
3312626316, 155, SURVIVED
3312626316, 154, SURVIVED
3312626316, 159, SURVIVED
3312626316, 150, SURVIVED
3312626316, 3977, SURVIVED
3312626316, 3983, SURVIVED
3312626316, 3979, SURVIVED
3312626316, 3980, SURVIVED
3312626316, 3978, SURVIVED
3312626316, 156, SURVIVED
3312626316, 3982, SURVIVED
3312626316, 149, SURVIVED
3312626316, 153, SURVIVED
3312626316, 151, SURVIVED
3312626316, 152, SURVIVED
3312626316, 3985, SURVIVED
3312626312, 8713, SURVIVED
3312626312, 3977, SURVIVED
3312626312, 8239, SURVIVED
3312626312, 3980, SURVIVED
3312626316, 3986, SURVIVED
3312626316, 3988, SURVIVED
3312626312, 3978, SURVIVED
3312626312, 8237, SURVIVED
3312626312, 8745, SURVIVED
3312626316, 3987, SURVIVED
3312626312, 3979, SURVIVED
3312626316, 3989, SURVIVED
3312626312, 3982, SURVIVED
3312626312, 3983, SURVIVED
3312626312, 3987, SURVIVED
3312626312, 3986, SURVIVED
3312626312, 3985, SURVIVED
3312626312, 3988, SURVIVED
3312626329, 8239, SURVIVED
3312626312, 3989, SURVIVED
3312626306, 8745, SURVIVED
3312626329, 8237, SURVIVED
3312626329, 8713, SURVIVED
3312626306, 8713, SURVIVED
3312626306, 8239, SURVIVED
3312626329, 8745, SURVIVED
3312626306, 8237, SURVIVED
3312626318, 150, SURVIVED
3312626318, 149, SURVIVED
3312626318, 151, SURVIVED
3312626318, 152, SURVIVED
3312626318, 153, SURVIVED
3312626318, 154, SURVIVED
3312626318, 155, SURVIVED
3312626318, 156, SURVIVED
3312626318, 3986, SURVIVED
3312626318, 3983, SURVIVED
3312626318, 159, SURVIVED
3312626318, 3985, SURVIVED
3312626318, 3977, SURVIVED
3312626318, 3987, SURVIVED
3312626318, 3980, SURVIVED
3312626318, 3978, SURVIVED
3312626318, 3979, SURVIVED
3312626318, 3982, SURVIVED
3312626318, 3988, SURVIVED
3312626318, 3989, SURVIVED
3312626318, 8239, SURVIVED
3312626318, 8237, SURVIVED
3312626318, 8745, SURVIVED
3312626318, 8713, SURVIVED
3312626331, 150, SURVIVED
3312626331, 149, SURVIVED
3312626331, 151, SURVIVED
3312626331, 153, SURVIVED
3312626331, 152, SURVIVED
3312626331, 155, SURVIVED
3312626331, 154, SURVIVED
3312626331, 156, SURVIVED
3312626331, 159, SURVIVED
3312626309, 150, SURVIVED
3312626309, 149, SURVIVED
3312626309, 151, SURVIVED
3312626309, 153, SURVIVED
3312626309, 152, SURVIVED
3312626309, 154, SURVIVED
3312626320, 8239, SURVIVED
3312626320, 8237, SURVIVED
3312626309, 170, SURVIVED
3312626309, 173, SURVIVED
3312626309, 156, SURVIVED
3312626309, 159, SURVIVED
3312626309, 179, SURVIVED
3312626320, 8713, SURVIVED
3312626320, 8745, SURVIVED
3312626309, 177, SURVIVED
3312626309, 155, SURVIVED
3312626309, 8713, SURVIVED
3312626309, 8239, SURVIVED
3312626309, 8745, SURVIVED
3312626309, 182, SURVIVED
3312626309, 181, SURVIVED
3312626309, 184, SURVIVED
3312626309, 183, SURVIVED
3312626309, 178, SURVIVED
3312626309, 8237, SURVIVED
3312626311, 8239, SURVIVED
3312626311, 8237, SURVIVED
3312626311, 8745, SURVIVED
3312626311, 8713, SURVIVED
3312626311, 3979, SURVIVED
3312626311, 3978, SURVIVED
3312626311, 3977, SURVIVED
3312626311, 3983, SURVIVED
3312626311, 3982, SURVIVED
3312626311, 3985, SURVIVED
3312626311, 3980, SURVIVED
3312626311, 3988, SURVIVED
3312626311, 3986, SURVIVED
3312626311, 3987, SURVIVED
3312626311, 3989, SURVIVED
3312626304, 173, SURVIVED
3312626304, 170, SURVIVED
3312626304, 175, SURVIVED
3312626304, 177, SURVIVED
3312626304, 179, SURVIVED
3312626304, 178, SURVIVED
3312626304, 181, SURVIVED
3312626303, 149, SURVIVED
3312626303, 150, SURVIVED
3312626304, 3979, SURVIVED
3312626304, 183, SURVIVED
3312626304, 184, SURVIVED
3312626304, 3982, SURVIVED
3312626308, 8237, SURVIVED
3312626304, 3978, SURVIVED
3312626304, 3980, SURVIVED
3312626308, 8239, SURVIVED
3312626304, 3988, SURVIVED
3312626304, 3987, SURVIVED
3312626304, 3985, SURVIVED
3312626304, 182, SURVIVED
3312626304, 3977, SURVIVED
3312626308, 8713, SURVIVED
3312626304, 3983, SURVIVED
3312626304, 3989, SURVIVED
3312626304, 3986, SURVIVED
3312626304, 8239, SURVIVED
3312626304, 8237, SURVIVED
3312626308, 8745, SURVIVED
3312626303, 151, SURVIVED
3312626304, 8713, SURVIVED
3312626304, 8745, SURVIVED
3312626303, 152, SURVIVED
3312626303, 155, SURVIVED
3312626303, 153, SURVIVED
3312626303, 154, SURVIVED
3312626303, 159, SURVIVED
3312626303, 156, SURVIVED
3312626303, 170, SURVIVED
3312626303, 175, SURVIVED
3312626303, 173, SURVIVED
3312626303, 179, SURVIVED
3312626303, 178, SURVIVED
3312626303, 182, SURVIVED
3312626303, 181, SURVIVED
3312626303, 183, SURVIVED
3312626303, 184, SURVIVED
3312626303, 8237, SURVIVED
3312626328, 8745, SURVIVED
3312626328, 8713, SURVIVED
3312626303, 8239, SURVIVED
3312626303, 8745, SURVIVED
3312626328, 8239, SURVIVED
3312626303, 8713, SURVIVED
3312626328, 8237, SURVIVED
3312626322, 8237, SURVIVED
3312626322, 3977, SURVIVED
3312626322, 8239, SURVIVED
3312626322, 8745, SURVIVED
3312626322, 8713, SURVIVED
3312626322, 3978, SURVIVED
3312626322, 3979, SURVIVED
3312626322, 3980, SURVIVED
3312626322, 3982, SURVIVED
3312626322, 3983, SURVIVED
3312626327, 150, SURVIVED
3312626322, 3988, SURVIVED
3312626322, 3986, SURVIVED
3312626327, 151, SURVIVED
3312626327, 149, SURVIVED
3312626322, 3989, SURVIVED
3312626322, 3987, SURVIVED
3312626322, 3985, SURVIVED
3312626327, 153, SURVIVED
3312626327, 152, SURVIVED
3312626327, 155, SURVIVED
3312626327, 154, SURVIVED
3312626327, 159, SURVIVED
3312626327, 173, SURVIVED
3312626327, 170, SURVIVED
3312626327, 178, SURVIVED
3312626327, 177, SURVIVED
3312626327, 156, SURVIVED
3312626327, 175, SURVIVED
3312626327, 179, SURVIVED
3312626327, 181, SURVIVED
3312626327, 183, SURVIVED
3312626327, 184, SURVIVED
3312626327, 182, SURVIVED
3312626305, 173, SURVIVED
3312626327, 8239, SURVIVED
3312626327, 8237, SURVIVED
3312626327, 8713, SURVIVED
3312626305, 170, SURVIVED
3312626305, 178, SURVIVED
3312626305, 179, SURVIVED
3312626327, 8745, SURVIVED
3312626305, 182, SURVIVED
3312626305, 177, SURVIVED
3312626305, 175, SURVIVED
3312626305, 183, SURVIVED
3312626305, 181, SURVIVED
3312626305, 184, SURVIVED
3312626342, 8745, SURVIVED
3312626342, 8237, SURVIVED
3312626305, 8237, SURVIVED
3312626305, 8239, SURVIVED
3312626342, 8713, SURVIVED
3312626342, 3980, SURVIVED
3312626342, 3977, SURVIVED
3312626342, 8239, SURVIVED
3312626342, 3978, SURVIVED
3312626342, 3979, SURVIVED
3312626305, 8713, SURVIVED
3312626305, 8745, SURVIVED
3312626342, 3982, SURVIVED
3312626342, 3983, SURVIVED
3312626342, 3985, SURVIVED
3312626342, 3986, SURVIVED
3312626342, 3988, SURVIVED
3312626342, 3987, SURVIVED
3312626342, 3989, SURVIVED
3312626339, 152, SURVIVED
3312626339, 153, SURVIVED
3312626339, 149, SURVIVED
3312626339, 154, SURVIVED
3312626339, 159, SURVIVED
3312626339, 155, SURVIVED
3312626339, 156, SURVIVED
3312626339, 151, SURVIVED
3312626339, 150, SURVIVED
3312626330, 8239, SURVIVED
3312626330, 8237, SURVIVED
3312626348, 8237, SURVIVED
3312626330, 8713, SURVIVED
3312626330, 3986, SURVIVED
3312626330, 8745, SURVIVED
3312626348, 8713, SURVIVED
3312626330, 3977, SURVIVED
3312626330, 3979, SURVIVED
3312626330, 3983, SURVIVED
3312626330, 3980, SURVIVED
3312626330, 3978, SURVIVED
3312626348, 8239, SURVIVED
3312626330, 3982, SURVIVED
3312626330, 3985, SURVIVED
3312626330, 3987, SURVIVED
3312626348, 3978, SURVIVED
3312626348, 8745, SURVIVED
3312626348, 3979, SURVIVED
3312626348, 3977, SURVIVED
3312626330, 3988, SURVIVED
3312626330, 3989, SURVIVED
3312626348, 3980, SURVIVED
3312626348, 3982, SURVIVED
3312626348, 3983, SURVIVED
3312626348, 3987, SURVIVED
3312626348, 3985, SURVIVED
3312626348, 3986, SURVIVED
3312626348, 3988, SURVIVED
3312626348, 3989, SURVIVED
3312626319, 153, SURVIVED
3312626319, 149, SURVIVED
3312626300, 3978, SURVIVED
3312626300, 3977, SURVIVED
3312626319, 8239, SURVIVED
3312626319, 150, SURVIVED
3312626319, 8237, SURVIVED
3312626319, 152, SURVIVED
3312626300, 3980, SURVIVED
3312626300, 3982, SURVIVED
3312626300, 3979, SURVIVED
3312626319, 154, SURVIVED
3312626319, 151, SURVIVED
3312626319, 155, SURVIVED
3312626319, 3977, SURVIVED
3312626319, 8745, SURVIVED
3312626319, 156, SURVIVED
3312626319, 8713, SURVIVED
3312626300, 3985, SURVIVED
3312626300, 3983, SURVIVED
3312626319, 159, SURVIVED
3312626300, 3988, SURVIVED
3312626300, 3986, SURVIVED
3312626319, 3978, SURVIVED
3312626300, 8745, SURVIVED
3312626300, 3987, SURVIVED
3312626300, 8713, SURVIVED
3312626300, 3989, SURVIVED
3312626300, 8239, SURVIVED
3312626300, 8237, SURVIVED
3312626319, 3979, SURVIVED
3312626319, 3986, SURVIVED
3312626319, 3983, SURVIVED
3312626319, 3985, SURVIVED
3312626319, 3982, SURVIVED
3312626319, 3989, SURVIVED
3312626319, 3980, SURVIVED
3312626319, 3987, SURVIVED
3312626319, 3988, SURVIVED
3312626301, 8239, SURVIVED
3312626323, 8713, SURVIVED
3312626323, 8239, SURVIVED
3312626301, 8237, SURVIVED
3312626301, 8713, SURVIVED
3312626323, 8237, SURVIVED
3312626323, 3977, SURVIVED
3312626323, 8745, SURVIVED
3312626301, 8745, SURVIVED
3312626309, 175, KILLED_TIMEOUT
3312626323, 3979, SURVIVED
3312626323, 3978, SURVIVED
3312626323, 3980, SURVIVED
3312626323, 3983, SURVIVED
3312626323, 3985, SURVIVED
3312626323, 3982, SURVIVED
3312626323, 3988, SURVIVED
3312626323, 3987, SURVIVED
3312626323, 3989, SURVIVED
3312626323, 3986, SURVIVED
3312626317, 8239, SURVIVED
3312626317, 8237, SURVIVED
3312626317, 8713, SURVIVED
3312626317, 8745, SURVIVED
3312626317, 3979, SURVIVED
3312626317, 3983, SURVIVED
3312626317, 3982, SURVIVED
3312626317, 3980, SURVIVED
3312626317, 3978, SURVIVED
3312626317, 3977, SURVIVED
3312626317, 3986, SURVIVED
3312626317, 3985, SURVIVED
3312626321, 8239, SURVIVED
3312626317, 3989, SURVIVED
3312626317, 3988, SURVIVED
3312626321, 8237, SURVIVED
3312626321, 8745, SURVIVED
3312626317, 3987, SURVIVED
3312626321, 8713, SURVIVED
3312626313, 8237, SURVIVED
3312626313, 8713, SURVIVED
3312626313, 8745, SURVIVED
3312626313, 8239, SURVIVED
3312626302, 150, SURVIVED
3312626302, 151, SURVIVED
3312626302, 149, SURVIVED
3312626302, 152, SURVIVED
3312626302, 154, SURVIVED
3312626302, 153, SURVIVED
3312626302, 155, SURVIVED
3312626302, 156, SURVIVED
3312626302, 159, SURVIVED
3312626302, 170, SURVIVED
3312626302, 177, SURVIVED
3312626338, 149, SURVIVED
3312626338, 153, SURVIVED
3312626338, 150, SURVIVED
3312626338, 151, SURVIVED
3312626338, 155, SURVIVED
3312626338, 156, SURVIVED
3312626338, 154, SURVIVED
3312626302, 178, SURVIVED
3312626338, 159, SURVIVED
3312626338, 152, SURVIVED
3312626338, 177, SURVIVED
3312626338, 175, SURVIVED
3312626302, 183, SURVIVED
3312626338, 179, SURVIVED
3312626302, 182, SURVIVED
3312626338, 178, SURVIVED
3312626302, 8237, SURVIVED
3312626302, 181, SURVIVED
3312626338, 182, SURVIVED
3312626338, 170, SURVIVED
3312626302, 8713, SURVIVED
3312626302, 8745, SURVIVED
3312626338, 181, SURVIVED
3312626302, 184, SURVIVED
3312626338, 3977, SURVIVED
3312626338, 183, SURVIVED
3312626302, 8239, SURVIVED
3312626338, 3978, SURVIVED
3312626338, 3979, SURVIVED
3312626338, 184, SURVIVED
3312626338, 3988, SURVIVED
3312626338, 3982, SURVIVED
3312626338, 3980, SURVIVED
3312626338, 3989, SURVIVED
3312626338, 3986, SURVIVED
3312626338, 3983, SURVIVED
3312626338, 3985, SURVIVED
3312626338, 8237, SURVIVED
3312626338, 3987, SURVIVED
3312626338, 8239, SURVIVED
3312626338, 8713, SURVIVED
3312626338, 8745, SURVIVED
3312626325, 151, SURVIVED
3312626325, 153, SURVIVED
3312626325, 149, SURVIVED
3312626325, 152, SURVIVED
3312626325, 154, SURVIVED
3312626325, 150, SURVIVED
3312626325, 155, SURVIVED
3312626325, 156, SURVIVED
3312626325, 8239, SURVIVED
3312626325, 8237, SURVIVED
3312626325, 8745, SURVIVED
3312626325, 159, SURVIVED
3312626325, 8713, SURVIVED
3312626315, 173, SURVIVED
3312626315, 149, SURVIVED
3312626315, 150, SURVIVED
3312626315, 151, SURVIVED
3312626315, 152, SURVIVED
3312626315, 175, SURVIVED
3312626315, 156, SURVIVED
3312626315, 154, SURVIVED
3312626315, 155, SURVIVED
3312626315, 153, SURVIVED
3312626315, 170, SURVIVED
3312626315, 177, SURVIVED
3312626315, 178, SURVIVED
3312626315, 159, SURVIVED
3312626361, 8237, SURVIVED
3312626361, 8239, SURVIVED
3312626361, 8713, SURVIVED
3312626315, 3979, SURVIVED
3312626361, 8745, SURVIVED
3312626361, 3977, SURVIVED
3312626361, 3978, SURVIVED
3312626361, 3979, SURVIVED
3312626315, 183, SURVIVED
3312626315, 182, SURVIVED
3312626315, 179, SURVIVED
3312626315, 3983, SURVIVED
3312626315, 184, SURVIVED
3312626315, 3988, SURVIVED
3312626315, 181, SURVIVED
3312626315, 3982, SURVIVED
3312626315, 3985, SURVIVED
3312626361, 3980, SURVIVED
3312626315, 3986, SURVIVED
3312626361, 3982, SURVIVED
3312626315, 3980, SURVIVED
