seed, mutant, status
3687851310, 52, SURVIVED
3687851310, 79, SURVIVED
3687851310, 83, SURVIVED
3687851310, 189, SURVIVED
3687851310, 87, SURVIVED
3687851310, 51, SURVIVED
3687851310, 203, SURVIVED
3687851310, 196, SURVIVED
3687851310, 1208, SURVIVED
3687851310, 111, SURVIVED
3687851310, 86, SURVIVED
3687851310, 47, SURVIVED
3687851310, 228, SURVIVED
3687851310, 229, SURVIVED
3687851310, 84, SURVIVED
3687851310, 89, SURVIVED
3687851310, 194, SURVIVED
3687851310, 181, SURVIVED
3687851310, 814, SURVIVED
3687851310, 233, SURVIVED
3687851310, 235, SURVIVED
3687851310, 157, SURVIVED
3687851310, 1215, SURVIVED
3687851310, 195, SURVIVED
3687851310, 201, SURVIVED
3687851310, 197, SURVIVED
3687851310, 223, SURVIVED
3687851310, 227, SURVIVED
3687851310, 226, SURVIVED
3687851310, 255, SURVIVED
3687851310, 230, SURVIVED
3687851310, 198, SURVIVED
3687851310, 1216, SURVIVED
3687851310, 1218, SURVIVED
3687851310, 1217, SURVIVED
3687851310, 1219, SURVIVED
3687851310, 1250, SURVIVED
3687851310, 1251, SURVIVED
3687851310, 1248, SURVIVED
3687851310, 1249, SURVIVED
3687851310, 1220, SURVIVED
3687851310, 1252, SURVIVED
3687851310, 1317, SURVIVED
3687851316, 47, SURVIVED
3687851316, 201, SURVIVED
3687851316, 203, SURVIVED
3687851316, 89, SURVIVED
3687851316, 189, SURVIVED
3687851316, 84, SURVIVED
3687851316, 194, SURVIVED
3687851316, 87, SURVIVED
3687851316, 223, SURVIVED
3687851316, 198, SURVIVED
3687851316, 52, SURVIVED
3687851316, 51, SURVIVED
3687851316, 157, SURVIVED
3687851316, 111, SURVIVED
3687851316, 227, SURVIVED
3687851316, 83, SURVIVED
3687851316, 228, SURVIVED
3687851316, 196, SURVIVED
3687851316, 195, SURVIVED
3687851316, 229, SURVIVED
3687851316, 86, SURVIVED
3687851316, 181, SURVIVED
3687851316, 79, SURVIVED
3687851316, 226, SURVIVED
3687851316, 197, SURVIVED
3687851316, 230, SURVIVED
3687851316, 233, SURVIVED
3687851316, 235, SURVIVED
3687851316, 255, SURVIVED
3687851316, 814, SURVIVED
3687851316, 1208, SURVIVED
3687851316, 1215, SURVIVED
3687851316, 1216, SURVIVED
3687851316, 1217, SURVIVED
3687851316, 1220, SURVIVED
3687851316, 1248, SURVIVED
3687851316, 1219, SURVIVED
3687851316, 1252, SURVIVED
3687851316, 1218, SURVIVED
3687851316, 1250, SURVIVED
3687851316, 1251, SURVIVED
3687851316, 1249, SURVIVED
3687851316, 1317, SURVIVED
3687851326, 47, SURVIVED
3687851326, 51, SURVIVED
3687851326, 52, SURVIVED
3687851326, 89, SURVIVED
3687851326, 86, SURVIVED
3687851326, 84, SURVIVED
3687851326, 79, SURVIVED
3687851326, 181, SURVIVED
3687851326, 194, SURVIVED
3687851326, 157, SURVIVED
3687851326, 195, SURVIVED
3687851326, 87, SURVIVED
3687851326, 189, SURVIVED
3687851326, 111, SURVIVED
3687851326, 83, SURVIVED
3687851326, 196, SURVIVED
3687851326, 198, SURVIVED
3687851326, 197, SURVIVED
3687851326, 201, SURVIVED
3687851326, 203, SURVIVED
3687851326, 223, SURVIVED
3687851326, 226, SURVIVED
3687851326, 227, SURVIVED
3687851326, 228, SURVIVED
3687851326, 229, SURVIVED
3687851326, 1216, SURVIVED
3687851326, 255, SURVIVED
3687851326, 230, SURVIVED
3687851326, 814, SURVIVED
3687851326, 1215, SURVIVED
3687851326, 233, SURVIVED
3687851326, 235, SURVIVED
3687851326, 1217, SURVIVED
3687851326, 1208, SURVIVED
3687851326, 1219, SURVIVED
3687851326, 1218, SURVIVED
3687851326, 1249, SURVIVED
3687851326, 1252, SURVIVED
3687851326, 1220, SURVIVED
3687851326, 1317, SURVIVED
3687851326, 1248, SURVIVED
3687851326, 1250, SURVIVED
3687851311, 47, SURVIVED
3687851326, 1251, SURVIVED
3687851311, 52, SURVIVED
3687851311, 79, SURVIVED
3687851311, 51, SURVIVED
3687851311, 86, SURVIVED
3687851311, 83, SURVIVED
3687851311, 84, SURVIVED
3687851311, 87, SURVIVED
3687851311, 157, SURVIVED
3687851311, 89, SURVIVED
3687851311, 111, SURVIVED
3687851311, 181, SURVIVED
3687851311, 189, SURVIVED
3687851311, 194, SURVIVED
3687851311, 198, SURVIVED
3687851311, 196, SURVIVED
3687851311, 226, SURVIVED
3687851311, 203, SURVIVED
3687851311, 197, SURVIVED
3687851311, 195, SURVIVED
3687851311, 223, SURVIVED
3687851311, 201, SURVIVED
3687851311, 227, SURVIVED
3687851311, 228, SURVIVED
3687851311, 229, SURVIVED
3687851311, 1208, SURVIVED
3687851311, 233, SURVIVED
3687851311, 230, SURVIVED
3687851311, 235, SURVIVED
3687851311, 814, SURVIVED
3687851311, 255, SURVIVED
3687851311, 1215, SURVIVED
3687851311, 1216, SURVIVED
3687851311, 1217, SURVIVED
3687851311, 1220, SURVIVED
3687851311, 1219, SURVIVED
3687851311, 1218, SURVIVED
3687851311, 1248, SURVIVED
3687851311, 1249, SURVIVED
3687851311, 1250, SURVIVED
3687851311, 1251, SURVIVED
3687851311, 1252, SURVIVED
3687851311, 1317, SURVIVED
3687851312, 47, SURVIVED
