seed, mutant, status
747634624, 5681, SURVIVED
747634624, 6524, SURVIVED
747634624, 6568, SURVIVED
747634624, 6058, SURVIVED
747634624, 5682, SURVIVED
747634624, 5683, SURVIVED
747634624, 6026, SURVIVED
747634624, 6665, SURVIVED
747634624, 6598, SURVIVED
747634624, 6101, SURVIVED
747634624, 6637, SURVIVED
747634624, 6102, SURVIVED
747634624, 6572, SURVIVED
747634624, 5684, SURVIVED
747634624, 5685, SURVIVED
747634624, 5689, SURVIVED
747634624, 6537, SURVIVED
747634624, 6103, SURVIVED
747634624, 6300, SURVIVED
747634624, 6605, SURVIVED
747634624, 6536, SURVIVED
747634624, 6540, SURVIVED
747634624, 6569, SURVIVED
747634624, 5688, SURVIVED
747634624, 6630, SURVIVED
747634624, 6514, SURVIVED
747634624, 5686, SURVIVED
747634624, 6661, SURVIVED
747634616, 2185, SURVIVED
747634616, 12047, SURVIVED
747634616, 2217, SURVIVED
747634616, 2295, SURVIVED
747634624, 6667, SURVIVED
747634624, 6697, SURVIVED
747634624, 6681, SURVIVED
747634624, 6668, SURVIVED
747634624, 6693, SURVIVED
747634624, 6669, SURVIVED
747634624, 6670, SURVIVED
747634624, 6699, SURVIVED
747634624, 6700, SURVIVED
747634624, 6702, SURVIVED
747634624, 12047, SURVIVED
747634624, 6701, SURVIVED
747634617, 649, SURVIVED
747634617, 638, SURVIVED
747634617, 647, SURVIVED
747634617, 650, SURVIVED
747634617, 658, SURVIVED
747634617, 646, SURVIVED
747634617, 637, SURVIVED
747634617, 654, SURVIVED
747634617, 651, SURVIVED
747634617, 657, SURVIVED
747634617, 652, SURVIVED
747634617, 655, SURVIVED
747634617, 643, SURVIVED
747634617, 5684, SURVIVED
747634617, 653, SURVIVED
747634617, 656, SURVIVED
747634617, 5682, SURVIVED
747634617, 5683, SURVIVED
747634617, 5685, SURVIVED
747634617, 5681, SURVIVED
747634617, 5686, SURVIVED
747634617, 5689, SURVIVED
747634617, 6540, SURVIVED
747634617, 6572, SURVIVED
747634617, 6514, SURVIVED
747634617, 6524, SURVIVED
747634617, 6536, SURVIVED
747634617, 6568, SURVIVED
747634617, 6569, SURVIVED
747634617, 6537, SURVIVED
747634617, 5688, SURVIVED
747634617, 6637, SURVIVED
747634617, 6605, SURVIVED
747634617, 6598, SURVIVED
747634617, 6630, SURVIVED
747634617, 6661, SURVIVED
747634617, 6670, SURVIVED
747634617, 6667, SURVIVED
747634617, 6669, SURVIVED
747634617, 6665, SURVIVED
747634617, 6668, SURVIVED
747634617, 6697, SURVIVED
747634617, 6693, SURVIVED
747634617, 12047, SURVIVED
747634617, 6681, SURVIVED
747634617, 6699, SURVIVED
747634617, 6701, SURVIVED
747634617, 6702, SURVIVED
747634617, 6700, SURVIVED
747634606, 6026, SURVIVED
747634606, 6101, SURVIVED
747634606, 6058, SURVIVED
747634606, 6102, SURVIVED
747634606, 6514, SURVIVED
747634606, 6300, SURVIVED
747634606, 6524, SURVIVED
747634606, 6103, SURVIVED
747634606, 6537, SURVIVED
747634606, 6572, SURVIVED
747634606, 6536, SURVIVED
747634606, 6630, SURVIVED
747634606, 6598, SURVIVED
747634606, 6668, SURVIVED
747634606, 6667, SURVIVED
747634606, 6540, SURVIVED
747634606, 6605, SURVIVED
747634606, 6569, SURVIVED
747634606, 6665, SURVIVED
747634606, 6669, SURVIVED
747634606, 6568, SURVIVED
747634606, 6637, SURVIVED
747634606, 6702, SURVIVED
747634606, 6661, SURVIVED
747634606, 6670, SURVIVED
747634606, 12047, SURVIVED
747634606, 6700, SURVIVED
747634606, 6693, SURVIVED
747634606, 6697, SURVIVED
747634606, 6699, SURVIVED
747634606, 6701, SURVIVED
747634606, 6681, SURVIVED
747634606, 12612, SURVIVED
747634606, 12617, SURVIVED
747634615, 647, SURVIVED
747634615, 649, SURVIVED
747634615, 637, SURVIVED
747634615, 643, SURVIVED
747634615, 650, SURVIVED
747634615, 638, SURVIVED
747634615, 646, SURVIVED
747634615, 652, SURVIVED
747634615, 654, SURVIVED
747634615, 653, SURVIVED
747634615, 651, SURVIVED
747634615, 655, SURVIVED
747634615, 657, SURVIVED
747634615, 656, SURVIVED
747634615, 658, SURVIVED
747634615, 5682, SURVIVED
747634615, 5683, SURVIVED
747634615, 5684, SURVIVED
747634615, 5685, SURVIVED
747634615, 6102, SURVIVED
747634615, 6026, SURVIVED
747634615, 5681, SURVIVED
747634615, 5686, SURVIVED
747634615, 6058, SURVIVED
747634615, 5689, SURVIVED
747634615, 6524, SURVIVED
747634615, 6101, SURVIVED
747634615, 6103, SURVIVED
747634615, 6300, SURVIVED
747634615, 6514, SURVIVED
747634615, 5688, SURVIVED
747634615, 6536, SURVIVED
747634615, 6537, SURVIVED
747634615, 6540, SURVIVED
747634615, 6569, SURVIVED
747634615, 6568, SURVIVED
747634615, 6572, SURVIVED
747634615, 6661, SURVIVED
747634615, 6669, SURVIVED
747634615, 6598, SURVIVED
747634615, 6670, SURVIVED
747634615, 6630, SURVIVED
747634615, 6605, SURVIVED
747634615, 6637, SURVIVED
747634615, 6665, SURVIVED
747634615, 6668, SURVIVED
747634615, 6667, SURVIVED
747634615, 6681, SURVIVED
747634615, 6699, SURVIVED
747634607, 638, SURVIVED
747634607, 637, SURVIVED
747634615, 6693, SURVIVED
747634607, 650, SURVIVED
747634615, 6697, SURVIVED
747634615, 6701, SURVIVED
747634607, 647, SURVIVED
747634607, 643, SURVIVED
747634615, 12617, SURVIVED
747634615, 6700, SURVIVED
747634615, 6702, SURVIVED
747634615, 12047, SURVIVED
747634615, 12612, SURVIVED
747634607, 646, SURVIVED
747634607, 649, SURVIVED
747634607, 651, SURVIVED
747634607, 652, SURVIVED
747634607, 653, SURVIVED
747634607, 654, SURVIVED
747634607, 655, SURVIVED
747634607, 656, SURVIVED
747634607, 658, SURVIVED
747634607, 4276, SURVIVED
747634607, 5683, SURVIVED
747634607, 5686, SURVIVED
747634607, 4329, SURVIVED
747634607, 5681, SURVIVED
747634607, 657, SURVIVED
747634607, 5682, SURVIVED
747634607, 5685, SURVIVED
747634607, 5684, SURVIVED
747634607, 5689, SURVIVED
747634607, 5688, SURVIVED
747634607, 6102, SURVIVED
747634607, 6026, SURVIVED
747634607, 6101, SURVIVED
747634607, 6572, SURVIVED
747634607, 6514, SURVIVED
747634607, 6058, SURVIVED
747634607, 6540, SURVIVED
747634607, 6568, SURVIVED
747634607, 6536, SURVIVED
747634607, 6103, SURVIVED
747634607, 6537, SURVIVED
747634607, 6300, SURVIVED
747634607, 6524, SURVIVED
747634607, 6569, SURVIVED
747634607, 6598, SURVIVED
747634607, 6605, SURVIVED
747634607, 6630, SURVIVED
747634607, 6637, SURVIVED
747634607, 6661, SURVIVED
747634607, 6665, SURVIVED
747634607, 6667, SURVIVED
747634607, 6693, SURVIVED
747634607, 6668, SURVIVED
747634607, 6669, SURVIVED
747634607, 6670, SURVIVED
747634607, 6697, SURVIVED
747634607, 6681, SURVIVED
747634607, 6699, SURVIVED
747634607, 6700, SURVIVED
747634607, 12047, SURVIVED
747634607, 12617, SURVIVED
747634607, 6701, SURVIVED
747634607, 6702, SURVIVED
747634607, 12612, SURVIVED
747634627, 651, SURVIVED
747634627, 650, SURVIVED
747634627, 637, SURVIVED
747634627, 643, SURVIVED
747634627, 649, SURVIVED
747634627, 646, SURVIVED
747634627, 652, SURVIVED
747634627, 638, SURVIVED
747634627, 647, SURVIVED
747634627, 653, SURVIVED
747634627, 657, SURVIVED
747634627, 654, SURVIVED
747634627, 655, SURVIVED
747634627, 2185, SURVIVED
747634627, 656, SURVIVED
747634627, 658, SURVIVED
747634627, 2263, SURVIVED
747634627, 2217, SURVIVED
747634627, 2295, SURVIVED
747634627, 2975, SURVIVED
747634627, 5071, SURVIVED
747634627, 5103, SURVIVED
747634627, 5172, SURVIVED
747634627, 5138, SURVIVED
747634627, 5173, SURVIVED
747634627, 5140, SURVIVED
747634627, 5174, SURVIVED
747634627, 5141, SURVIVED
747634627, 5142, SURVIVED
747634627, 5175, SURVIVED
747634627, 5170, SURVIVED
747634627, 5143, SURVIVED
747634627, 5681, SURVIVED
747634627, 5684, SURVIVED
747634627, 5683, SURVIVED
747634627, 5685, SURVIVED
747634627, 5682, SURVIVED
747634627, 5686, SURVIVED
747634627, 6102, SURVIVED
747634627, 6101, SURVIVED
747634627, 6026, SURVIVED
747634627, 5688, SURVIVED
747634627, 6514, SURVIVED
747634627, 5689, SURVIVED
747634627, 5980, SURVIVED
747634627, 6058, SURVIVED
747634627, 6103, SURVIVED
747634627, 6332, SURVIVED
747634627, 6300, SURVIVED
747634627, 6524, SURVIVED
747634627, 6536, SURVIVED
747634627, 6540, SURVIVED
747634627, 6537, SURVIVED
747634627, 6568, SURVIVED
747634627, 6569, SURVIVED
747634627, 6598, SURVIVED
747634627, 6572, SURVIVED
747634627, 6630, SURVIVED
747634627, 6665, SURVIVED
747634627, 6661, SURVIVED
747634627, 6605, SURVIVED
747634627, 6637, SURVIVED
747634627, 6667, SURVIVED
747634627, 6668, SURVIVED
747634627, 6669, SURVIVED
