seed, mutant, status
1144487810, 1052, SURVIVED
1144487810, 3689, SURVIVED
1144487810, 3758, SURVIVED
1144487810, 3725, SURVIVED
1144487810, 3783, SURVIVED
1144487810, 3726, SURVIVED
1144487810, 3789, SURVIVED
1144487810, 3753, SURVIVED
1144487810, 3721, SURVIVED
1144487810, 3684, SURVIVED
1144487810, 1051, SURVIVED
1144487810, 31442, SURVIVED
1144487810, 3720, SURVIVED
1144487829, 28914, SURVIVED
1144487829, 29007, SURVIVED
1144487810, 3757, SURVIVED
1144487829, 28992, SURVIVED
1144487829, 29001, SURVIVED
1144487829, 17056, SURVIVED
1144487829, 26207, SURVIVED
1144487829, 26198, SURVIVED
1144487829, 29024, SURVIVED
1144487829, 28912, SURVIVED
1144487829, 26204, SURVIVED
1144487829, 26197, SURVIVED
1144487813, 26198, SURVIVED
1144487813, 17056, SURVIVED
1144487813, 26197, SURVIVED
1144487813, 26207, SURVIVED
1144487813, 30793, SURVIVED
1144487813, 30821, SURVIVED
1144487813, 26204, SURVIVED
1144487803, 3684, SURVIVED
1144487813, 31442, SURVIVED
1144487813, 30825, SURVIVED
1144487813, 31474, SURVIVED
1144487803, 3689, SURVIVED
1144487803, 3720, SURVIVED
1144487803, 3757, SURVIVED
1144487803, 5547, SURVIVED
1144487803, 3789, SURVIVED
1144487803, 3753, SURVIVED
1144487803, 5546, SURVIVED
1144487803, 3783, SURVIVED
1144487803, 3726, SURVIVED
1144487803, 3758, SURVIVED
1144487803, 3725, SURVIVED
1144487803, 3721, SURVIVED
1144487803, 5248, SURVIVED
1144487813, 31476, SURVIVED
1144487803, 5267, SURVIVED
1144487803, 5273, SURVIVED
1144487803, 5551, SURVIVED
1144487803, 5268, SURVIVED
1144487803, 8341, SURVIVED
1144487803, 5549, SURVIVED
1144487803, 5550, SURVIVED
1144487803, 8342, SURVIVED
1144487803, 8345, SURVIVED
1144487803, 8346, SURVIVED
1144487803, 8347, SURVIVED
1144487803, 8348, SURVIVED
1144487803, 8349, SURVIVED
1144487803, 5548, SURVIVED
1144487803, 8350, SURVIVED
