seed, mutant, status
1665277715, 7676, SURVIVED
1665277715, 7674, SURVIVED
1665277715, 7673, SURVIVED
1665277715, 7671, SURVIVED
1665277715, 7677, SURVIVED
1665277715, 7656, SURVIVED
1665277715, 7678, SURVIVED
1665277715, 7654, SURVIVED
1665277725, 12973, SURVIVED
1665277715, 7672, SURVIVED
1665277715, 7675, SURVIVED
1665277715, 7655, SURVIVED
1665277725, 13036, SURVIVED
1665277725, 12945, SURVIVED
1665277725, 12977, SURVIVED
1665277725, 12951, SURVIVED
1665277725, 14081, SURVIVED
1665277725, 12941, SURVIVED
1665277709, 10444, SURVIVED
1665277709, 3299, SURVIVED
1665277709, 10454, SURVIVED
1665277709, 3303, SURVIVED
1665277709, 3298, SURVIVED
1665277709, 12973, SURVIVED
1665277709, 12945, SURVIVED
1665277709, 10452, SURVIVED
1665277709, 12951, SURVIVED
1665277709, 10448, SURVIVED
1665277709, 12941, SURVIVED
1665277709, 13036, SURVIVED
1665277709, 3297, SURVIVED
1665277709, 12977, SURVIVED
1665277709, 13372, SURVIVED
1665277709, 13388, SURVIVED
1665277709, 14081, SURVIVED
1665277709, 13420, SURVIVED
1665277709, 14113, SURVIVED
1665277704, 7676, SURVIVED
1665277704, 7654, SURVIVED
1665277704, 7644, SURVIVED
1665277704, 7678, SURVIVED
1665277704, 7645, SURVIVED
1665277704, 7671, SURVIVED
1665277704, 7672, SURVIVED
1665277704, 7675, SURVIVED
1665277704, 7656, SURVIVED
1665277704, 7655, SURVIVED
1665277704, 7673, SURVIVED
1665277704, 7674, SURVIVED
1665277704, 7677, SURVIVED
1665277704, 11537, SURVIVED
1665277704, 11545, SURVIVED
1665277704, 11549, SURVIVED
1665277704, 11539, SURVIVED
1665277704, 11544, SURVIVED
1665277704, 11540, SURVIVED
1665277704, 11573, SURVIVED
1665277704, 11541, SURVIVED
1665277704, 11577, SURVIVED
1665277704, 11569, SURVIVED
1665277704, 11576, SURVIVED
1665277704, 11550, SURVIVED
1665277704, 11571, SURVIVED
1665277704, 11572, SURVIVED
1665277704, 13388, SURVIVED
1665277704, 13372, SURVIVED
1665277704, 14081, SURVIVED
1665277704, 14113, SURVIVED
1665277704, 13420, SURVIVED
1665277704, 18682, SURVIVED
1665277712, 7671, SURVIVED
1665277712, 7673, SURVIVED
1665277712, 7656, SURVIVED
1665277712, 7654, SURVIVED
1665277712, 7672, SURVIVED
1665277712, 7655, SURVIVED
1665277712, 7677, SURVIVED
1665277712, 7674, SURVIVED
1665277712, 7676, SURVIVED
1665277712, 7678, SURVIVED
1665277712, 11860, SURVIVED
1665277712, 12941, SURVIVED
1665277712, 12973, SURVIVED
1665277712, 12977, SURVIVED
1665277712, 12951, SURVIVED
1665277712, 12945, SURVIVED
1665277712, 13036, SURVIVED
1665277712, 13388, SURVIVED
1665277712, 7675, SURVIVED
1665277712, 13372, SURVIVED
1665277712, 14081, SURVIVED
1665277712, 14113, SURVIVED
1665277712, 13420, SURVIVED
1665277712, 18682, SURVIVED
1665277712, 16608, SURVIVED
1665277712, 15807, SURVIVED
1665277721, 7644, SURVIVED
1665277721, 7645, SURVIVED
1665277721, 7655, SURVIVED
1665277721, 7671, SURVIVED
1665277721, 7654, SURVIVED
1665277721, 7656, SURVIVED
1665277721, 7672, SURVIVED
1665277721, 7673, SURVIVED
1665277721, 7675, SURVIVED
1665277721, 7674, SURVIVED
1665277721, 11537, SURVIVED
1665277721, 7677, SURVIVED
1665277721, 7678, SURVIVED
1665277721, 7676, SURVIVED
1665277721, 11539, SURVIVED
1665277721, 11540, SURVIVED
1665277721, 11545, SURVIVED
1665277721, 11544, SURVIVED
1665277721, 11572, SURVIVED
1665277721, 11541, SURVIVED
1665277721, 11576, SURVIVED
1665277721, 11550, SURVIVED
1665277721, 11549, SURVIVED
1665277721, 11571, SURVIVED
1665277721, 13388, SURVIVED
1665277721, 11573, SURVIVED
1665277727, 7644, SURVIVED
1665277721, 11569, SURVIVED
1665277721, 11577, SURVIVED
1665277721, 13372, SURVIVED
1665277727, 7645, SURVIVED
1665277721, 14081, SURVIVED
1665277721, 13420, SURVIVED
1665277727, 11537, SURVIVED
1665277727, 11539, SURVIVED
1665277727, 11540, SURVIVED
1665277727, 11541, SURVIVED
1665277727, 11544, SURVIVED
1665277727, 11545, SURVIVED
1665277727, 11572, SURVIVED
1665277727, 11549, SURVIVED
1665277727, 11550, SURVIVED
1665277727, 11569, SURVIVED
1665277727, 11573, SURVIVED
1665277727, 11571, SURVIVED
1665277727, 11577, SURVIVED
1665277727, 12941, SURVIVED
1665277727, 11576, SURVIVED
1665277727, 12945, SURVIVED
1665277727, 12951, SURVIVED
1665277727, 12973, SURVIVED
1665277727, 12977, SURVIVED
1665277727, 13372, SURVIVED
1665277727, 13388, SURVIVED
1665277727, 13036, SURVIVED
1665277727, 13420, SURVIVED
1665277727, 14081, SURVIVED
1665277727, 14113, SURVIVED
1665277703, 3505, SURVIVED
1665277703, 3504, SURVIVED
1665277703, 3499, SURVIVED
1665277703, 3506, SURVIVED
1665277703, 3502, SURVIVED
1665277703, 3498, SURVIVED
1665277703, 3503, SURVIVED
1665277703, 3508, SURVIVED
1665277703, 3509, SURVIVED
1665277703, 3507, SURVIVED
1665277703, 3510, SURVIVED
1665277703, 3512, SURVIVED
1665277703, 3511, SURVIVED
1665277703, 3513, SURVIVED
1665277703, 3514, SURVIVED
1665277703, 3515, SURVIVED
1665277703, 7672, SURVIVED
1665277703, 7673, SURVIVED
1665277703, 7654, SURVIVED
1665277703, 7655, SURVIVED
1665277703, 7656, SURVIVED
1665277703, 7676, SURVIVED
1665277703, 3518, SURVIVED
1665277703, 7678, SURVIVED
1665277703, 7674, SURVIVED
1665277703, 7675, SURVIVED
1665277703, 7677, SURVIVED
1665277703, 7671, SURVIVED
1665277703, 10452, SURVIVED
1665277703, 10448, SURVIVED
1665277703, 10444, SURVIVED
1665277703, 10454, SURVIVED
1665277703, 10947, SURVIVED
1665277703, 12951, SURVIVED
1665277703, 10949, SURVIVED
1665277703, 11860, SURVIVED
1665277703, 12945, SURVIVED
1665277703, 12941, SURVIVED
1665277703, 12973, SURVIVED
1665277703, 12977, SURVIVED
1665277703, 13036, SURVIVED
1665277703, 13388, SURVIVED
1665277703, 13372, SURVIVED
1665277703, 14081, SURVIVED
1665277703, 15807, SURVIVED
1665277703, 14113, SURVIVED
1665277703, 13420, SURVIVED
1665277710, 10444, SURVIVED
1665277703, 16608, SURVIVED
1665277710, 13388, SURVIVED
1665277703, 18682, SURVIVED
1665277710, 10448, SURVIVED
1665277710, 10452, SURVIVED
1665277710, 11860, SURVIVED
1665277710, 10949, SURVIVED
1665277710, 10454, SURVIVED
1665277710, 13372, SURVIVED
1665277710, 10947, SURVIVED
1665277710, 14081, SURVIVED
1665277710, 13420, SURVIVED
1665277710, 16608, SURVIVED
1665277710, 14113, SURVIVED
1665277719, 7644, SURVIVED
1665277710, 18682, SURVIVED
1665277719, 7645, SURVIVED
1665277719, 7655, SURVIVED
1665277719, 7654, SURVIVED
1665277719, 7656, SURVIVED
1665277719, 7674, SURVIVED
1665277719, 7673, SURVIVED
1665277719, 7677, SURVIVED
1665277719, 7672, SURVIVED
1665277719, 7676, SURVIVED
1665277719, 7671, SURVIVED
1665277719, 7675, SURVIVED
1665277719, 7678, SURVIVED
1665277719, 10444, SURVIVED
1665277719, 10448, SURVIVED
1665277719, 10454, SURVIVED
1665277719, 10452, SURVIVED
1665277719, 11537, SURVIVED
1665277719, 11550, SURVIVED
1665277719, 10947, SURVIVED
1665277719, 11539, SURVIVED
1665277719, 10949, SURVIVED
1665277719, 11569, SURVIVED
1665277719, 11541, SURVIVED
1665277719, 11545, SURVIVED
1665277719, 11544, SURVIVED
1665277719, 11540, SURVIVED
1665277719, 11549, SURVIVED
1665277719, 11576, SURVIVED
1665277719, 11573, SURVIVED
1665277719, 11577, SURVIVED
1665277719, 11571, SURVIVED
1665277719, 11572, SURVIVED
