seed, mutant, status
2941370013, 4388, SURVIVED
2941370019, 621, SURVIVED
2941370019, 614, SURVIVED
2941370019, 639, SURVIVED
2941370019, 641, SURVIVED
2941370019, 608, SURVIVED
2941370019, 646, SURVIVED
2941370019, 610, SURVIVED
2941370019, 606, SURVIVED
2941370019, 615, SURVIVED
2941370019, 611, SURVIVED
2941370019, 656, SURVIVED
2941370019, 632, SURVIVED
2941370019, 612, SURVIVED
2941370019, 657, SURVIVED
2941370019, 654, SURVIVED
2941370019, 642, SURVIVED
2941370019, 609, SURVIVED
2941370019, 273, SURVIVED
2941370019, 607, SURVIVED
2941370019, 651, SURVIVED
2941370019, 643, SURVIVED
2941370019, 652, SURVIVED
2941370019, 644, SURVIVED
2941370019, 653, SURVIVED
2941370019, 647, SURVIVED
2941370019, 645, SURVIVED
2941370019, 51, SURVIVED
2941370019, 650, SURVIVED
2941370019, 659, SURVIVED
2941370019, 655, SURVIVED
2941370019, 661, SURVIVED
2941370019, 662, SURVIVED
2941370019, 677, SURVIVED
2941370019, 669, SURVIVED
2941370019, 668, SURVIVED
2941370019, 675, SURVIVED
2941370019, 672, SURVIVED
2941370019, 665, SURVIVED
2941370019, 680, SURVIVED
2941370019, 1430, SURVIVED
2941370019, 670, SURVIVED
2941370019, 671, SURVIVED
2941370019, 663, SURVIVED
2941370019, 664, SURVIVED
2941370019, 1428, SURVIVED
2941370019, 1582, SURVIVED
2941370019, 1429, SURVIVED
2941370019, 676, SURVIVED
2941370019, 679, SURVIVED
2941370019, 2306, SURVIVED
2941370019, 5131, SURVIVED
2941370019, 4388, SURVIVED
2941370019, 1551, SURVIVED
2941370019, 5083, SURVIVED
2941370019, 1550, SURVIVED
2941370019, 2138, SURVIVED
2941370019, 5120, SURVIVED
2941370019, 5082, SURVIVED
2941370019, 2338, SURVIVED
2941370019, 6662, SURVIVED
2941370019, 2861, SURVIVED
2941370019, 6663, SURVIVED
2941370019, 2124, SURVIVED
2941370008, 2429, SURVIVED
2941370008, 273, SURVIVED
2941370008, 2338, SURVIVED
2941370019, 6814, SURVIVED
2941370008, 4388, SURVIVED
2941370019, 6672, SURVIVED
2941370026, 1551, SURVIVED
2941370026, 1550, SURVIVED
2941370026, 1429, SURVIVED
2941370026, 2124, SURVIVED
2941370026, 1582, SURVIVED
2941370026, 2429, SURVIVED
2941370026, 5120, SURVIVED
2941370026, 1430, SURVIVED
2941370026, 6662, SURVIVED
2941370026, 273, SURVIVED
2941370026, 6672, SURVIVED
2941370020, 273, SURVIVED
2941370026, 4639, SURVIVED
2941370026, 4388, SURVIVED
2941370026, 1428, SURVIVED
2941370026, 2861, SURVIVED
2941370026, 6814, SURVIVED
2941370020, 1428, SURVIVED
2941370026, 5082, SURVIVED
2941370026, 5083, SURVIVED
2941370020, 1106, SURVIVED
2941370026, 6663, SURVIVED
2941370020, 51, SURVIVED
2941370026, 2138, SURVIVED
2941370026, 5131, SURVIVED
2941370020, 1429, SURVIVED
2941370020, 1582, SURVIVED
2941370020, 1430, SURVIVED
2941370020, 1551, SURVIVED
2941370020, 2124, SURVIVED
2941370020, 1550, SURVIVED
2941370020, 2138, SURVIVED
2941370020, 3954, SURVIVED
2941370020, 3543, SURVIVED
2941370020, 3962, SURVIVED
2941370020, 3967, SURVIVED
2941370020, 3966, SURVIVED
2941370020, 3972, SURVIVED
2941370020, 4388, SURVIVED
2941370020, 5083, SURVIVED
2941370020, 3970, SURVIVED
2941370020, 5131, SURVIVED
2941370020, 6814, SURVIVED
2941370020, 5082, SURVIVED
2941370020, 5120, SURVIVED
2941370020, 3977, SURVIVED
2941370020, 4639, SURVIVED
2941370027, 273, SURVIVED
2941370027, 1550, SURVIVED
2941370027, 3301, SURVIVED
2941370027, 1551, SURVIVED
2941370027, 2124, SURVIVED
2941370027, 3366, SURVIVED
2941370027, 1582, SURVIVED
2941370027, 3281, SURVIVED
2941370027, 3344, SURVIVED
2941370027, 3365, SURVIVED
2941370027, 2138, SURVIVED
2941370027, 3269, SURVIVED
2941370027, 3369, SURVIVED
2941370027, 3367, SURVIVED
2941370027, 3364, SURVIVED
2941370027, 3313, SURVIVED
2941370027, 3368, SURVIVED
2941370027, 3371, SURVIVED
2941370027, 3370, SURVIVED
2941370027, 3373, SURVIVED
2941370027, 3372, SURVIVED
2941370027, 4388, SURVIVED
2941370027, 3374, SURVIVED
2941370027, 3543, SURVIVED
2941370027, 3376, SURVIVED
2941370027, 3375, SURVIVED
2941370014, 607, SURVIVED
2941370014, 606, SURVIVED
2941370014, 609, SURVIVED
2941370014, 614, SURVIVED
2941370014, 611, SURVIVED
2941370014, 610, SURVIVED
2941370014, 612, SURVIVED
2941370014, 615, SURVIVED
2941370014, 273, SURVIVED
2941370014, 608, SURVIVED
2941370014, 51, SURVIVED
2941370014, 641, SURVIVED
2941370014, 639, SURVIVED
2941370014, 632, SURVIVED
2941370014, 621, SURVIVED
2941370014, 642, SURVIVED
2941370014, 643, SURVIVED
2941370014, 646, SURVIVED
2941370014, 645, SURVIVED
2941370014, 651, SURVIVED
2941370014, 647, SURVIVED
2941370014, 644, SURVIVED
2941370014, 650, SURVIVED
2941370014, 653, SURVIVED
2941370014, 652, SURVIVED
2941370014, 655, SURVIVED
2941370014, 654, SURVIVED
2941370014, 656, SURVIVED
2941370014, 657, SURVIVED
2941370014, 659, SURVIVED
2941370014, 661, SURVIVED
2941370014, 662, SURVIVED
2941370014, 663, SURVIVED
2941370014, 664, SURVIVED
2941370014, 671, SURVIVED
2941370014, 669, SURVIVED
2941370014, 665, SURVIVED
2941370014, 676, SURVIVED
2941370014, 670, SURVIVED
2941370014, 672, SURVIVED
2941370014, 675, SURVIVED
2941370014, 668, SURVIVED
2941370014, 733, SURVIVED
2941370014, 677, SURVIVED
2941370014, 679, SURVIVED
2941370014, 727, SURVIVED
2941370014, 732, SURVIVED
2941370014, 734, SURVIVED
2941370014, 740, SURVIVED
2941370014, 680, SURVIVED
2941370014, 726, SURVIVED
2941370014, 736, SURVIVED
2941370014, 728, SURVIVED
2941370014, 731, SURVIVED
2941370014, 725, SURVIVED
2941370014, 737, SURVIVED
2941370014, 741, SURVIVED
2941370014, 751, SURVIVED
2941370014, 742, SURVIVED
2941370014, 750, SURVIVED
2941370014, 754, SURVIVED
2941370014, 755, SURVIVED
2941370014, 773, SURVIVED
2941370014, 757, SURVIVED
2941370014, 756, SURVIVED
2941370014, 774, SURVIVED
2941370014, 1429, SURVIVED
2941370014, 1428, SURVIVED
2941370014, 1106, SURVIVED
2941370014, 793, SURVIVED
2941370014, 799, SURVIVED
2941370014, 1430, SURVIVED
2941370014, 1550, SURVIVED
2941370014, 1551, SURVIVED
2941370014, 2306, SURVIVED
2941370014, 2587, SURVIVED
2941370014, 2124, SURVIVED
2941370014, 2138, SURVIVED
2941370014, 2429, SURVIVED
2941370014, 1582, SURVIVED
2941370014, 2829, SURVIVED
2941370014, 2823, SURVIVED
2941370014, 2338, SURVIVED
2941370014, 2619, SURVIVED
2941370014, 2397, SURVIVED
2941370014, 2824, SURVIVED
2941370014, 2821, SURVIVED
2941370014, 2853, SURVIVED
2941370014, 2908, SURVIVED
2941370014, 2856, SURVIVED
2941370014, 2855, SURVIVED
2941370014, 2940, SURVIVED
2941370014, 2956, SURVIVED
2941370014, 2861, SURVIVED
2941370014, 2974, SURVIVED
2941370014, 3034, SURVIVED
2941370014, 2988, SURVIVED
2941370014, 3077, SURVIVED
2941370014, 3066, SURVIVED
2941370014, 3072, SURVIVED
2941370014, 3104, SURVIVED
2941370014, 3075, SURVIVED
2941370014, 3081, SURVIVED
2941370014, 3101, SURVIVED
2941370014, 3076, SURVIVED
2941370014, 3078, SURVIVED
2941370014, 3090, SURVIVED
2941370014, 3082, SURVIVED
2941370014, 3080, SURVIVED
2941370014, 3108, SURVIVED
2941370014, 3107, SURVIVED
2941370014, 3109, SURVIVED
2941370014, 3113, SURVIVED
2941370014, 3122, SURVIVED
2941370014, 3110, SURVIVED
2941370014, 3140, SURVIVED
2941370014, 3112, SURVIVED
2941370014, 3133, SURVIVED
2941370014, 3114, SURVIVED
2941370014, 3174, SURVIVED
2941370014, 3269, SURVIVED
2941370014, 3281, SURVIVED
2941370014, 3142, SURVIVED
2941370014, 3313, SURVIVED
2941370014, 3344, SURVIVED
2941370014, 3365, SURVIVED
2941370014, 3301, SURVIVED
2941370014, 3364, SURVIVED
2941370014, 3366, SURVIVED
2941370014, 3368, SURVIVED
2941370014, 3367, SURVIVED
2941370014, 3372, SURVIVED
2941370014, 3369, SURVIVED
2941370014, 3371, SURVIVED
2941370014, 3370, SURVIVED
2941370014, 3543, SURVIVED
2941370014, 3376, SURVIVED
2941370014, 3962, SURVIVED
2941370014, 3374, SURVIVED
2941370014, 3954, SURVIVED
2941370014, 3375, SURVIVED
2941370014, 3373, SURVIVED
2941370014, 3966, SURVIVED
2941370014, 3970, SURVIVED
2941370014, 3967, SURVIVED
2941370014, 5368, SURVIVED
2941370014, 3977, SURVIVED
2941370014, 3972, SURVIVED
2941370014, 5120, SURVIVED
2941370014, 4388, SURVIVED
2941370014, 5377, SURVIVED
2941370014, 5367, SURVIVED
2941370014, 5131, SURVIVED
2941370014, 5373, SURVIVED
2941370014, 5384, SURVIVED
2941370014, 5380, SURVIVED
2941370014, 5389, SURVIVED
2941370014, 5393, SURVIVED
2941370014, 5392, SURVIVED
2941370014, 5395, SURVIVED
2941370014, 5398, SURVIVED
2941370014, 5431, SURVIVED
2941370014, 5399, SURVIVED
2941370014, 5405, SURVIVED
2941370014, 5430, SURVIVED
2941370014, 5416, SURVIVED
2941370014, 5421, SURVIVED
2941370014, 5409, SURVIVED
2941370014, 5473, SURVIVED
2941370014, 5476, SURVIVED
2941370014, 5475, SURVIVED
2941370014, 5474, SURVIVED
2941370014, 5479, SURVIVED
2941370014, 5478, SURVIVED
2941370014, 5512, SURVIVED
2941370014, 5509, SURVIVED
2941370014, 5520, SURVIVED
2941370014, 5519, SURVIVED
2941370014, 5522, SURVIVED
2941370014, 5562, SURVIVED
2941370014, 5561, SURVIVED
2941370014, 5529, SURVIVED
2941370014, 5530, SURVIVED
2941370014, 5523, SURVIVED
2941370014, 5524, SURVIVED
2941370014, 5557, SURVIVED
2941370014, 5532, SURVIVED
2941370014, 5521, SURVIVED
2941370014, 5528, SURVIVED
2941370014, 5525, SURVIVED
2941370014, 5560, SURVIVED
2941370014, 5567, SURVIVED
2941370014, 5564, SURVIVED
2941370014, 5570, SURVIVED
2941370014, 5573, SURVIVED
2941370014, 5568, SURVIVED
2941370014, 5569, SURVIVED
2941370014, 5838, SURVIVED
2941370014, 5725, SURVIVED
2941370014, 5976, SURVIVED
2941370014, 5977, SURVIVED
2941370014, 5670, SURVIVED
2941370014, 5973, SURVIVED
2941370014, 5841, SURVIVED
2941370014, 6008, SURVIVED
2941370014, 6005, SURVIVED
2941370014, 6009, SURVIVED
2941370014, 6024, SURVIVED
2941370014, 5991, SURVIVED
2941370014, 5990, SURVIVED
2941370014, 6019, SURVIVED
2941370014, 6018, SURVIVED
2941370014, 6256, SURVIVED
2941370014, 6101, SURVIVED
2941370014, 6050, SURVIVED
2941370014, 6025, SURVIVED
2941370014, 6056, SURVIVED
2941370014, 6255, SURVIVED
2941370014, 6057, SURVIVED
2941370014, 6045, SURVIVED
2941370014, 6044, SURVIVED
2941370014, 6257, SURVIVED
2941370014, 6051, SURVIVED
2941370014, 6259, SURVIVED
2941370014, 6258, SURVIVED
2941370014, 6261, SURVIVED
2941370014, 6262, SURVIVED
2941370014, 6260, SURVIVED
2941370014, 6263, SURVIVED
2941370014, 6265, SURVIVED
2941370014, 6814, SURVIVED
2941370014, 6488, SURVIVED
2941370014, 6268, SURVIVED
2941370014, 6264, SURVIVED
2941370014, 6462, SURVIVED
2941370011, 273, SURVIVED
2941370011, 51, SURVIVED
2941370011, 606, SURVIVED
2941370011, 609, SURVIVED
2941370011, 646, SURVIVED
2941370011, 608, SURVIVED
2941370011, 607, SURVIVED
2941370011, 614, SURVIVED
2941370011, 612, SURVIVED
2941370011, 610, SURVIVED
2941370011, 644, SURVIVED
2941370011, 611, SURVIVED
2941370011, 643, SURVIVED
2941370011, 645, SURVIVED
2941370011, 632, SURVIVED
2941370011, 639, SURVIVED
2941370011, 642, SURVIVED
2941370011, 641, SURVIVED
2941370011, 615, SURVIVED
2941370011, 621, SURVIVED
2941370011, 647, SURVIVED
2941370011, 650, SURVIVED
2941370011, 659, SURVIVED
2941370011, 662, SURVIVED
2941370011, 657, SURVIVED
2941370011, 653, SURVIVED
2941370011, 651, SURVIVED
2941370011, 655, SURVIVED
2941370011, 661, SURVIVED
2941370011, 652, SURVIVED
2941370011, 656, SURVIVED
2941370011, 663, SURVIVED
2941370011, 668, SURVIVED
2941370011, 654, SURVIVED
2941370011, 664, SURVIVED
2941370011, 669, SURVIVED
2941370011, 665, SURVIVED
2941370011, 670, SURVIVED
2941370011, 677, SURVIVED
2941370011, 671, SURVIVED
2941370011, 676, SURVIVED
2941370011, 672, SURVIVED
2941370011, 675, SURVIVED
2941370011, 1219, SURVIVED
2941370011, 1207, SURVIVED
