seed, mutant, status
1531509000, 7764, SURVIVED
1531509000, 13924, SURVIVED
1531509002, 2012, SURVIVED
1531509002, 8924, SURVIVED
1531509002, 2015, SURVIVED
1531509002, 2017, SURVIVED
1531509002, 9116, SURVIVED
1531509002, 1985, SURVIVED
1531509002, 2034, SURVIVED
1531509002, 1984, SURVIVED
1531509002, 8960, SURVIVED
1531509002, 2035, SURVIVED
1531509002, 8992, SURVIVED
1531509002, 9922, SURVIVED
1531509002, 2013, SURVIVED
1531509002, 2011, SURVIVED
1531509002, 1987, SURVIVED
1531509002, 1808, SURVIVED
1531509002, 1986, SURVIVED
1531509002, 2003, SURVIVED
1531509002, 9954, SURVIVED
1531509002, 1802, SURVIVED
1531509002, 2016, SURVIVED
1531509002, 2002, SURVIVED
1531509002, 1988, SURVIVED
1531509002, 2014, SURVIVED
1531509002, 8956, SURVIVED
1531509002, 9929, SURVIVED
1531509002, 2010, SURVIVED
1531509002, 2018, SURVIVED
1531509002, 1857, SURVIVED
1531509002, 2020, SURVIVED
1531509002, 2042, SURVIVED
1531509002, 2043, SURVIVED
1531509002, 2044, SURVIVED
1531509002, 2047, SURVIVED
1531509002, 2049, SURVIVED
1531509002, 2096, SURVIVED
1531509002, 2054, SURVIVED
1531509002, 2045, SURVIVED
1531509002, 2050, SURVIVED
1531509002, 2046, SURVIVED
1531509002, 2051, SURVIVED
1531509002, 2102, SURVIVED
1531509002, 2073, SURVIVED
1531509002, 2082, SURVIVED
1531509002, 2064, SURVIVED
1531509002, 2070, SURVIVED
1531509002, 2089, SURVIVED
1531509002, 2105, SURVIVED
1531509002, 2048, SURVIVED
1531509002, 2081, SURVIVED
1531509002, 2086, SURVIVED
1531509002, 2103, SURVIVED
1531509002, 2078, SURVIVED
1531509002, 2075, SURVIVED
1531509002, 2057, SURVIVED
1531509002, 2104, SURVIVED
1531509002, 2079, SURVIVED
1531509002, 2071, SURVIVED
1531509002, 2080, SURVIVED
1531509002, 2072, SURVIVED
1531509002, 2110, SURVIVED
1531509002, 2107, SURVIVED
1531509002, 2083, SURVIVED
1531509002, 2115, SURVIVED
1531509002, 2114, SURVIVED
1531509002, 2111, SURVIVED
1531509002, 2116, SURVIVED
1531509020, 13924, SURVIVED
1531509002, 4960, SURVIVED
1531509002, 5065, SURVIVED
1531509002, 5068, SURVIVED
1531509002, 4895, SURVIVED
1531509020, 7764, SURVIVED
1531509010, 13924, SURVIVED
1531509002, 5069, SURVIVED
1531509010, 7764, SURVIVED
