seed, mutant, status
2076601110, 3646, SURVIVED
2076601110, 7086, SURVIVED
2076601110, 3543, SURVIVED
2076601110, 3573, SURVIVED
2076601110, 7050, SURVIVED
2076601110, 7088, SURVIVED
2076601110, 2406, SURVIVED
2076601110, 7053, SURVIVED
2076601110, 7083, SURVIVED
2076601110, 7057, SURVIVED
2076601110, 7084, SURVIVED
2076601110, 3574, SURVIVED
2076601110, 3465, SURVIVED
2076601110, 7087, SURVIVED
2076601110, 7052, SURVIVED
2076601110, 2415, SURVIVED
2076601110, 238, SURVIVED
2076601110, 7055, SURVIVED
2076601110, 3457, SURVIVED
2076601110, 7082, SURVIVED
2076601110, 7089, SURVIVED
2076601110, 7054, SURVIVED
2076601110, 7085, SURVIVED
2076601110, 3542, SURVIVED
2076601110, 3614, SURVIVED
2076601110, 3584, SURVIVED
2076601110, 3453, SURVIVED
2076601110, 7056, SURVIVED
2076601110, 3571, SURVIVED
2076601110, 7058, SURVIVED
2076601110, 3570, SURVIVED
2076601110, 7051, SURVIVED
2076601110, 7090, SURVIVED
2076601110, 7113, SURVIVED
2076601110, 7093, SURVIVED
2076601110, 7111, SURVIVED
2076601110, 7112, SURVIVED
2076601110, 7094, SURVIVED
2076601110, 7114, SURVIVED
2076601110, 7115, SURVIVED
2076601114, 657, SURVIVED
2076601114, 8318, SURVIVED
2076601114, 3453, SURVIVED
2076601110, 7116, SURVIVED
2076601110, 7133, SURVIVED
2076601114, 666, SURVIVED
2076601110, 7338, SURVIVED
2076601114, 3457, SURVIVED
2076601114, 3570, SURVIVED
2076601110, 7117, SURVIVED
2076601114, 3465, SURVIVED
2076601114, 3543, SURVIVED
2076601114, 3542, SURVIVED
2076601114, 3584, SURVIVED
2076601114, 3574, SURVIVED
2076601114, 3571, SURVIVED
2076601114, 7051, SURVIVED
2076601114, 3614, SURVIVED
2076601114, 7052, SURVIVED
2076601114, 7054, SURVIVED
2076601114, 3573, SURVIVED
2076601114, 3646, SURVIVED
2076601114, 7050, SURVIVED
2076601114, 7053, SURVIVED
2076601114, 7055, SURVIVED
2076601114, 7056, SURVIVED
2076601114, 7058, SURVIVED
2076601114, 7057, SURVIVED
2076601100, 238, SURVIVED
2076601100, 2383, SURVIVED
2076601100, 657, SURVIVED
2076601100, 2374, SURVIVED
2076601100, 666, SURVIVED
2076601100, 2641, SURVIVED
2076601100, 2406, SURVIVED
2076601100, 2700, SURVIVED
2076601100, 2701, SURVIVED
2076601100, 2415, SURVIVED
2076601100, 2721, SURVIVED
2076601100, 2775, SURVIVED
2076601100, 3453, SURVIVED
2076601100, 2752, SURVIVED
2076601100, 3457, SURVIVED
2076601100, 3465, SURVIVED
2076601100, 3542, SURVIVED
2076601100, 3573, SURVIVED
2076601100, 3543, SURVIVED
2076601100, 3614, SURVIVED
2076601100, 3574, SURVIVED
2076601100, 3584, SURVIVED
2076601100, 3570, SURVIVED
2076601100, 3571, SURVIVED
2076601100, 3646, SURVIVED
2076601100, 4140, SURVIVED
2076601100, 4319, SURVIVED
2076601100, 4139, SURVIVED
2076601100, 4351, SURVIVED
2076601100, 4585, SURVIVED
2076601100, 4553, SURVIVED
2076601100, 4738, SURVIVED
2076601100, 4662, SURVIVED
2076601100, 4729, SURVIVED
2076601100, 4697, SURVIVED
2076601100, 4725, SURVIVED
2076601100, 4693, SURVIVED
2076601100, 5202, SURVIVED
2076601100, 5177, SURVIVED
2076601100, 4740, SURVIVED
2076601100, 5213, SURVIVED
2076601100, 5215, SURVIVED
2076601100, 5212, SURVIVED
2076601100, 5211, SURVIVED
2076601100, 5214, SURVIVED
2076601100, 5245, SURVIVED
2076601100, 5243, SURVIVED
2076601100, 5234, SURVIVED
2076601100, 5244, SURVIVED
2076601100, 5247, SURVIVED
2076601100, 5246, SURVIVED
2076601100, 5267, SURVIVED
2076601100, 5266, SURVIVED
2076601100, 5298, SURVIVED
2076601100, 5299, SURVIVED
2076601100, 5383, SURVIVED
2076601100, 5384, SURVIVED
2076601100, 5385, SURVIVED
2076601100, 5386, SURVIVED
2076601100, 5387, SURVIVED
2076601100, 5388, SURVIVED
2076601100, 5396, SURVIVED
2076601100, 5390, SURVIVED
2076601100, 6023, SURVIVED
2076601100, 5958, SURVIVED
2076601100, 6007, SURVIVED
2076601100, 7052, SURVIVED
2076601100, 7050, SURVIVED
2076601100, 6028, SURVIVED
2076601100, 7055, SURVIVED
2076601100, 7051, SURVIVED
2076601100, 7054, SURVIVED
2076601100, 7058, SURVIVED
2076601100, 7053, SURVIVED
2076601100, 7083, SURVIVED
2076601100, 7082, SURVIVED
2076601100, 7084, SURVIVED
2076601100, 7057, SURVIVED
2076601100, 7056, SURVIVED
2076601100, 7086, SURVIVED
2076601100, 7085, SURVIVED
2076601100, 7088, SURVIVED
2076601100, 7087, SURVIVED
2076601100, 7089, SURVIVED
2076601100, 7093, SURVIVED
2076601100, 7112, SURVIVED
2076601100, 7090, SURVIVED
2076601100, 7113, SURVIVED
2076601100, 7094, SURVIVED
2076601100, 7111, SURVIVED
2076601100, 7114, SURVIVED
2076601100, 7115, SURVIVED
2076601100, 7116, SURVIVED
2076601100, 7338, SURVIVED
2076601100, 7133, SURVIVED
2076601100, 9027, SURVIVED
2076601100, 9025, SURVIVED
2076601100, 7117, SURVIVED
2076601100, 9036, SURVIVED
2076601100, 8318, SURVIVED
2076601100, 9033, SURVIVED
2076601100, 9037, SURVIVED
2076601100, 9077, SURVIVED
2076601100, 9075, SURVIVED
2076601100, 9074, SURVIVED
