seed, mutant, status
2429751100, 1751, SURVIVED
2429751100, 1578, SURVIVED
2429751100, 1818, SURVIVED
2429751100, 86, SURVIVED
2429751100, 212, SURVIVED
2429751100, 1630, SURVIVED
2429751100, 1845, SURVIVED
2429751100, 1816, SURVIVED
2429751100, 2345, SURVIVED
2429751100, 142, SURVIVED
2429751100, 2576, SURVIVED
2429751100, 174, SURVIVED
2429751100, 1759, SURVIVED
2429751100, 2336, SURVIVED
2429751100, 2574, SURVIVED
2429751100, 2584, SURVIVED
2429751100, 70, SURVIVED
2429751100, 1874, SURVIVED
2429751100, 1631, SURVIVED
2429751100, 2354, SURVIVED
2429751100, 1783, SURVIVED
2429751100, 2343, SURVIVED
2429751100, 2322, SURVIVED
2429751100, 118, SURVIVED
2429751100, 2606, SURVIVED
2429751100, 1850, SURVIVED
2429751100, 1791, SURVIVED
2429751100, 143, SURVIVED
2429751100, 175, SURVIVED
2429751100, 1813, SURVIVED
2429751100, 1848, SURVIVED
2429751100, 2347, SURVIVED
2429751100, 2833, SURVIVED
2429751100, 2616, SURVIVED
2429751100, 2608, SURVIVED
2429751100, 2901, SURVIVED
2429751100, 2851, SURVIVED
2429751100, 2890, SURVIVED
2429751100, 2983, SURVIVED
2429751100, 2951, SURVIVED
2429751100, 2974, SURVIVED
2429751100, 2992, SURVIVED
2429751100, 3595, SURVIVED
2429751100, 3623, SURVIVED
2429751100, 2986, SURVIVED
2429751100, 2922, SURVIVED
2429751100, 2926, SURVIVED
2429751100, 2988, SURVIVED
2429751100, 2996, SURVIVED
2429751100, 2933, SURVIVED
2429751100, 2873, SURVIVED
2429751100, 2894, SURVIVED
2429751100, 2995, SURVIVED
2429751100, 2868, SURVIVED
2429751100, 4630, SURVIVED
2429751100, 3627, SURVIVED
2429751100, 3592, SURVIVED
2429751100, 2989, SURVIVED
2429751100, 3624, SURVIVED
2429751100, 2985, SURVIVED
2429751100, 3022, SURVIVED
2429751100, 3054, SURVIVED
2429751100, 2987, SURVIVED
2429751100, 3591, SURVIVED
2429751100, 4662, SURVIVED
2429751100, 4674, SURVIVED
2429751100, 4678, SURVIVED
2429751100, 4680, SURVIVED
2429751100, 4706, SURVIVED
2429751100, 4709, SURVIVED
2429751100, 4712, SURVIVED
2429751100, 4677, SURVIVED
2429751100, 4710, SURVIVED
2429751100, 4849, SURVIVED
2429751100, 4850, SURVIVED
2429751100, 4916, SURVIVED
2429751100, 4883, SURVIVED
2429751100, 4915, SURVIVED
2429751100, 4884, SURVIVED
2429751100, 5212, SURVIVED
2429751100, 4932, SURVIVED
2429751100, 5218, SURVIVED
2429751100, 5202, SURVIVED
2429751100, 4944, SURVIVED
2429751100, 6126, SURVIVED
2429751100, 5211, SURVIVED
2429751100, 5196, SURVIVED
2429751100, 4930, SURVIVED
2429751100, 5204, SURVIVED
2429751100, 6120, SURVIVED
2429751100, 5205, SURVIVED
2429751100, 4943, SURVIVED
2429751100, 4928, SURVIVED
2429751100, 4942, SURVIVED
2429751100, 5186, SURVIVED
2429751100, 6121, SURVIVED
2429751100, 6146, SURVIVED
2429751100, 6152, SURVIVED
2429751100, 6269, SURVIVED
2429751100, 6266, SURVIVED
2429751100, 6263, SURVIVED
2429751100, 6277, SURVIVED
2429751100, 6276, SURVIVED
2429751100, 6278, SURVIVED
