seed, mutant, status
3154819127, 4262, SURVIVED
3154819127, 4368, SURVIVED
3154819127, 4297, SURVIVED
3154819118, 4297, SURVIVED
3154819118, 4365, SURVIVED
3154819127, 4369, SURVIVED
3154819127, 4370, SURVIVED
3154819118, 4262, SURVIVED
3154819127, 4376, SURVIVED
3154819127, 4365, SURVIVED
3154819118, 4368, SURVIVED
3154819118, 4369, SURVIVED
3154819118, 4370, SURVIVED
3154819118, 4376, SURVIVED
3154819122, 395, SURVIVED
3154819122, 224, SURVIVED
3154819122, 30, SURVIVED
3154819122, 207, SURVIVED
3154819122, 79, SURVIVED
3154819122, 31, SURVIVED
3154819122, 240, SURVIVED
3154819122, 318, SURVIVED
3154819122, 321, SURVIVED
3154819122, 63, SURVIVED
3154819122, 397, SURVIVED
3154819122, 396, SURVIVED
3154819122, 53, SURVIVED
3154819122, 208, SURVIVED
3154819122, 391, SURVIVED
3154819122, 21, SURVIVED
3154819122, 399, SURVIVED
3154819122, 489, SURVIVED
3154819122, 485, SURVIVED
3154819122, 453, SURVIVED
3154819122, 239, SURVIVED
3154819122, 457, SURVIVED
3154819122, 259, SURVIVED
3154819122, 530, SURVIVED
3154819122, 439, SURVIVED
3154819122, 491, SURVIVED
3154819122, 459, SURVIVED
3154819122, 536, SURVIVED
3154819122, 541, SURVIVED
3154819122, 543, SURVIVED
3154819122, 529, SURVIVED
3154819122, 561, SURVIVED
3154819122, 573, SURVIVED
3154819122, 562, SURVIVED
3154819122, 575, SURVIVED
3154819122, 568, SURVIVED
3154819122, 572, SURVIVED
3154819122, 597, SURVIVED
3154819122, 583, SURVIVED
3154819122, 647, SURVIVED
3154819122, 593, SURVIVED
3154819122, 606, SURVIVED
3154819122, 615, SURVIVED
3154819122, 625, SURVIVED
3154819122, 821, SURVIVED
3154819122, 638, SURVIVED
3154819122, 629, SURVIVED
3154819122, 704, SURVIVED
3154819122, 679, SURVIVED
3154819122, 706, SURVIVED
3154819122, 860, SURVIVED
3154819122, 826, SURVIVED
3154819122, 737, SURVIVED
3154819122, 766, SURVIVED
3154819122, 738, SURVIVED
3154819122, 765, SURVIVED
3154819122, 705, SURVIVED
3154819122, 854, SURVIVED
3154819122, 734, SURVIVED
3154819122, 825, SURVIVED
3154819122, 733, SURVIVED
3154819122, 865, SURVIVED
3154819122, 736, SURVIVED
3154819122, 869, SURVIVED
3154819122, 872, SURVIVED
3154819122, 871, SURVIVED
3154819122, 875, SURVIVED
3154819122, 874, SURVIVED
3154819122, 876, SURVIVED
3154819122, 877, SURVIVED
3154819122, 880, SURVIVED
3154819122, 881, SURVIVED
3154819122, 886, SURVIVED
3154819122, 899, SURVIVED
3154819122, 898, SURVIVED
3154819122, 892, SURVIVED
3154819122, 921, SURVIVED
3154819122, 931, SURVIVED
3154819122, 936, SURVIVED
3154819122, 930, SURVIVED
3154819122, 953, SURVIVED
3154819122, 935, SURVIVED
3154819122, 934, SURVIVED
3154819122, 1042, SURVIVED
3154819122, 1041, SURVIVED
3154819122, 1043, SURVIVED
3154819122, 1045, SURVIVED
3154819122, 1046, SURVIVED
3154819122, 1051, SURVIVED
3154819122, 1044, SURVIVED
3154819122, 1048, SURVIVED
3154819122, 1256, SURVIVED
3154819122, 1121, SURVIVED
3154819122, 1047, SURVIVED
3154819122, 1050, SURVIVED
3154819122, 1049, SURVIVED
3154819122, 1325, SURVIVED
3154819122, 1317, SURVIVED
3154819122, 1294, SURVIVED
3154819122, 1326, SURVIVED
3154819122, 1355, SURVIVED
3154819122, 1848, SURVIVED
3154819122, 1816, SURVIVED
3154819122, 1928, SURVIVED
3154819122, 1925, SURVIVED
3154819122, 1933, SURVIVED
3154819122, 1965, SURVIVED
3154819122, 1957, SURVIVED
3154819122, 1932, SURVIVED
3154819122, 1989, SURVIVED
3154819122, 1964, SURVIVED
3154819122, 1960, SURVIVED
3154819122, 1997, SURVIVED
