seed, mutant, status
1628090319, 1769, SURVIVED
1628090319, 1767, SURVIVED
1628090319, 1843, SURVIVED
1628090319, 1771, SURVIVED
1628090319, 1738, SURVIVED
1628090319, 72, SURVIVED
1628090319, 1857, SURVIVED
1628090319, 1721, SURVIVED
1628090319, 85, SURVIVED
1628090319, 1770, SURVIVED
1628090319, 1736, SURVIVED
1628090319, 1734, SURVIVED
1628090319, 1739, SURVIVED
1628090319, 1768, SURVIVED
1628090319, 1725, SURVIVED
1628090305, 85, SURVIVED
1628090305, 1725, SURVIVED
1628090305, 72, SURVIVED
1628090305, 1736, SURVIVED
1628090305, 1738, SURVIVED
1628090305, 1734, SURVIVED
1628090305, 1767, SURVIVED
1628090305, 1739, SURVIVED
1628090305, 1843, SURVIVED
1628090305, 1721, SURVIVED
1628090305, 1769, SURVIVED
1628090305, 1770, SURVIVED
1628090305, 1768, SURVIVED
1628090305, 1771, SURVIVED
1628090305, 1857, SURVIVED
1628090321, 2067, SURVIVED
1628090321, 2057, SURVIVED
1628090321, 72, SURVIVED
1628090321, 85, SURVIVED
1628090321, 1721, SURVIVED
1628090321, 1725, SURVIVED
1628090321, 1734, SURVIVED
1628090321, 1769, SURVIVED
1628090321, 1771, SURVIVED
1628090321, 1770, SURVIVED
1628090321, 1857, SURVIVED
1628090321, 1768, SURVIVED
1628090321, 1767, SURVIVED
1628090321, 1739, SURVIVED
1628090321, 1843, SURVIVED
1628090321, 1738, SURVIVED
1628090321, 1736, SURVIVED
1628090314, 2089, SURVIVED
1628090314, 2067, SURVIVED
1628090314, 1725, SURVIVED
1628090314, 1734, SURVIVED
1628090314, 2119, SURVIVED
1628090314, 2124, SURVIVED
1628090314, 2100, SURVIVED
1628090314, 85, SURVIVED
1628090314, 2134, SURVIVED
1628090314, 1721, SURVIVED
1628090314, 72, SURVIVED
1628090314, 2133, SURVIVED
1628090314, 2099, SURVIVED
1628090314, 2057, SURVIVED
1628090314, 2198, SURVIVED
1628090314, 1736, SURVIVED
1628090314, 2118, SURVIVED
1628090314, 1739, SURVIVED
1628090314, 1738, SURVIVED
1628090314, 1769, SURVIVED
1628090314, 1843, SURVIVED
1628090314, 1857, SURVIVED
1628090314, 1768, SURVIVED
1628090314, 1770, SURVIVED
1628090314, 1771, SURVIVED
1628090314, 1767, SURVIVED
1628090311, 85, SURVIVED
1628090311, 514, SURVIVED
1628090311, 72, SURVIVED
1628090311, 546, SURVIVED
1628090311, 559, SURVIVED
1628090311, 598, SURVIVED
1628090311, 604, SURVIVED
1628090311, 646, SURVIVED
1628090311, 607, SURVIVED
1628090311, 602, SURVIVED
1628090311, 605, SURVIVED
1628090311, 837, SURVIVED
1628090311, 606, SURVIVED
1628090311, 856, SURVIVED
1628090311, 880, SURVIVED
1628090311, 883, SURVIVED
1628090311, 869, SURVIVED
1628090311, 884, SURVIVED
1628090311, 882, SURVIVED
1628090311, 885, SURVIVED
1628090311, 1302, SURVIVED
1628090311, 886, SURVIVED
1628090311, 877, SURVIVED
1628090311, 879, SURVIVED
1628090311, 876, SURVIVED
1628090311, 1334, SURVIVED
1628090311, 888, SURVIVED
1628090311, 1345, SURVIVED
1628090311, 1453, SURVIVED
1628090311, 1624, SURVIVED
1628090311, 1439, SURVIVED
1628090311, 1377, SURVIVED
1628090311, 1721, SURVIVED
1628090311, 1421, SURVIVED
1628090311, 1725, SURVIVED
1628090311, 1734, SURVIVED
1628090311, 1768, SURVIVED
1628090311, 1471, SURVIVED
1628090311, 1739, SURVIVED
1628090311, 1769, SURVIVED
1628090311, 1736, SURVIVED
1628090311, 1767, SURVIVED
1628090311, 1738, SURVIVED
1628090311, 1771, SURVIVED
1628090311, 2057, SURVIVED
1628090311, 1770, SURVIVED
1628090311, 1843, SURVIVED
1628090311, 1857, SURVIVED
1628090311, 2089, SURVIVED
1628090311, 2067, SURVIVED
1628090311, 2099, SURVIVED
1628090311, 2100, SURVIVED
1628090311, 2124, SURVIVED
1628090311, 2134, SURVIVED
1628090311, 2133, SURVIVED
1628090311, 2198, SURVIVED
1628090311, 2118, SURVIVED
1628090311, 2119, SURVIVED
1628090351, 72, SURVIVED
1628090351, 1767, SURVIVED
1628090351, 1734, SURVIVED
1628090351, 85, SURVIVED
1628090351, 1721, SURVIVED
1628090351, 1736, SURVIVED
1628090351, 1768, SURVIVED
1628090351, 1739, SURVIVED
1628090351, 1725, SURVIVED
1628090351, 1738, SURVIVED
1628090351, 1769, SURVIVED
1628090351, 1771, SURVIVED
1628090351, 1770, SURVIVED
1628090351, 1843, SURVIVED
1628090351, 1857, SURVIVED
1628090324, 514, SURVIVED
1628090316, 85, SURVIVED
1628090316, 72, SURVIVED
1628090324, 602, SURVIVED
1628090324, 72, SURVIVED
1628090324, 546, SURVIVED
1628090324, 85, SURVIVED
1628090324, 606, SURVIVED
1628090324, 559, SURVIVED
1628090324, 607, SURVIVED
1628090324, 605, SURVIVED
1628090324, 598, SURVIVED
1628090324, 646, SURVIVED
1628090324, 837, SURVIVED
1628090324, 604, SURVIVED
1628090312, 72, SURVIVED
1628090312, 85, SURVIVED
1628090324, 856, SURVIVED
1628090324, 869, SURVIVED
1628090324, 877, SURVIVED
1628090324, 879, SURVIVED
1628090324, 876, SURVIVED
1628090324, 880, SURVIVED
1628090324, 884, SURVIVED
1628090324, 882, SURVIVED
1628090324, 883, SURVIVED
1628090324, 886, SURVIVED
1628090324, 885, SURVIVED
1628090324, 888, SURVIVED
1628090324, 1334, SURVIVED
1628090324, 1302, SURVIVED
1628090324, 1345, SURVIVED
1628090324, 1377, SURVIVED
1628090324, 1421, SURVIVED
1628090324, 1439, SURVIVED
1628090324, 1453, SURVIVED
1628090324, 1734, SURVIVED
1628090324, 1624, SURVIVED
1628090324, 1721, SURVIVED
1628090324, 1471, SURVIVED
1628090324, 1736, SURVIVED
1628090324, 1739, SURVIVED
1628090324, 1725, SURVIVED
1628090324, 1768, SURVIVED
1628090324, 1770, SURVIVED
1628090324, 1738, SURVIVED
1628090324, 1767, SURVIVED
1628090324, 1771, SURVIVED
1628090324, 1769, SURVIVED
1628090324, 1843, SURVIVED
1628090324, 1857, SURVIVED
1628090302, 85, SURVIVED
1628090302, 72, SURVIVED
