seed, mutant, status
2467078419, 273, SURVIVED
2467078419, 456, SURVIVED
2467078419, 450, SURVIVED
2467078419, 475, SURVIVED
2467078419, 268, SURVIVED
2467078419, 276, SURVIVED
2467078419, 424, SURVIVED
2467078419, 366, SURVIVED
2467078419, 392, SURVIVED
2467078419, 369, SURVIVED
2467078419, 477, SURVIVED
2467078419, 385, SURVIVED
2467078419, 253, SURVIVED
2467078419, 367, SURVIVED
2467078419, 457, SURVIVED
2467078419, 410, SURVIVED
2467078419, 395, SURVIVED
2467078419, 427, SURVIVED
2467078419, 274, SURVIVED
2467078419, 233, SURVIVED
2467078419, 277, SURVIVED
2467078419, 476, SURVIVED
2467078419, 370, SURVIVED
2467078419, 473, SURVIVED
2467078419, 417, SURVIVED
2467078419, 440, SURVIVED
2467078419, 408, SURVIVED
2467078419, 459, SURVIVED
2467078419, 221, SURVIVED
2467078419, 458, SURVIVED
2467078419, 243, SURVIVED
2467078419, 240, SURVIVED
2467078419, 488, SURVIVED
2467078419, 509, SURVIVED
2467078419, 490, SURVIVED
2467078419, 482, SURVIVED
2467078419, 530, SURVIVED
2467078419, 505, SURVIVED
2467078419, 489, SURVIVED
2467078419, 673, SURVIVED
2467078419, 669, SURVIVED
2467078419, 491, SURVIVED
2467078419, 643, SURVIVED
2467078419, 668, SURVIVED
2467078419, 607, SURVIVED
2467078419, 534, SURVIVED
2467078419, 537, SURVIVED
2467078419, 646, SURVIVED
2467078419, 675, SURVIVED
2467078419, 507, SURVIVED
2467078419, 533, SURVIVED
2467078419, 670, SURVIVED
2467078419, 647, SURVIVED
2467078419, 641, SURVIVED
2467078419, 538, SURVIVED
2467078419, 617, SURVIVED
2467078419, 532, SURVIVED
2467078419, 531, SURVIVED
2467078419, 585, SURVIVED
2467078419, 676, SURVIVED
2467078419, 508, SURVIVED
2467078419, 639, SURVIVED
2467078419, 666, SURVIVED
2467078419, 644, SURVIVED
2467078419, 679, SURVIVED
2467078419, 684, SURVIVED
2467078419, 683, SURVIVED
2467078419, 678, SURVIVED
2467078419, 688, SURVIVED
2467078419, 682, SURVIVED
2467078419, 687, SURVIVED
2467078419, 836, SURVIVED
2467078419, 864, SURVIVED
2467078419, 723, SURVIVED
2467078419, 832, SURVIVED
2467078419, 700, SURVIVED
2467078419, 702, SURVIVED
2467078419, 724, SURVIVED
2467078419, 727, SURVIVED
2467078419, 698, SURVIVED
2467078419, 778, SURVIVED
2467078419, 865, SURVIVED
2467078419, 810, SURVIVED
2467078419, 868, SURVIVED
2467078419, 693, SURVIVED
2467078419, 730, SURVIVED
2467078419, 835, SURVIVED
2467078419, 867, SURVIVED
2467078419, 701, SURVIVED
2467078419, 833, SURVIVED
2467078451, 73, SURVIVED
2467078451, 74, SURVIVED
2467078451, 201, SURVIVED
2467078451, 72, SURVIVED
2467078451, 211, SURVIVED
2467078451, 208, SURVIVED
2467078451, 273, SURVIVED
2467078451, 233, SURVIVED
2467078451, 268, SURVIVED
2467078451, 243, SURVIVED
2467078451, 369, SURVIVED
