seed, mutant, status
106344803, 2438, SURVIVED
106344803, 2442, SURVIVED
106344803, 2437, SURVIVED
106344803, 697, SURVIVED
106344803, 4542, SURVIVED
106344803, 7835, SURVIVED
106344803, 7848, SURVIVED
106344803, 8002, SURVIVED
106344803, 8034, SURVIVED
106344803, 2208, SURVIVED
106344803, 2441, SURVIVED
106344803, 2484, SURVIVED
106344803, 2436, SURVIVED
106344803, 2433, SURVIVED
106344803, 8043, SURVIVED
106344803, 2395, SURVIVED
106344803, 2427, SURVIVED
106344803, 8049, SURVIVED
106344803, 703, SURVIVED
106344803, 7838, SURVIVED
106344803, 2346, SURVIVED
106344803, 7852, SURVIVED
106344803, 4603, SURVIVED
106344803, 2452, SURVIVED
106344803, 2482, SURVIVED
106344803, 7840, SURVIVED
106344803, 2314, SURVIVED
106344803, 7854, SURVIVED
106344803, 7839, SURVIVED
106344803, 11085, SURVIVED
106344803, 7836, SURVIVED
106344803, 7837, SURVIVED
106344803, 7858, SURVIVED
106344803, 7859, SURVIVED
106344803, 7867, SURVIVED
106344803, 7869, SURVIVED
106344803, 7871, SURVIVED
106344803, 7870, SURVIVED
106344803, 7868, SURVIVED
106344803, 7942, SURVIVED
106344818, 697, SURVIVED
106344803, 7941, SURVIVED
106344818, 11819, SURVIVED
106344803, 7944, SURVIVED
106344818, 2346, SURVIVED
106344818, 7069, SURVIVED
106344803, 8011, SURVIVED
106344818, 6078, SURVIVED
106344803, 7946, SURVIVED
106344818, 4542, SURVIVED
106344818, 6023, SURVIVED
106344803, 7943, SURVIVED
106344818, 2208, SURVIVED
106344818, 1923, SURVIVED
106344803, 8017, SURVIVED
106344818, 703, SURVIVED
106344818, 2314, SURVIVED
106344818, 2395, SURVIVED
106344803, 7945, SURVIVED
106344818, 6055, SURVIVED
106344818, 6046, SURVIVED
106344818, 7099, SURVIVED
106344803, 1923, SURVIVED
106344818, 11812, SURVIVED
106344818, 7101, SURVIVED
106344818, 7106, SURVIVED
106344818, 7836, SURVIVED
106344818, 7109, SURVIVED
106344818, 7141, SURVIVED
106344818, 7835, SURVIVED
106344818, 7138, SURVIVED
106344818, 7839, SURVIVED
106344818, 7838, SURVIVED
106344818, 7837, SURVIVED
106344818, 7848, SURVIVED
106344818, 7840, SURVIVED
106344818, 7854, SURVIVED
106344818, 7867, SURVIVED
106344818, 7858, SURVIVED
106344818, 7871, SURVIVED
106344818, 7859, SURVIVED
106344818, 7942, SURVIVED
106344818, 7870, SURVIVED
106344818, 8011, SURVIVED
106344818, 7941, SURVIVED
106344818, 7869, SURVIVED
106344818, 7852, SURVIVED
