seed, mutant, status
3210862517, 1226, SURVIVED
3210862517, 1258, SURVIVED
3210862549, 1226, SURVIVED
3210862541, 4308, SURVIVED
3210862541, 4309, SURVIVED
3210862541, 4341, SURVIVED
3210862541, 4340, SURVIVED
3210862541, 4343, SURVIVED
3210862541, 4311, SURVIVED
3210862520, 96, SURVIVED
3210862520, 84, SURVIVED
3210862520, 100, SURVIVED
3210862520, 89, SURVIVED
3210862520, 102, SURVIVED
3210862520, 1258, SURVIVED
3210862520, 109, SURVIVED
3210862520, 116, SURVIVED
3210862520, 93, SURVIVED
3210862520, 106, SURVIVED
3210862520, 111, SURVIVED
3210862520, 101, SURVIVED
3210862520, 107, SURVIVED
3210862520, 99, SURVIVED
3210862520, 1226, SURVIVED
3210862520, 108, SURVIVED
3210862520, 112, SURVIVED
3210862579, 1258, SURVIVED
3210862579, 1226, SURVIVED
3210862509, 1258, SURVIVED
3210862509, 1548, SURVIVED
3210862509, 1226, SURVIVED
3210862509, 1486, SURVIVED
3210862519, 1226, SURVIVED
3210862531, 1226, SURVIVED
3210862531, 1258, SURVIVED
3210862548, 1226, SURVIVED
3210862524, 1226, SURVIVED
3210862548, 1258, SURVIVED
3210862501, 1226, SURVIVED
3210862501, 1258, SURVIVED
3210862582, 1226, SURVIVED
3210862504, 4340, SURVIVED
3210862504, 4308, SURVIVED
3210862504, 4341, SURVIVED
3210862504, 4311, SURVIVED
3210862574, 1226, SURVIVED
3210862539, 1226, SURVIVED
3210862504, 4309, SURVIVED
3210862502, 4308, SURVIVED
3210862504, 4343, SURVIVED
3210862502, 4309, SURVIVED
3210862555, 1548, SURVIVED
3210862555, 1226, SURVIVED
3210862555, 1486, SURVIVED
3210862502, 4340, SURVIVED
3210862555, 1258, SURVIVED
3210862502, 4311, SURVIVED
3210862502, 4341, SURVIVED
3210862502, 4343, SURVIVED
3210862574, 1258, SURVIVED
3210862530, 1226, SURVIVED
3210862551, 1226, SURVIVED
3210862574, 1486, SURVIVED
3210862551, 1258, SURVIVED
3210862566, 84, SURVIVED
3210862566, 89, SURVIVED
3210862566, 99, SURVIVED
3210862566, 100, SURVIVED
3210862566, 93, SURVIVED
3210862566, 96, SURVIVED
