seed, mutant, status
2441077960, 4571, SURVIVED
2441077960, 2620, SURVIVED
2441077960, 4567, SURVIVED
2441077960, 2662, SURVIVED
2441077960, 4578, SURVIVED
2441077960, 2582, SURVIVED
2441077960, 4574, SURVIVED
2441077960, 2623, SURVIVED
2441077960, 4570, SURVIVED
2441077960, 4573, KILLED_TIMEOUT
2441077979, 4573, SURVIVED
2441077979, 4570, SURVIVED
2441077938, 5672, SURVIVED
2441077979, 4574, SURVIVED
2441077979, 4571, SURVIVED
2441077979, 4578, SURVIVED
2441077938, 5671, SURVIVED
2441077979, 4567, SURVIVED
2441077936, 4571, SURVIVED
2441077936, 4567, SURVIVED
2441077936, 2623, SURVIVED
2441077936, 4574, SURVIVED
2441077936, 2662, SURVIVED
2441077936, 2620, SURVIVED
2441077936, 4578, SURVIVED
2441077936, 4570, SURVIVED
2441077936, 2582, SURVIVED
2441077936, 4573, KILLED_TIMEOUT
1602462570, 4571, SURVIVED
1602462570, 4567, SURVIVED
1602462570, 4574, SURVIVED
1602462570, 4578, SURVIVED
1602462546, 5671, SURVIVED
1602462570, 4570, SURVIVED
1602462546, 5672, SURVIVED
1602462543, 4570, SURVIVED
1602462543, 4571, SURVIVED
1602462516, 4571, SURVIVED
1602462516, 4578, SURVIVED
1602462516, 4574, SURVIVED
1602462543, 4573, SURVIVED
1602462516, 4567, SURVIVED
1602462543, 4567, SURVIVED
1602462516, 4573, SURVIVED
1602462516, 4570, SURVIVED
1602462543, 4574, SURVIVED
1602462543, 4578, SURVIVED
1602462505, 4570, SURVIVED
1602462505, 4578, SURVIVED
1602462505, 4567, SURVIVED
1602462505, 4574, SURVIVED
1602462505, 4573, SURVIVED
1602462505, 4571, SURVIVED
1602462515, 4570, SURVIVED
1602462535, 5672, SURVIVED
1602462515, 4571, SURVIVED
1602462570, 4573, KILLED_FAILED
1602462535, 5671, SURVIVED
1602462515, 4567, SURVIVED
1602462515, 4574, SURVIVED
1602462515, 4578, SURVIVED
1602462515, 4573, SURVIVED
1602462594, 4571, SURVIVED
1602462594, 4570, SURVIVED
1602462594, 4567, SURVIVED
1602462594, 4573, SURVIVED
1602462594, 4574, SURVIVED
1602462594, 4578, SURVIVED
2934737251, 4574, SURVIVED
