seed, mutant, status
3761560504, 213, SURVIVED
3761560504, 222, SURVIVED
3761560504, 214, SURVIVED
3761560504, 220, SURVIVED
3761560504, 212, SURVIVED
3761560504, 217, SURVIVED
3761560504, 216, SURVIVED
3761560504, 206, SURVIVED
3761560504, 221, SURVIVED
3761560504, 199, SURVIVED
3761560527, 221, SURVIVED
3761560527, 213, SURVIVED
3761560527, 222, SURVIVED
3761560527, 216, SURVIVED
3761560527, 214, SURVIVED
3761560527, 217, SURVIVED
3761560527, 206, SURVIVED
3761560527, 199, SURVIVED
3761560500, 216, SURVIVED
3761560527, 220, SURVIVED
3761560527, 212, SURVIVED
3761560500, 217, SURVIVED
3761560500, 221, SURVIVED
3761560500, 214, SURVIVED
3761560500, 199, SURVIVED
3761560500, 222, SURVIVED
3761560500, 206, SURVIVED
3761560500, 220, SURVIVED
3761560500, 213, SURVIVED
3761560500, 212, SURVIVED
3761560517, 199, SURVIVED
3761560517, 206, SURVIVED
3761560517, 217, SURVIVED
3761560517, 216, SURVIVED
3761560517, 212, SURVIVED
3761560517, 221, SURVIVED
3761560517, 220, SURVIVED
3761560517, 222, SURVIVED
3761560517, 213, SURVIVED
3761560517, 214, SURVIVED
3761560518, 206, SURVIVED
3761560518, 199, SURVIVED
3761560518, 212, SURVIVED
3761560518, 217, SURVIVED
3761560518, 216, SURVIVED
3761560518, 214, SURVIVED
3761560518, 213, SURVIVED
3761560518, 220, SURVIVED
3761560518, 222, SURVIVED
3761560518, 221, SURVIVED
3761560583, 199, SURVIVED
3761560583, 206, SURVIVED
3761560583, 212, SURVIVED
3761560583, 213, SURVIVED
3761560583, 214, SURVIVED
3761560583, 216, SURVIVED
3761560583, 217, SURVIVED
3761560512, 212, SURVIVED
3761560512, 213, SURVIVED
3761560512, 206, SURVIVED
3761560583, 220, SURVIVED
3761560512, 222, SURVIVED
3761560512, 217, SURVIVED
3761560512, 199, SURVIVED
3761560512, 216, SURVIVED
3761560512, 220, SURVIVED
3761560512, 214, SURVIVED
3761560512, 221, SURVIVED
3761560526, 206, SURVIVED
3761560583, 221, SURVIVED
3761560526, 199, SURVIVED
3761560526, 216, SURVIVED
3761560526, 213, SURVIVED
3761560526, 212, SURVIVED
3761560526, 214, SURVIVED
3761560583, 222, SURVIVED
3761560526, 217, SURVIVED
3761560526, 220, SURVIVED
3761560526, 222, SURVIVED
3761560526, 221, SURVIVED
3761560529, 199, SURVIVED
3761560529, 206, SURVIVED
3761560529, 212, SURVIVED
3761560529, 214, SURVIVED
3761560529, 213, SURVIVED
3761560529, 220, SURVIVED
3761560529, 217, SURVIVED
3761560529, 221, SURVIVED
3761560529, 216, SURVIVED
3761560529, 222, SURVIVED
3761560530, 199, SURVIVED
3761560530, 206, SURVIVED
3761560530, 212, SURVIVED
3761560530, 214, SURVIVED
3761560530, 220, SURVIVED
3761560530, 213, SURVIVED
3761560530, 217, SURVIVED
3761560530, 216, SURVIVED
3761560530, 222, SURVIVED
3761560530, 221, SURVIVED
3761560559, 206, SURVIVED
3761560559, 214, SURVIVED
3761560559, 199, SURVIVED
3761560559, 212, SURVIVED
3761560559, 216, SURVIVED
3761560559, 213, SURVIVED
3761560559, 217, SURVIVED
3761560559, 220, SURVIVED
3761560559, 221, SURVIVED
3761560559, 222, SURVIVED
3761560590, 206, SURVIVED
3761560590, 199, SURVIVED
3761560549, 212, SURVIVED
3761560549, 199, SURVIVED
3761560549, 206, SURVIVED
3761560549, 213, SURVIVED
3761560549, 216, SURVIVED
3761560549, 214, SURVIVED
3761560549, 220, SURVIVED
3761560549, 217, SURVIVED
3761560549, 221, SURVIVED
3761560549, 222, SURVIVED
3761560590, 212, SURVIVED
3761560590, 213, SURVIVED
3761560590, 214, SURVIVED
3761560590, 216, SURVIVED
3761560590, 220, SURVIVED
3761560590, 221, SURVIVED
3761560590, 217, SURVIVED
3761560590, 222, SURVIVED
3761560533, 206, SURVIVED
3761560533, 199, SURVIVED
3761560533, 212, SURVIVED
3761560533, 214, SURVIVED
3761560533, 216, SURVIVED
3761560533, 213, SURVIVED
3761560533, 220, SURVIVED
3761560533, 217, SURVIVED
3761560533, 222, SURVIVED
3761560533, 221, SURVIVED
3761560591, 199, SURVIVED
3761560591, 206, SURVIVED
3761560591, 212, SURVIVED
3761560591, 213, SURVIVED
