seed, mutant, status
3051364506, 16586, SURVIVED
3051364506, 16488, SURVIVED
3051364506, 16512, SURVIVED
3051364506, 16630, SURVIVED
3051364506, 16598, SURVIVED
3051364506, 16528, SURVIVED
3051364506, 16570, SURVIVED
3051364506, 16636, SURVIVED
3051364506, 16523, SURVIVED
3051364506, 16530, SURVIVED
3051364506, 16526, SURVIVED
3051364506, 16604, SURVIVED
3051364506, 16515, SURVIVED
3051364506, 16538, SURVIVED
3051364506, 16519, SURVIVED
3051364506, 16511, SURVIVED
3051364506, 16529, SURVIVED
3051364506, 16585, SURVIVED
3051364506, 16525, SURVIVED
3051364506, 16618, SURVIVED
3051364506, 16518, SURVIVED
3051364506, 16489, SURVIVED
3051364506, 16617, SURVIVED
3051364506, 16544, SURVIVED
3051364506, 16522, SURVIVED
3051364506, 16640, SURVIVED
3051364520, 16966, SURVIVED
3051364520, 17134, SURVIVED
3051364505, 16966, SURVIVED
3051364505, 17134, SURVIVED
3051364503, 16966, SURVIVED
3051364503, 17134, SURVIVED
3051364506, 16685, SURVIVED
3051364506, 16966, SURVIVED
3051364506, 16717, SURVIVED
3051364506, 1365, SURVIVED
3051364506, 1781, SURVIVED
3051364506, 1434, SURVIVED
3051364506, 1349, SURVIVED
3051364506, 1145, SURVIVED
3051364506, 16485, SURVIVED
3051364506, 1348, SURVIVED
3051364506, 2181, SURVIVED
3051364506, 16479, SURVIVED
3051364506, 16486, SURVIVED
3051364506, 2313, SURVIVED
3051364506, 17134, SURVIVED
3051364506, 12293, SURVIVED
3051364506, 2345, SURVIVED
3051364506, 2326, SURVIVED
3051364506, 3682, SURVIVED
3051364506, 2358, SURVIVED
3051364506, 3633, SURVIVED
3051364506, 4600, SURVIVED
3051364506, 2357, SURVIVED
3051364506, 2328, SURVIVED
3051364506, 3541, SURVIVED
3051364506, 3650, SURVIVED
3051364506, 4751, SURVIVED
3051364506, 4693, SURVIVED
3051364506, 4696, SURVIVED
3051364506, 5213, SURVIVED
3051364506, 5381, SURVIVED
3051364506, 5380, SURVIVED
3051364506, 5415, SURVIVED
3051364506, 5383, SURVIVED
3051364506, 5414, SURVIVED
3051364506, 15319, SURVIVED
3051364506, 15311, SURVIVED
3051364506, 15341, SURVIVED
3051364506, 5724, SURVIVED
3051364506, 15313, SURVIVED
3051364506, 15308, SURVIVED
3051364506, 15338, SURVIVED
3051364506, 15318, SURVIVED
3051364506, 15312, SURVIVED
3051364506, 5731, SURVIVED
3051364506, 5854, SURVIVED
3051364506, 15342, SURVIVED
3051364506, 15343, SURVIVED
3051364506, 15349, SURVIVED
3051364510, 1434, SURVIVED
3051364510, 1863, SURVIVED
3051364510, 1145, SURVIVED
3051364510, 16717, SURVIVED
3051364510, 16966, SURVIVED
3051364510, 1365, SURVIVED
3051364510, 1781, SURVIVED
3051364510, 16685, SURVIVED
3051364510, 1862, SURVIVED
3051364510, 2313, SURVIVED
3051364510, 2326, SURVIVED
3051364510, 2328, SURVIVED
3051364510, 2345, SURVIVED
3051364510, 2357, SURVIVED
3051364510, 2181, SURVIVED
3051364510, 3919, SURVIVED
3051364510, 3858, SURVIVED
3051364510, 2358, SURVIVED
3051364510, 3890, SURVIVED
3051364510, 19422, SURVIVED
3051364510, 3916, SURVIVED
3051364510, 3650, SURVIVED
3051364510, 3682, SURVIVED
3051364510, 3541, SURVIVED
3051364510, 3879, SURVIVED
3051364510, 3880, SURVIVED
3051364510, 19454, SURVIVED
3051364510, 3948, SURVIVED
3051364510, 3914, SURVIVED
3051364510, 3633, SURVIVED
3051364510, 3951, SURVIVED
3051364510, 3946, SURVIVED
3051364510, 4044, SURVIVED
3051364510, 4045, SURVIVED
3051364510, 4065, SURVIVED
3051364510, 4046, SURVIVED
3051364510, 4063, SURVIVED
3051364510, 4066, SURVIVED
3051364510, 4061, SURVIVED
3051364510, 4060, SURVIVED
3051364510, 4062, SURVIVED
3051364510, 4076, SURVIVED
3051364510, 4078, SURVIVED
3051364510, 4077, SURVIVED
3051364510, 4081, SURVIVED
3051364510, 4082, SURVIVED
3051364510, 4083, SURVIVED
3051364510, 4084, SURVIVED
3051364510, 12293, SURVIVED
3051364510, 4092, SURVIVED
3051364510, 4088, SURVIVED
3051364510, 4143, SURVIVED
3051364510, 4093, SURVIVED
3051364510, 4085, SURVIVED
3051364510, 4094, SURVIVED
3051364510, 4089, SURVIVED
3051364510, 4095, SURVIVED
3051364510, 4160, SURVIVED
3051364510, 4144, SURVIVED
3051364510, 4163, SURVIVED
3051364510, 4164, SURVIVED
3051364510, 4172, SURVIVED
3051364510, 4161, SURVIVED
3051364510, 4178, SURVIVED
3051364510, 17134, SURVIVED
3051364510, 4696, SURVIVED
3051364510, 4693, SURVIVED
3051364510, 5213, SURVIVED
3051364510, 4751, SURVIVED
3051364510, 5380, SURVIVED
3051364510, 5854, SURVIVED
3051364510, 5381, SURVIVED
3051364510, 5415, SURVIVED
3051364510, 5383, SURVIVED
3051364510, 5724, SURVIVED
3051364510, 5414, SURVIVED
3051364510, 5731, SURVIVED
3051364510, 15308, SURVIVED
3051364510, 15312, SURVIVED
3051364508, 1434, SURVIVED
3051364508, 1365, SURVIVED
3051364510, 15311, SURVIVED
3051364508, 1145, SURVIVED
3051364510, 15318, SURVIVED
3051364508, 2357, SURVIVED
3051364508, 2345, SURVIVED
3051364508, 2326, SURVIVED
3051364508, 2313, SURVIVED
3051364508, 2181, SURVIVED
3051364510, 15341, SURVIVED
3051364510, 15342, SURVIVED
3051364508, 1781, SURVIVED
3051364510, 15349, SURVIVED
3051364510, 15313, SURVIVED
3051364510, 15338, SURVIVED
3051364508, 2328, SURVIVED
3051364508, 2358, SURVIVED
3051364510, 15343, SURVIVED
3051364510, 15319, SURVIVED
3051364508, 3541, SURVIVED
3051364508, 3633, SURVIVED
3051364508, 3650, SURVIVED
3051364508, 3682, SURVIVED
3051364508, 4696, SURVIVED
3051364508, 4600, SURVIVED
3051364508, 4693, SURVIVED
3051364508, 5383, SURVIVED
3051364508, 4751, SURVIVED
3051364508, 5381, SURVIVED
3051364508, 5724, SURVIVED
3051364508, 5731, SURVIVED
3051364508, 5414, SURVIVED
3051364508, 5213, SURVIVED
3051364508, 5854, SURVIVED
3051364508, 5380, SURVIVED
3051364508, 5953, SURVIVED
3051364508, 5415, SURVIVED
3051364508, 6802, SURVIVED
3051364508, 6982, SURVIVED
3051364508, 12293, SURVIVED
3051364508, 7155, SURVIVED
3051364508, 12334, SURVIVED
3051364508, 14112, SURVIVED
3051364508, 14817, SURVIVED
3051364508, 14294, SURVIVED
3051364508, 14831, SURVIVED
3051364508, 14829, SURVIVED
3051364508, 14832, SURVIVED
3051364508, 14830, SURVIVED
3051364508, 14833, SURVIVED
3051364508, 14902, SURVIVED
3051364508, 14870, SURVIVED
3051364508, 14871, SURVIVED
3051364508, 14872, SURVIVED
3051364508, 14903, SURVIVED
3051364508, 15308, SURVIVED
3051364508, 14904, SURVIVED
3051364508, 15311, SURVIVED
3051364508, 15312, SURVIVED
3051364508, 15313, SURVIVED
3051364508, 15318, SURVIVED
3051364508, 15338, SURVIVED
3051364508, 15319, SURVIVED
3051364508, 15341, SURVIVED
3051364508, 15343, SURVIVED
3051364508, 15342, SURVIVED
3051364508, 15349, SURVIVED
3051364508, 16486, SURVIVED
3051364508, 16485, SURVIVED
3051364508, 16488, SURVIVED
3051364508, 16598, SURVIVED
3051364508, 16479, SURVIVED
3051364508, 16586, SURVIVED
3051364508, 16489, SURVIVED
3051364508, 16604, SURVIVED
3051364508, 16570, SURVIVED
3051364508, 16617, SURVIVED
3051364508, 16618, SURVIVED
3051364508, 16585, SURVIVED
3051364508, 16630, SURVIVED
3051364508, 16636, SURVIVED
3051364508, 16717, SURVIVED
3051364508, 16640, SURVIVED
3051364508, 16966, SURVIVED
3051364508, 16685, SURVIVED
3051364508, 17134, SURVIVED
3051364508, 16763, SURVIVED
3051364516, 16486, SURVIVED
3051364516, 16479, SURVIVED
3051364516, 16485, SURVIVED
3051364516, 16488, SURVIVED
3051364516, 16586, SURVIVED
3051364516, 16570, SURVIVED
3051364516, 16489, SURVIVED
3051364516, 16604, SURVIVED
3051364516, 16598, SURVIVED
3051364516, 16585, SURVIVED
3051364516, 16617, SURVIVED
3051364516, 16618, SURVIVED
3051364516, 16630, SURVIVED
3051364516, 16636, SURVIVED
3051364516, 16717, SURVIVED
3051364516, 16640, SURVIVED
3051364516, 16685, SURVIVED
3051364516, 1365, SURVIVED
3051364516, 17134, SURVIVED
3051364516, 16966, SURVIVED
3051364516, 1145, SURVIVED
3051364516, 1434, SURVIVED
3051364516, 1781, SURVIVED
3051364516, 1862, SURVIVED
3051364516, 1863, SURVIVED
3051364516, 2313, SURVIVED
3051364516, 2181, SURVIVED
3051364516, 2326, SURVIVED
3051364516, 2357, SURVIVED
3051364516, 2328, SURVIVED
3051364516, 2345, SURVIVED
3051364516, 2358, SURVIVED
3051364516, 3682, SURVIVED
3051364516, 3880, SURVIVED
3051364516, 3633, SURVIVED
3051364516, 3650, SURVIVED
3051364516, 3541, SURVIVED
3051364516, 3858, SURVIVED
3051364516, 3879, SURVIVED
3051364516, 3916, SURVIVED
3051364516, 3914, SURVIVED
3051364516, 3946, SURVIVED
3051364516, 3948, SURVIVED
3051364516, 3919, SURVIVED
3051364516, 12293, SURVIVED
3051364516, 3951, SURVIVED
3051364516, 3974, SURVIVED
3051364516, 4600, SURVIVED
3051364516, 4751, SURVIVED
3051364516, 12334, SURVIVED
3051364516, 5213, SURVIVED
3051364516, 4693, SURVIVED
3051364516, 4696, SURVIVED
3051364516, 5381, SURVIVED
3051364516, 5414, SURVIVED
3051364516, 5415, SURVIVED
3051364516, 5383, SURVIVED
3051364516, 5380, SURVIVED
3051364516, 15311, SURVIVED
3051364516, 5731, SURVIVED
3051364516, 5724, SURVIVED
3051364516, 5854, SURVIVED
3051364516, 15308, SURVIVED
3051364516, 15312, SURVIVED
3051364516, 15313, SURVIVED
3051364516, 15338, SURVIVED
3051364516, 15318, SURVIVED
3051364516, 15341, SURVIVED
3051364516, 15319, SURVIVED
3051364516, 15342, SURVIVED
3051364516, 15349, SURVIVED
3051364518, 1349, SURVIVED
3051364518, 1145, SURVIVED
3051364516, 15343, SURVIVED
3051364518, 1348, SURVIVED
3051364516, 15691, SURVIVED
3051364518, 1863, SURVIVED
3051364518, 1920, SURVIVED
3051364518, 1921, SURVIVED
3051364518, 1781, SURVIVED
3051364518, 1924, SURVIVED
3051364518, 1365, SURVIVED
3051364518, 1434, SURVIVED
3051364518, 1862, SURVIVED
3051364518, 1919, SURVIVED
3051364518, 1928, SURVIVED
3051364518, 1932, SURVIVED
3051364518, 1937, SURVIVED
3051364518, 1925, SURVIVED
3051364518, 1951, SURVIVED
3051364518, 1957, SURVIVED
3051364518, 1956, SURVIVED
3051364518, 1953, SURVIVED
3051364518, 1952, SURVIVED
3051364518, 1960, SURVIVED
3051364518, 1964, SURVIVED
3051364518, 1976, SURVIVED
3051364518, 1969, SURVIVED
3051364518, 2042, SURVIVED
3051364518, 2010, SURVIVED
3051364518, 1987, SURVIVED
3051364518, 1983, SURVIVED
3051364518, 2141, SURVIVED
3051364518, 2019, SURVIVED
3051364518, 2326, SURVIVED
3051364518, 2313, SURVIVED
3051364518, 2181, SURVIVED
3051364518, 2345, SURVIVED
3051364518, 2328, SURVIVED
3051364518, 3650, SURVIVED
3051364518, 3633, SURVIVED
3051364518, 3879, SURVIVED
3051364518, 3682, SURVIVED
3051364518, 2357, SURVIVED
3051364518, 3858, SURVIVED
3051364518, 3880, SURVIVED
3051364518, 3541, SURVIVED
3051364518, 2358, SURVIVED
3051364518, 3890, SURVIVED
3051364518, 3946, SURVIVED
3051364518, 3919, SURVIVED
3051364518, 3914, SURVIVED
3051364518, 3948, SURVIVED
3051364518, 3916, SURVIVED
3051364518, 3951, SURVIVED
3051364518, 4033, SURVIVED
3051364518, 4045, SURVIVED
3051364518, 4044, SURVIVED
3051364518, 4060, SURVIVED
3051364518, 4046, SURVIVED
3051364518, 4061, SURVIVED
3051364518, 4066, KILLED_FAILED
3051364518, 4063, SURVIVED
3051364518, 4062, SURVIVED
3051364518, 4065, SURVIVED
3051364518, 4078, SURVIVED
3051364518, 4082, SURVIVED
3051364518, 4083, SURVIVED
3051364518, 4077, SURVIVED
3051364518, 4081, SURVIVED
3051364518, 4084, SURVIVED
3051364518, 4076, SURVIVED
3051364518, 4093, SURVIVED
3051364518, 4088, SURVIVED
3051364518, 4085, SURVIVED
3051364518, 4089, SURVIVED
3051364518, 4092, SURVIVED
3051364518, 4094, SURVIVED
3051364518, 4095, SURVIVED
3051364518, 4143, SURVIVED
3051364518, 4144, SURVIVED
3051364518, 4160, SURVIVED
3051364518, 4172, SURVIVED
3051364518, 4161, SURVIVED
3051364518, 4163, SURVIVED
3051364518, 4164, SURVIVED
3051364518, 4600, SURVIVED
3051364518, 4178, SURVIVED
3051364518, 4693, SURVIVED
3051364518, 4696, SURVIVED
3051364518, 5213, SURVIVED
3051364518, 4751, SURVIVED
3051364518, 5380, SURVIVED
3051364518, 5381, SURVIVED
