seed, mutant, status
1442406988, 74, SURVIVED
1442406988, 19, SURVIVED
1442406988, 3, SURVIVED
1442406988, 35, SURVIVED
1442406988, 75, SURVIVED
1442406988, 20, SURVIVED
1442406988, 16, SURVIVED
1442406988, 6, SURVIVED
1442406988, 71, SURVIVED
1442406988, 68, SURVIVED
1442406988, 28, SURVIVED
1442406988, 18, SURVIVED
1442406953, 57, KILLED_FAILED
1442406953, 58, KILLED_FAILED
1442406953, 50, KILLED_FAILED
1442406953, 48, KILLED_FAILED
1442406953, 59, KILLED_FAILED
1442406953, 60, KILLED_FAILED
1442406953, 3, SURVIVED
1442406953, 35, SURVIVED
1442406953, 51, SURVIVED
1442406953, 19, SURVIVED
1442406953, 6, SURVIVED
1442406953, 74, SURVIVED
1442406953, 71, SURVIVED
1442406953, 68, SURVIVED
1442406953, 949, SURVIVED
1442406953, 947, SURVIVED
1442406953, 75, SURVIVED
1442406953, 951, SURVIVED
1442406953, 1114, SURVIVED
1442406953, 952, SURVIVED
1442406953, 948, SURVIVED
1442406953, 49, KILLED_FAILED
1442406953, 938, SURVIVED
1442406953, 981, SURVIVED
1442406953, 1111, SURVIVED
1442406953, 950, SURVIVED
1442406953, 1109, SURVIVED
1442406953, 1013, SURVIVED
1442406953, 1141, SURVIVED
1442406953, 1143, SURVIVED
1442406953, 1146, SURVIVED
1442406953, 1345, SURVIVED
1442406953, 1344, SURVIVED
1442406953, 1362, SURVIVED
1442406953, 1376, SURVIVED
1442406953, 1580, SURVIVED
1442406953, 1377, SURVIVED
1442406953, 1614, SURVIVED
1442406953, 1394, SURVIVED
1442406953, 54, KILLED_FAILED
1442406953, 1618, SURVIVED
1442406953, 1548, SURVIVED
1442406953, 1617, SURVIVED
1442406953, 1616, SURVIVED
1442406953, 1619, SURVIVED
1442406953, 1646, SURVIVED
1442406953, 1615, SURVIVED
1442406953, 1665, SURVIVED
1442406953, 1648, SURVIVED
1442406953, 1649, SURVIVED
1442406953, 1647, SURVIVED
1442406953, 1697, SURVIVED
1442406953, 1650, SURVIVED
1442406953, 1861, SURVIVED
1442406953, 1651, SURVIVED
1442406953, 3970, SURVIVED
1442406953, 52, KILLED_FAILED
1442406953, 53, KILLED_TIMEOUT
1442406996, 20, KILLED_FAILED
1442406996, 53, KILLED_FAILED
1442406953, 28, KILLED_TIMEOUT
1442406996, 202, SURVIVED
1442406996, 234, SURVIVED
1442406996, 3, SURVIVED
1442406996, 71, SURVIVED
1442406996, 28, SURVIVED
1442406996, 51, SURVIVED
1442406953, 56, KILLED_TIMEOUT
1442406996, 19, SURVIVED
1442406996, 291, SURVIVED
1442406996, 245, SURVIVED
1442406996, 35, SURVIVED
1442406996, 18, SURVIVED
1442406996, 6, SURVIVED
1442406996, 74, SURVIVED
1442406996, 68, SURVIVED
1442406996, 75, SURVIVED
1442406996, 213, SURVIVED
1442406996, 292, SURVIVED
1442406953, 55, KILLED_TIMEOUT
1442406996, 295, SURVIVED
1442406996, 302, SURVIVED
1442406996, 299, SURVIVED
1442406953, 20, KILLED_TIMEOUT
1442406996, 300, SURVIVED
1442406953, 16, KILLED_TIMEOUT
1442406996, 304, SURVIVED
1442406996, 303, SURVIVED
1442406996, 308, SURVIVED
1442406996, 319, SURVIVED
1442406996, 307, SURVIVED
1442406953, 18, KILLED_TIMEOUT
1442406996, 305, SURVIVED
1442406996, 316, SURVIVED
1442406996, 320, SURVIVED
1442406996, 321, SURVIVED
1442406996, 313, SURVIVED
1442406996, 323, SURVIVED
1442406996, 317, SURVIVED
1442406996, 318, SURVIVED
1442406996, 331, SURVIVED
1442406996, 322, SURVIVED
1442406996, 52, KILLED_FAILED
1442406996, 325, SURVIVED
1442406996, 327, SURVIVED
1442406996, 324, SURVIVED
1442406996, 329, SURVIVED
1442406996, 326, SURVIVED
1442406996, 330, SURVIVED
1442406996, 333, SURVIVED
1442406996, 332, SURVIVED
1442406996, 56, KILLED_TIMEOUT
1442406996, 335, SURVIVED
1442406996, 334, SURVIVED
1442406996, 336, SURVIVED
1442406996, 55, KILLED_FAILED
1442406996, 338, SURVIVED
1442406996, 339, SURVIVED
1442406996, 340, SURVIVED
