seed, mutant, status
2541193218, 360, SURVIVED
2541193218, 394, SURVIVED
2541193218, 354, SURVIVED
2541193218, 353, SURVIVED
2541193218, 901, SURVIVED
2541193218, 352, SURVIVED
2541193218, 902, SURVIVED
2541193218, 484, SURVIVED
2541193218, 932, SURVIVED
2541193218, 486, SURVIVED
2541193218, 492, KILLED_FAILED
2541193218, 369, SURVIVED
2541193218, 931, SURVIVED
2541193212, 353, SURVIVED
2541193212, 354, SURVIVED
2541193212, 483, KILLED_FAILED
2541193212, 485, KILLED_FAILED
2541193212, 352, SURVIVED
2541193212, 369, SURVIVED
2541193212, 394, SURVIVED
2541193212, 360, SURVIVED
2541193212, 484, SURVIVED
2541193212, 488, KILLED_FAILED
2541193212, 489, KILLED_FAILED
2541193212, 487, KILLED_FAILED
2541193212, 491, KILLED_FAILED
2541193212, 490, KILLED_FAILED
2541193212, 486, SURVIVED
2541193212, 493, KILLED_FAILED
2541193212, 901, SURVIVED
2541193212, 492, KILLED_FAILED
2541193212, 902, SURVIVED
2541193212, 494, KILLED_FAILED
2541193212, 931, SURVIVED
2541193212, 932, SURVIVED
2541193218, 494, KILLED_TIMEOUT
2541193212, 495, KILLED_FAILED
2541193218, 495, KILLED_TIMEOUT
2541193218, 485, KILLED_TIMEOUT
2541193218, 483, KILLED_TIMEOUT
2541193218, 487, KILLED_TIMEOUT
2541193218, 493, KILLED_TIMEOUT
2541193222, 394, SURVIVED
2541193222, 352, SURVIVED
2541193222, 369, SURVIVED
2541193222, 360, SURVIVED
2541193222, 353, SURVIVED
2541193259, 353, SURVIVED
2541193259, 360, SURVIVED
2541193259, 352, SURVIVED
2541193222, 902, SURVIVED
2541193222, 932, SURVIVED
2541193222, 354, SURVIVED
2541193222, 901, SURVIVED
2541193259, 354, SURVIVED
2541193259, 394, SURVIVED
2541193220, 354, SURVIVED
2541193222, 931, SURVIVED
2541193259, 369, SURVIVED
2541193220, 352, SURVIVED
2541193220, 353, SURVIVED
2541193255, 352, SURVIVED
2541193220, 360, SURVIVED
2541193255, 354, SURVIVED
2541193255, 353, SURVIVED
2541193220, 394, SURVIVED
2541193220, 369, SURVIVED
2541193255, 360, SURVIVED
2541193255, 369, SURVIVED
2541193255, 901, SURVIVED
2541193255, 394, SURVIVED
2541193255, 902, SURVIVED
2541193255, 931, SURVIVED
2541193255, 932, SURVIVED
2541193225, 352, SURVIVED
2541193225, 354, SURVIVED
2541193225, 360, SURVIVED
2541193225, 353, SURVIVED
2541193225, 369, SURVIVED
2541193225, 394, SURVIVED
2541193225, 901, SURVIVED
2541193225, 931, SURVIVED
2541193225, 902, SURVIVED
2541193225, 932, SURVIVED
2541193217, 354, SURVIVED
2541193217, 352, SURVIVED
2541193217, 931, SURVIVED
2541193217, 902, SURVIVED
2541193217, 369, SURVIVED
2541193217, 360, SURVIVED
2541193218, 488, KILLED_TIMEOUT
2541193217, 353, SURVIVED
2541193217, 394, SURVIVED
2541193217, 901, SURVIVED
2541193217, 932, SURVIVED
2541193235, 354, SURVIVED
2541193235, 353, SURVIVED
2541193235, 484, SURVIVED
2541193235, 352, SURVIVED
2541193235, 394, SURVIVED
2541193235, 369, SURVIVED
2541193235, 360, SURVIVED
2541193268, 353, SURVIVED
2541193268, 352, SURVIVED
2541193235, 486, SURVIVED
2541193235, 902, SURVIVED
2541193235, 901, SURVIVED
2541193268, 354, SURVIVED
2541193268, 360, SURVIVED
2541193235, 932, SURVIVED
2541193268, 369, SURVIVED
2541193235, 931, SURVIVED
2541193268, 394, SURVIVED
2541193268, 932, SURVIVED
2541193268, 901, SURVIVED
2541193268, 902, SURVIVED
2541193268, 931, SURVIVED
2541193252, 353, SURVIVED
2541193252, 360, SURVIVED
2541193252, 352, SURVIVED
2541193252, 354, SURVIVED
2541193252, 369, SURVIVED
2541193252, 394, SURVIVED
2541193252, 484, SURVIVED
2541193252, 486, SURVIVED
2541193252, 901, SURVIVED
2541193252, 902, SURVIVED
2541193252, 932, SURVIVED
2541193252, 931, SURVIVED
2541193210, 354, SURVIVED
2541193210, 352, SURVIVED
2541193210, 369, SURVIVED
2541193210, 360, SURVIVED
2541193210, 353, SURVIVED
2541193210, 901, SURVIVED
2541193210, 394, SURVIVED
2541193218, 491, KILLED_TIMEOUT
2541193210, 932, SURVIVED
2541193210, 931, SURVIVED
2541193210, 902, SURVIVED
2541193295, 352, SURVIVED
2541193295, 353, SURVIVED
2541193295, 354, SURVIVED
2541193295, 360, SURVIVED
2541193295, 369, SURVIVED
2541193295, 394, SURVIVED
2541193224, 352, SURVIVED
2541193295, 484, SURVIVED
2541193295, 486, SURVIVED
2541193224, 353, SURVIVED
2541193295, 901, SURVIVED
2541193295, 902, SURVIVED
2541193295, 931, SURVIVED
2541193224, 354, SURVIVED
2541193295, 932, SURVIVED
2541193263, 352, SURVIVED
2541193224, 360, SURVIVED
2541193263, 353, SURVIVED
2541193224, 484, SURVIVED
2541193224, 369, SURVIVED
2541193263, 360, SURVIVED
2541193263, 354, SURVIVED
2541193263, 394, SURVIVED
2541193263, 369, SURVIVED
2541193234, 901, SURVIVED
2541193224, 394, SURVIVED
2541193234, 352, SURVIVED
2541193234, 354, SURVIVED
2541193234, 394, SURVIVED
2541193234, 353, SURVIVED
2541193234, 360, SURVIVED
2541193234, 369, SURVIVED
2541193234, 902, SURVIVED
2541193234, 931, SURVIVED
2541193224, 486, SURVIVED
2541193234, 932, SURVIVED
2541193224, 901, SURVIVED
2541193224, 931, SURVIVED
2541193224, 902, SURVIVED
2541193224, 932, SURVIVED
2541193218, 490, KILLED_TIMEOUT
2541193232, 352, SURVIVED
2541193232, 354, SURVIVED
2541193232, 931, SURVIVED
2541193232, 353, SURVIVED
2541193267, 352, SURVIVED
2541193237, 353, SURVIVED
2541193232, 360, SURVIVED
2541193232, 369, SURVIVED
2541193232, 394, SURVIVED
2541193237, 352, SURVIVED
2541193267, 354, SURVIVED
2541193267, 360, SURVIVED
2541193232, 901, SURVIVED
2541193267, 353, SURVIVED
2541193232, 902, SURVIVED
2541193267, 394, SURVIVED
2541193267, 484, SURVIVED
2541193267, 369, SURVIVED
2541193232, 932, SURVIVED
2541193267, 901, SURVIVED
2541193267, 486, SURVIVED
2541193267, 902, SURVIVED
2541193267, 931, SURVIVED
2541193267, 932, SURVIVED
2541193237, 354, SURVIVED
2541193237, 360, SURVIVED
2541193237, 369, SURVIVED
2541193237, 394, SURVIVED
2541193237, 901, SURVIVED
2541193237, 902, SURVIVED
2541193237, 931, SURVIVED
2541193237, 932, SURVIVED
2541193218, 489, KILLED_TIMEOUT
2541193298, 352, SURVIVED
2541193298, 353, SURVIVED
2541193298, 354, SURVIVED
2541193298, 360, SURVIVED
2541193298, 369, SURVIVED
2541193298, 394, SURVIVED
2541193262, 352, SURVIVED
2541193230, 352, SURVIVED
2541193230, 360, SURVIVED
2541193230, 353, SURVIVED
2541193262, 353, SURVIVED
2541193230, 354, SURVIVED
2541193230, 369, SURVIVED
2541193230, 394, SURVIVED
2541193262, 354, SURVIVED
2541193262, 360, SURVIVED
2541193288, 352, SURVIVED
2541193288, 353, SURVIVED
2541193288, 354, SURVIVED
2541193262, 369, SURVIVED
2541193288, 394, SURVIVED
2541193288, 369, SURVIVED
2541193262, 394, SURVIVED
2541193288, 360, SURVIVED
2541193262, 484, SURVIVED
2541193262, 486, SURVIVED
2541193262, 901, SURVIVED
2541193262, 902, SURVIVED
2541193262, 931, SURVIVED
2541193262, 932, SURVIVED
2541193207, 369, SURVIVED
2541193207, 394, SURVIVED
2541193207, 354, SURVIVED
2541193207, 352, SURVIVED
2541193207, 360, SURVIVED
2541193207, 486, SURVIVED
2541193207, 901, SURVIVED
2541193207, 484, SURVIVED
2541193207, 931, SURVIVED
2541193296, 353, SURVIVED
2541193207, 932, SURVIVED
2541193296, 352, SURVIVED
2541193296, 354, SURVIVED
2541193207, 353, SURVIVED
2541193296, 369, SURVIVED
2541193296, 360, SURVIVED
2541193296, 394, SURVIVED
2541193207, 902, SURVIVED
2541193299, 354, SURVIVED
2541193299, 353, SURVIVED
2541193299, 352, SURVIVED
2541193299, 369, SURVIVED
2541193299, 360, SURVIVED
2541193299, 394, SURVIVED
2541193264, 352, SURVIVED
2541193264, 353, SURVIVED
2541193294, 360, SURVIVED
2541193294, 352, SURVIVED
2541193294, 353, SURVIVED
2541193294, 354, SURVIVED
2541193294, 369, SURVIVED
2541193264, 354, SURVIVED
2541193294, 394, SURVIVED
2541193264, 360, SURVIVED
2541193264, 369, SURVIVED
2541193264, 394, SURVIVED
2541193292, 352, SURVIVED
2541193292, 354, SURVIVED
2541193292, 353, SURVIVED
2541193292, 360, SURVIVED
2541193292, 369, SURVIVED
2541193292, 931, SURVIVED
2541193292, 901, SURVIVED
2541193292, 394, SURVIVED
2541193292, 902, SURVIVED
2541193292, 932, SURVIVED
2541193233, 352, SURVIVED
2541193233, 353, SURVIVED
2541193233, 354, SURVIVED
2541193233, 360, SURVIVED
2541193233, 369, SURVIVED
2541193233, 394, SURVIVED
2541193253, 354, SURVIVED
2541193239, 352, SURVIVED
2541193253, 353, SURVIVED
2541193253, 352, SURVIVED
2541193253, 360, SURVIVED
2541193239, 353, SURVIVED
2541193253, 369, SURVIVED
2541193253, 902, SURVIVED
2541193253, 486, SURVIVED
2541193253, 901, SURVIVED
2541193253, 394, SURVIVED
2541193253, 932, SURVIVED
2541193253, 484, SURVIVED
