seed, mutant, status
1516584218, 20878, SURVIVED
1516584218, 20911, SURVIVED
1516584218, 20748, SURVIVED
1516584218, 33913, SURVIVED
1516584218, 20553, SURVIVED
1516584218, 20559, SURVIVED
1516584218, 20955, SURVIVED
1516584226, 34113, SURVIVED
1516584226, 20748, SURVIVED
1516584218, 20824, SURVIVED
1516584218, 20913, SURVIVED
1516584226, 34105, SURVIVED
1516584226, 35592, SURVIVED
1516584234, 33829, SURVIVED
1516584226, 35582, SURVIVED
1516584226, 34101, SURVIVED
1516584226, 20824, SURVIVED
1516584226, 20911, SURVIVED
1516584226, 20559, SURVIVED
1516584226, 33913, SURVIVED
1516584226, 33829, SURVIVED
1516584226, 20553, SURVIVED
1516584226, 34104, SURVIVED
1516584226, 33639, SURVIVED
1516584226, 20913, SURVIVED
1516584226, 35613, SURVIVED
1516584226, 34025, SURVIVED
1516584226, 20878, SURVIVED
1516584226, 34115, SURVIVED
1516584226, 35579, SURVIVED
1516584226, 20955, SURVIVED
1516584226, 34102, SURVIVED
1516584226, 31730, SURVIVED
1516584226, 31734, SURVIVED
1516584226, 32806, SURVIVED
1516584226, 31739, SURVIVED
1516584226, 31744, SURVIVED
1516584226, 31742, SURVIVED
1516584226, 31749, SURVIVED
1516584226, 31745, SURVIVED
1516584226, 31746, SURVIVED
1516584226, 31753, SURVIVED
1516584226, 31754, SURVIVED
1516584226, 31758, SURVIVED
1516584226, 31751, SURVIVED
1516584226, 31747, SURVIVED
1516584226, 31748, SURVIVED
1516584226, 31761, SURVIVED
1516584226, 31755, SURVIVED
1516584226, 31757, SURVIVED
1516584226, 31760, SURVIVED
1516584226, 31752, SURVIVED
1516584226, 31750, SURVIVED
1516584226, 31759, SURVIVED
1516584226, 31764, SURVIVED
1516584226, 31762, SURVIVED
1516584226, 31756, SURVIVED
1516584226, 31765, SURVIVED
1516584226, 31766, SURVIVED
1516584226, 31763, SURVIVED
1516584226, 31767, SURVIVED
1516584226, 31768, SURVIVED
1516584226, 31770, SURVIVED
1516584226, 31769, SURVIVED
1516584226, 31771, SURVIVED
1516584226, 31774, SURVIVED
1516584226, 31773, SURVIVED
1516584226, 31781, SURVIVED
1516584226, 31779, SURVIVED
1516584226, 31777, SURVIVED
1516584226, 31772, SURVIVED
1516584226, 31775, SURVIVED
1516584226, 31783, SURVIVED
