seed, mutant, status
4056651911, 4370, SURVIVED
4056651911, 4402, SURVIVED
4056651911, 4417, SURVIVED
4056651911, 11317, SURVIVED
4056651911, 3643, SURVIVED
4056651911, 3032, SURVIVED
4056651911, 1344, SURVIVED
4056651911, 1376, SURVIVED
4056651911, 1356, SURVIVED
4056651911, 4418, SURVIVED
4056651911, 4405, SURVIVED
4056651911, 4407, SURVIVED
4056651911, 1410, SURVIVED
4056651911, 11312, SURVIVED
4056651911, 4225, SURVIVED
4056651911, 4549, SURVIVED
4056651911, 6945, SURVIVED
4056651911, 1388, SURVIVED
4056651911, 6926, SURVIVED
4056651911, 4553, SURVIVED
4056651911, 4551, SURVIVED
4056651911, 6927, SURVIVED
4056651911, 6925, SURVIVED
4056651911, 4450, SURVIVED
4056651911, 6944, SURVIVED
4056651911, 6893, SURVIVED
4056651911, 4478, SURVIVED
4056651911, 4548, SURVIVED
4056651911, 4477, SURVIVED
4056651911, 6896, SURVIVED
4056651911, 4558, SURVIVED
4056651911, 4664, SURVIVED
4056651911, 6946, SURVIVED
4056651911, 6947, SURVIVED
4056651911, 6948, SURVIVED
4056651911, 6949, SURVIVED
4056651911, 6959, SURVIVED
4056651917, 4225, SURVIVED
4056651917, 4450, SURVIVED
4056651917, 4402, SURVIVED
4056651917, 4417, SURVIVED
4056651917, 4407, SURVIVED
4056651917, 4418, SURVIVED
4056651917, 4405, SURVIVED
4056651917, 4477, SURVIVED
4056651917, 4478, SURVIVED
4056651911, 11306, SURVIVED
4056651917, 4548, SURVIVED
4056651917, 4551, SURVIVED
4056651917, 4664, SURVIVED
4056651917, 11306, SURVIVED
4056651917, 3032, SURVIVED
4056651917, 4553, SURVIVED
4056651917, 4549, SURVIVED
4056651917, 11312, SURVIVED
4056651917, 11317, SURVIVED
4056651917, 3643, SURVIVED
4056651917, 4370, SURVIVED
4056651917, 4558, SURVIVED
4056651904, 6893, SURVIVED
4056651904, 4702, SURVIVED
4056651904, 4370, SURVIVED
4056651904, 6896, SURVIVED
4056651904, 6925, SURVIVED
4056651904, 6926, SURVIVED
4056651904, 6945, SURVIVED
4056651904, 6927, SURVIVED
4056651904, 6944, SURVIVED
4056651904, 6946, SURVIVED
4056651904, 6949, SURVIVED
4056651904, 11432, SURVIVED
4056651904, 11402, SURVIVED
4056651904, 6947, SURVIVED
4056651904, 11317, SURVIVED
4056651904, 3032, SURVIVED
4056651904, 11401, SURVIVED
4056651904, 11400, SURVIVED
4056651904, 6948, SURVIVED
4056651904, 6959, SURVIVED
4056651904, 11312, SURVIVED
4056651904, 11306, SURVIVED
4056651904, 11433, SURVIVED
4056651904, 5386, SURVIVED
4056651923, 4405, SURVIVED
4056651923, 4402, SURVIVED
4056651904, 11434, SURVIVED
4056651904, 11475, SURVIVED
4056651904, 5379, SURVIVED
4056651904, 5412, SURVIVED
4056651904, 5380, SURVIVED
4056651923, 4225, SURVIVED
4056651923, 4417, SURVIVED
4056651923, 4450, SURVIVED
4056651923, 4407, SURVIVED
4056651923, 4477, SURVIVED
4056651923, 4418, SURVIVED
4056651923, 4478, SURVIVED
4056651923, 4548, SURVIVED
4056651923, 4553, SURVIVED
4056651923, 4551, SURVIVED
4056651923, 4549, SURVIVED
4056651923, 3032, SURVIVED
4056651923, 4664, SURVIVED
4056651923, 5380, SURVIVED
4056651923, 11317, SURVIVED
4056651923, 5379, SURVIVED
4056651923, 5412, SURVIVED
4056651923, 11306, SURVIVED
4056651923, 11312, SURVIVED
4056651923, 5386, SURVIVED
4056651923, 4558, SURVIVED
4056651916, 11312, SURVIVED
4056651916, 11306, SURVIVED
4056651916, 11433, SURVIVED
4056651916, 11400, SURVIVED
4056651916, 6893, SURVIVED
4056651916, 6927, SURVIVED
4056651916, 11432, SURVIVED
4056651916, 6944, SURVIVED
4056651916, 11434, SURVIVED
4056651916, 6926, SURVIVED
4056651916, 6945, SURVIVED
4056651916, 11317, SURVIVED
4056651916, 11401, SURVIVED
4056651916, 11402, SURVIVED
4056651916, 6925, SURVIVED
4056651916, 6946, SURVIVED
4056651916, 6896, SURVIVED
4056651915, 6893, SURVIVED
4056651915, 6925, SURVIVED
4056651915, 6946, SURVIVED
4056651915, 6944, SURVIVED
4056651915, 6926, SURVIVED
4056651915, 6927, SURVIVED
4056651915, 6945, SURVIVED
4056651915, 6947, SURVIVED
4056651915, 6896, SURVIVED
4056651915, 4370, SURVIVED
4056651916, 11475, SURVIVED
4056651916, 6948, SURVIVED
4056651916, 6959, SURVIVED
4056651916, 6947, SURVIVED
4056651916, 6949, SURVIVED
4056651915, 6948, SURVIVED
4056651915, 6949, SURVIVED
4056651915, 6959, SURVIVED
4056651915, 11312, SURVIVED
4056651915, 3032, SURVIVED
4056651915, 11433, SURVIVED
4056651915, 3643, SURVIVED
4056651915, 11475, SURVIVED
4056651915, 11432, SURVIVED
4056651915, 11400, SURVIVED
4056651915, 11401, SURVIVED
4056651915, 11402, SURVIVED
4056651915, 11434, SURVIVED
4056651915, 11317, SURVIVED
4056651922, 2543, SURVIVED
4056651915, 11306, SURVIVED
4056651922, 2601, SURVIVED
4056651922, 4370, SURVIVED
4056651922, 2633, SURVIVED
4056651922, 2637, SURVIVED
4056651922, 2636, SURVIVED
4056651922, 2635, SURVIVED
4056651922, 2634, SURVIVED
4056651922, 2665, SURVIVED
4056651922, 2632, SURVIVED
4056651922, 2605, SURVIVED
4056651922, 2664, SURVIVED
4056651922, 2667, SURVIVED
4056651922, 2666, SURVIVED
4056651922, 2668, SURVIVED
4056651922, 6893, SURVIVED
4056651922, 2669, SURVIVED
4056651922, 6927, SURVIVED
4056651922, 6925, SURVIVED
4056651922, 6948, SURVIVED
4056651922, 6896, SURVIVED
4056651922, 6926, SURVIVED
4056651922, 6947, SURVIVED
4056651922, 6944, SURVIVED
4056651922, 6949, SURVIVED
4056651922, 6945, SURVIVED
4056651922, 6946, SURVIVED
4056651922, 6959, SURVIVED
4056651922, 3032, SURVIVED
4056651922, 11317, SURVIVED
4056651922, 11400, SURVIVED
4056651922, 11432, SURVIVED
4056651922, 11433, SURVIVED
4056651922, 11401, SURVIVED
4056651922, 11312, SURVIVED
4056651922, 3643, SURVIVED
4056651922, 11475, SURVIVED
4056651922, 11402, SURVIVED
4056651922, 4702, SURVIVED
4056651922, 11434, SURVIVED
4056651922, 11306, SURVIVED
4056651919, 4402, SURVIVED
4056651919, 4225, SURVIVED
4056651919, 4370, SURVIVED
4056651919, 4405, SURVIVED
4056651919, 4407, SURVIVED
4056651919, 4418, SURVIVED
4056651919, 6896, SURVIVED
4056651919, 4549, SURVIVED
4056651919, 6893, SURVIVED
4056651919, 4417, SURVIVED
4056651919, 4664, SURVIVED
4056651919, 4478, SURVIVED
4056651919, 4477, SURVIVED
4056651919, 6925, SURVIVED
4056651919, 4553, SURVIVED
4056651919, 4548, SURVIVED
4056651919, 4551, SURVIVED
4056651919, 4558, SURVIVED
4056651919, 6926, SURVIVED
4056651919, 4450, SURVIVED
4056651919, 6927, SURVIVED
4056651919, 3032, SURVIVED
4056651919, 6959, SURVIVED
