seed, mutant, status
521918318, 51, SURVIVED
521918302, 224, SURVIVED
521918318, 165, SURVIVED
521918318, 230, SURVIVED
521918318, 133, SURVIVED
521918302, 204, SURVIVED
521918302, 201, SURVIVED
521918318, 204, SURVIVED
521918302, 6, SURVIVED
521918318, 224, SURVIVED
521918318, 197, SURVIVED
521918318, 201, SURVIVED
521918318, 19, SURVIVED
521918318, 6, SURVIVED
521918302, 197, SURVIVED
521918302, 230, SURVIVED
521918302, 38, SURVIVED
521918327, 224, SURVIVED
521918302, 19, SURVIVED
521918302, 133, SURVIVED
521918302, 165, SURVIVED
521918318, 38, SURVIVED
521918327, 51, SURVIVED
521918327, 38, SURVIVED
521918327, 133, SURVIVED
521918327, 204, SURVIVED
521918327, 6, SURVIVED
521918327, 197, SURVIVED
521918302, 51, SURVIVED
521918327, 201, SURVIVED
521918327, 19, SURVIVED
521918327, 165, SURVIVED
521918327, 230, SURVIVED
521918350, 201, SURVIVED
521918350, 133, SURVIVED
521918350, 165, SURVIVED
521918323, 6, SURVIVED
521918323, 38, SURVIVED
521918323, 133, SURVIVED
521918323, 51, SURVIVED
521918323, 224, SURVIVED
521918350, 51, SURVIVED
521918323, 19, SURVIVED
521918324, 19, SURVIVED
521918350, 204, SURVIVED
521918350, 19, SURVIVED
521918350, 38, SURVIVED
521918324, 165, SURVIVED
521918350, 197, SURVIVED
521918324, 6, SURVIVED
521918350, 6, SURVIVED
521918324, 51, SURVIVED
521918324, 204, SURVIVED
521918324, 38, SURVIVED
521918324, 224, SURVIVED
521918324, 201, SURVIVED
521918323, 201, SURVIVED
521918324, 197, SURVIVED
521918323, 204, SURVIVED
521918324, 133, SURVIVED
521918324, 230, SURVIVED
521918323, 165, SURVIVED
521918323, 230, SURVIVED
521918323, 197, SURVIVED
521918350, 224, SURVIVED
521918350, 230, SURVIVED
521918355, 6, SURVIVED
521918355, 19, SURVIVED
521918355, 38, SURVIVED
521918355, 51, SURVIVED
521918355, 204, SURVIVED
521918355, 230, SURVIVED
521918355, 201, SURVIVED
521918355, 133, SURVIVED
521918355, 197, SURVIVED
521918355, 224, SURVIVED
521918355, 165, SURVIVED
521918387, 6, SURVIVED
521918387, 38, SURVIVED
521918387, 19, SURVIVED
521918387, 51, SURVIVED
521918387, 133, SURVIVED
521918359, 38, SURVIVED
521918359, 197, SURVIVED
521918359, 165, SURVIVED
521918359, 201, SURVIVED
521918359, 19, SURVIVED
521918359, 6, SURVIVED
521918387, 165, SURVIVED
521918387, 197, SURVIVED
521918387, 204, SURVIVED
521918387, 224, SURVIVED
521918359, 51, SURVIVED
521918359, 133, SURVIVED
521918387, 201, SURVIVED
521918359, 204, SURVIVED
521918319, 19, SURVIVED
521918319, 38, SURVIVED
521918359, 224, SURVIVED
521918319, 197, SURVIVED
521918319, 6, SURVIVED
521918359, 230, SURVIVED
521918319, 133, SURVIVED
521918387, 230, SURVIVED
521918319, 51, SURVIVED
521918319, 201, SURVIVED
521918319, 230, SURVIVED
521918319, 165, SURVIVED
521918319, 204, SURVIVED
521918319, 224, SURVIVED
521918391, 6, SURVIVED
521918391, 19, SURVIVED
521918391, 133, SURVIVED
521918391, 51, SURVIVED
521918391, 38, SURVIVED
521918391, 224, SURVIVED
521918391, 197, SURVIVED
521918391, 201, SURVIVED
521918391, 230, SURVIVED
521918391, 165, SURVIVED
521918391, 204, SURVIVED
521918321, 51, SURVIVED
521918321, 201, SURVIVED
521918321, 19, SURVIVED
521918321, 6, SURVIVED
521918321, 165, SURVIVED
521918321, 224, SURVIVED
521918321, 204, SURVIVED
521918321, 38, SURVIVED
521918321, 197, SURVIVED
521918321, 133, SURVIVED
521918321, 230, SURVIVED
521918303, 6, SURVIVED
521918303, 38, SURVIVED
521918303, 19, SURVIVED
521918303, 165, SURVIVED
521918303, 133, SURVIVED
521918303, 51, SURVIVED
521918303, 204, SURVIVED
521918303, 201, SURVIVED
521918303, 197, SURVIVED
521918303, 224, SURVIVED
521918303, 230, SURVIVED
521918315, 6, SURVIVED
521918315, 19, SURVIVED
521918315, 201, SURVIVED
521918315, 165, SURVIVED
521918315, 51, SURVIVED
521918315, 38, SURVIVED
521918315, 197, SURVIVED
521918315, 133, SURVIVED
521918315, 224, SURVIVED
521918315, 204, SURVIVED
521918315, 230, SURVIVED
521918301, 6, SURVIVED
521918301, 224, SURVIVED
521918301, 19, SURVIVED
521918301, 165, SURVIVED
521918301, 197, SURVIVED
521918314, 6, SURVIVED
521918301, 51, SURVIVED
521918301, 133, SURVIVED
521918301, 38, SURVIVED
521918301, 201, SURVIVED
521918301, 204, SURVIVED
521918314, 19, SURVIVED
521918314, 165, SURVIVED
521918314, 197, SURVIVED
521918314, 38, SURVIVED
521918314, 133, SURVIVED
521918314, 51, SURVIVED
521918351, 6, SURVIVED
521918301, 230, SURVIVED
521918314, 224, SURVIVED
521918314, 201, SURVIVED
521918351, 19, SURVIVED
521918314, 204, SURVIVED
521918351, 133, SURVIVED
521918351, 38, SURVIVED
521918351, 51, SURVIVED
521918351, 165, SURVIVED
521918351, 197, SURVIVED
521918314, 230, SURVIVED
521918383, 6, SURVIVED
521918383, 19, SURVIVED
521918351, 201, SURVIVED
521918351, 204, SURVIVED
521918383, 38, SURVIVED
521918383, 51, SURVIVED
521918383, 133, SURVIVED
521918383, 197, SURVIVED
521918383, 201, SURVIVED
521918383, 165, SURVIVED
521918383, 204, SURVIVED
521918383, 224, SURVIVED
521918383, 230, SURVIVED
521918351, 224, SURVIVED
521918351, 230, SURVIVED
521918320, 6, SURVIVED
521918320, 19, SURVIVED
521918320, 51, SURVIVED
521918320, 38, SURVIVED
521918320, 197, SURVIVED
521918320, 133, SURVIVED
521918320, 165, SURVIVED
521918320, 201, SURVIVED
521918320, 204, SURVIVED
521918320, 230, SURVIVED
521918320, 224, SURVIVED
521918310, 38, SURVIVED
521918310, 6, SURVIVED
521918310, 197, SURVIVED
521918310, 51, SURVIVED
521918310, 133, SURVIVED
521918310, 19, SURVIVED
521918310, 224, SURVIVED
521918310, 165, SURVIVED
521918310, 201, SURVIVED
521918310, 204, SURVIVED
521918361, 6, SURVIVED
521918361, 19, SURVIVED
521918361, 38, SURVIVED
521918310, 230, SURVIVED
521918361, 133, SURVIVED
521918361, 165, SURVIVED
521918361, 51, SURVIVED
521918361, 197, SURVIVED
521918361, 201, SURVIVED
521918361, 204, SURVIVED
521918329, 19, SURVIVED
521918329, 51, SURVIVED
521918361, 224, SURVIVED
521918329, 6, SURVIVED
521918361, 230, SURVIVED
521918329, 133, SURVIVED
521918329, 38, SURVIVED
521918329, 165, SURVIVED
521918329, 197, SURVIVED
521918329, 201, SURVIVED
521918333, 6, SURVIVED
521918333, 19, SURVIVED
521918333, 51, SURVIVED
521918329, 204, SURVIVED
521918333, 38, SURVIVED
521918333, 133, SURVIVED
521918333, 165, SURVIVED
521918333, 197, SURVIVED
521918329, 224, SURVIVED
521918333, 201, SURVIVED
521918329, 230, SURVIVED
521918333, 204, SURVIVED
521918333, 224, SURVIVED
521918333, 230, SURVIVED
521918322, 19, SURVIVED
521918322, 6, SURVIVED
521918322, 38, SURVIVED
521918322, 133, SURVIVED
521918322, 197, SURVIVED
521918322, 204, SURVIVED
521918322, 165, SURVIVED
521918322, 224, SURVIVED
521918322, 230, SURVIVED
521918322, 201, SURVIVED
521918322, 51, SURVIVED
521918312, 6, SURVIVED
521918312, 133, SURVIVED
521918312, 165, SURVIVED
521918312, 201, SURVIVED
521918312, 19, SURVIVED
521918312, 51, SURVIVED
521918312, 197, SURVIVED
521918312, 38, SURVIVED
521918312, 204, SURVIVED
521918312, 224, SURVIVED
