seed, mutant, status
3314760210, 37785, SURVIVED
3314760210, 37784, SURVIVED
3314760210, 37788, SURVIVED
3314760210, 37791, SURVIVED
3314760212, 37785, SURVIVED
3314760212, 37788, SURVIVED
3314760212, 37791, SURVIVED
3314760212, 37784, SURVIVED
3314760242, 37784, SURVIVED
3314760242, 37785, SURVIVED
3314760242, 37791, SURVIVED
3314760242, 37788, SURVIVED
3314760206, 37784, SURVIVED
3314760206, 37791, SURVIVED
3314760206, 37785, SURVIVED
3314760206, 37788, SURVIVED
3314760211, 37791, SURVIVED
3314760211, 37785, SURVIVED
3314760211, 37784, SURVIVED
3314760211, 37788, SURVIVED
3314760204, 37785, SURVIVED
3314760202, 37788, SURVIVED
3314760202, 37785, SURVIVED
3314760202, 37784, SURVIVED
3314760204, 37788, SURVIVED
3314760202, 37791, SURVIVED
3314760204, 37791, SURVIVED
3314760204, 37784, SURVIVED
3314760219, 37791, SURVIVED
3314760219, 37788, SURVIVED
3314760219, 37785, SURVIVED
3314760219, 37784, SURVIVED
3314760225, 37791, SURVIVED
3314760225, 37784, SURVIVED
3314760225, 37788, SURVIVED
3314760225, 37785, SURVIVED
3314760207, 37784, SURVIVED
3314760207, 37788, SURVIVED
3314760207, 37785, SURVIVED
3314760207, 37791, SURVIVED
3314760215, 37784, SURVIVED
3314760215, 37785, SURVIVED
3314760215, 37788, SURVIVED
3314760215, 37791, SURVIVED
3314760216, 37788, SURVIVED
3314760216, 37785, SURVIVED
3314760216, 37784, SURVIVED
3314760216, 37791, SURVIVED
3314760244, 27120, KILLED_FAILED
3314760244, 26712, SURVIVED
3314760244, 27123, SURVIVED
3314760244, 1380, SURVIVED
3314760244, 27122, KILLED_FAILED
3314760244, 26715, SURVIVED
3314760244, 27119, SURVIVED
3314760244, 27124, SURVIVED
3314760244, 27125, KILLED_FAILED
3314760244, 27121, SURVIVED
3314760244, 27127, SURVIVED
3314760244, 27126, KILLED_FAILED
3314760244, 27128, SURVIVED
3314760244, 27130, SURVIVED
3314760244, 27131, KILLED_FAILED
3314760244, 27129, KILLED_FAILED
3314760244, 27132, KILLED_FAILED
3314760244, 27141, SURVIVED
3314760244, 27140, KILLED_FAILED
3314760244, 28094, SURVIVED
3314760244, 27139, KILLED_FAILED
3314760244, 28062, SURVIVED
3314760244, 28063, SURVIVED
3314760244, 28095, SURVIVED
