seed, mutant, status
825251301, 372, SURVIVED
825251301, 493, SURVIVED
825251301, 35, SURVIVED
825251301, 696, SURVIVED
825251305, 493, SURVIVED
825251305, 372, SURVIVED
825251305, 696, SURVIVED
825251305, 35, SURVIVED
825251300, 372, SURVIVED
825251300, 35, SURVIVED
825251300, 493, SURVIVED
825251300, 696, SURVIVED
825251308, 493, SURVIVED
825251308, 372, SURVIVED
825251308, 696, SURVIVED
825251308, 35, SURVIVED
825251320, 372, SURVIVED
825251320, 35, SURVIVED
825251320, 696, SURVIVED
825251317, 35, SURVIVED
825251317, 696, SURVIVED
825251317, 372, SURVIVED
825251317, 493, SURVIVED
825251320, 493, SURVIVED
825251311, 696, SURVIVED
825251311, 35, SURVIVED
825251311, 372, SURVIVED
825251312, 35, SURVIVED
825251344, 372, SURVIVED
825251312, 696, SURVIVED
825251311, 493, SURVIVED
825251312, 493, SURVIVED
825251312, 372, SURVIVED
825251344, 35, SURVIVED
825251344, 493, SURVIVED
825251344, 696, SURVIVED
825251307, 35, SURVIVED
825251307, 372, SURVIVED
825251307, 696, SURVIVED
825251307, 493, SURVIVED
825251321, 35, SURVIVED
825251321, 493, SURVIVED
825251321, 696, SURVIVED
825251321, 372, SURVIVED
825251330, 35, SURVIVED
825251325, 696, SURVIVED
825251318, 493, SURVIVED
825251330, 493, SURVIVED
825251325, 372, SURVIVED
825251318, 372, SURVIVED
825251318, 35, SURVIVED
825251330, 372, SURVIVED
825251318, 696, SURVIVED
825251325, 493, SURVIVED
825251325, 35, SURVIVED
825251330, 696, SURVIVED
825251316, 35, SURVIVED
825251316, 493, SURVIVED
825251316, 372, SURVIVED
825251332, 493, SURVIVED
825251332, 35, SURVIVED
825251332, 372, SURVIVED
825251316, 696, SURVIVED
825251332, 696, SURVIVED
825251324, 493, SURVIVED
825251324, 35, SURVIVED
825251324, 372, SURVIVED
825251324, 696, SURVIVED
825251310, 35, SURVIVED
825251310, 696, SURVIVED
825251310, 372, SURVIVED
825251310, 493, SURVIVED
825251333, 35, SURVIVED
825251333, 493, SURVIVED
825251333, 372, SURVIVED
825251333, 696, SURVIVED
825251326, 35, SURVIVED
825251326, 372, SURVIVED
825251326, 696, SURVIVED
825251369, 35, SURVIVED
825251326, 493, SURVIVED
825251369, 372, SURVIVED
825251369, 493, SURVIVED
825251327, 35, SURVIVED
825251369, 696, SURVIVED
825251327, 696, SURVIVED
825251337, 696, SURVIVED
825251337, 35, SURVIVED
825251337, 493, SURVIVED
825251337, 372, SURVIVED
825251327, 493, SURVIVED
825251327, 372, SURVIVED
825251339, 35, SURVIVED
825251302, 35, SURVIVED
825251302, 493, SURVIVED
825251302, 696, SURVIVED
825251302, 372, SURVIVED
825251339, 493, SURVIVED
825251322, 372, SURVIVED
825251322, 493, SURVIVED
825251339, 372, SURVIVED
825251322, 35, SURVIVED
825251339, 696, SURVIVED
825251371, 35, SURVIVED
825251371, 372, SURVIVED
825251371, 696, SURVIVED
825251371, 493, SURVIVED
825251322, 696, SURVIVED
825251384, 35, SURVIVED
825251384, 372, SURVIVED
825251341, 493, SURVIVED
825251384, 493, SURVIVED
825251384, 696, SURVIVED
825251341, 35, SURVIVED
825251341, 372, SURVIVED
825251309, 35, SURVIVED
825251309, 372, SURVIVED
825251341, 696, SURVIVED
825251309, 493, SURVIVED
825251309, 696, SURVIVED
825251315, 35, SURVIVED
825251315, 696, SURVIVED
825251315, 493, SURVIVED
825251315, 372, SURVIVED
825251360, 35, SURVIVED
825251342, 35, SURVIVED
825251360, 372, SURVIVED
825251360, 493, SURVIVED
825251342, 696, SURVIVED
825251342, 493, SURVIVED
825251360, 696, SURVIVED
825251349, 372, SURVIVED
825251349, 35, SURVIVED
825251349, 493, SURVIVED
825251342, 372, SURVIVED
825251349, 696, SURVIVED
825251352, 35, SURVIVED
825251376, 35, SURVIVED
825251352, 493, SURVIVED
825251340, 372, SURVIVED
825251352, 372, SURVIVED
825251352, 696, SURVIVED
825251376, 493, SURVIVED
825251376, 372, SURVIVED
825251375, 35, SURVIVED
825251340, 696, SURVIVED
825251375, 372, SURVIVED
825251340, 35, SURVIVED
825251375, 493, SURVIVED
825251340, 493, SURVIVED
825251376, 696, SURVIVED
825251375, 696, SURVIVED
825251356, 35, SURVIVED
825251356, 372, SURVIVED
825251356, 696, SURVIVED
825251328, 35, SURVIVED
825251356, 493, SURVIVED
825251328, 493, SURVIVED
825251328, 372, SURVIVED
825251328, 696, SURVIVED
825251306, 372, SURVIVED
825251306, 493, SURVIVED
