seed, mutant, status
96366616, 939, SURVIVED
96366616, 934, SURVIVED
96366616, 941, KILLED_FAILED
96366616, 937, KILLED_FAILED
96366616, 936, KILLED_FAILED
96366616, 938, KILLED_FAILED
96366616, 946, KILLED_FAILED
96366616, 948, SURVIVED
96366616, 926, SURVIVED
96366616, 922, SURVIVED
96366616, 940, SURVIVED
96366616, 928, SURVIVED
96366616, 923, SURVIVED
96366616, 950, SURVIVED
96366616, 935, SURVIVED
96366616, 933, KILLED_FAILED
96366616, 930, SURVIVED
96366616, 925, SURVIVED
96366616, 953, SURVIVED
96366616, 942, SURVIVED
96366616, 952, SURVIVED
96366616, 954, SURVIVED
96366616, 924, SURVIVED
96366616, 956, SURVIVED
96366616, 943, SURVIVED
96366616, 951, SURVIVED
96366616, 949, SURVIVED
96366616, 945, SURVIVED
96366616, 927, SURVIVED
96366616, 944, SURVIVED
96366616, 947, SURVIVED
96366616, 955, SURVIVED
96366616, 958, SURVIVED
96366616, 957, SURVIVED
96366616, 959, SURVIVED
96366616, 1002, SURVIVED
96366616, 1000, SURVIVED
96366616, 999, SURVIVED
96366616, 1001, SURVIVED
96366616, 998, SURVIVED
96366614, 935, SURVIVED
96366614, 943, SURVIVED
96366614, 928, SURVIVED
96366614, 944, SURVIVED
96366614, 942, SURVIVED
96366614, 953, KILLED_FAILED
96366614, 945, SURVIVED
96366614, 950, KILLED_FAILED
96366614, 923, SURVIVED
96366614, 925, SURVIVED
96366614, 927, SURVIVED
96366614, 947, SURVIVED
96366614, 924, SURVIVED
96366614, 949, SURVIVED
96366614, 926, SURVIVED
96366614, 952, KILLED_FAILED
96366614, 951, KILLED_FAILED
96366614, 954, SURVIVED
96366614, 940, SURVIVED
96366614, 948, SURVIVED
96366614, 930, SURVIVED
96366614, 939, SURVIVED
96366614, 934, SURVIVED
96366614, 922, SURVIVED
96366614, 957, SURVIVED
96366614, 955, SURVIVED
96366614, 959, SURVIVED
96366614, 956, SURVIVED
96366614, 998, SURVIVED
96366614, 1002, SURVIVED
96366614, 1001, SURVIVED
96366614, 999, SURVIVED
96366614, 958, SURVIVED
96366614, 1000, SURVIVED
96366606, 2, KILLED_FAILED
96366606, 3, SURVIVED
96366606, 11, SURVIVED
96366606, 13, KILLED_FAILED
96366606, 5, SURVIVED
96366606, 7, KILLED_FAILED
96366606, 12, KILLED_FAILED
96366606, 19, SURVIVED
96366606, 9, KILLED_FAILED
96366606, 21, SURVIVED
96366606, 4, SURVIVED
96366606, 0, KILLED_FAILED
96366606, 15, SURVIVED
96366606, 16, SURVIVED
96366606, 18, KILLED_FAILED
96366606, 25, SURVIVED
96366606, 22, KILLED_FAILED
96366606, 1, KILLED_FAILED
96366606, 17, KILLED_FAILED
96366606, 10, KILLED_FAILED
96366606, 20, KILLED_FAILED
96366606, 8, KILLED_FAILED
96366606, 26, SURVIVED
96366606, 14, KILLED_FAILED
96366606, 28, KILLED_FAILED
96366606, 24, KILLED_FAILED
96366606, 36, SURVIVED
96366606, 35, SURVIVED
96366606, 6, SURVIVED
96366606, 27, KILLED_FAILED
96366606, 23, SURVIVED
96366606, 37, SURVIVED
96366606, 42, KILLED_FAILED
96366606, 38, SURVIVED
96366606, 43, SURVIVED
96366606, 49, KILLED_FAILED
96366606, 60, KILLED_FAILED
96366606, 48, SURVIVED
96366606, 46, KILLED_FAILED
96366606, 52, KILLED_FAILED
96366606, 51, SURVIVED
96366606, 41, KILLED_FAILED
96366606, 40, KILLED_FAILED
96366606, 53, SURVIVED
96366606, 45, KILLED_FAILED
96366606, 39, KILLED_FAILED
96366606, 50, KILLED_FAILED
96366606, 47, SURVIVED
96366606, 56, KILLED_FAILED
96366606, 44, KILLED_FAILED
96366606, 59, KILLED_FAILED
96366606, 58, SURVIVED
96366606, 62, SURVIVED
96366606, 57, SURVIVED
96366606, 54, KILLED_FAILED
96366606, 55, SURVIVED
96366606, 61, SURVIVED
96366606, 64, KILLED_FAILED
96366606, 67, KILLED_FAILED
96366606, 70, SURVIVED
96366606, 63, KILLED_FAILED
96366606, 84, SURVIVED
96366606, 78, KILLED_FAILED
96366606, 75, KILLED_FAILED
96366606, 91, KILLED_FAILED
96366606, 68, SURVIVED
96366606, 96, KILLED_FAILED
96366606, 85, KILLED_FAILED
96366606, 72, KILLED_FAILED
96366606, 83, SURVIVED
96366606, 87, KILLED_FAILED
96366606, 95, KILLED_FAILED
96366606, 110, KILLED_FAILED
96366606, 107, KILLED_FAILED
96366606, 117, KILLED_FAILED
96366606, 99, KILLED_FAILED
96366606, 115, SURVIVED
96366606, 100, SURVIVED
96366606, 93, SURVIVED
96366606, 102, SURVIVED
96366606, 128, KILLED_FAILED
96366606, 123, KILLED_FAILED
96366606, 125, SURVIVED
96366606, 119, KILLED_FAILED
96366606, 137, SURVIVED
96366606, 116, SURVIVED
96366606, 127, KILLED_FAILED
96366606, 104, KILLED_FAILED
96366606, 138, SURVIVED
96366606, 139, SURVIVED
96366606, 140, KILLED_FAILED
96366606, 129, SURVIVED
96366606, 142, SURVIVED
96366606, 147, SURVIVED
96366606, 143, SURVIVED
96366606, 149, SURVIVED
96366606, 148, KILLED_FAILED
96366606, 141, SURVIVED
96366606, 152, KILLED_FAILED
96366606, 151, KILLED_FAILED
96366606, 157, SURVIVED
96366606, 156, SURVIVED
96366606, 154, KILLED_FAILED
96366606, 160, KILLED_FAILED
96366606, 166, SURVIVED
96366606, 164, SURVIVED
96366606, 161, SURVIVED
96366606, 159, SURVIVED
96366606, 167, SURVIVED
96366606, 168, SURVIVED
96366606, 169, SURVIVED
96366606, 165, SURVIVED
96366606, 171, SURVIVED
96366606, 175, SURVIVED
96366606, 170, SURVIVED
96366606, 173, SURVIVED
96366606, 174, SURVIVED
96366606, 179, SURVIVED
96366606, 172, KILLED_FAILED
96366606, 180, KILLED_FAILED
96366606, 181, SURVIVED
96366606, 186, KILLED_FAILED
96366606, 751, KILLED_FAILED
96366606, 188, SURVIVED
96366606, 189, SURVIVED
96366606, 183, KILLED_FAILED
96366606, 184, KILLED_FAILED
96366606, 752, KILLED_FAILED
96366606, 755, SURVIVED
96366606, 760, KILLED_FAILED
96366606, 758, SURVIVED
96366606, 756, KILLED_FAILED
96366606, 754, KILLED_FAILED
96366606, 753, KILLED_FAILED
