seed, mutant, status
1396035725, 1160, SURVIVED
1396035725, 3010, SURVIVED
1396035725, 8449, SURVIVED
1396035725, 6475, SURVIVED
1396035725, 15694, SURVIVED
1396035725, 13543, SURVIVED
1396035725, 6474, SURVIVED
1396035725, 15690, SURVIVED
1396035725, 1422, SURVIVED
1396035725, 6473, SURVIVED
1396035725, 13515, SURVIVED
1396035725, 3026, SURVIVED
1396035725, 3023, SURVIVED
1396035725, 6122, SURVIVED
1396035725, 6466, SURVIVED
1396035725, 12410, SURVIVED
1396035725, 6469, SURVIVED
1396035725, 6471, SURVIVED
1396035725, 918, SURVIVED
1396035725, 6467, SURVIVED
1396035725, 6464, SURVIVED
1396035725, 2961, SURVIVED
1396035725, 919, SURVIVED
1396035725, 13540, SURVIVED
1396035725, 6472, SURVIVED
1396035725, 13513, SURVIVED
1396035725, 3012, SURVIVED
1396035725, 6470, SURVIVED
1396035725, 3011, SURVIVED
1396035725, 6468, SURVIVED
1396035716, 918, SURVIVED
1396035716, 919, SURVIVED
1396035716, 1160, SURVIVED
1396035716, 2961, SURVIVED
1396035716, 1422, SURVIVED
1396035716, 3010, SURVIVED
1396035716, 3026, SURVIVED
1396035716, 3011, SURVIVED
1396035716, 5395, SURVIVED
1396035716, 3012, SURVIVED
1396035716, 5480, SURVIVED
1396035716, 4527, SURVIVED
1396035716, 5400, SURVIVED
1396035716, 5397, SURVIVED
1396035716, 5483, SURVIVED
1396035716, 5401, SURVIVED
1396035716, 4522, SURVIVED
1396035716, 3023, SURVIVED
1396035716, 5419, SURVIVED
1396035716, 5482, SURVIVED
1396035716, 5403, SURVIVED
1396035716, 5389, SURVIVED
1396035716, 5402, SURVIVED
1396035716, 5404, SURVIVED
1396035716, 5394, SURVIVED
1396035716, 5398, SURVIVED
1396035716, 5484, SURVIVED
1396035716, 5487, SURVIVED
1396035716, 5485, SURVIVED
1396035716, 5420, SURVIVED
1396035716, 5421, SURVIVED
1396035716, 5418, SURVIVED
1396035716, 5488, SURVIVED
1396035716, 5392, SURVIVED
1396035716, 5502, SURVIVED
1396035716, 5498, SURVIVED
1396035716, 5511, SURVIVED
1396035716, 5512, SURVIVED
1396035716, 6464, SURVIVED
1396035716, 6467, SURVIVED
1396035716, 6466, SURVIVED
1396035716, 6468, SURVIVED
1396035716, 6474, SURVIVED
1396035716, 6475, SURVIVED
1396035716, 6469, SURVIVED
1396035716, 6470, SURVIVED
1396035716, 6471, SURVIVED
1396035716, 6473, SURVIVED
1396035716, 13314, SURVIVED
1396035716, 12784, SURVIVED
1396035716, 12821, SURVIVED
1396035716, 13540, SURVIVED
1396035716, 13515, SURVIVED
1396035716, 12823, SURVIVED
1396035716, 12827, SURVIVED
1396035716, 13513, SURVIVED
1396035716, 13321, SURVIVED
1396035716, 12410, SURVIVED
1396035716, 13313, SURVIVED
1396035716, 12788, SURVIVED
1396035716, 8449, SURVIVED
1396035716, 12831, SURVIVED
1396035716, 6472, SURVIVED
1396035716, 12785, SURVIVED
1396035716, 13543, SURVIVED
1396035716, 13320, SURVIVED
1396035716, 15694, SURVIVED
1396035716, 15690, SURVIVED
1396035707, 1160, SURVIVED
1396035707, 918, SURVIVED
1396035707, 919, SURVIVED
1396035707, 2961, SURVIVED
1396035707, 1422, SURVIVED
1396035707, 3023, SURVIVED
1396035707, 3011, SURVIVED
1396035707, 4522, SURVIVED
1396035707, 3010, SURVIVED
1396035707, 3012, SURVIVED
1396035707, 3026, SURVIVED
1396035707, 7478, SURVIVED
1396035707, 7480, SURVIVED
1396035707, 4527, SURVIVED
1396035707, 7484, SURVIVED
1396035707, 6468, SURVIVED
1396035707, 6464, SURVIVED
1396035707, 6122, SURVIVED
1396035707, 7476, SURVIVED
1396035707, 7477, SURVIVED
1396035707, 6471, SURVIVED
1396035707, 6473, SURVIVED
1396035707, 7475, SURVIVED
1396035707, 6474, SURVIVED
1396035707, 6470, SURVIVED
1396035707, 6475, SURVIVED
1396035707, 6472, SURVIVED
1396035707, 6466, SURVIVED
1396035707, 6467, SURVIVED
1396035707, 6469, SURVIVED
1396035707, 7487, SURVIVED
1396035707, 7507, SURVIVED
1396035707, 7508, SURVIVED
1396035707, 7518, SURVIVED
1396035707, 8449, SURVIVED
1396035707, 12784, SURVIVED
1396035707, 12788, SURVIVED
1396035707, 12785, SURVIVED
1396035707, 12823, SURVIVED
1396035707, 12821, SURVIVED
1396035707, 12410, SURVIVED
1396035707, 12831, SURVIVED
1396035707, 12827, SURVIVED
1396035707, 13151, SURVIVED
1396035707, 13513, SURVIVED
1396035707, 13313, SURVIVED
1396035707, 13515, SURVIVED
1396035707, 13321, SURVIVED
1396035707, 13314, SURVIVED
1396035707, 13320, SURVIVED
1396035702, 3010, SURVIVED
1396035702, 918, SURVIVED
1396035707, 13543, SURVIVED
1396035702, 3011, SURVIVED
1396035707, 13540, SURVIVED
1396035707, 15690, SURVIVED
1396035707, 15694, SURVIVED
1396035702, 2961, SURVIVED
1396035702, 1160, SURVIVED
1396035702, 1422, SURVIVED
1396035702, 919, SURVIVED
1396035702, 3012, SURVIVED
1396035702, 3023, SURVIVED
1396035702, 3026, SURVIVED
1396035702, 4522, SURVIVED
1396035702, 4527, SURVIVED
1396035702, 6464, SURVIVED
1396035702, 6466, SURVIVED
1396035702, 6122, SURVIVED
1396035702, 6470, SURVIVED
1396035702, 6468, SURVIVED
1396035702, 6467, SURVIVED
1396035702, 6473, SURVIVED
1396035702, 6471, SURVIVED
1396035702, 7477, SURVIVED
1396035702, 7475, SURVIVED
1396035702, 7478, SURVIVED
1396035702, 6472, SURVIVED
1396035702, 6469, SURVIVED
1396035702, 6475, SURVIVED
1396035702, 6474, SURVIVED
1396035702, 7476, SURVIVED
1396035702, 7487, SURVIVED
1396035702, 7480, SURVIVED
1396035702, 7484, SURVIVED
1396035702, 7507, SURVIVED
1396035702, 7508, SURVIVED
1396035702, 7518, SURVIVED
1396035702, 8449, SURVIVED
1396035702, 12410, SURVIVED
1396035702, 12785, SURVIVED
1396035702, 12788, SURVIVED
1396035702, 12827, SURVIVED
1396035702, 12831, SURVIVED
1396035702, 12821, SURVIVED
1396035702, 12823, SURVIVED
1396035702, 12784, SURVIVED
1396035702, 13313, SURVIVED
1396035702, 13314, SURVIVED
1396035702, 13321, SURVIVED
1396035702, 13320, SURVIVED
1396035702, 13513, SURVIVED
1396035702, 13543, SURVIVED
1396035702, 13515, SURVIVED
1396035702, 13540, SURVIVED
1396035702, 15694, SURVIVED
1396035702, 15690, SURVIVED
1396035708, 3471, SURVIVED
1396035708, 1422, SURVIVED
1396035708, 1160, SURVIVED
1396035708, 4527, SURVIVED
1396035708, 3012, SURVIVED
1396035708, 3011, SURVIVED
1396035708, 918, SURVIVED
1396035708, 919, SURVIVED
1396035708, 2961, SURVIVED
1396035708, 3010, SURVIVED
1396035708, 4522, SURVIVED
1396035708, 3023, SURVIVED
1396035708, 3026, SURVIVED
1396035708, 6464, SURVIVED
1396035708, 6466, SURVIVED
1396035708, 6468, SURVIVED
1396035708, 6471, SURVIVED
1396035708, 6467, SURVIVED
1396035708, 6469, SURVIVED
1396035708, 6470, SURVIVED
1396035708, 6473, SURVIVED
1396035708, 6472, SURVIVED
1396035708, 6474, SURVIVED
