seed, mutant, status
901630107, 1936, SURVIVED
901630107, 1629, SURVIVED
901630107, 1554, SURVIVED
901630107, 1966, SURVIVED
901630107, 1553, SURVIVED
901630107, 1576, SURVIVED
901630107, 1561, SURVIVED
901630107, 1898, SURVIVED
901630107, 1425, SURVIVED
901630107, 1957, SURVIVED
901630107, 1574, SURVIVED
901630139, 1425, SURVIVED
901630115, 1425, SURVIVED
901630115, 1629, SURVIVED
901630139, 1554, SURVIVED
901630139, 1553, SURVIVED
901630115, 1898, SURVIVED
901630115, 1576, SURVIVED
901630139, 1957, SURVIVED
901630115, 1574, SURVIVED
901630115, 1553, SURVIVED
901630139, 1561, SURVIVED
901630139, 1898, SURVIVED
901630115, 1554, SURVIVED
901630115, 1936, SURVIVED
901630139, 1936, SURVIVED
901630115, 1561, SURVIVED
901630139, 1629, SURVIVED
901630139, 1966, SURVIVED
901630116, 1553, SURVIVED
901630139, 1574, SURVIVED
901630139, 1576, SURVIVED
901630116, 1629, SURVIVED
901630116, 1966, SURVIVED
901630116, 1936, SURVIVED
901630116, 1561, SURVIVED
901630116, 1554, SURVIVED
901630116, 1957, SURVIVED
901630116, 1576, SURVIVED
901630116, 1425, SURVIVED
901630116, 1574, SURVIVED
901630116, 1898, SURVIVED
901630171, 1898, SURVIVED
901630171, 1425, SURVIVED
901630171, 1576, SURVIVED
901630171, 1574, SURVIVED
901630171, 1629, SURVIVED
901630171, 1553, SURVIVED
901630171, 1554, SURVIVED
901630171, 1561, SURVIVED
901630171, 1936, SURVIVED
901630114, 189, SURVIVED
901630114, 209, SURVIVED
901630114, 1554, SURVIVED
901630114, 1561, SURVIVED
901630114, 1425, SURVIVED
901630114, 1553, SURVIVED
901630114, 1898, SURVIVED
901630114, 1936, SURVIVED
901630114, 1576, SURVIVED
901630114, 1574, SURVIVED
901630114, 1629, SURVIVED
901630103, 1574, SURVIVED
901630103, 1425, SURVIVED
901630103, 1957, SURVIVED
901630103, 1629, SURVIVED
901630103, 1898, SURVIVED
901630103, 1553, SURVIVED
901630103, 1554, SURVIVED
901630103, 1561, SURVIVED
901630103, 1966, SURVIVED
901630103, 1576, SURVIVED
901630103, 1936, SURVIVED
901630121, 1425, SURVIVED
901630121, 1574, SURVIVED
901630121, 1576, SURVIVED
901630121, 1936, SURVIVED
901630154, 1425, SURVIVED
901630121, 1553, SURVIVED
901630121, 1561, SURVIVED
901630154, 1554, SURVIVED
901630154, 1553, SURVIVED
901630154, 1574, SURVIVED
901630154, 1561, SURVIVED
901630154, 1576, SURVIVED
901630121, 1554, SURVIVED
901630154, 1898, SURVIVED
901630154, 1629, SURVIVED
901630121, 1629, SURVIVED
901630154, 1936, SURVIVED
901630121, 1957, SURVIVED
901630121, 1898, SURVIVED
901630153, 1561, SURVIVED
901630153, 1554, SURVIVED
901630153, 1425, SURVIVED
901630153, 1553, SURVIVED
901630121, 1966, SURVIVED
901630153, 1576, SURVIVED
901630153, 1574, SURVIVED
901630153, 1629, SURVIVED
901630153, 1898, SURVIVED
901630153, 1936, SURVIVED
901630153, 1957, SURVIVED
901630153, 1966, SURVIVED
901630123, 1576, SURVIVED
901630123, 1425, SURVIVED
901630123, 1898, SURVIVED
901630123, 1957, SURVIVED
901630123, 1554, SURVIVED
901630123, 1561, SURVIVED
901630123, 1553, SURVIVED
901630123, 1629, SURVIVED
901630123, 1574, SURVIVED
901630123, 1936, SURVIVED
901630122, 1553, SURVIVED
901630122, 1574, SURVIVED
901630122, 1425, SURVIVED
901630122, 1936, SURVIVED
901630122, 1561, SURVIVED
901630122, 1898, SURVIVED
901630122, 1554, SURVIVED
901630122, 1966, SURVIVED
901630122, 1629, SURVIVED
901630122, 1576, SURVIVED
901630122, 1957, SURVIVED
901630123, 1966, SURVIVED
901630110, 1554, SURVIVED
901630110, 1898, SURVIVED
901630110, 1553, SURVIVED
901630110, 1576, SURVIVED
901630110, 1425, SURVIVED
901630110, 1629, SURVIVED
901630110, 1936, SURVIVED
901630110, 1574, SURVIVED
901630110, 1561, SURVIVED
901630110, 1957, SURVIVED
901630100, 1553, SURVIVED
901630100, 1554, SURVIVED
901630110, 1966, SURVIVED
901630100, 1425, SURVIVED
901630100, 1576, SURVIVED
901630100, 1561, SURVIVED
901630100, 1898, SURVIVED
901630100, 1629, SURVIVED
901630100, 1574, SURVIVED
901630100, 1936, SURVIVED
901630100, 1966, SURVIVED
901630126, 1425, SURVIVED
901630126, 1574, SURVIVED
901630126, 1553, SURVIVED
901630126, 1561, SURVIVED
901630126, 1554, SURVIVED
901630100, 1957, SURVIVED
901630126, 1576, SURVIVED
901630126, 1936, SURVIVED
901630126, 1898, SURVIVED
901630126, 1629, SURVIVED
901630126, 1957, SURVIVED
901630148, 1554, SURVIVED
901630148, 1553, SURVIVED
901630148, 1425, SURVIVED
901630148, 1561, SURVIVED
901630148, 1574, SURVIVED
901630148, 1576, SURVIVED
901630148, 1957, SURVIVED
