seed, mutant, status
879247430, 49, SURVIVED
879247412, 49, SURVIVED
879247430, 1, SURVIVED
879247412, 1, SURVIVED
879247420, 1, SURVIVED
879247405, 1, SURVIVED
879247420, 49, SURVIVED
879247405, 49, SURVIVED
879247421, 1, SURVIVED
879247462, 1, SURVIVED
879247462, 49, SURVIVED
879247421, 49, SURVIVED
879247494, 49, SURVIVED
879247494, 1, SURVIVED
879247416, 49, SURVIVED
879247416, 1, SURVIVED
879247402, 49, SURVIVED
879247402, 1, SURVIVED
879247424, 1, SURVIVED
879247422, 49, SURVIVED
879247424, 49, SURVIVED
879247415, 49, SURVIVED
879247415, 1, SURVIVED
879247431, 1, SURVIVED
879247422, 1, SURVIVED
879247434, 1, SURVIVED
879247434, 49, SURVIVED
879247401, 1, SURVIVED
879247431, 49, SURVIVED
879247423, 49, SURVIVED
879247442, 1, SURVIVED
879247401, 49, SURVIVED
879247442, 49, SURVIVED
879247423, 1, SURVIVED
879247408, 49, SURVIVED
879247408, 1, SURVIVED
879247426, 49, SURVIVED
879247426, 1, SURVIVED
879247437, 1, SURVIVED
879247437, 49, SURVIVED
879247411, 1, SURVIVED
879247411, 49, SURVIVED
879247414, 1, SURVIVED
879247414, 49, SURVIVED
879247488, 1, SURVIVED
879247488, 49, SURVIVED
879247403, 1, SURVIVED
879247403, 49, SURVIVED
879247404, 1, SURVIVED
879247404, 49, SURVIVED
879247498, 1, SURVIVED
879247498, 49, SURVIVED
879247418, 1, SURVIVED
879247418, 49, SURVIVED
879247410, 1, SURVIVED
879247456, 1, SURVIVED
879247410, 49, SURVIVED
879247438, 1, SURVIVED
879247456, 49, SURVIVED
879247438, 49, SURVIVED
879247458, 1, SURVIVED
879247458, 49, SURVIVED
879247476, 1, SURVIVED
879247476, 49, SURVIVED
879247447, 1, SURVIVED
879247447, 49, SURVIVED
879247495, 49, SURVIVED
879247495, 1, SURVIVED
879247428, 1, SURVIVED
879247419, 1, SURVIVED
879247428, 49, SURVIVED
879247419, 49, SURVIVED
879247455, 1, SURVIVED
879247466, 1, SURVIVED
879247466, 49, SURVIVED
879247455, 49, SURVIVED
879247452, 1, SURVIVED
879247409, 49, SURVIVED
879247409, 1, SURVIVED
879247452, 49, SURVIVED
879247406, 1, SURVIVED
879247433, 49, SURVIVED
879247433, 1, SURVIVED
879247406, 49, SURVIVED
879247400, 1, SURVIVED
879247400, 49, SURVIVED
879247432, 1, SURVIVED
879247432, 49, SURVIVED
879247429, 49, SURVIVED
879247463, 1, SURVIVED
879247429, 1, SURVIVED
879247463, 49, SURVIVED
879247487, 1, SURVIVED
879247487, 49, SURVIVED
879247474, 1, SURVIVED
879247440, 1, SURVIVED
879247474, 49, SURVIVED
879247440, 49, SURVIVED
879247468, 1, SURVIVED
879247468, 49, SURVIVED
879247490, 1, SURVIVED
879247444, 49, SURVIVED
879247444, 1, SURVIVED
879247490, 49, SURVIVED
879247441, 1, SURVIVED
879247441, 49, SURVIVED
879247417, 1, SURVIVED
879247482, 1, SURVIVED
879247482, 49, SURVIVED
879247417, 49, SURVIVED
879247448, 49, SURVIVED
879247448, 1, SURVIVED
879247425, 49, SURVIVED
879247425, 1, SURVIVED
879247460, 1, SURVIVED
879247460, 49, SURVIVED
879247497, 1, SURVIVED
879247443, 1, SURVIVED
879247497, 49, SURVIVED
879247467, 49, SURVIVED
879247443, 49, SURVIVED
879247467, 1, SURVIVED
879247451, 1, SURVIVED
879247413, 1, SURVIVED
879247413, 49, SURVIVED
879247472, 1, SURVIVED
879247451, 49, SURVIVED
879247472, 49, SURVIVED
879247478, 49, SURVIVED
879247478, 1, SURVIVED
879247479, 1, SURVIVED
879247435, 1, SURVIVED
879247479, 49, SURVIVED
879247461, 49, SURVIVED
879247485, 1, SURVIVED
879247470, 1, SURVIVED
879247485, 49, SURVIVED
879247461, 1, SURVIVED
879247435, 49, SURVIVED
879247470, 49, SURVIVED
879247493, 1, SURVIVED
879247493, 49, SURVIVED
879247465, 1, SURVIVED
879247465, 49, SURVIVED
879247450, 1, SURVIVED
879247450, 49, SURVIVED
879247446, 49, SURVIVED
879247446, 1, SURVIVED
879247475, 49, SURVIVED
879247475, 1, SURVIVED
879247436, 1, SURVIVED
879247480, 1, SURVIVED
879247436, 49, SURVIVED
879247480, 49, SURVIVED
879247439, 1, SURVIVED
879247439, 49, SURVIVED
879247492, 1, SURVIVED
879247492, 49, SURVIVED
879247477, 1, SURVIVED
879247477, 49, SURVIVED
879247445, 49, SURVIVED
879247483, 1, SURVIVED
879247445, 1, SURVIVED
879247483, 49, SURVIVED
879247473, 49, SURVIVED
879247473, 1, SURVIVED
879247457, 49, SURVIVED
879247457, 1, SURVIVED
879247491, 1, SURVIVED
879247491, 49, SURVIVED
879247489, 1, SURVIVED
879247489, 49, SURVIVED
879247486, 49, SURVIVED
879247486, 1, SURVIVED
879247459, 1, SURVIVED
879247496, 49, SURVIVED
879247496, 1, SURVIVED
879247459, 49, SURVIVED
879247449, 1, SURVIVED
879247449, 49, SURVIVED
879247471, 1, SURVIVED
879247481, 1, SURVIVED
879247453, 1, SURVIVED
879247469, 1, SURVIVED
879247481, 49, SURVIVED
879247471, 49, SURVIVED
879247453, 49, SURVIVED
879247469, 49, SURVIVED
879247484, 1, SURVIVED
879247454, 49, SURVIVED
879247454, 1, SURVIVED
879247484, 49, SURVIVED
879247407, 49, SURVIVED
879247407, 1, SURVIVED
879247499, 49, SURVIVED
879247499, 1, SURVIVED
879247464, 1, SURVIVED
