seed, mutant, status
1810393827, 3205, SURVIVED
1810393827, 3149, SURVIVED
1810393827, 3182, SURVIVED
1810393827, 3138, SURVIVED
1810393827, 3181, SURVIVED
1810393827, 3139, SURVIVED
1810393808, 3205, SURVIVED
1810393808, 3149, SURVIVED
1810393808, 3147, SURVIVED
1810393827, 3141, SURVIVED
1810393808, 3140, SURVIVED
1810393827, 3140, SURVIVED
1810393808, 3137, SURVIVED
1810393827, 3137, SURVIVED
1810393827, 3147, SURVIVED
1810393822, 3138, SURVIVED
1810393808, 3139, SURVIVED
1810393808, 3181, SURVIVED
1810393808, 3138, SURVIVED
1810393808, 3141, SURVIVED
1810393822, 3137, SURVIVED
1810393822, 3205, SURVIVED
1810393822, 3140, SURVIVED
1810393808, 3182, SURVIVED
1810393800, 3137, SURVIVED
1810393822, 3141, SURVIVED
1810393822, 3147, SURVIVED
1810393822, 3181, SURVIVED
1810393822, 3182, SURVIVED
1810393822, 3139, SURVIVED
1810393822, 3149, SURVIVED
1810393800, 3205, SURVIVED
1810393800, 3138, SURVIVED
1810393800, 3139, SURVIVED
1810393800, 3140, SURVIVED
1810393800, 3141, SURVIVED
1810393800, 3147, SURVIVED
1810393800, 3181, SURVIVED
1810393800, 3182, SURVIVED
1810393800, 3149, SURVIVED
1810393815, 3139, SURVIVED
1810393815, 3205, SURVIVED
1810393815, 3137, SURVIVED
1810393815, 3138, SURVIVED
1810393815, 3181, SURVIVED
1810393815, 3147, SURVIVED
1810393815, 3182, SURVIVED
1810393815, 3149, SURVIVED
1810393815, 3141, SURVIVED
1810393815, 3140, SURVIVED
1810393820, 3147, SURVIVED
1810393820, 3149, SURVIVED
1810393820, 3139, SURVIVED
1810393820, 3137, SURVIVED
1810393820, 3141, SURVIVED
1810393820, 3181, SURVIVED
1810393820, 3205, SURVIVED
1810393820, 3140, SURVIVED
1810393820, 3182, SURVIVED
1810393820, 3138, SURVIVED
1810393819, 3205, SURVIVED
1810393819, 3139, SURVIVED
1810393819, 3138, SURVIVED
1810393819, 3137, SURVIVED
1810393819, 3141, SURVIVED
1810393819, 3140, SURVIVED
1810393819, 3181, SURVIVED
1810393819, 3147, SURVIVED
1810393819, 3149, SURVIVED
1810393805, 3181, SURVIVED
1810393819, 3182, SURVIVED
1810393805, 3138, SURVIVED
1810393805, 3139, SURVIVED
1810393805, 3147, SURVIVED
1810393805, 3205, SURVIVED
1810393805, 3137, SURVIVED
1810393805, 3149, SURVIVED
1810393805, 3182, SURVIVED
1810393805, 3141, SURVIVED
1810393805, 3140, SURVIVED
1810393810, 3205, SURVIVED
1810393810, 3137, SURVIVED
1810393810, 3138, SURVIVED
1810393810, 3139, SURVIVED
1810393810, 3140, SURVIVED
1810393810, 3181, SURVIVED
1810393810, 3141, SURVIVED
1810393810, 3147, SURVIVED
1810393810, 3149, SURVIVED
1810393810, 3182, SURVIVED
1810393812, 3205, SURVIVED
1810393812, 3137, SURVIVED
1810393812, 3139, SURVIVED
1810393812, 3140, SURVIVED
1810393812, 3138, SURVIVED
1810393812, 3141, SURVIVED
1810393809, 3205, SURVIVED
1810393812, 3149, SURVIVED
1810393847, 3205, SURVIVED
1810393809, 3137, SURVIVED
1810393812, 3147, SURVIVED
1810393809, 3138, SURVIVED
1810393809, 3139, SURVIVED
1810393812, 3181, SURVIVED
1810393812, 3182, SURVIVED
1810393809, 3147, SURVIVED
1810393809, 3141, SURVIVED
1810393809, 3140, SURVIVED
1810393847, 3137, SURVIVED
1810393809, 3149, SURVIVED
1810393809, 3181, SURVIVED
1810393847, 3139, SURVIVED
1810393809, 3182, SURVIVED
1810393847, 3138, SURVIVED
1810393847, 3140, SURVIVED
1810393847, 3141, SURVIVED
1810393847, 3147, SURVIVED
1810393847, 3181, SURVIVED
1810393847, 3149, SURVIVED
1810393847, 3182, SURVIVED
1810393838, 3205, SURVIVED
1810393838, 3137, SURVIVED
1810393838, 3138, SURVIVED
1810393838, 3139, SURVIVED
1810393806, 3205, SURVIVED
1810393806, 3139, SURVIVED
1810393806, 3138, SURVIVED
1810393806, 3137, SURVIVED
1810393838, 3140, SURVIVED
1810393838, 3141, SURVIVED
1810393838, 3147, SURVIVED
1810393838, 3149, SURVIVED
1810393838, 3181, SURVIVED
1810393838, 3182, SURVIVED
1810393806, 3141, SURVIVED
1810393806, 3147, SURVIVED
1810393806, 3140, SURVIVED
1810393806, 3149, SURVIVED
1810393806, 3181, SURVIVED
1810393806, 3182, SURVIVED
1810393830, 3205, SURVIVED
1810393830, 3139, SURVIVED
1810393830, 3138, SURVIVED
1810393830, 3137, SURVIVED
1810393830, 3141, SURVIVED
1810393830, 3140, SURVIVED
1810393830, 3149, SURVIVED
1810393830, 3147, SURVIVED
1810393830, 3181, SURVIVED
1810393826, 3140, SURVIVED
1810393826, 3138, SURVIVED
1810393852, 3137, SURVIVED
1810393826, 3137, SURVIVED
1810393852, 3205, SURVIVED
1810393830, 3182, SURVIVED
1810393852, 3138, SURVIVED
1810393826, 3149, SURVIVED
1810393826, 3205, SURVIVED
1810393852, 3139, SURVIVED
1810393826, 3139, SURVIVED
1810393826, 3141, SURVIVED
1810393826, 3147, SURVIVED
1810393852, 3141, SURVIVED
1810393826, 3181, SURVIVED
1810393852, 3140, SURVIVED
1810393826, 3182, SURVIVED
1810393852, 3149, SURVIVED
1810393852, 3147, SURVIVED
1810393852, 3181, SURVIVED
