seed, mutant, status
1368169407, 1253, SURVIVED
1368169407, 1160, SURVIVED
1368169407, 893, SURVIVED
1368169407, 18, SURVIVED
1368169407, 1333, SURVIVED
1368169407, 14, SURVIVED
1368169407, 13, SURVIVED
1368169407, 1334, SURVIVED
1368169407, 318, SURVIVED
1368169407, 1336, SURVIVED
1368169407, 1311, SURVIVED
1368169407, 297, SURVIVED
1368169407, 286, SURVIVED
1368169407, 1342, SURVIVED
1368169407, 1286, SURVIVED
1368169407, 1338, SURVIVED
1368169407, 1222, SURVIVED
1368169407, 1302, SURVIVED
1368169407, 1274, SURVIVED
1368169407, 1256, SURVIVED
1368169407, 1318, SURVIVED
1368169407, 1301, SURVIVED
1368169407, 1219, SURVIVED
1368169407, 1224, SURVIVED
1368169407, 1304, SURVIVED
1368169407, 265, SURVIVED
1368169407, 296, SURVIVED
1368169407, 50, SURVIVED
1368169407, 1192, SURVIVED
1368169407, 1306, SURVIVED
1368169407, 45, SURVIVED
1368169407, 1310, SURVIVED
1368169407, 1343, SURVIVED
1368169405, 893, SURVIVED
1368169405, 1192, SURVIVED
1368169405, 1222, SURVIVED
1368169405, 1253, SURVIVED
1368169422, 1224, SURVIVED
1368169422, 1219, SURVIVED
1368169422, 1253, SURVIVED
1368169405, 1256, SURVIVED
1368169422, 1222, SURVIVED
1368169405, 1301, SURVIVED
1368169422, 893, SURVIVED
1368169405, 1224, SURVIVED
1368169405, 1311, SURVIVED
1368169422, 1274, SURVIVED
1368169422, 1286, SURVIVED
1368169405, 1334, SURVIVED
1368169405, 1219, SURVIVED
1368169405, 1306, SURVIVED
1368169405, 1338, SURVIVED
1368169405, 1336, SURVIVED
1368169405, 1310, SURVIVED
1368169405, 1274, SURVIVED
1368169405, 1333, SURVIVED
1368169405, 1304, SURVIVED
1368169422, 1192, SURVIVED
1368169422, 1301, SURVIVED
1368169405, 1286, SURVIVED
1368169405, 1318, SURVIVED
1368169405, 1302, SURVIVED
1368169405, 1343, SURVIVED
1368169405, 1342, SURVIVED
1368169422, 1256, SURVIVED
1368169422, 1310, SURVIVED
1368169422, 1304, SURVIVED
1368169422, 1306, SURVIVED
1368169422, 1302, SURVIVED
1368169422, 1311, SURVIVED
1368169424, 45, SURVIVED
1368169422, 1333, SURVIVED
1368169424, 13, SURVIVED
1368169424, 50, SURVIVED
1368169424, 14, SURVIVED
1368169422, 1318, SURVIVED
1368169422, 1334, SURVIVED
1368169424, 18, SURVIVED
1368169424, 893, SURVIVED
1368169424, 1160, SURVIVED
1368169424, 297, SURVIVED
1368169424, 1253, SURVIVED
1368169424, 1192, SURVIVED
1368169424, 1219, SURVIVED
1368169422, 1342, SURVIVED
1368169424, 1274, SURVIVED
1368169424, 1222, SURVIVED
1368169424, 286, SURVIVED
1368169424, 296, SURVIVED
1368169424, 1256, SURVIVED
1368169424, 318, SURVIVED
1368169424, 1224, SURVIVED
1368169424, 265, SURVIVED
1368169422, 1338, SURVIVED
1368169422, 1336, SURVIVED
1368169424, 1286, SURVIVED
1368169422, 1343, SURVIVED
1368169424, 1301, SURVIVED
1368169424, 1302, SURVIVED
1368169424, 1304, SURVIVED
1368169424, 1311, SURVIVED
1368169424, 1342, SURVIVED
1368169424, 1336, SURVIVED
1368169424, 1306, SURVIVED
1368169424, 1318, SURVIVED
1368169424, 1333, SURVIVED
1368169424, 1338, SURVIVED
1368169424, 1334, SURVIVED
1368169424, 1310, SURVIVED
1368169424, 1343, SURVIVED
1368169409, 13, SURVIVED
1368169409, 45, SURVIVED
1368169409, 50, SURVIVED
1368169409, 14, SURVIVED
1368169409, 893, SURVIVED
1368169409, 265, SURVIVED
1368169409, 18, SURVIVED
1368169409, 1224, SURVIVED
1368169409, 297, SURVIVED
1368169409, 1192, SURVIVED
1368169409, 318, SURVIVED
1368169409, 1219, SURVIVED
1368169409, 286, SURVIVED
1368169409, 1256, SURVIVED
1368169409, 296, SURVIVED
1368169409, 1302, SURVIVED
1368169409, 1274, SURVIVED
1368169409, 1301, SURVIVED
1368169409, 1304, SURVIVED
1368169409, 1286, SURVIVED
1368169409, 1222, SURVIVED
1368169409, 1253, SURVIVED
1368169409, 1160, SURVIVED
1368169409, 1306, SURVIVED
1368169409, 1310, SURVIVED
1368169409, 1336, SURVIVED
1368169409, 1311, SURVIVED
1368169409, 1334, SURVIVED
1368169409, 1333, SURVIVED
1368169409, 1318, SURVIVED
1368169409, 1338, SURVIVED
1368169409, 1342, SURVIVED
1368169409, 1343, SURVIVED
1368169420, 893, SURVIVED
1368169420, 1219, SURVIVED
1368169420, 1224, SURVIVED
1368169420, 1222, SURVIVED
1368169420, 1192, SURVIVED
1368169420, 1253, SURVIVED
1368169420, 1286, SURVIVED
1368169420, 1256, SURVIVED
1368169429, 893, SURVIVED
1368169420, 1274, SURVIVED
1368169429, 1192, SURVIVED
1368169429, 1222, SURVIVED
1368169429, 1224, SURVIVED
1368169420, 1301, SURVIVED
1368169420, 1302, SURVIVED
1368169420, 1311, SURVIVED
1368169429, 1219, SURVIVED
1368169429, 1253, SURVIVED
1368169420, 1304, SURVIVED
1368169420, 1318, SURVIVED
1368169420, 1310, SURVIVED
1368169420, 1333, SURVIVED
1368169420, 1306, SURVIVED
1368169420, 1343, SURVIVED
1368169429, 1256, SURVIVED
1368169429, 1274, SURVIVED
1368169429, 1286, SURVIVED
1368169420, 1334, SURVIVED
1368169420, 1342, SURVIVED
1368169420, 1338, SURVIVED
1368169420, 1336, SURVIVED
1368169429, 1301, SURVIVED
1368169429, 1304, SURVIVED
1368169429, 1302, SURVIVED
1368169429, 1318, SURVIVED
1368169429, 1306, SURVIVED
1368169429, 1311, SURVIVED
1368169429, 1310, SURVIVED
1368169429, 1338, SURVIVED
