seed, mutant, status
1334065310, 118, SURVIVED
1334065317, 24, SURVIVED
1334065317, 118, SURVIVED
1334065317, 102, SURVIVED
1334065325, 102, SURVIVED
1334065310, 24, SURVIVED
1334065325, 118, SURVIVED
1334065325, 24, SURVIVED
1334065310, 102, SURVIVED
1334065305, 102, SURVIVED
1334065305, 118, SURVIVED
1334065305, 24, SURVIVED
1334065314, 118, SURVIVED
1334065314, 24, SURVIVED
1334065314, 102, SURVIVED
1334065340, 24, SURVIVED
1334065340, 102, SURVIVED
1334065340, 118, SURVIVED
1334065300, 118, SURVIVED
1334065300, 24, SURVIVED
1334065300, 102, SURVIVED
1334065348, 24, SURVIVED
1334065348, 102, SURVIVED
1334065348, 118, SURVIVED
1334065355, 24, SURVIVED
1334065355, 102, SURVIVED
1334065327, 118, SURVIVED
1334065355, 118, SURVIVED
1334065327, 102, SURVIVED
1334065327, 24, SURVIVED
1334065320, 118, SURVIVED
1334065387, 102, SURVIVED
1334065387, 24, SURVIVED
1334065320, 24, SURVIVED
1334065320, 102, SURVIVED
1334065319, 118, SURVIVED
1334065342, 102, SURVIVED
1334065387, 118, SURVIVED
1334065319, 24, SURVIVED
1334065319, 102, SURVIVED
1334065342, 118, SURVIVED
1334065342, 24, SURVIVED
1334065308, 102, SURVIVED
1334065308, 24, SURVIVED
1334065304, 102, SURVIVED
1334065304, 24, SURVIVED
1334065304, 118, SURVIVED
1334065308, 118, SURVIVED
1334065318, 102, SURVIVED
1334065318, 24, SURVIVED
1334065318, 118, SURVIVED
1334065330, 24, SURVIVED
1334065330, 102, SURVIVED
1334065323, 24, SURVIVED
1334065316, 102, SURVIVED
1334065330, 118, SURVIVED
1334065316, 118, SURVIVED
1334065316, 24, SURVIVED
1334065323, 102, SURVIVED
1334065323, 118, SURVIVED
1334065301, 24, SURVIVED
1334065359, 102, SURVIVED
1334065359, 24, SURVIVED
1334065301, 102, SURVIVED
1334065301, 118, SURVIVED
1334065359, 118, SURVIVED
1334065351, 24, SURVIVED
1334065351, 118, SURVIVED
1334065351, 102, SURVIVED
1334065322, 24, SURVIVED
1334065322, 102, SURVIVED
1334065322, 118, SURVIVED
1334065307, 102, SURVIVED
1334065357, 24, SURVIVED
1334065307, 24, SURVIVED
1334065307, 118, SURVIVED
1334065357, 118, SURVIVED
1334065381, 24, SURVIVED
1334065315, 24, SURVIVED
1334065315, 102, SURVIVED
1334065381, 102, SURVIVED
1334065315, 118, SURVIVED
1334065381, 118, SURVIVED
1334065357, 102, SURVIVED
1334065312, 24, SURVIVED
1334065312, 102, SURVIVED
1334065312, 118, SURVIVED
