seed, mutant, status
3255527807, 36, SURVIVED
3255527807, 0, SURVIVED
3255527829, 0, SURVIVED
3255527821, 36, SURVIVED
3255527821, 0, SURVIVED
3255527829, 36, SURVIVED
3255527856, 0, SURVIVED
3255527856, 36, SURVIVED
3255527825, 36, SURVIVED
3255527819, 0, SURVIVED
3255527828, 0, SURVIVED
3255527825, 0, SURVIVED
3255527819, 36, SURVIVED
3255527824, 0, SURVIVED
3255527824, 36, SURVIVED
3255527858, 0, SURVIVED
3255527822, 0, SURVIVED
3255527858, 36, SURVIVED
3255527822, 36, SURVIVED
3255527806, 36, SURVIVED
3255527828, 36, SURVIVED
3255527806, 0, SURVIVED
3255527826, 0, SURVIVED
3255527826, 36, SURVIVED
3255527805, 0, SURVIVED
3255527805, 36, SURVIVED
3255527888, 0, SURVIVED
3255527888, 36, SURVIVED
3255527839, 0, SURVIVED
3255527839, 36, SURVIVED
3255527859, 0, SURVIVED
3255527859, 36, SURVIVED
3255527857, 0, SURVIVED
3255527857, 36, SURVIVED
3255527815, 0, SURVIVED
3255527815, 36, SURVIVED
3255527816, 0, SURVIVED
3255527816, 36, SURVIVED
3255527889, 36, SURVIVED
3255527832, 0, SURVIVED
3255527889, 0, SURVIVED
3255527832, 36, SURVIVED
3255527838, 0, SURVIVED
3255527838, 36, SURVIVED
3255527886, 0, SURVIVED
3255527886, 36, SURVIVED
3255527860, 0, SURVIVED
3255527818, 0, SURVIVED
3255527818, 36, SURVIVED
3255527860, 36, SURVIVED
3255527827, 0, SURVIVED
3255527827, 36, SURVIVED
3255527811, 36, SURVIVED
3255527811, 0, SURVIVED
3255527861, 0, SURVIVED
3255527840, 0, SURVIVED
3255527872, 0, SURVIVED
3255527840, 36, SURVIVED
3255527872, 36, SURVIVED
3255527861, 36, SURVIVED
3255527810, 0, SURVIVED
3255527810, 36, SURVIVED
3255527804, 0, SURVIVED
3255527804, 36, SURVIVED
3255527882, 0, SURVIVED
3255527851, 0, SURVIVED
3255527882, 36, SURVIVED
3255527851, 36, SURVIVED
3255527801, 0, SURVIVED
3255527801, 36, SURVIVED
3255527812, 0, SURVIVED
3255527812, 36, SURVIVED
3255527800, 0, SURVIVED
3255527800, 36, SURVIVED
3255527820, 36, SURVIVED
3255527820, 0, SURVIVED
3255527833, 0, SURVIVED
3255527833, 36, SURVIVED
3255527843, 0, SURVIVED
3255527843, 36, SURVIVED
3255527848, 36, SURVIVED
3255527848, 0, SURVIVED
3255527852, 0, SURVIVED
3255527852, 36, SURVIVED
3255527836, 0, SURVIVED
3255527864, 36, SURVIVED
3255527823, 0, SURVIVED
3255527823, 36, SURVIVED
3255527864, 0, SURVIVED
3255527836, 36, SURVIVED
3255527850, 36, SURVIVED
3255527844, 0, SURVIVED
3255527844, 36, SURVIVED
3255527854, 0, SURVIVED
3255527842, 0, SURVIVED
