seed, mutant, status
1518049115, 890, SURVIVED
1518049119, 406, SURVIVED
1518049119, 386, SURVIVED
1518049119, 890, SURVIVED
1518049139, 890, SURVIVED
1518049123, 549, KILLED_FAILED
1518049103, 890, SURVIVED
1518049123, 552, KILLED_FAILED
1518049109, 549, KILLED_FAILED
1518049123, 890, SURVIVED
1518049123, 551, SURVIVED
1518049123, 555, KILLED_FAILED
1518049123, 554, KILLED_FAILED
1518049132, 549, KILLED_FAILED
1518049123, 550, SURVIVED
1518049123, 553, KILLED_FAILED
1518049109, 552, KILLED_FAILED
1518049130, 549, KILLED_FAILED
1518049109, 553, KILLED_FAILED
1518049123, 556, KILLED_FAILED
1518049123, 558, KILLED_FAILED
1518049109, 551, SURVIVED
1518049109, 550, SURVIVED
1518049109, 555, KILLED_FAILED
1518049109, 554, KILLED_FAILED
1518049109, 558, KILLED_FAILED
1518049109, 556, KILLED_FAILED
1518049132, 554, KILLED_FAILED
1518049132, 553, KILLED_FAILED
1518049132, 550, SURVIVED
1518049132, 558, KILLED_FAILED
1518049132, 551, SURVIVED
1518049132, 555, KILLED_FAILED
1518049132, 556, KILLED_FAILED
1518049132, 552, KILLED_FAILED
1518049130, 550, SURVIVED
1518049157, 890, SURVIVED
1518049189, 890, SURVIVED
1518049130, 551, SURVIVED
1518049130, 552, KILLED_FAILED
1518049130, 558, KILLED_FAILED
1518049130, 555, KILLED_FAILED
1518049130, 553, KILLED_FAILED
1518049114, 890, SURVIVED
1518049130, 556, KILLED_FAILED
1518049130, 554, KILLED_FAILED
1518049130, 890, SURVIVED
1518049160, 890, SURVIVED
1518049131, 551, SURVIVED
1518049131, 558, KILLED_FAILED
1518049131, 550, SURVIVED
1518049131, 556, KILLED_FAILED
1518049124, 558, KILLED_FAILED
1518049124, 551, SURVIVED
1518049124, 550, SURVIVED
1518049152, 890, SURVIVED
1518049158, 550, SURVIVED
1518049158, 551, SURVIVED
1518049118, 550, SURVIVED
1518049118, 551, SURVIVED
1518049101, 890, SURVIVED
1518049171, 550, SURVIVED
1518049163, 551, SURVIVED
1518049171, 551, SURVIVED
1518049163, 550, SURVIVED
1518049163, 890, SURVIVED
1518049110, 551, SURVIVED
1518049102, 550, SURVIVED
1518049110, 890, SURVIVED
1518049102, 551, SURVIVED
1518049110, 550, SURVIVED
1518049171, 890, SURVIVED
1518049129, 551, SURVIVED
1518049129, 550, SURVIVED
1518049154, 550, SURVIVED
1518049129, 890, SURVIVED
1518049154, 551, SURVIVED
1518049154, 890, SURVIVED
1518049162, 550, SURVIVED
1518049162, 551, SURVIVED
1518049161, 550, SURVIVED
1518049161, 551, SURVIVED
1518049178, 551, SURVIVED
1518049141, 890, SURVIVED
1518049161, 890, SURVIVED
1518049178, 550, SURVIVED
1518049122, 550, SURVIVED
1518049122, 551, SURVIVED
1518049122, 890, SURVIVED
1518049191, 890, SURVIVED
1518049146, 890, SURVIVED
1518049170, 550, SURVIVED
1518049170, 551, SURVIVED
1518049112, 550, SURVIVED
1518049170, 890, SURVIVED
