seed, mutant, status
2330033307, 6519, SURVIVED
2330033307, 6518, SURVIVED
2330033307, 6515, SURVIVED
2330033307, 6517, SURVIVED
2330033307, 4487, SURVIVED
2330033307, 6527, SURVIVED
2330033307, 6541, SURVIVED
2330033307, 6520, SURVIVED
2330033307, 6532, SURVIVED
2330033307, 6498, SURVIVED
2330033307, 4471, SURVIVED
2330033307, 4505, SURVIVED
2330033307, 6535, SURVIVED
2330033307, 4496, SURVIVED
2330033307, 6525, SURVIVED
2330033307, 6536, SURVIVED
2330033307, 6528, SURVIVED
2330033307, 4486, SURVIVED
2330033307, 6491, SURVIVED
2330033307, 4470, SURVIVED
2330033307, 4476, SURVIVED
2330033307, 6499, SURVIVED
2330033307, 6534, SURVIVED
2330033307, 6540, SURVIVED
2330033307, 6538, SURVIVED
2330033307, 6522, SURVIVED
2330033307, 6531, SURVIVED
2330033307, 6490, SURVIVED
2330033307, 6533, SURVIVED
2330033307, 6523, SURVIVED
2330033307, 6521, SURVIVED
2330033307, 6503, SURVIVED
2330033307, 6547, SURVIVED
2330033307, 6544, SURVIVED
2330033307, 6545, SURVIVED
2330033307, 6566, SURVIVED
2330033307, 6565, SURVIVED
2330033307, 6550, SURVIVED
2330033307, 6548, SURVIVED
2330033307, 6549, SURVIVED
2330033307, 6577, SURVIVED
2330033307, 6584, SURVIVED
2330033307, 6570, SURVIVED
2330033307, 6572, SURVIVED
2330033307, 6546, SURVIVED
2330033307, 6567, SURVIVED
2330033307, 6573, SURVIVED
2330033307, 6568, SURVIVED
2330033307, 6591, SURVIVED
2330033307, 6582, SURVIVED
2330033307, 6590, SURVIVED
2330033307, 6578, SURVIVED
2330033307, 6593, SURVIVED
2330033307, 6928, KILLED_FAILED
2330033307, 6925, KILLED_FAILED
2330033307, 6927, KILLED_FAILED
2330033307, 6585, SURVIVED
2330033307, 6923, KILLED_FAILED
2330033307, 6589, SURVIVED
2330033307, 6597, SURVIVED
2330033307, 6581, SURVIVED
2330033307, 6924, KILLED_FAILED
2330033307, 6926, KILLED_FAILED
2330033307, 6929, KILLED_FAILED
2330033307, 6931, KILLED_FAILED
2330033307, 6932, KILLED_FAILED
2330033307, 6930, KILLED_FAILED
2330033307, 6934, KILLED_FAILED
2330033307, 6935, KILLED_FAILED
2330033307, 6933, KILLED_FAILED
2330033307, 6936, KILLED_FAILED
2330033307, 6940, KILLED_FAILED
2330033307, 6941, KILLED_FAILED
2330033307, 6937, KILLED_FAILED
2330033307, 10868, SURVIVED
2330033307, 6938, KILLED_FAILED
2330033307, 6939, KILLED_FAILED
2330033307, 10876, SURVIVED
2330033307, 10888, SURVIVED
2330033307, 10870, SURVIVED
2330033307, 10871, SURVIVED
2330033307, 10932, SURVIVED
2330033307, 10931, SURVIVED
2330033307, 10920, SURVIVED
2330033307, 10900, SURVIVED
2330033307, 10873, SURVIVED
2330033307, 10890, SURVIVED
2330033307, 10922, SURVIVED
2330033307, 10930, SURVIVED
2330033307, 10928, SURVIVED
2330033307, 10942, SURVIVED
2330033307, 10945, SURVIVED
2330033307, 10933, SURVIVED
2330033307, 10943, SURVIVED
2330033307, 10948, SURVIVED
2330033307, 10949, SURVIVED
2330033307, 10950, SURVIVED
2330033307, 10952, SURVIVED
2330033307, 10988, SURVIVED
2330033307, 10953, SURVIVED
2330033307, 10985, SURVIVED
2330033307, 10993, SURVIVED
2330033307, 10955, SURVIVED
2330033307, 10992, SURVIVED
2330033307, 11042, SURVIVED
2330033307, 10990, SURVIVED
2330033307, 11010, SURVIVED
2330033307, 10956, SURVIVED
2330033307, 10987, SURVIVED
2330033307, 11031, SURVIVED
2330033307, 10991, SURVIVED
2330033307, 11006, SURVIVED
2330033307, 11171, SURVIVED
2330033307, 11011, SURVIVED
2330033307, 11003, SURVIVED
2330033307, 11185, SURVIVED
2330033307, 11139, SURVIVED
2330033307, 11204, SURVIVED
2330033307, 11176, SURVIVED
2330033307, 11200, SURVIVED
2330033307, 11202, SURVIVED
2330033307, 11203, SURVIVED
2330033307, 11236, SURVIVED
2330033307, 11281, SURVIVED
2330033307, 11258, SURVIVED
2330033307, 11282, SURVIVED
2330033307, 11268, SURVIVED
2330033307, 11286, SURVIVED
2330033307, 11287, SURVIVED
2330033307, 11288, SURVIVED
2330033307, 11290, SURVIVED
2330033307, 11289, SURVIVED
2330033307, 11291, SURVIVED
2330033307, 11292, SURVIVED
2330033307, 11310, SURVIVED
2330033307, 11294, SURVIVED
2330033307, 11293, SURVIVED
2330033307, 11300, SURVIVED
2330033307, 11312, SURVIVED
