seed, mutant, status
3649711022, 3094, SURVIVED
3649711027, 8188, SURVIVED
3649711004, 8138, SURVIVED
3649711004, 3094, SURVIVED
3649711027, 8167, SURVIVED
3649711004, 3093, SURVIVED
3649711004, 3097, SURVIVED
3649711004, 8167, SURVIVED
3649711004, 8135, SURVIVED
3649711004, 8156, SURVIVED
3649711022, 8138, SURVIVED
3649711004, 8188, SURVIVED
3649711022, 8167, SURVIVED
3649711004, 8170, SURVIVED
3649711027, 3093, SURVIVED
3649711022, 8156, SURVIVED
3649711022, 3093, SURVIVED
3649711022, 3097, SURVIVED
3649711022, 8170, SURVIVED
3649711027, 8156, SURVIVED
3649711027, 10715, SURVIVED
3649711022, 8223, SURVIVED
3649711022, 8135, SURVIVED
3649711022, 8188, SURVIVED
3649711027, 8135, SURVIVED
3649711027, 8170, SURVIVED
3649711027, 3097, SURVIVED
3649711027, 8138, SURVIVED
3649711027, 3094, SURVIVED
3649711030, 3093, SURVIVED
3649711030, 3094, SURVIVED
3649711030, 3097, SURVIVED
3649711030, 10747, SURVIVED
3649711015, 8170, SURVIVED
3649711015, 3093, SURVIVED
3649711015, 8156, SURVIVED
3649711015, 3094, SURVIVED
3649711015, 11606, SURVIVED
3649711015, 10715, SURVIVED
3649711015, 8138, SURVIVED
3649711015, 8188, SURVIVED
3649711015, 8135, SURVIVED
3649711015, 10747, SURVIVED
3649711015, 3097, SURVIVED
3649711015, 8167, SURVIVED
3649711015, 8223, SURVIVED
3649711054, 8135, SURVIVED
3649711054, 3093, SURVIVED
3649711054, 3094, SURVIVED
3649711005, 8170, KILLED_TIMEOUT
3649711054, 8138, SURVIVED
3649711054, 8156, SURVIVED
3649711054, 3097, SURVIVED
3649711054, 8188, SURVIVED
3649711054, 8170, SURVIVED
3649711054, 8167, SURVIVED
3649711005, 8223, KILLED_TIMEOUT
3649711005, 8238, KILLED_TIMEOUT
3649711005, 8167, KILLED_TIMEOUT
3649711005, 3093, KILLED_TIMEOUT
3649711005, 8239, KILLED_TIMEOUT
3649711005, 8243, KILLED_TIMEOUT
3649711005, 8241, KILLED_TIMEOUT
3649711005, 8244, KILLED_TIMEOUT
3649711005, 8135, SURVIVED
3649711005, 8188, KILLED_TIMEOUT
3649711005, 8138, KILLED_TIMEOUT
3649711005, 8156, KILLED_TIMEOUT
3649711005, 8240, KILLED_TIMEOUT
3649711005, 3094, SURVIVED
3649711005, 3097, KILLED_TIMEOUT
3649711005, 8246, KILLED_TIMEOUT
3649711005, 8245, SURVIVED
3649711005, 8249, KILLED_TIMEOUT
3649711005, 8298, SURVIVED
3649711005, 8255, KILLED_TIMEOUT
3649711005, 9637, SURVIVED
3649711005, 9639, KILLED_TIMEOUT
3649711059, 8241, KILLED_TIMEOUT
3649711059, 8156, SURVIVED
3649711059, 8167, SURVIVED
3649711059, 8238, SURVIVED
3649711059, 8240, KILLED_TIMEOUT
3649711059, 8135, KILLED_TIMEOUT
3649711059, 8223, SURVIVED
3649711059, 3097, KILLED_TIMEOUT
3649711059, 8138, KILLED_TIMEOUT
3649711059, 3094, KILLED_TIMEOUT
3649711059, 8298, KILLED_TIMEOUT
3649711059, 8239, SURVIVED
3649711059, 8244, KILLED_TIMEOUT
3649711059, 8243, KILLED_TIMEOUT
3649711059, 3093, KILLED_TIMEOUT
3649711059, 8170, KILLED_TIMEOUT
3649711059, 8188, SURVIVED
3649711059, 8246, KILLED_TIMEOUT
3649711059, 8245, KILLED_TIMEOUT
3649711059, 8255, KILLED_TIMEOUT
3649711059, 8249, KILLED_TIMEOUT
3649711011, 3093, SURVIVED
3649711011, 3097, SURVIVED
3649711011, 8167, SURVIVED
3649711011, 8138, SURVIVED
3649711011, 8135, KILLED_TIMEOUT
3649711011, 3094, KILLED_TIMEOUT
3649711011, 8188, KILLED_TIMEOUT
3649711011, 8156, KILLED_TIMEOUT
3649711011, 8170, SURVIVED
3649711011, 8223, SURVIVED
3649711011, 8238, SURVIVED
3649711011, 8249, SURVIVED
3649711011, 8244, SURVIVED
3649711011, 8246, SURVIVED
3649711011, 8255, KILLED_TIMEOUT
3649711011, 8243, SURVIVED
3649711011, 8239, SURVIVED
3649711011, 8240, KILLED_TIMEOUT
3649711011, 8241, KILLED_TIMEOUT
3649711011, 8245, KILLED_TIMEOUT
3649711011, 8298, KILLED_TIMEOUT
3649711021, 8170, KILLED_TIMEOUT
3649711021, 8135, KILLED_TIMEOUT
3649711021, 8167, KILLED_TIMEOUT
3649711021, 8138, KILLED_TIMEOUT
3649711021, 8156, KILLED_TIMEOUT
3649711021, 8239, KILLED_TIMEOUT
3649711021, 8240, KILLED_TIMEOUT
3649711021, 8223, KILLED_TIMEOUT
3649711021, 8241, KILLED_TIMEOUT
3649711021, 8188, KILLED_TIMEOUT
3649711021, 8255, KILLED_TIMEOUT
3649711021, 8244, KILLED_TIMEOUT
3649711021, 8245, KILLED_TIMEOUT
3649711021, 8238, KILLED_TIMEOUT
3649711021, 8246, KILLED_TIMEOUT
3649711021, 8249, KILLED_TIMEOUT
3649711021, 10715, KILLED_TIMEOUT
3649711021, 8243, KILLED_TIMEOUT
3649711021, 8298, KILLED_TIMEOUT
3649711021, 10474, KILLED_TIMEOUT
3649711006, 8156, KILLED_TIMEOUT
3649711006, 8170, KILLED_TIMEOUT
3649711021, 10747, KILLED_TIMEOUT
3649711006, 8188, KILLED_TIMEOUT
3649711006, 8241, KILLED_TIMEOUT
3649711006, 8135, KILLED_TIMEOUT
3649711006, 8167, KILLED_TIMEOUT
3649711006, 8239, KILLED_TIMEOUT
3649711006, 8223, KILLED_TIMEOUT
3649711006, 8138, KILLED_TIMEOUT
3649711006, 8240, KILLED_TIMEOUT
3649711006, 8238, KILLED_TIMEOUT
3649711006, 8243, KILLED_TIMEOUT
3649711006, 8244, KILLED_TIMEOUT
3649711006, 8245, KILLED_TIMEOUT
3649711006, 8246, KILLED_TIMEOUT
3649711006, 8249, KILLED_TIMEOUT
3649711006, 8298, KILLED_TIMEOUT
3649711006, 8255, KILLED_TIMEOUT
3649711006, 10747, KILLED_TIMEOUT
3649711008, 8241, KILLED_TIMEOUT
3649711008, 8238, KILLED_TIMEOUT
3649711008, 8135, KILLED_TIMEOUT
3649711008, 8138, KILLED_TIMEOUT
3649711008, 8188, KILLED_TIMEOUT
3649711008, 8223, KILLED_TIMEOUT
3649711008, 8239, KILLED_TIMEOUT
3649711008, 8167, KILLED_TIMEOUT
3649711008, 8156, KILLED_TIMEOUT
3649711008, 8170, KILLED_TIMEOUT
3649711008, 8249, KILLED_TIMEOUT
3649711008, 8240, KILLED_TIMEOUT
3649711008, 8245, KILLED_TIMEOUT
3649711008, 8255, KILLED_TIMEOUT
3649711008, 8244, KILLED_TIMEOUT
3649711008, 8243, SURVIVED
3649711008, 8246, KILLED_TIMEOUT
3649711018, 3094, KILLED_TIMEOUT
3649711018, 8135, KILLED_TIMEOUT
3649711008, 8298, KILLED_TIMEOUT
3649711018, 8138, KILLED_TIMEOUT
3649711018, 8156, KILLED_TIMEOUT
3649711018, 3097, KILLED_TIMEOUT
3649711018, 3093, KILLED_TIMEOUT
3649711018, 8167, KILLED_TIMEOUT
3649711018, 8170, KILLED_TIMEOUT
3649711018, 8223, KILLED_TIMEOUT
3649711018, 8188, SURVIVED
3649711018, 8245, KILLED_TIMEOUT
3649711018, 8243, KILLED_TIMEOUT
3649711018, 8240, KILLED_TIMEOUT
3649711018, 8238, KILLED_TIMEOUT
3649711018, 8239, KILLED_TIMEOUT
3649711018, 8246, KILLED_TIMEOUT
3649711018, 8298, KILLED_TIMEOUT
3649711018, 8249, KILLED_TIMEOUT
3649711018, 8244, KILLED_TIMEOUT
3649711018, 8241, SURVIVED
3649711018, 9637, KILLED_TIMEOUT
3649711018, 8255, KILLED_TIMEOUT
3649711016, 8167, KILLED_TIMEOUT
3649711016, 8170, KILLED_TIMEOUT
3649711016, 8135, KILLED_TIMEOUT
3649711016, 8188, KILLED_TIMEOUT
3649711016, 8156, KILLED_TIMEOUT
3649711016, 8223, KILLED_TIMEOUT
3649711016, 8138, KILLED_TIMEOUT
3649711016, 8238, KILLED_TIMEOUT
3649711018, 9639, KILLED_TIMEOUT
3649711016, 8244, KILLED_TIMEOUT
3649711016, 8246, KILLED_TIMEOUT
3649711016, 8239, SURVIVED
3649711016, 8241, KILLED_TIMEOUT
3649711016, 8240, KILLED_TIMEOUT
3649711016, 8245, KILLED_TIMEOUT
3649711016, 8243, KILLED_TIMEOUT
3649711016, 8298, SURVIVED
3649711016, 8255, SURVIVED
3649711016, 8249, SURVIVED
3649711047, 8135, KILLED_TIMEOUT
3649711047, 8138, KILLED_TIMEOUT
3649711047, 8167, KILLED_TIMEOUT
3649711047, 8170, KILLED_TIMEOUT
